,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"El actual entrenador de porteros, Luis Alberto Hernando, era el responsable de la última convocatoria del portero amarillo y de las retiradas de Gerard Piqué, Pedro, Sergi Roberto y Dani Alves.
En la convocatoria de Zidane compartía portería con Casemiro, Sergio Ramos, Raphael Varane, Marcelo, Lucas Vázquez y James",0.8366883637399999,,,</s>,fr
1,on_p50,1000,1,2,"/*
 * Copyright (c) 2015, Oracle and/or its affiliates. All rights reserved.
 * DO NOT ALTER OR REMOVE COPYRIGHT NOTICES OR THIS FILE HEADER.
 *
 * This code is free software; you can redistribute it and/or modify it
 * under the terms of the GNU General Public License version 2 only, as",0.8366883637399999,,,</s>,fr
2,on_p50,1000,1,3,"#!/usr/bin/env python

import os
import sys
import shutil

# A quick way to update the config file
def changeConfig(oldFile, newFile):
	oldFile.close()
	newFile.close()


# This is the main function. It will take an input file and look for a",0.8366883637399999,,,</s>,fr
3,on_p50,1000,1,4,"Le tout dans un décor qui fera le bonheur des plus petits avec de jolis éléments comme des crèches et autres objets en bois, du verre et, pour les plus grands, de la pâte à modeler.
Le Centre Pompidou et la ville de Bobigny invitent les enfants à venir participer à une grande fête",0.8366883637399999,,,</s>,fr
4,on_p50,1000,1,5,"L'henne à dents du Pérou ou H. licolops, est un mammifère de la famille des canidés. C'est un quadrupède herbivore qui se distingue par une fourrure de couleur blanc et des dents pointues. Elle affectionne les savanes et les terres hautes, et se",0.8366883637399999,,,</s>,fr
5,on_p50,1000,1,6,"Vous êtes ici : Accueil / Download / Vidéos / Partie 3 : L’essentiel de la théorie quantique de la physique et de la métaphysique
Les vidéos de Partie 3 : L’essentiel de la théorie quantique de la physique et de la métaphysique sont à télécharger gratuitement et à partager!
",0.8366883637399999,,,</s>,fr
6,on_p50,1000,1,7,"Né le 11 avril 1927 à St-Dié, près de Mulhouse, dans une famille bourgeoise de commerçants, il entre à la École nationale de théâtre de Strasbourg en 1941 et en ressort en 1945 avec le titre de fin d’études.
Il fait ses débuts à la télévision française dans un téléfilm réalisé",0.8366883637399999,,,</s>,fr
7,on_p50,1000,1,8,"Pourquoi sont les vols au départ de la France rares? En moyenne, les départs à la France sont rares par rapport à un autre aéroport pour la période de location souhaitée. Les départs sont plutôt rares en basse saison, mais très fréquents en haute saison.
Il est important de connaître la météo locale avant de",0.8366883637399999,,,</s>,fr
8,on_p50,1000,1,9,"The occasion que vous attendez depuis quelques semaines.
Bienvenue à la société.
Je suis...
Ce n'est pas ce dont je parlais.
Ici, tout le monde est là.
Comment ça va?
Bien.
Bien.
Nous avons une très bonne nouvelle à vous annoncer.
- Quoi?
- C'est un ami de...
Je",0.8366883637399999,,,</s>,fr
9,on_p50,1000,1,10,"Introduction
Devises are tools in the market of interbank opinion where an agent or bank quotes a price at a given time. The quotes are often accepted or rejected on the basis of their adjustment to the actual interbank market situation, which is measured by the spot rates. If the quote is accepted, it is",0.8366883637399999,,,</s>,fr
10,on_p50,1000,1,11,"C'est une histoire qui commence à être connue et qui continue à le être partout. Mais cette histoire n'est une énième excentricité de d'Brad Pitt, l'acteur qui depuis le début de la...
Ils sont tous là, les quatre membres du jury du prix de la Critique de l’Admission au Festival de Cannes,",0.8366883637399999,,,</s>,fr
11,on_p50,1000,1,12,"Comme pour un troisième ou un quatrième enfant, le bien-être de votre bébé et de vous pendant et après la grossesse est aussi important. C’est un fait, le bébé est plus sensible à ce qu’on lui offre, à ce qu’on lui apporte, et à ce qu’on lui montre. Les parents doivent donc apprendre à mieux communiquer, à",0.8366883637399999,,,</s>,fr
