,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"South Africa Net Profit Stable
In 2019, South Africa’s net profit rose 0.1% to R 107.7 billion, according to the latest figures published by the National Treasury.
The country’s net profit was 145.4",0.088713556077,,,,zh
1,on_p50,1000,1,2,"import { NgModule } from '@angular/core';
import { Routes, RouterModule } from '@angular/router';
import { ChatComponent } from './chat.component';
import { ChatsService } from '../services/chats.service';
import { CommonModule, }",0.088713556077,,,,zh
2,on_p50,1000,1,3,"Systematic and comparative analysis of the in vivo biopharmaceutical properties of 1,3-β-glucans and their oligosaccharides.
The in vivo biopharmaceutical properties of 1,3-β-glucans, their mon",0.088713556077,,,,zh
3,on_p50,1000,1,4,"2020-09-15 2022-01-13 afp.china.org.cn Editor: Hao
The China-Africa Cooperation Expo, due to open on Sept. 29 in Dakar, Senegal, has",0.088713556077,,,,zh
4,on_p50,1000,1,5,"8 Best (See the movie)
8 Best (See the movie) the title of the show, brings to mind a variety of thoughts. At first, I thought it was a light comedy, sort of second rate, in the same vein as The Office, or Waiting for Guffman, except",0.088713556077,,,,zh
5,on_p50,1000,1,6,"2018 Honda CRF150F is one of the most popular ATVs for sale this year. If this is not the case, we suggest you consider buying another Honda ATV.
The listing price of this 2018 Honda CRF150",0.088713556077,,,,zh
6,on_p50,1000,1,7,"# 小行星4463

小行星4463（1981 TM，1981 TM13，1981 T13，4463 Tartaros）是一顆主帶小行星",0.088713556077,,,,zh
7,on_p50,1000,1,8,"# Piorno

Piorno (en córnico: Piorno, IPA: ) es una isla deshabitada del archipiélago de las Hébridas Exteriores, en Escocia. Se encuentra en las islas Barra de la autoridad",0.088713556077,,,,zh
8,on_p50,1000,1,9,"300 Things I've Learned So Far in My 20's
I can't believe I'm 23..
I'm starting this post with the name of one of my favorite books, the Secret Lives of Color.
I've read it and rere",0.088713556077,,,,zh
9,on_p50,1000,1,10,"← Roxbury Presbyterian Church to Hold Special Sunday Service and Carols
Getting Your Kids Inspired for the Festive Season at the Nutcracker →
Flood Hazard Area Map Now Available for the Upper West Side
The Upper West Side is generally considered to",0.088713556077,,,,zh
10,on_p50,1000,1,11,"""Meeting; what was learned about the rose, and the way to find it in the desert of this world""
[Lecture: S-4974: 23rd May, 1922 | Berlin] [Sauerbruch]
We will begin with a few",0.088713556077,,,,zh
11,on_p50,1000,1,12,"#include <linux/init.h>
#include <linux/slab.h>
#include <linux/export.h>
#include <linux/kthread.h>
#include <linux/mutex.h>
#include <linux/module.h>
#",0.088713556077,,,,zh
12,on_p50,1000,1,13,"The Malibu Coastal Classic features an International Fell Race on trails above Malibu, California. The race is held on the Sunday after Thanksgiving as part of the Malibu Marathon, known as the ""People's Marathon."" The course is a 5K with ",0.088713556077,,,,zh
13,on_p50,1000,1,14,"http://www.ctpost.com/uconn/article/NCAA-gives-UConn-35k-for-Nike-apparel-5320757.php
NCAA gives UConn $35K for Nike apparel
BRID",0.088713556077,,,,zh
14,on_p50,1000,1,15,"package com.github.jxen.pudding;

import com.github.jxen.pudding.api.Ranges;
import org.junit.jupiter.api.Test;

import java.util.Arrays;
import java.util.List",0.088713556077,,,,zh
