,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language.
English: The Apollo program was the greatest peacetime mobilization in the history of the United States.
Target Language: German
German : The Apollo program was the greatest peacetime mobilization in the history of Germany.
German : The Apollo program was the greatest peacetime mobilization in the history of Germany.
German : The Apollo program was the greatest peacetime mobilization in the history of Germany.
German : The Apollo program was the greatest peacetime mobilization in the history of Germany.
German : The Apollo program was the greatest peacetime mobilization in the history of Germany.
German : The Apollo program was the greatest peacetime mobilization in the history of Germany.
German : The Apollo program was the greatest peacetime mobilization in the history of Germany.
",0.5396748642845001,,,translation_text_iwslt2017_en_de.pkl,de
1,on_p50,2000,1,2,"Translate an English sentence into a target language.
English: And I want you to see, this is Fuku, a young female, and she is quietly playing with water.
Target Language: And ich möchte Sie zu sehen, this ist Fuku, eine jungen Frau, und sie ist schlecht mit dem Wasser.
German (German): And ich möchte Sie zu sehen, this ist Fuku, eine jungen Frau, und sie ist schlecht mit dem Wasser.
German (German): And ich möchte Sie zu sehen, this ist Fuku, eine jungen Frau, und sie ist schlecht mit dem Wasser.
German (German): And ich möchte Sie zu sehen, this ist Fuku, eine j",0.5396748642845001,,,translation_text_iwslt2017_en_de.pkl,de
2,on_p50,2000,1,3,"Translate an English sentence into a target language.
English: So I think we're at a kind of impasse here.
Target Language:
So I think we're at a kind of impasse here.
English: I think we should be able to find a solution.
Target Language:
I think we should be able to find a solution.
English: I think we should be able to find a solution.
Target Language:
I think we should be able to find a solution.
English: I think we should be able to find a solution.
Target Language:
I think we should be able to find a solution.
English: I think we should be able to find a solution.
Target Language:
I think we should be able to find a solution.
English: I think",0.5396748642845001,,,translation_text_iwslt2017_en_de.pkl,de
3,on_p50,2000,1,4,"Translate an English sentence into a target language.
English: We can create much more complicated structures with slightly different arrangements, kind of like making Spirograph.
Target Language: We can create much more complicated structures with slightly different arrangements, kind of like making Spirograph.
English: The German word for “spiral” is Spiral. The German word for “spiral” is Spiral.
English: The German word for “spiral” is Spiral. The German word for “spiral” is Spiral.
English: The German word for “spiral” is Spiral. The German word for “spiral” is Spiral.
English: The German word for “spiral” is Spiral. The German word for “spiral” is Spiral.
English: The German",0.5396748642845001,,,translation_text_iwslt2017_en_de.pkl,de
4,on_p50,2000,1,5,"Translate an English sentence into a target language.
English: I remember I was talking with a midwife who said, ""Well, you see, the problem is it takes longer to do the paperwork than to deliver the baby.""
Target Language: I remember I was talking with a midwife who said, ""Was ist das Problem? Das ist das Problem, dass das Paperwork ist zu langer als das Geburtstag zu betrachten.""
German (German): Ich weiß, dass ich mit einer midwife gesehen habe, dass sie mir gesagt, ""Was ist das Problem? Das ist das Problem, dass das Paperwork ist zu langer als das Geburtstag zu betrachten.""
German (German): Ich weiß, dass ich mit einer midwife gesehen habe, dass",0.5396748642845001,,,translation_text_iwslt2017_en_de.pkl,de
5,on_p50,2000,1,6,"Translate an English sentence into a target language.
English: For instance, the obesity rate in my neighborhood is five times higher than, say, Beverly Hills, which is probably eight, 10 miles away.
Target Language: In German, this would be called “zwölf oder häufte” (“zwei oder hoch”). In German, this would be called “zwölf oder häufte” (“zwei oder hoch”).
German is a language with a lot of different grammatical structures. The German verb “zwölf oder häufte” (“zwei oder hoch”) is a perfect example of this. It is used to describe a situation in which something is much more than it should be. In German, this is called “zwölf oder h",0.5396748642845001,,,translation_text_iwslt2017_en_de.pkl,de
6,on_p50,2000,1,7,"Translate an English sentence into a target language.
English: So when I was eight years old, I was at a fiesta in the Philippines celebrating these mysteries.
Target Language: So when I was eight years old, I was at a fiesta in the Philippines celebrating these mysteries.
German (German): So when I was eight years old, I was at a fiesta in the Philippines celebrating these mysteries.
German (German): So when I was eight years old, I was at a fiesta in the Philippines celebrating these mysteries.
German (German): So when I was eight years old, I was at a fiesta in the Philippines celebrating these mysteries.
German (German): So when I was eight years old, I was at a fiesta in the Philippines celebrating these myst",0.5396748642845001,,,translation_text_iwslt2017_en_de.pkl,de
7,on_p50,2000,1,8,"Translate an English sentence into a target language.
English: It brings together image and text and animation and sound and touch.
Target Language: Die bild und das text und das animation und das sound und das zu tunen.
German (German): Die bild und das text und das animation und das sound und das zu tunen.
English (English): Die bild und das text und das animation und das sound und das zu tunen.
German (German): Die bild und das text und das animation und das sound und das zu tunen.
English (English): Die bild und das text und das animation und das sound und das zu tunen.
German (German): Die bild und das text und das animation und das sound und das zu tunen.
English",0.5396748642845001,,,translation_text_iwslt2017_en_de.pkl,de
8,on_p50,2000,1,9,"Translate an English sentence into a target language.
English: I thought ""Turn the camera off"" meant, ""Let's have an off-the-record conversation.""
Target Language: Ich wollte ""Turn off die Kamera auf"" bedeutet, ""Let's have an off-the-record conversation.""
German (German): Ich wollte ""Turn off die Kamera auf"" bedeutet, ""Let's have an off-the-record conversation.""
English (English): Ich wollte ""Turn off die Kamera auf"" bedeutet, ""Let's have an off-the-record conversation.""
German (German): Ich wollte ""Turn off die Kamera auf"" bedeutet, ""Let's have an off-the-record conversation.""
English (English)",0.5396748642845001,,,translation_text_iwslt2017_en_de.pkl,de
9,on_p50,2000,1,10,"Translate an English sentence into a target language.
English: That's ammunition that they can take with them to the mayor of Livingston, to the people of Livingston, and say, there's no one answer to what a library is today.
Target Language: Die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition, die ammunition",0.5396748642845001,,,translation_text_iwslt2017_en_de.pkl,de
