,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,我们今天约好，在波哥大一周内吃个饭，然后明天开始去印度玩，这样可以优先考虑一下，毕竟印度人比较老练，而中国人多，所以印度人倒是蛮体贴的。于是就约好了，为了避免出错，分好了丰胸产品。毕竟，,0.090139179244,,,</s>,zh
1,on_p50,1000,1,2,"/* This file is part of the KDE project
   Copyright (C) 2003 Cyrille Berger <cberger@cberger.net>

   This library is free software; you can redistribute it and/or
   modify it under the terms of the GNU Library General Public
   License as published by the Free Software Foundation; either
   version 2 of the",0.090139179244,,,</s>,zh
2,on_p50,1000,1,3,"# -*- coding: utf-8 -*-
#
# Copyright (C) 2010 - 2015 Michal Čihaře <michal@cihar.com>
#
# This file is part of Weblate <https://weblate.org/>
#
# This program is free software: you can redistribute it and/or",0.090139179244,,,</s>,zh
3,on_p50,1000,1,4,"12月5日,太原大英医院办医环境不断优化,通过大英医院官网显示,""对于患者来说,这是我们的希望""。区委副书记、区长张建民等多位区领导先后莅临大英医院调研,并亲切慰问了医院。区医改办",0.090139179244,,,</s>,zh
4,on_p50,1000,1,5,其实可以这样说，在工程设计过程中，一定要通过严格的设计和规划，来确保工程的质量和运行安全，而不是仅仅靠我们的一句口头承诺，因为项目毕竟是千言万语，只有切实可行的设计方案，才是工程质量得以可靠运行的保障。,0.090139179244,,,</s>,zh
5,on_p50,1000,1,6,中科院院士、中国工程院院士、中国工程院院士蔡德渊，中国科学院院士、中科院院士、中国工程院院士、中科院院士、中国工程院院士、中国科学院院士、中国工程院院士、中国科学院院士、中国工程院院士、中国科学院院士、中国工程院院士,0.090139179244,,,</s>,zh
6,on_p50,1000,1,7," لكن هذه المدونة غير معتمدة على الشرعية ، ولا يمكن للمتاجر أن تُفيد بإعلانها حتى تكون مدعومة بالخرائط والكلمات التسجيلات.
 التغطية الإعلامية في الجامعات على نحو رسمي في كل الجامعات العربية ، أو الجامعات الأجنبية.
 التغطية الاعلامية التي تقدمها القنوات التلفزيونية في الجامعات المصرية",0.090139179244,,,</s>,zh
7,on_p50,1000,1,8,"A polícia rodoviária federal (PRF) apreendeu um caminhão carregado com 60 sacolas plásticas sem a validade sanitária e que estavam com resíduos de chorume. A apreensão aconteceu no Morro do Riachuelo, em Fortaleza.
Segundo a PRF, o caminhão está com registro de procedência",0.090139179244,,,</s>,zh
8,on_p50,1000,1,9,"The two queued up in the middle of the transit lanes were being rotated, and the queuing up at the intersection was suddenly disrupted due to the mechanical movement.
According to the police inspector, the force station was busy driving through restricted areas in the busy transit lane. The police commissioner also called for the police station",0.090139179244,,,</s>,zh
9,on_p50,1000,1,10,你以前常常聽我們講到--妳可以跨過文字謎，讓生活變得更好。當妳沒有認識到自己的內在隱藏，或者是妳知道自己有多偉大，我想妳已經能「離得遠一點，讓妳的文字能夠遠一點。」 妳們聽過文學裡說,0.090139179244,,,</s>,zh
10,on_p50,1000,1,11, بنظام غذائي متكامل في كل من مرحلة الطفولة المبكرة (ولادتي المبكرة) ومرحلة المراهقة العمرية (ولادتي ومراهقتي). نظام غذائي متكامل من المصادر الحيوانية والأجرض يومياً في كل من مرحلة الطفولة المبكرة والمراهقة. نظام غذائي متكامل من المصادر,0.090139179244,,,</s>,zh
11,on_p50,1000,1,12,"A pedido da Associação Catarinense de Municípios, a Secretaria de Educação de Santa Catarina realizou a capacitação para a execução dos projetos escolares do ano letivo de 2011.Na ocasião, estiveram presentes o secretário de cultura da cidade, Tarcísio Gomes, e a secretária municipal de educação, Luciana Meneghetti",0.090139179244,,,</s>,zh
12,on_p50,1000,1,13,Por supuesto que establecieron una dirección de correo electrónico para un negocio con enlaces a sitios web. Este es el enlace a su sitio web en este sitio web. No esta caché en un sitio web.,0.090139179244,,,</s>,zh
13,on_p50,1000,1,14,"9. Privacy Policy.eQuatorlium.cn保留对该网站任何个人资料的使用和收集的权利,而且本网站管理者可以随时更改该网站的隐私政策。用户访问本网站时,应理解并遵守本网站上包含的所有个人资料,包括但不限于您在使用该网站的",0.090139179244,,,</s>,zh
14,on_p50,1000,1,15,粮仓即粮仓事实上是指储粮之地。在古代，粮仓并不意味着一种简单的仓库，而是一种特别的“仓库”，古人在建仓的时候，也是注意多种“仓库”的不同功能。 粮仓是指在古代人日常生活中一点一点的经历过的储约，随着岁月的流,0.090139179244,,,</s>,zh
15,on_p50,1000,1,16,"Hiện trường vụ tai nạn giao thông chiều 17/7 tại địa chỉ trên và trên đường Hoàng Diệu (phường Thắng Quý, TP.Vũng Tàu).
Cụ thể, chiếc xe ô tô Yamaha New Vios BKS: 81L-6331 do ông Lê Văn Thắng, SN 1965, trú tại xã Bình Hòa, huyện",0.090139179244,,,</s>,zh
16,on_p50,1000,1,17,電話接過電話，她走起來，耳邊傳來一個聲音：「老闆，小豬很久沒見過妳了，你給點電話吧！⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯�,0.090139179244,,,</s>,zh
17,on_p50,1000,1,18,"# -*- coding: utf-8 -*-

# (c) 2017, Michael DeHaan <michael.dehaan@gmail.com>
# GNU General Public License v3.0+ (see COPYING or https://www.gnu.org/licenses/gpl-3.0.txt)

from __future__ import absolute_import, division, print_function
__metaclass",0.090139179244,,,</s>,zh
18,on_p50,1000,1,19,"Phải chăng sau một thời gian dài “mở rộng” ra nước ngoài học tập và cống hiến, cán bộ làm công tác quản lý nhà nước đã bao giờ hình dung được cái tầm yêu nước sâu nặng và ý nghĩa của những hành động đó? Sau khi nghe báo cáo của NCT về thực trạng quản lý nhà",0.090139179244,,,</s>,zh
