,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,20,1,1,"El actual entrenador de porteros es un entrenador técnico y con una dilatada experiencia. Es decir, una persona con formación, que no tiene que salir a buscar partidos, sino que es un entrenador que es capaz de preparar a los porteros para que sean más efectivos en los entrenamientos.",0.5441109521499999,,,</s>,en
1,on_p50,20,1,2,"/* This file is part of the KDE project
   Copyright (C) 2003 Ariya Hidayat <ariya@kde.org>

   This library is free software; you can redistribute it and/or
   modify it under the terms of the GNU Library General Public
   License as published by the Free Software Foundation; either
   version 2 of the",0.5441109521499999,,,</s>,en
2,on_p50,20,1,3,"#!/usr/bin/env python

import os
import pandas as pd
from sklearn.cluster import KMeans
from sklearn.preprocessing import MinMaxNonzero
from sklearn.pipeline import Pipeline
from sklearn.text import LabelEncoder
from sklearn.clf import LogisticReg",0.5441109521499999,,,</s>,en
3,on_p50,20,1,4,"TOMATE: Tomatoes have many uses! They can be cooked in a variety of ways, and can be used as a flavoring with other dishes. If you like your tomatoes slightly sweet, use one of these recipes.
INDIAN CHILDREN: Indian children love tomatoes! You can",0.5441109521499999,,,</s>,en
4,on_p50,20,1,5,"3 Temas: Justiça do Trabalho, Funcionários públicos, Magistrados e Procuradores do Trabalho. A Professora Dra. Maria Alice Schurmann.
4 Temas: Justiça do Trabalho, Funcionários públicos, Magistrados e Procuradores do Trabalho. A Professora Dra. Maria Alice Schurmann.
5 Tem",0.5441109521499999,,,</s>,en
5,on_p50,20,1,6,"Q:

Verifying the type of a method parameter with reflection

I am trying to implement the following method...
// Registration of a MethodBase
public static void Register(string name, MethodBase method, Type type)
{
    if (method.GetCustomAttributes(false)!= null)
    {
        foreach (var",0.5441109521499999,,,</s>,en
6,on_p50,20,1,7,"Neuromorphisms
Neuromorphic is a new paradigm in computation [1]. This paradigm is based on the concept of non-trivial computation (NTC) [2], which is a continuous process, where computations can be done in a continuous fashion. The great advantage of this type of computation is that in an NTC computations are",0.5441109521499999,,,</s>,en
7,on_p50,20,1,8,"A nível de produção, a empresa detém cerca de 7 milhões de toneladas de açúcar por ano, numa superfície de 6.600 ha, que corresponde aproximadamente a 20% da área produtora total.",0.5441109521499999,,,</s>,en
8,on_p50,20,1,9,"The two queens have a good relationship. They hail from the same family, and the queens are close. They also have a mutual affinity for each other, as they have the same colour-this shows that they are compatible.
The queen is the one with the most money. The reason why she helps the people",0.5441109521499999,,,</s>,en
9,on_p50,20,1,10,"Introduction
In this paper we study the issue of positive orthotropy and of instances in which the eigenvalues of the Laplacian associated to a positive orthotropic material are on one side of the spectrum. This results from a formal application of the generalized eigenvalue problem, and also requires the introduction of the following definition.
Definition",0.5441109521499999,,,</s>,en
10,on_p50,20,1,11,"Showing 5 out of a total of 5 results for collection: Political Community. Admission Type: Scholarship and Fellowship | Type: Grant | Keywords: political community | Subjects: education, middle school, high school, education, and public school | Page: 1 | Language: English | More items:
I am a",0.5441109521499999,,,</s>,en
