,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language.
English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
Target Language: A target language is a language that people speak in. It is a language that people use to communicate with. It is a language that people use to communicate with.
The first step in the process of translating a sentence into a target language is to determine the target language. The first step in the process of translating a sentence into a target language is to determine the target language. The first step in the process of translating a sentence into a target language is to determine the target language. The first step in the process of translating a sentence into a target language is to determine the target language. The first step in the process of",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
1,on_p50,2000,1,2,"Translate an English sentence into a target language.
English: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Target Language: English, French, German, Italian, Spanish, Portuguese, Russian, Chinese, and Japanese.
The best way to get started is to learn the basics of English. You can learn the basics of English by listening to a podcast or a book. You can also learn the basics of English by reading a book or a podcast.
The best way to learn the basics of English is to practice. You can practice the basics of English by listening to a podcast or a book. You can also practice the basics of English by reading a book or a podcast.
The best way to learn the basics of English is to practice. You can practice the basics",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
2,on_p50,2000,1,3,"Translate an English sentence into a target language.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior oftentimes results in rifts between the leaders and the rest of the team.
The following are some examples of the behaviors that can result in a rift between the leaders and the rest of the team.
1. The leader is not in control.
2. The leader is not in control.
3. The leader is not in control.
4. The leader is not in control.
5. The leader is not in control.
6. The leader is not in control.
7. The leader is not in control.
8. The leader is not in control.
9. The leader is not in control.
10. The",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
3,on_p50,2000,1,4,"Translate an English sentence into a target language.
English: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.
Target Language: English is the target language of the project. The project is intended to be a tool for the development of a multilingual society.
The project is based on the idea that the language of the world is the language of the people. The project aims to develop a multilingual society.
The project aims to develop a multilingual society.
The project aims to develop a multilingual society.
The project aims to develop a multilingual society.
The project aims to develop a multilingual society.
The project aims to develop a multilingual society.
The project aims to develop a multilingual society.
The project aims to develop a multilingual society.
The project",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
4,on_p50,2000,1,5,"Translate an English sentence into a target language.
English: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond.
Target Language: The target language should be the language of the project. If the project is in a foreign language, the target language should be the language of the project.
Project Based Learning: The project-based learning should be a part of the learning process. The project-based learning should be a part of the learning process.
Learning Objects: Learning objects should be the learning materials. Learning objects should be the learning materials.
Learning Materials and Learning Objects: Learning materials and learning objects should be the learning materials and learning objects.
Learning Materials and Learning Objects: Learning materials and learning objects should be the learning materials and learning objects.
Learning Materials and Learning Objects: Learning materials",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
5,on_p50,2000,1,6,"Translate an English sentence into a target language.
English: Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
Target Language: English. The target language of the translation is English.
The translation of the sentence into the target language is done by a translator.
The translation of the sentence into the target language is done by a translator.
The translation of the sentence into the target language is done by a translator.
The translation of the sentence into the target language is done by a translator.
The translation of the sentence into the target language is done by a translator.
The translation of the sentence into the target language is done by a translator.
The translation of the sentence into the target language is done by a translator.
The translation of the sentence into the target language is done by",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
6,on_p50,2000,1,7,"Translate an English sentence into a target language.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: English. English is the most widely spoken language in the world. It is the second most spoken language in the world after the Chinese language.
The first step in the process of translating a sentence into English is to find a suitable translation service. A translator can help you find a translator who can translate your sentence into English. A translator can help you find a translator who can translate your sentence into English.
The first step in the process of translating a sentence into English is to find a suitable translation service. A translator can help you find a translator who can translate your sentence into English. A translator can help you find a translator who can",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
7,on_p50,2000,1,8,"Translate an English sentence into a target language.
English: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
Target Language: English.
The tortoise was the first mammal to be discovered in the Galapagos. It was discovered in the Galapagos in the late 1800s.
The tortoise was the first mammal to be discovered in the Galapagos. It was discovered in the Galapagos in the late 1800s.
The tortoise was the first mammal to be discovered in the Galapagos. It was discovered in the Galapagos in the late 1800s.
The tortoise was the first mammal to be discovered in the Galapagos. It was discovered in the Galapagos in the late 1800s.
The tort",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
8,on_p50,2000,1,9,"Translate an English sentence into a target language.
English: Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.
Target Language: English. The cave is a place where the people live. The caves are a place where the people live.
The cave is a place where the people live. The caves are a place where the people live.
The caves are a place where the people live. The caves are a place where the people live.
The caves are a place where the people live. The caves are a place where the people live.
The caves are a place where the people live. The caves are a place where the people live.
The caves are a place where the people live. The caves are a place where the people live.
The caves are a place where",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
9,on_p50,2000,1,10,"Translate an English sentence into a target language.
English: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Target Language: English.
The photographer, who was wearing a black-and-white jacket, was wearing a black-and-white jacket.
The photographer was wearing a black-and-white jacket.
The photographer was wearing a black-and-white jacket.
The photographer was wearing a black-and-white jacket.
The photographer was wearing a black-and-white jacket.
The photographer was wearing a black-and-white jacket.
The photographer was wearing a black-and-white jacket.
The photographer was wearing a black-and-white jacket.
The photographer was wearing a black-and-white jacket.
The photographer was wearing a black-and-white jacket.
The photographer was wearing a",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
10,on_p50,2000,1,11,"Translate an English sentence into a target language.
English: This was more like the four states of matter (in the same order): solid, liquid, gas, and plasma, though he also theorised that they change into new substances to form what we see.
Target Language: English.",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
11,on_p50,2000,1,12,"Translate an English sentence into a target language.
English: But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.
Target Language: English
The match was a tense affair for the hosts as the hosts were in a tight grip of the ball.
The hosts were in a tight grip of the ball.
The hosts were in a tight grip of the ball.
The hosts were in a tight grip of the ball.
The hosts were in a tight grip of the ball.
The hosts were in a tight grip of the ball.
The hosts were in a tight grip of the ball.
The hosts were in a tight grip of the ball.
The hosts were in a tight grip of the ball.
The hosts were in a tight grip of the ball.
The hosts were in a tight",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
12,on_p50,2000,1,13,"Translate an English sentence into a target language.
English: In inland regions of Northern India and Pakistan, yogurt is commonly used in curries; in Southern India and some other coastal regions of the subcontinent, coconut milk is commonly used.
Target Language: English.
The following sentences are in the target language.
The following sentences are in the target language.
The following sentences are in the target language.
The following sentences are in the target language.
The following sentences are in the target language.
The following sentences are in the target language.
The following sentences are in the target language.
The following sentences are in the target language.
The following sentences are in the target language.
The following sentences are in the target language.
The following sentences are in the target language.
The following sentences are in the target language.
The following sentences are in the target language.
The following sentences are in the target language.
",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
13,on_p50,2000,1,14,"Translate an English sentence into a target language.
English: Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""
Target Language: English
The project was funded by the European Commission under the European Research Council (ERC) Horizon 2020 research and innovation programme.
The project was funded by the European Commission under the European Research Council (ERC) Horizon 2020 research and innovation programme.
The project was funded by the European Commission under the European Research Council (ERC) Horizon 2020 research and innovation programme.
The project was funded by the European Commission under the European Research Council (ERC) Horizon 2020 research and innovation programme.
The project was funded by the European Commission under the European Research Council (ERC) Horizon 2020 research and innovation programme.
The project was funded by the European Commission under the European",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
14,on_p50,2000,1,15,"Translate an English sentence into a target language.
English: Yet, Spanish is also widely used in public transport and other facilities.
Target Language: English.
The following sentences are taken from the English to Spanish translation.
The following sentences are taken from the Spanish to English translation.
The following sentences are taken from the English to Spanish translation.
The following sentences are taken from the Spanish to English translation.
The following sentences are taken from the English to Spanish translation.
The following sentences are taken from the English to Spanish translation.
The following sentences are taken from the English to Spanish translation.
The following sentences are taken from the English to Spanish translation.
The following sentences are taken from the English to Spanish translation.
The following sentences are taken from the English to Spanish translation.
The following sentences are taken from",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
15,on_p50,2000,1,16,"Translate an English sentence into a target language.
English: Machu Picchu consist of three main structures, namely Intihuatana, the Temple of the Sun, and the Room of the Three Windows.
Target Language: English
The first step in the process of translating a sentence into a target language is to determine the target language. The target language is the language of the sentence. The target language is the language of the sentence. The target language is the language of the sentence. The target language is the language of the sentence. The target language is the language of the sentence. The target language is the language of the sentence. The target language is the language of the sentence. The target language is the language of the sentence. The target language is the language of the sentence. The target language is the language of the sentence. The target language is",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
16,on_p50,2000,1,17,"Translate an English sentence into a target language.
English: The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked.
Target Language: English. The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked.
The first step in the process is to identify the plant species. A plant species is a group of plants that are similar in their flowering and growth habit. A plant species is a group of plants that are similar in their flowering and growth habit. A plant species is a group of plants that are similar in their flowering and growth habit. A plant species is a group of plants that are similar in their flowering and growth habit. A plant species",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
17,on_p50,2000,1,18,"Translate an English sentence into a target language.
English: The terrified King Louis XVI, Queen Marie Antoinette their two young children (11 year old Marie Therese and four year old Louis-Charles) and the King's sister, Madam Elizabeth, on the 6th October 1789 were forced back to Paris from Versailles by a mob of market women.
Target Language: English.
The French Revolution: The French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French Revolution, the French",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
18,on_p50,2000,1,19,"Translate an English sentence into a target language.
English: Many German baked goods also feature almonds, hazelnuts, and other tree nuts. Popular cakes often pair particularly well with a cup of strong coffee.
Target Language: English, French, German, Italian, Spanish, Portuguese, Russian, Chinese, and many others.
The best way to learn a new language is to practice. Try to practice your new language in a real-life situation. Try to practice your new language in a real-life situation. Try to practice your new language in a real-life situation. Try to practice your new language in a real-life situation. Try to practice your new language in a real-life situation. Try to practice your new language in a real-life situation. Try to practice your new language in a real-life situation. Try to practice your new language in a real-life situation.",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
19,on_p50,2000,1,20,"Translate an English sentence into a target language.
English: Uka's weapon failed whilst pointed at a fifth man's head. Schneider has ongoing pain, blindness in one eye, a missing section of skull and a face rebuilt from titanium.
Target Language: English. Uka's weapon failed whilst pointed at a fifth man's head. Schneider has ongoing pain, blindness in one eye, a missing section of skull and a face rebuilt from titanium.
Uka's weapon failed whilst pointed at a fifth man's head. Schneider has ongoing pain, blindness in one eye, a missing section of skull and a face rebuilt from titanium.
Uka's weapon failed whilst pointed at a fifth man's head. Schneider has ongoing pain, blindness in one eye, a missing section of skull and a face rebuilt from titanium.
Uka's weapon failed whilst pointed at a fifth man's head. Schneider has ongoing pain,",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
20,on_p50,2000,1,21,"Translate an English sentence into a target language.
English: City-states are the precursors of nations. A civilizational culture implies the passing on of knowledge across several generations, a lingering cultural footprint and fair dissemination.
Target Language: English is the lingua franca of the world. It is the lingua franca of the world.
The following sentences are not in the target language.",0.458043758877,,,translation_text_flores200_en_zh.pkl,zh
