,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"
A thiosemicarbazone (ASM) is an antitumor agent derived from the synthetic serotonin reuptake inhibitor (SRI) mifepristone. The use of the drug was approved by the United States Food and Drug Administration (FDA) for the treatment of ovarian鱗状上皮",0.088574563087,,,</s>,ja
1,on_p50,1000,1,2,"/*
 *  This file is part of AlesharikWebServer.
 *
 *     AlesharikWebServer is free software: you can redistribute it and/or modify
 *     it under the terms of the GNU General Public License as published by
 *     the Free Software Foundation, either version 3 of the",0.088574563087,,,</s>,ja
2,on_p50,1000,1,3,食材 | 蕃茄100公克、番茄水1公升、生鮮番茄沙司1個、番茄醬1大匙、高湯1大匙、便利貼紙1張。(番茄水可依個人喜好增減分量，高湯可依個人喜おくッ営焼,0.088574563087,,,</s>,ja
3,on_p50,1000,1,4,"12月5日,lpl迎来了lpl历史上最大规模的约战。 约战开始,对于lpl来说意义重大,lpl的声誉与尊严在此刻显得尤为重要,就像极了s8总决赛、lpl与世界赛的对决。 s8决赛是lpl与世界赛的对",0.088574563087,,,</s>,ja
4,on_p50,1000,1,5,いっぱいがいないあとだけに - 研磨いく日これからどこへも行かない気持ちがあったのまた言えばいいのな行く先に目指してのない人でしょうスピードになく,0.088574563087,,,</s>,ja
5,on_p50,1000,1,6,しろいい口です！?しろいい口です！？しろいい口です！？しろいい口です！？しろいい口です！？(ぜい。)しろいい口です！？しろいい口です！？しろい,0.088574563087,,,</s>,ja
6,on_p50,1000,1,7,いいえ、 preparar3の派上なしですか？いえ、 冷めてしましょう！ 気がついたので、 静かに枯それぞれ、 休息したら、 高い空！！（おもかなのだ）もう,0.088574563087,,,</s>,ja
7,on_p50,1000,1,8,喜、怒、哀、樂是健全人格的必要元素，父輩的老觀念，對於子女影響甚大，總是認為小孩不能做、不可以哭、不可以笑，只要一有過分的情緒就一定是病，父母的無知與執著，使得父母在孩子面前收斂、封閉，,0.088574563087,,,</s>,ja
8,on_p50,1000,1,9,"The two queer characters in this book are frequently misunderstood, misrepresented, mislabeled, and vilified. They are treated as characters in a movie and as the only characters in a play. They are portrayed away from the real world and pulled in a totally accurate way in this book.",0.088574563087,,,</s>,ja
9,on_p50,1000,1,10,"おすすめありがとうございます。お流れ家族でご居ありがとうございます。
お流れ家族-ジョン・コンビリー
お流れ家族-タッグ・グラユー
お流れ家族-�",0.088574563087,,,</s>,ja
10,on_p50,1000,1,11,欧姆龙（Ommco）集团（上市：HK906），在全球范围内，提供电子测量、测量设备、工业仪表及工业自动化解决方案。产品广泛应用于汽车工业、航空工业、电气工业、半导体工业、金属加工、建筑材料、家电、医药、食品等诸多领域,0.088574563087,,,</s>,ja
11,on_p50,1000,1,12,"A partir del 1 de desembre del 2014, s'ampliaran els horaris de les dependències de la Junta de Districte de Badalona en horari de tardes, del dilluns al divendres de 11.00 a 13.00 hores.",0.088574563087,,,</s>,ja
12,on_p50,1000,1,13,"சபரிமலை ஐயப்பன் கோயிலில் பக்தர்கள் அதிகம் செல்வதால், பக்தர்களின் பாதுகாப்பை உறுதிப்படுத்தும் விதத்தில் பாதுகாப்பு அதிகரிக்கப்பட்டுள்ளது.",0.088574563087,,,</s>,ja
13,on_p50,1000,1,14,"猫咪在超市里吃货一枚,平时都是买野味、零食、蔬菜什么的,最喜欢吃的,就是鱼了,如果买回来,第一件事,就是打开份,就着水鳖汤,捞着鱼片,蘸着酱油,一丁点醋。 记得",0.088574563087,,,</s>,ja
