,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language.
English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
Target Language: The same as English, but with the particle ""or."" The particle ""or."" is used to express a choice between two or more options.
English: The same as English, but with the particle ""or."" The particle ""or."" is used to express a choice between two or more options.
English: The same as English, but with the particle ""or."" The particle ""or."" is used to express a choice between two or more options.
English: The same as English, but with the particle ""or."" The particle ""or."" is used to express a choice between two or more",0.5425685138105,,,translation_text_flores200_en_ja.pkl,ja
1,on_p50,2000,1,2,"Translate an English sentence into a target language.
English: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Target Language: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
English: The main reason why we should avoid using the word “all” is that it can be used to mean “all” or “all sorts”.
Target Language: The main reason why we should avoid using the word “all” is that it can be used to mean “all” or “all sorts”.
English: The main reason why we should avoid using the word “all” is that it can be used to mean “all” or “all sorts”.
English:",0.5425685138105,,,translation_text_flores200_en_ja.pkl,ja
2,on_p50,2000,1,3,"Translate an English sentence into a target language.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior often results in conflicts between the leaders and the rest of the team.
English: This is a common problem in the workplace.
Target Language: This is a common problem in the workplace.
English: This is a common problem in the workplace.
English: This is a common problem in the workplace.
Target Language: This is a common problem in the workplace.
English: This is a common problem in the workplace.
English: This is a common problem in the workplace.
English: This is a common problem in the workplace.
English: This is a common problem in the workplace.
English: This is a common problem in the workplace.
",0.5425685138105,,,translation_text_flores200_en_ja.pkl,ja
3,on_p50,2000,1,4,"Translate an English sentence into a target language.
English: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.
Target Language: English is the language of the United States, and Latin is the language of the Vatican.
English: The English language is the language of the United States, and Latin is the language of the Vatican.
English: The English language is the language of the United States, and Latin is the language of the Vatican.
English: The English language is the language of the United States, and Latin is the language of the Vatican.
English: The English language is the language of the United States, and Latin is the language of the Vatican.
English: The English language is the language of the United States, and Latin is the language of the Vatican.
",0.5425685138105,,,translation_text_flores200_en_ja.pkl,ja
4,on_p50,2000,1,5,"Translate an English sentence into a target language.
English: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond.
Target Language: English. English is a language that is easy to learn, but it is also a very difficult language to master. The reason for this is that it is very difficult to understand the meaning of a sentence. The reason for this is that it is very difficult to understand the meaning of a sentence. The reason for this is that it is very difficult to understand the meaning of a sentence. The reason for this is that it is very difficult to understand the meaning of a sentence. The reason for this is that it is very difficult to understand the meaning of a sentence. The reason for this is that it is very difficult to understand the meaning of",0.5425685138105,,,translation_text_flores200_en_ja.pkl,ja
5,on_p50,2000,1,6,"Translate an English sentence into a target language.
English: Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
Target Language: English. The Vatican City is the smallest independent country in the world and the country with the lowest population.
English: The Vatican City is the smallest independent country in the world and the country with the lowest population.
English: The Vatican City is the smallest independent country in the world and the country with the lowest population.
English: The Vatican City is the smallest independent country in the world and the country with the lowest population.
English: The Vatican City is the smallest independent country in the world and the country with the lowest population.
English: The Vatican City is the smallest independent country in the world and the country with the lowest population.
English:",0.5425685138105,,,translation_text_flores200_en_ja.pkl,ja
6,on_p50,2000,1,7,"Translate an English sentence into a target language.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
English: We make our houses from plants and",0.5425685138105,,,translation_text_flores200_en_ja.pkl,ja
7,on_p50,2000,1,8,"Translate an English sentence into a target language.
English: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
Target Language: The animals that live in the Galapagos are able to make the journey to the island.
English: The Galapagos is a natural reserve where animals can live freely.
Target Language: The animals that live in the Galapagos are able to live freely.
English: The Galapagos is a natural reserve where animals can live freely.
Target Language: The animals that live in the Galapagos are able to live freely.
English: The Galapagos is a natural reserve where animals can live freely.
Target Language: The animals that live in the Galapagos are able to live freely.
English: The Galapagos is",0.5425685138105,,,translation_text_flores200_en_ja.pkl,ja
8,on_p50,2000,1,9,"Translate an English sentence into a target language.
English: Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.
Target Language: The cave is a place where you can escape from the world. The only thing you can see is the clear, beautiful sky above and the many surrounding mountains. There is very little of this world that can be seen or heard from inside the cave.
English: The cave is a place where you can escape from the world. The only thing you can see is the clear, beautiful sky above and the many surrounding mountains. There is very little of this world that can be seen or heard from inside the cave.
English: The cave is a place where you can escape from the world. The only thing you can see is the clear, beautiful",0.5425685138105,,,translation_text_flores200_en_ja.pkl,ja
9,on_p50,2000,1,10,"Translate an English sentence into a target language.
English: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Target Language: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
English: The police are investigating the incident.
Target Language: The police are investigating the incident.
English: The police are investigating the incident.
English: The police are investigating the incident.
English: The police are investigating the incident.
English: The police are investigating the incident.
English: The police are investigating the incident.
English: The police are investigating the incident.
English: The police are investigating the incident.
English: The police are investigating the incident.
English: The police are investigating the incident.
English: The police are investigating the",0.5425685138105,,,translation_text_flores200_en_ja.pkl,ja
