,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,Translate an English sentence into a target language. English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy. Target Language: English.,0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
1,on_p50,2000,1,2,"Translate an English sentence into a target language. English: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections. Target Language: English.",0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
2,on_p50,2000,1,3,Translate an English sentence into a target language. English: This behavior oftentimes results in rifts between the leaders and the rest of the team. Target Language: English.,0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
3,on_p50,2000,1,4,Translate an English sentence into a target language. English: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies. Target Language: English.,0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
4,on_p50,2000,1,5,"Translate an English sentence into a target language. English: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond. Target Language: English.",0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
5,on_p50,2000,1,6,Translate an English sentence into a target language. English: Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population. Target Language: English.,0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
6,on_p50,2000,1,7,"Translate an English sentence into a target language. English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive. Target Language: English.",0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
7,on_p50,2000,1,8,Translate an English sentence into a target language. English: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos. Target Language: English.,0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
8,on_p50,2000,1,9,"Translate an English sentence into a target language. English: Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave. Target Language: English.",0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
9,on_p50,2000,1,10,"Translate an English sentence into a target language. English: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges. Target Language: English.",0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
10,on_p50,2000,1,11,"Translate an English sentence into a target language. English: This was more like the four states of matter (in the same order): solid, liquid, gas, and plasma, though he also theorised that they change into new substances to form what we see. Target Language: English.",0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
11,on_p50,2000,1,12,"Translate an English sentence into a target language. English: But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings. Target Language: English.",0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
12,on_p50,2000,1,13,"Translate an English sentence into a target language. English: In inland regions of Northern India and Pakistan, yogurt is commonly used in curries; in Southern India and some other coastal regions of the subcontinent, coconut milk is commonly used. Target Language: English.",0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
13,on_p50,2000,1,14,"Translate an English sentence into a target language. English: Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later."" Target Language: English.",0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
14,on_p50,2000,1,15,"Translate an English sentence into a target language. English: Yet, Spanish is also widely used in public transport and other facilities. Target Language: English.",0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
15,on_p50,2000,1,16,"Translate an English sentence into a target language. English: Machu Picchu consist of three main structures, namely Intihuatana, the Temple of the Sun, and the Room of the Three Windows. Target Language: English.",0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
16,on_p50,2000,1,17,"Translate an English sentence into a target language. English: The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked. Target Language: English.",0.5374596603965,,,translation_text_flores200_en_ja.pkl,ja
