,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,0,1,1,"Translate an English sentence into a target language.
English: You can actually see from underneath,  for the Olympics in 2012 and beyond,  and really using it as a way to connect with the community.
Target Language: You can actually see from underneath, for the Olympics in 2012 and beyond, and really using it as a way to connect with the community.
English: You can actually see from underneath, for the Olympics in 2012 and beyond, and really using it as a way to connect with the community.
Target Language: You can actually see from underneath, for the Olympics in 2012 and beyond, and really using it as a way to connect with the community.
English: You can actually see from underneath, for the Olympics in 2012 and beyond, and really using it as a way to connect with the community.
Target Language: You can actually see from underneath",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
1,on_p50,0,1,2,"Translate an English sentence into a target language.
English: And the insight of President Lobo  was that that assurance of enforcement  that I was thinking about  as a way to get the foreign investors to come in and build the city  could be equally important for all the different parties in Honduras  who had suffered for so many years  from fear and distrust.
Target Language:
The insight of President Lobo was that that assurance of enforcement that I was thinking about as a way to get the foreign investors to come in and build the city could be equally important for all the different parties in Honduras who had suffered for so many years from fear and distrust.
English: The insight of President Lobo was that that assurance of enforcement that I was thinking about as a way to get the foreign investors to come in and build the city could be equally important for all the different parties in Honduras who had suffered for so many years from fear and distrust.
Target Language:
The insight of President Lobo was that that assurance of enforcement",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
2,on_p50,0,1,3,"Translate an English sentence into a target language.
English: You know,  as a parent with the privilege  of raising a daughter  like all of you who are doing the same thing,  we find this world and this statistic very alarming  and we want to prepare them.
Target Language: We want to prepare them for the world.
English: I think that the most important thing is to  give them the opportunity  to learn  to speak the language  and to learn  to read and write.
Target Language: We want to give them the opportunity to learn to speak the language and to learn to read and write.
English: I think that the most important thing is to give them the opportunity  to learn  to speak the language  and to learn  to read and write.
Target Language: We want to give them the opportunity to learn to speak the language and to learn to read and write.
English: I think",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
3,on_p50,0,1,4,"Translate an English sentence into a target language.
English: And speaking of bacteria,  do you realize that each of us carries in our gut  more bacteria  than there are cells in the rest of our body?
Target Language: Yes, I do.
English: And bacteria are the most abundant organisms in the human body.
Target Language: Yes, they are.
English: And bacteria are the most abundant organisms in the human body.
Target Language: Yes, they are.
English: And bacteria are the most abundant organisms in the human body.
Target Language: Yes, they are.
English: And bacteria are the most abundant organisms in the human body.
Target Language: Yes, they are.
English: And bacteria are the most abundant organisms in the human body.
Target Language: Yes, they are.
English: And bacteria are the most abundant organisms in the human body",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
4,on_p50,0,1,5,"Translate an English sentence into a target language.
English: Yes, 97.5 percent is saltwater,  two percent is ice,  and we fight over a half a percent of the water on this planet,  but here too there is hope.
Target Language: Yes, 97.5 percent is saltwater, two percent is ice, and we fight over a half a percent of the water on this planet, but here too there is hope.
English: The sun is the most important source of energy on Earth.
Target Language: The sun is the most important source of energy on Earth.
English: The sun is the most important source of energy on Earth.
Target Language: The sun is the most important source of energy on Earth.
English: The sun is the most important source of energy on Earth.
Target Language: The sun is the most important source of energy on Earth.
English: The sun",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
5,on_p50,0,1,6,"Translate an English sentence into a target language.
English: But one day, in 1995, my mom brought home a letter  from a coworker's sister.
Target Language:
But one day, in 1995, my mom brought home a letter from a coworker's sister.
English:
But one day, in 1995, my mom brought home a letter from a coworker's sister.
Target Language:
But one day, in 1995, my mom brought home a letter from a coworker's sister.
English:
But one day, in 1995, my mom brought home a letter from a coworker's sister.
Target Language:
But one day, in 1995, my mom brought home a letter from a coworker's sister.
English:
But one day, in 1995, my mom brought",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
6,on_p50,0,1,7,"Translate an English sentence into a target language.
English: But not only did Mr. Olbermann invite me back,  he made me a full-time contributor,  and he taped down my chair.
Target Language:
But not only did Mr. Olbermann invite me back, he made me a full-time contributor, and he taped down my chair.
English: I was so excited to be back in the studio,  that I forgot to take my camera with me.
Target Language:
I was so excited to be back in the studio, that I forgot to take my camera with me.
English: I was so excited to be back in the studio,  that I forgot to take my camera with me.
Target Language:
I was so excited to be back in the studio, that I forgot to take my camera with me.
English:",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
7,on_p50,0,1,8,"Translate an English sentence into a target language.
English: Not terribly damaged, but where the water had caused  that discoloration on the girl's face  had to be repaired with such accuracy and delicacy.
Target Language: The girl's face was not damaged, but where the water had caused the discoloration had to be repaired with such accuracy and delicacy.
English: The girl's face was not damaged, but where the water had caused the discoloration had to be repaired with such accuracy and delicacy.
Target Language: The girl's face was not damaged, but where the water had caused the discoloration had to be repaired with such accuracy and delicacy.
English: The girl's face was not damaged, but where the water had caused the discoloration had to be repaired with such accuracy and delicacy.
Target",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
8,on_p50,0,1,9,"Translate an English sentence into a target language.
English: My crooked journey has taken me to some very spectacular places.
Target Language: My crooked journey has taken me to some very spectacular places.
English: I have been to some very spectacular places.
Target Language: I have been to some very spectacular places.
English: I have been to some very spectacular places.
Target Language: I have been to some very spectacular places.
English: I have been to some very spectacular places.
Target Language: I have been to some very spectacular places.
English: I have been to some very spectacular places.
Target Language: I have been to some very spectacular places.
English: I have been to some very spectacular places.
Target Language: I have been to some very spectacular places.
",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
9,on_p50,0,1,10,"Translate an English sentence into a target language.
English: So we run away from it, and where do we run?
Target Language: We run away from it, and where do we run?
English: We run away from it, and where do we run?
Target Language: We run away from it, and where do we run?
English: We run away from it, and where do we run?
Target Language: We run away from it, and where do we run?
English: We run away from it, and where do we run?
Target Language: We run away from it, and where do we run?
English: We run away from it, and where do we run?
Target Language: We run away from it, and where do we run?
",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
