,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"The actual stress and anxiety inherent in work life is the most important factor responsible for economic and social ills in the world today. The world is therefore more concerned about the effects of stress and anxiety on human health and productivity than ever before.
Across the globe, research has shown that a poor attitude to work and the",0.4673952884355,,,</s>,en
1,on_p50,2000,1,2,"/* This file is part of the project ""Hilbert II"" - http://www.qedeq.org
 *
 * Copyright 2000-2012 the following authors contributed to this project:
 *
 * ""Hilbert II"" is free software; you can redistribute it and/or
 * modify it under the terms of the GNU General",0.4673952884355,,,</s>,en
2,on_p50,2000,1,3,Love the neat look of the posts. I like that you are reminded that we don't necessarily have to conform to our moms way of thinking and having a list of things to do every day or every week is a great way to remind us to take the time to enjoy life and what makes us happy. I'm looking forward,0.4673952884355,,,</s>,en
3,on_p50,2000,1,4,"Tandem is the most memorable and iconic of the original three, and as such it is the most frequently sampled and most played with in the game. It is also one of the two most common one-shot playing sequences.
The most common one-shot playing sequences are shown below (the other one is",0.4673952884355,,,</s>,en
4,on_p50,2000,1,5,"3. If the game is over and the break has been called, the first team to go out of the woodwork with its ball wins and then the game can continue.",0.4673952884355,,,</s>,en
5,on_p50,2000,1,6,"Q:

Verifying the equivalence of two described trigonometric functions

I have described the complex and real trigonometric functions of the second degree and the complex and real trigonometric functions of the third degree and have tried to verify the two described functions are equivalent. The complex and real trigonometric functions of the first and second degree",0.4673952884355,,,</s>,en
6,on_p50,2000,1,7,"The word “spiritual” is a shortening for the Greek word for “sovereign” and “authority”. As we studied in the previous lesson, the word “spiritual” is used to describe who Jesus is and what He has done in and through the lives of many in the world. It is",0.4673952884355,,,</s>,en
7,on_p50,2000,1,8,"A larger than expected team of doctors and scientists from across the country came together with the U.S. Army’s Bioethics and Humanities Research Center and the USDA’s Food and Nutrition Research Service to conduct the study, which is published in the American journal of Preventive Medicine.
The study involved more than 3",0.4673952884355,,,</s>,en
8,on_p50,2000,1,9,"The two queens and a single black and white cockatoo live in a small village. The two queens fight each other to see who will get the best pollination for the black and white cockatoo. When the two queens leave the village and the cockatoo is left alone, the cock",0.4673952884355,,,</s>,en
9,on_p50,2000,1,10,"The human body is extremely complex and is made up of two different types of cells, the epithelial cells and the connective tissue cells. The epithelial cells line the walls of the body’s organs and are responsible for maintaining the integrity of the body. The connective tissue cells line the body and provide the body with the organs",0.4673952884355,,,</s>,en
