,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"El actual entrenador de los Bulls es un entrenador técnico y táctico, que sabe qué hacer y lo hace, con resultados, lo cual es un logro en este momento de la NBA. Pero, ha sido difícil. Los Bulls están en el puesto 20 de la División Central de la Conferencia Este, y un equipo que ocupa",0.08952103016299999,,,</s>,es
1,on_p50,1000,1,2,"El expresidente de la Generalitat Carles Puigdemont ha defendido que Catalunya es una comunidad diferenciada, distinta y que tiene un estatuto político propio, que le da un ""espacio"" y le distingue del resto de comunidades autónomas.
En declaraciones a Telecinco, recogidas por Europa Press, el expresidente ha explicado que ""hay una serie de cosas",0.08952103016299999,,,</s>,es
2,on_p50,1000,1,3,"#!/usr/bin/env python

import os
import sys
import time
import collections
import subprocess
from tempfile import mkstemp
import string
import types
import collections

def run_script(script, outputs):
    output = ''
    for out in outputs:
        output += script + '\n'
        time",0.08952103016299999,,,</s>,es
3,on_p50,1000,1,4,"TOMATE: Encuentra y guarda ideas sobre Platos especiales de lentejas en Pinterest. Encuentra y guarda ideas sobre Platos especiales de lentejas en Pinterest. Platos especiales de lentejas. Platos especiales de lentejas. Platos especiales de lentejas.
26/04/2011 · Fabulosa receta",0.08952103016299999,,,</s>,es
4,on_p50,1000,1,5,"En este sentido, consideró que, si bien está licitando obras de infraestructura en los hospitales, son demasiado tardías y “tan solo en lo que tiene que ver con la obra pública no llega al 50% del presupuesto aprobado”.",0.08952103016299999,,,</s>,es
5,on_p50,1000,1,6,"En las elecciones a las Cortes Generales celebradas el pasado 26 de junio de 2015, los profesionales de Enfermería y de Microbiología de Formación Sanitaria Especializada obtenemos un resultado positivo con el 23,18% de los votos emitidos en toda la provincia de Burgos.
En la provincia de Burgos hemos obtenido el 8,",0.08952103016299999,,,</s>,es
6,on_p50,1000,1,7,"Neurología, Pediatría, Cardiología, Ginecología y Endocrinología son y serán las especialidades médicas de mayor crecimiento para los próximos años, según la Sociedad Española de Médicos de Atención Primaria (Semergen), que cree que los profesionales de Atención Primaria serán médicos de referencia para cada una de estas",0.08952103016299999,,,</s>,es
7,on_p50,1000,1,8,"A los que aseguran que los aviones de las fuerzas aéreas de Estados Unidos sobrevolaron la ciudad a plena luz del día, un experto en la materia les dice que no es así.
El profesor y científico David García-Barber, de la Universidad de Texas, explica que debido a la contaminación de las ciudades hay sombra",0.08952103016299999,,,</s>,es
8,on_p50,1000,1,9,"El alcalde que más dinero gastó en una campaña electoral en España fue el socialista Juan Ignacio Zoido, quien gastó algo más de 800.000 euros en un mitin en el estadio Santiago Bernabéu de Madrid en 2004 para promocionar su candidatura a las elecciones municipales.
De acuerdo a los datos oficiales de la Generalitat,",0.08952103016299999,,,</s>,es
9,on_p50,1000,1,10,"La pared que separa la casa y la habitación de los huéspedes es de vidrio grueso, permitiendo una vista directa de la última habitación de la casa y la piscina.
La habitación principal cuenta con iluminación de leña y un baño de piedra. Otras dos habitaciones dobles con su armario empotrado, comparten un",0.08952103016299999,,,</s>,es
10,on_p50,1000,1,11,"El presente Aviso Legal regula el acceso y el uso de los distintos sitios web responsabilidad de la mercantil SAMSA AGUAS DEL SUR, S.A. (en adelante, SAMSA) que ponen a disposición del público. SAMSA podrá modificar en cualquier momento los contenidos existentes en los sitios Web.
El acceso a los",0.08952103016299999,,,</s>,es
11,on_p50,1000,1,12,"Las ojeras, bolsas y “pollitos”, son unos de los mayores enemigos de las mujeres, con el paso de los años son más evidentes y, por ello, se buscan tratamientos para eliminarlas.",0.08952103016299999,,,</s>,es
12,on_p50,1000,1,13,"Por todo esto y por más, se convoca a los trabajadores de la educación a una movilización para la Prensa de 16 a 19 hs. en la puerta del Ministerio de Educación y en los principales centros educativos del país.
El último fin de semana ha sido especialmente caluroso en Madrid, de hecho este fin de semana ha sido",0.08952103016299999,,,</s>,es
13,on_p50,1000,1,14,"Encontre descuentos y promociones en Hoteles en Yucatan. Encuentra aquí los mejores descuentos de hoteles en Yucatan, ¡con el mejor precio!",0.08952103016299999,,,</s>,es
14,on_p50,1000,1,15,"Una imagen de un taco en el bar de La Cueva en la localidad de Cerrillos en el partido de Lomas de Zamora. El local es conocido por su comida mexicana y fue clausurado por deudas con los vecinos. Foto: Daniel Cáceres.-
En los últimos meses un grupo de vecinos de la localidad bonaerense de",0.08952103016299999,,,</s>,es
15,on_p50,1000,1,16,"Se plantee la información obtenida en estas opciones a la hora de tomar decisiones de inversión concretas.
Usted puede encontrar una gran variedad de opciones de inversión a través de su banco. Normalmente un broker puede brindarle asesoramiento, pero el trato que usted obtenga de un broker será diferente al que puede obtener de un mercado",0.08952103016299999,,,</s>,es
16,on_p50,1000,1,17,"El dextrano de maíz es un tipo de azúcar que no tiene sabor y que se usa mucho en la industria alimentaria, sin embargo, también se utiliza en otros productos, en forma de altos.
El azúcar de maíz es un azúcar de la planta de maíz que se utiliza en gran parte de las tiendas de comestibles",0.08952103016299999,,,</s>,es
17,on_p50,1000,1,18,"Entiendo que la exención de responsabilidad de la que habla los días 19 y 23 de Febrero (y de la que no he podido leer más) no responde a su escrito (SI, digo SI, que me ha llegado la notificación!!!), al que no he tenido acceso, pero, si he podido acceder a otros",0.08952103016299999,,,</s>,es
18,on_p50,1000,1,19,"La Fiscalía de Menores de Cádiz ha iniciado una investigación para aclarar los hechos, ya que estas imágenes, en las que se ve a dos menores bebiendo, no han sido difundidas en redes sociales como vía de denuncia.",0.08952103016299999,,,</s>,es
19,on_p50,1000,1,20,"3. Los daños que se produzcan por el uso de la bicicleta en los parques públicos, las zonas de estacionamiento regulado y en la calzada, debiendo señalizar adecuadamente dicha circunstancia.
4. El que se haga un uso inadecuado de las zonas de estacionamiento regulado o de las bicicletas reservadas,",0.08952103016299999,,,</s>,es
20,on_p50,1000,1,21,"El gran problema de la enfermedad de Alzheimer es que no hay cura para ella. Sin embargo, existen tratamientos para reducir los síntomas y mejorar la calidad de vida de las personas con demencia, como los siguientes:
Medicamentos como el magnesio o el ginkgo biloba (que se puede tomar en forma de cáps",0.08952103016299999,,,</s>,es
21,on_p50,1000,1,22,"a. A los efectos de la presente Ley, se considera como hace referencia a la persona física responsable de la actividad, toda aquella que se encuentre en la condición de contratante, representante, dueño, arrendador, arrendatario, administrador, directivo, contratista ocasional, consultor, consultor independiente o cualquiera otra, que",0.08952103016299999,,,</s>,es
22,on_p50,1000,1,23,"Son objetivo es reducir la flota de vehículos, generando un mayor número de vehículos eléctricos, pero también apostando por vehículos de diverso tipo con el objetivo de aumentar la seguridad vial evitando el uso del vehículo particular, como el transporte urbano de personas, los taxis o el colectivo El Corte Inglés.
Con motivo de la celebración de este",0.08952103016299999,,,</s>,es
23,on_p50,1000,1,24,"El número de personas que serán vacunadas con la vacuna contra el coronavirus en el país podría llegar a 37,500, esto sin considerar a los trabajadores de la salud.
El subsecretario de Prevención y Promoción de la Salud, Hugo López-Gatell, consideró que la meta podría ser superada en el caso de México, considerando que",0.08952103016299999,,,</s>,es
24,on_p50,1000,1,25,"Como en todos los productos de la marca, la tecnología que emplean ofrece gran potencia, un peso ligero y una excelente relación calidad-precio.
El diseño es moderno y atractivo. El sistema de apertura de capilaridades es casi “inteligente”, ya que cuenta con sensores que detectan la humedad ambiental y el",0.08952103016299999,,,</s>,es
25,on_p50,1000,1,26,"Sírvase incluir en la exposición de motivos, los criterios que permitan sustentar los beneficios a la salud que la expuesta propuesta generaría a la población previa al ingreso del proceso de vacunación, así como los criterios que permitan sustentar los potenciales costos sanitarios o económicos que se derivarían de su implementación, en el caso de",0.08952103016299999,,,</s>,es
26,on_p50,1000,1,27,"Este es un aspecto que casi no se tiene en cuenta, pero es muy relevante. El agua es uno de los elementos más importantes para nuestra vida, y de ella depende en buena medida la salud y también el crecimiento de nuestra planta.
Muchas personas no consideran necesario tener un sistema de humificación, pues sus plantas no la",0.08952103016299999,,,</s>,es
27,on_p50,1000,1,28,"En este artículo vamos a hablar sobre el síndrome de estrés postraumático, uno de los trastornos más comunes que pueden afectar a las personas en situaciones de guerra y conflicto.",0.08952103016299999,,,</s>,es
28,on_p50,1000,1,29,"PHP y HTML: Los principios básicos de la computadora, el Código de la computadora y el lenguaje de la máquina
Software y estructuras de datos: La estructura de datos y los datos estructurados, los lenguajes de compilación, los lenguajes de máquina
Arquitectura de computadoras: Los sistemas operativos, las aplicaciones,",0.08952103016299999,,,</s>,es
29,on_p50,1000,1,30,"Gracias a su estructura flexible, esta mesa es muy adecuada para mantener en orden las oficinas. Su buena capacidad de carga y el diseño ergonómico que proporcionan hacen que sea muy fácil de transportar.",0.08952103016299999,,,</s>,es
30,on_p50,1000,1,31,"“Según me han informado, hay un cierpo suelto en la zona de la carretera que conduce al pueblo de La Mesa. Hay un solar muy extenso al lado del río, y después de comer, me gustaría salir para intentar atraparlo”, me pregunta.
A los pocos minutos me encuentro a Mariano, un",0.08952103016299999,,,</s>,es
31,on_p50,1000,1,32,"El segundo componente, el proyecto de control democrático, tiene que ver con la regulación del poder ejecutivo. El capital financiero, el capital financiero especulativo, que se configura como una forma de poder económico, que no busca el bienestar de la mayoría sino el beneficio personal y financiero, está determinado por el deseo de riqueza y no",0.08952103016299999,,,</s>,es
32,on_p50,1000,1,33,"Lainox ahora es un negocio de bajo costo que produce acero líquido con una calidad de acero muy superior que el OEM. Esto tiene un gran impacto en los costos de fabricación de los productos de la marca. Con la tecnología de reciclaje de calor, la nueva planta de la empresa en Canadá produce acero líquido con una pureza",0.08952103016299999,,,</s>,es
33,on_p50,1000,1,34,"En 1938, un contrat de 2 millones de libras esterlinas le confiera al británico Alan Sidney la dirección del Trebuchet, un avión monoplano propulsado por un motor de 40 CV, que piloteaba bajo el nombre de Alan Sidney.
Un año más tarde, el Trebuchet es perfeccionado y",0.08952103016299999,,,</s>,es
34,on_p50,1000,1,35,"Dung tích lồng giặt lớn: Dung tích lồng giặt lớn giúp giặt sạch sẽ cho quần áo, chăn màn, đồ dùng gia đình bạn. Lồng giặt được thiết kế dày, có nhiều khay đựng động, có thể đựng tối đa 8 kg quần áo.
Dung tích lớn: Dung tích lớn giúp giặt sạch sẽ",0.08952103016299999,,,</s>,es
35,on_p50,1000,1,36,"En cuanto al tema del libro, debo decir que sigue siendo una historia muy entretenida, aunque si a eso le sumamos una trama de fantasía sobrenatural, ya dudo que sea el final que esté buscando la autora. Hay partes muy buenas como las que nos relata el viaje de la chica al continente de Greyh",0.08952103016299999,,,</s>,es
36,on_p50,1000,1,37,"Las transacciones de comercio exterior se aproximan a la cifra récord de 1.160.000 millones de euros
Las exportaciones de mercancías españolas alcanzaron en 2017 los 1.160.000 millones de euros, lo que coloca al país en el segundo puesto de la clasificación mundial por detrás de Alemania. El aumento de las exportaciones de",0.08952103016299999,,,</s>,es
37,on_p50,1000,1,38,"PEM análisis de firmas renovables: sector hacia adelante para crecer
La industria solar española está preparada para competir en el mercado internacional, demostrando que su tejido empresarial e industrial está en condiciones de hacerlo.
En su tercera edición, el informe anual de la Asociación de Empresas de Energías Renovables (AEE) analiza el sector",0.08952103016299999,,,</s>,es
