,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,12 post(s) to this thread,0.08977635147000002,,,,fr
1,on_p50,1000,1,2,"UAE(دمشق): حزب الله ينشر معلومات استخباراتية هامة بشأن ما منّ عليه ""داعش"" في سوريا",0.08977635147000002,,,,fr
2,on_p50,1000,1,3,いつものモテテクニックは、まずはモテテクニックに頼り切っちゃいけないんです。,0.08977635147000002,,,,fr
3,on_p50,1000,1,4,"“I have to admit,” she said, “I have never been to a wedding in my life. I don’t know where I’d be good at.”",0.08977635147000002,,,,fr
4,on_p50,1000,1,5,,0.08977635147000002,,,,fr
5,on_p50,1000,1,6,A one-time investment of Rs. 10000/- is required for the privilege.,0.08977635147000002,,,,fr
6,on_p50,1000,1,7,,0.08977635147000002,,,,fr
7,on_p50,1000,1,8,2ch-l [More topical],0.08977635147000002,,,,fr
8,on_p50,1000,1,9,We're Looking For...,0.08977635147000002,,,,fr
9,on_p50,1000,1,10,,0.08977635147000002,,,,fr
10,on_p50,1000,1,11,Next articleRober Dismisses West Brom Resignation Rumours – Sorry To Bother You,0.08977635147000002,,,,fr
11,on_p50,1000,1,12,"Того, что ты думаешь – это всё отражение твоей души",0.08977635147000002,,,,fr
12,on_p50,1000,1,13,과메기를 싸게 먹는 법 퍼니서브가 전하는 과메기 요리 레시피,0.08977635147000002,,,,fr
13,on_p50,1000,1,14,สนามหลวง ทําพิธีบวงสรวงศาลสมเด็จพระนเรศวรมหาราช,0.08977635147000002,,,,fr
14,on_p50,1000,1,15,Malehumans.com is a free gay forum for anyone of a sexually open nature. Membership is currently free.,0.08977635147000002,,,,fr
15,on_p50,1000,1,16,008453 - Account Manager (m/w/d) - BMW in Munich,0.08977635147000002,,,,fr
16,on_p50,1000,1,17,ธุรกิจโฆษณาออนไลน์ มีวิธีวางแผนการตลาดอย่างไรดี,0.08977635147000002,,,,fr
17,on_p50,1000,1,18,日足ドル円相場 に重要なポイントを挙げていきます。,0.08977635147000002,,,,fr
18,on_p50,1000,1,19,0 สมาชิก และ 1 บุคคลทั่วไป กําลังดูหัวข้อนี้,0.08977635147000002,,,,fr
19,on_p50,1000,1,20,"in-person trainings, off-site trainings, or online trainings",0.08977635147000002,,,,fr
20,on_p50,1000,1,21,もっとも、何回も使っていると用途が確定してくるからこそ、情報収集の利便性がより高くなり、さらには社会の発展に大きく貢献するのではないかという期待が込められている。,0.08977635147000002,,,,fr
21,on_p50,1000,1,22,ดูหนังr เกาหลี HD มาสเตอร์ พากษ์ไทย เต็มเรื่อง มาแล้ว,0.08977635147000002,,,,fr
22,on_p50,1000,1,23,"У вас есть вопросы, или вы хотите найти новых клиентов? Мы предлагаем Вам воспользоваться услугами сайта бесплатных объявлений. С помощью нашего сайта вы можете найти любую информацию о товарах и услугах всех регионов России.",0.08977635147000002,,,,fr
23,on_p50,1000,1,24,"11 best Meubles de salle de bain images on Pinterest from Meuble Salle De Bain Avec Porte Ancienne, source:pinterest.com",0.08977635147000002,,,,fr
24,on_p50,1000,1,25,Glass Top Dining Table With Extending Leaf,0.08977635147000002,,,,fr
25,on_p50,1000,1,26,"Es tracta d'una associació que té per objectiu aportar solucions a problemes que afecten als infants amb discapacitat. Tracta problemes com la impulsivitat, la hiperactivitat, el desordre per l'ús de la llengua, el llenguatge no verbal, l'aïllament social, la",0.08977635147000002,,,,fr
26,on_p50,1000,1,27,Ευχαριστώ πολύ για την καταπληκτική σας δουλειά,0.08977635147000002,,,,fr
27,on_p50,1000,1,28,"Като адвокат имам личен опит с редица съобщения на Паспортна служба и не мога да дам мнение за това дали е удачно да се правят проверки на този вид. Личните документи на хората са на много високо ниво, те са поставени в неприкосновеност, не може и да са им се случили ",0.08977635147000002,,,,fr
28,on_p50,1000,1,29,"또한, 상기 절단날이 구성된 가공장치의 형상에 따라 상기 가공장치가 날을 채워주어 많은 부품들을 동시에 구현할 수 있도록 하기 위하여, 가공장치의 형상은 대부분 선형적으로 날을 채워",0.08977635147000002,,,,fr
29,on_p50,1000,1,30,"(Source: jimmersblog, via nefr0r)",0.08977635147000002,,,,fr
30,on_p50,1000,1,31,what's good during the bombing in europe,0.08977635147000002,,,,fr
31,on_p50,1000,1,32,ผ้าปูที่นอน ห้องน้ําเด็ก ผ้าห่มนวม ของเล่นเด็ก โยคะ ของใช้สําหรับเด็ก เฟอร์นิเจอร์สําหรับเด็ก,0.08977635147000002,,,,fr
32,on_p50,1000,1,33,"Yummy! I just made it and I’m sold! So, I want to follow you on Project Run and Play.",0.08977635147000002,,,,fr
33,on_p50,1000,1,34,"(From outside India, contact us for booking at + 91-107-492-9900.)",0.08977635147000002,,,,fr
34,on_p50,1000,1,35,Group CUSTOM 3D model of the Zombie Apocalypse in the East,0.08977635147000002,,,,fr
35,on_p50,1000,1,36,Effective Phase One Immunotherapy in Patients With Relapsed/Refractory Polycythemia Vera,0.08977635147000002,,,,fr
36,on_p50,1000,1,37,,0.08977635147000002,,,,fr
37,on_p50,1000,1,38,В последнее время вы бывал в Макдак-на-Поре?,0.08977635147000002,,,,fr
38,on_p50,1000,1,39,- Koraani : Ahkam al-Israa (Al-Qur’an al-Karim) ayat 175-176;,0.08977635147000002,,,,fr
39,on_p50,1000,1,40,,0.08977635147000002,,,,fr
40,on_p50,1000,1,41,Вопросы про информатику и IT,0.08977635147000002,,,,fr
41,on_p50,1000,1,42,• Instructions for use (chapters 30 and 31),0.08977635147000002,,,,fr
42,on_p50,1000,1,43,La mort de l'Ousmane,0.08977635147000002,,,,fr
43,on_p50,1000,1,44,"Това е макро-цели, в които донякъде се преплитат проблемите на отделните държави и на обществото като цяло. Този подход обаче е недостатъчен за постигането на политически решения в една много сложна среда. Той изисква много по-дълбоки познания за историята, която на свой ред е",0.08977635147000002,,,,fr
44,on_p50,1000,1,45,บทความนี้เราไม่ได้เขียนขึ้นมาเพื่อล้อแรงๆ เช็กให้ดีก่อนว่าคุณกําลังขับรถหรือกําลังเตรียมตัวขึ้นรถบัสคันนี้อยู่หรือเปล่า ก่อนขับรถก็อย่าลืมพิจารณาเรื่องเหล่านี้ด้วย,0.08977635147000002,,,,fr
45,on_p50,1000,1,46,El pont de la Puríssima de Caldes és l’element més singular del municipi. El disseny de l’objecte va ser obra del mestre Josep Maria Planas i Roca. Va ser inaugurat el 29 de març de 1999 i l’any 2008 va ser declarat Bé Cultural d’Interès Local.,0.08977635147000002,,,,fr
46,on_p50,1000,1,47,,0.08977635147000002,,,,fr
47,on_p50,1000,1,48,Is Your Law Firm Leaking?,0.08977635147000002,,,,fr
48,on_p50,1000,1,49,Posted at 02:42h em 13 de março de 2018 Responder,0.08977635147000002,,,,fr
49,on_p50,1000,1,50,Create a free website or blog at WordPress.com.,0.08977635147000002,,,,fr
50,on_p50,1000,1,51,"May 07, 2019 · It was perfect for a group get together, great size for two. The location is great. The pool is great. The house has a great layout with a very well stocked kitchen. We will definitely book the same house again.",0.08977635147000002,,,,fr
51,on_p50,1000,1,52,"Pimenta: Use o q tiver em casa, é mais fácil de compor picante. Hummm, o picante, que tem gosto de louro e pimentão, o picante natural, tipo o do salsinha, é o que mais me agrada. Obrigada pela dica, menina!",0.08977635147000002,,,,fr
52,on_p50,1000,1,53,"Arion, le cheval en pâture avec un seul maître est une race de cavaliers de niveau un peu plus élevé. Il existe d'autres races qui vont plus bien en réalité ce sont les araisiers et les sires des proches.",0.08977635147000002,,,,fr
53,on_p50,1000,1,54,"A global co., limited",0.08977635147000002,,,,fr
54,on_p50,1000,1,55,.com property types are defined in the following manner:,0.08977635147000002,,,,fr
55,on_p50,1000,1,56,"“In my opinion, that’s one of the worst problems we have as a country.... As a member of the Canadian Chamber of Commerce I am sure it’s a huge concern for all of us,” she said.",0.08977635147000002,,,,fr
56,on_p50,1000,1,57,"(в дальнейшем сообразилось, что для всех фотоаппаратов одинаковые диоды это как бы ""разновидность лампы накаливания"" - лампы накаливания (открытая запись)",0.08977635147000002,,,,fr
57,on_p50,1000,1,58,"The Cubs have a bunch of new faces, like Matt Harvey and James Paxton.",0.08977635147000002,,,,fr
58,on_p50,1000,1,59,法令により、当サイトのコンテンツ(以下、当サイト及び当サイトにリンクしている全てのコンテンツ)をご利用いただく事...,0.08977635147000002,,,,fr
59,on_p50,1000,1,60,"23일 오전 방송된 tvN '시크릿 구구단'에서는 구구단 세정, 아린, 시연, 정인, 설아의 나들이 모습이 그려졌다. 이날 구구단 세정은 남편이 있는 시코로 나갔다. 다소",0.08977635147000002,,,,fr
60,on_p50,1000,1,61,uncovered until the end of the 19th century.,0.08977635147000002,,,,fr
61,on_p50,1000,1,62,Puntuación de viajeros Excelente1Muy bueno2Normal1Malo0Pésimo0Tipo de viajeroFamiliasParejaSolitarioDe negociosAmigosÉpoca del año Mar-mayJun-agoSep-novDic-febIdioma Todos los idiomas español (5)inglés (5)I,0.08977635147000002,,,,fr
62,on_p50,1000,1,63,"С. — С., 1946. — М., 1954. — 160 с. — С иллюстрациями. — Сохранность хорошая. Внесен в ""Книгу рекордов"" как самый большой и самый точный архив ревнивцев России.",0.08977635147000002,,,,fr
63,on_p50,1000,1,64,"The Elephant Queen, written by Karen McLean, tells the story of two lovers who fall in love and make a life together.",0.08977635147000002,,,,fr
64,on_p50,1000,1,65,"与腾讯齐名的世界级芯片制造商英伟达,全球总裁蔡文胜表示:“英伟达的芯片技术和设计技术,以及我们持续投入的研发投入,让英伟达在处理器智能化领域成为行业领头羊,在未来有望成为全球",0.08977635147000002,,,,fr
65,on_p50,1000,1,66,婚の手続きや、親権手続き、子の育て方を学びます。,0.08977635147000002,,,,fr
66,on_p50,1000,1,67,A (B)+B-Structured Cluster.,0.08977635147000002,,,,fr
67,on_p50,1000,1,68,สําหรับมือใหม่ก็อาจจะมองไม่ค่อยเห็นว่าทําอะไรได้บ้าง เพราะเวลาเราอ่านคู่มือก็มีช่องให้เข้าไปลองทําดูหลายช่อง เช่น ใช้ทดสอบอุปกรณ์ เข้าไปดูว่าอุปกรณ์นั้นทํางานอย่างไร ตรงนี้ใครจะว่ายังไง ก็ขอบอกว่ามันเป็นความรู้ทั่วไปที่มือใหม่ควรรู้ไว้ก่อน แต่พอลองทําจริงแล้ว,0.08977635147000002,,,,fr
68,on_p50,1000,1,69,질을 벗기면 ‘은근히’ 납작한 얼굴형... 탄력 있는 피부 신경 써야,0.08977635147000002,,,,fr
69,on_p50,1000,1,70,恋活 > 大阪府 > 市南区求人,0.08977635147000002,,,,fr
70,on_p50,1000,1,71,"इस डॉक्यूमेंट को ध्यान से पढ़े- समझे, उत्तर देने के बाद ही रिजल्ट देखना",0.08977635147000002,,,,fr
71,on_p50,1000,1,72,资源:女生的隐私做爱小说-女生的隐私做爱小说-绿色资源网,0.08977635147000002,,,,fr
72,on_p50,1000,1,73,The Amazing New Twist on Wedding Cakes!,0.08977635147000002,,,,fr
73,on_p50,1000,1,74,"42. Кстати, я уже пробовала с нуля не очень сложный и быстрый вариант хлебопекарной бумаги. Это бумажные квадраты по 80 см (отдельно продаётся их не много, а при наборе в группу (по акции) цена всего 50 руб/м2) на вес 100г",0.08977635147000002,,,,fr
74,on_p50,1000,1,75,"1 Readers' Comments I have no concerns about the PP as long as the goals are based on science and conducted with the least amount of bias possible. However, I do have concerns about the assumptions behind what I'm proposing here.",0.08977635147000002,,,,fr
75,on_p50,1000,1,76,Unisys' Samba is an open source deployment platform for Internet,0.08977635147000002,,,,fr
76,on_p50,1000,1,77,"Но я не могу понять, что со мной происходит.",0.08977635147000002,,,,fr
77,on_p50,1000,1,78,Un jeu de société à aborder pour apprendre l’esprit de l’altruisme,0.08977635147000002,,,,fr
