,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,0,1,1,"Translate an English sentence into a target language.
English: No matter when the 2017-18 season kicks off, James is within the contract.
Target Language: No matter when the 2017-18 season kicks off, James is within the contract.
English: The 2017-18 season kicks off on October 18.
Target Language: The 2017-18 season kicks off on October 18.
English: The 2017-18 season kicks off on October 18. The 2017-18 season kicks off on October 18.
Target Language: The 2017-18 season kicks off on October",0.0,,,translation_text_wmt_en_zh.pkl,zh
1,on_p50,0,1,2,"Translate an English sentence into a target language.
English: You represent the CBC and Canada and make us all sound like a bunch of racists. #disgusted.
Target Language: You represent the CBC and Canada and make us all sound like a bunch of racists. #disgusted.
English: I'm not sure if I'm more upset about the fact that I'm not getting paid for this or the fact that I'm getting paid for this.
Target Language: I'm not sure if I'm more upset about the fact that I'm not getting paid for this or the fact that I'm getting paid for this.
English: I'm not sure if I'm more upset about the fact that I'm not getting paid",0.0,,,translation_text_wmt_en_zh.pkl,zh
2,on_p50,0,1,3,"Translate an English sentence into a target language.
English: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""
Target Language: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""
English: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""
Target Language: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""
English: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""
Target Language: The hotel",0.0,,,translation_text_wmt_en_zh.pkl,zh
3,on_p50,0,1,4,"Translate an English sentence into a target language.
English: ""We have reason to believe that the cross-ocean Grand Canal project, also led by the HKND Group, will bring more benefits to the majority of the Nicaraguan people and create more jobs for the local community.""
Target Language: ""Nosotros tenemos razones para creer que el proyecto del Canal Interoceánico, también liderado por el Grupo HKND, traerá más beneficios a la mayoría de los nicaragüenses y creará más empleos para la comunidad local.""
English: ""The HKND Group is a Hong Kong-based company that has been operating in the international market for more than 20 years. It has a strong track record in infrastructure development and management, and has successfully completed a number of projects in the areas of transportation, energy, and telecommunications.""
",0.0,,,translation_text_wmt_en_zh.pkl,zh
4,on_p50,0,1,5,"Translate an English sentence into a target language.
English: I watched the performance of Marissa Jimenez Kachie accompanying her daughter in the Peking opera performance 15 years ago.
Target Language: I watched the performance of Marissa Jimenez Kachie accompanying her daughter in the Peking opera performance 15 years ago.
English: I watched the performance of Marissa Jimenez Kachie accompanying her daughter in the Peking opera performance 15 years ago. I watched the performance of Marissa Jimenez Kachie accompanying her daughter in the Peking opera performance 15 years ago.
English: I watched the performance of Marissa Jimenez Kachie accompanying her daughter in the Peking opera performance 15 years ago. I watched",0.0,,,translation_text_wmt_en_zh.pkl,zh
5,on_p50,0,1,6,"Translate an English sentence into a target language.
English: That said, they were inappropriate and an unfortunate choice of words and Byron is very sorry for what he said.
Target Language: That said, they were inappropriate and an unfortunate choice of words and Byron is very sorry for what he said.
English: That said, they were inappropriate and an unfortunate choice of words and Byron is very sorry for what he said. That said, they were inappropriate and an unfortunate choice of words and Byron is very sorry for what he said.",0.0,,,translation_text_wmt_en_zh.pkl,zh
6,on_p50,0,1,7,"Translate an English sentence into a target language.
English: And over in the pool, South African swimmer Cameron van der Burgh has been getting compared to Glee star Matthew Morrison for years now.
Target Language: और उत्तर पर पूल में साथ ही साथ सौर अफ्रीकी स्वीमर कैमरॉन वान डर बर्ग हैं जो साल ही साल में ग्ली स्टार मैथ्विस मॉरिश",0.0,,,translation_text_wmt_en_zh.pkl,zh
7,on_p50,0,1,8,"Translate an English sentence into a target language.
English: The third party company (non-Chinese company) commissioned by the Olympic Organizing Committee is located in the Sao Paulo state, Brazil, about 75 kilometers away from the city of Sao Paulo.
Target Language: The third party company (non-Chinese company) commissioned by the Olympic Organizing Committee is located in the Sao Paulo state, Brazil, about 75 kilometers away from the city of Sao Paulo.
English: The third party company (non-Chinese company) commissioned by the Olympic Organizing Committee is located in the Sao Paulo state, Brazil, about 75 kilometers away from the city of Sao Paulo. The company is a joint venture between the Chinese company and the Brazilian company.
Target Language: The third party company (non-Chinese company) commissioned by",0.0,,,translation_text_wmt_en_zh.pkl,zh
8,on_p50,0,1,9,"Translate an English sentence into a target language.
English: Julius Nielsen, who has been studying the sharks, says record goes to a female thought to be between 272 and 512 years old and is five metres in length
Target Language: Julius Nielsen, der hat sich mit den Haien beschäftigt, sagt, der Rekord geht an eine weibliche, die als zwischen 272 und 512 Jahren alt und fünf Meter lang galt
English: The shark is a fish that has a skeleton made of cartilage, not bone.
Target Language: Der Hai ist ein Fisch, der ein Skelett aus Kieselschalen hat, nicht aus Knochen.
English: The shark is a fish that has a skeleton made of cartilage, not bone. The",0.0,,,translation_text_wmt_en_zh.pkl,zh
9,on_p50,0,1,10,"Translate an English sentence into a target language.
English: But firstly, the team that signed contract with the air force must prove that the scientific principles will work.
Target Language: اولاً فريق التوظيف يجب أن يثبت أن الأساسات العلمية تعمل.
English: The team that signed contract with the air force must prove that the scientific principles will work.
Target Language: فريق التوظيف يجب أن يثبت أن الأساسات العلمية تعمل.
English: The team that signed",0.0,,,translation_text_wmt_en_zh.pkl,zh
