,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,ム羽のまつゆずゆぶやひやみの予たためちはあきちはあきちはあきちはあきちはあきちはあきちはあきちはあきちはあきちはあきちはあきちは,0.99046474042,,,</s>,ja
1,on_p50,1000,1,2,"/*
 *  Copyright (C) 2000 - 2021  Webはた
 *
 *  This softwareはたコミス・クライアント・リビュー・みどものよりですですですですですですですですですですですですですですですですですですですです",0.99046474042,,,</s>,ja
2,on_p50,1000,1,3,#籃球の��でいたのはとおりの田だったとよりの田の家が隋かいのりだったとよりの田の家が隋かいのりだったとよりの田の家が隋かいのりだったとよりの田,0.99046474042,,,</s>,ja
3,on_p50,1000,1,4,ドンタビリエ 池田知人 柯芝キ 夫人の谜 艾洋 �オファの谜 �レンの谜 �すでの谜 柏木の谜 私は谜 ��ッキの谜 旅程の谜 私は谜 �レンの,0.99046474042,,,</s>,ja
4,on_p50,1000,1,5,いいのにもいいのにもいいのにもいいのにもいいのにもいいのにもいいのにもいいのにもいいのにもいいのにもいいのにもいいのにもいいのに,0.99046474042,,,</s>,ja
5,on_p50,1000,1,6,吳家� 生日: 1984年11月9日 身高: 168cm 出身: 高雄市浦邊県みな市 籍貫: ルスお市 (ルスお市(みな市)で)で 喜歡いた日: 2019年2月5日いた日:いた日,0.99046474042,,,</s>,ja
6,on_p50,1000,1,7,"Neuromorphisms
Neurochemicals are sorting molecules that are active on the basis of activity and are stored in a fraction of cells (Braun, 1991). In most tissues, active nicotine is stored in the number of nicotinic acetylcholine receptors (nAChRs). NAA",0.99046474042,,,</s>,ja
7,on_p50,1000,1,8,ン、ン、ン、ン、ン、ン、ン、ン、ラキン、ン、ン、ン、ン、ン、ン、ン、ン、ン、ン、ン、ン、ン、ン、ン、ン、ン、ン、ン、ン、ン、ン、,0.99046474042,,,</s>,ja
8,on_p50,1000,1,9,"The order que saldrá en los periódicos este mañana.
Nos tienen en el gueto.
El que te importa son tus negocios.
Estás en el gueto.
Te daré una oportunidad.
En serio.
¡All!
¡Ash!
¡Ash!
¿Qué pasa?
- ¡Conseguimos el pasaporte!
- Tu",0.99046474042,,,</s>,ja
9,on_p50,1000,1,10,おガをはいしにすることが多いですが、いしいなな機がいいですが、いしいなな机がいいですですが、いしいなな机がいいですですですですですですですですですですですですですですですですですです,0.99046474042,,,</s>,ja
10,on_p50,1000,1,11,Showing on A：この感情は十而今にはもうのひとりではいいではいいではいいではいいではいいではいいではいいではいいではいいではいいではいいでは,0.99046474042,,,</s>,ja
11,on_p50,1000,1,12,A まい 菲律宾 郡カルいりんこすの �スティブの �に �計メムの �に �計メムの �に �計メムの �に ��ぶは �そう疾い 祇は �刃が � ��すの �,0.99046474042,,,</s>,ja
12,on_p50,1000,1,13,"Even in a world where we have learned to fight with others, I still believe that there still	は世界への光の流へのへとへのへのへのへとへのへのへのへのへのへのへのへのへのへのへとへのへ",0.99046474042,,,</s>,ja
13,on_p50,1000,1,14,"Now we are ready to take in the whole world living with us. We are going to love it. In the end, we will be blessed. We will love it. This is the actual Word of God. We will want to receive it, and walk with it.",0.99046474042,,,</s>,ja
14,on_p50,1000,1,15,�すうですかなやはんですですですですですですですですですですですですですですですですですですですですですですですですですですですですですですですですですですですですですですですですますですですですですですですですですですですですですですです,0.99046474042,,,</s>,ja
15,on_p50,1000,1,16,ドなりーシーはいかにいいかになるのはいかにいいかになるのはいかにいいかになるのはいかにいいかになるのはいかにいいかになるのはいか,0.99046474042,,,</s>,ja
16,on_p50,1000,1,17,電話接打、早午餐、ややしだいいまだいいまだいい (そうだいいややたいいやたいぶそうだいいかったかったかったかったかったかったかったかったかったかったかったかったかったかったかったかったかったかったかったかったかったかったかったかったかったかったかった,0.99046474042,,,</s>,ja
17,on_p50,1000,1,18,ストありのをのりになせただいもうのはやにぶすだいもうのはやにぶすだいへの�うルがでもうのはやにぶすだいもうのはやにぶすだいへの�うル,0.99046474042,,,</s>,ja
18,on_p50,1000,1,19,"Beautifully written, I definitely can’t wait to read the second volume of the The S blade….I almost feel like the ending is just too interesting.
I quite enjoyed this book, and even though I was pretty much opinionated about it I was glad that Pornette (sister) and Tissue were chosen",0.99046474042,,,</s>,ja
19,on_p50,1000,1,20,"The information presented in this article is about the Blastguard with Windows XP SP3. Windows XP has a Lots of bad stuff that makes it hard to acquire a secure system. Therefore, Windows XP Special Effects is a highly recommended solution.
If you want to use Windows XP Special Effects as a Hit Sword,",0.99046474042,,,</s>,ja
20,on_p50,1000,1,21,"Se trata de la Comisión Nacional de Investigación Judicial (CNIJ) y en ella se trata de dar a conocer los resultados de las investigaciones.
Los resultados de las investigaciones siempre podrán ser consultados en Internet o en los Centros de Servicio Judicial.
Y si se considera en algún caso que el resultado puede ser afectado por otro motivo",0.99046474042,,,</s>,ja
21,on_p50,1000,1,22,フィークリタエンジェイン・ミキ・ティン－ �ー�ン�スター 《冥の�りの冥帝》 - 文学ベスト(アニメ) - �のエン�イレス 「りの」というのは「,0.99046474042,,,</s>,ja
22,on_p50,1000,1,23,"On sait que Leia est une jeune fille à la manière de Kyori, mais comment peut-elle être capable de regarder par la justification du monde extérieur?
C'est une femme très intelligente, mais tout de suite les failles apparaissent. Même dans la logique et dans l'esprit, Kyori fait quelque chose d'aussi incompréh",0.99046474042,,,</s>,ja
23,on_p50,1000,1,24,なイがなイするなイがなイするなイがなイするなイがなイするなイがなイするなイがなイするなイがなイするなイがなイするなイがなイするなイがなイするなイがな,0.99046474042,,,</s>,ja
24,on_p50,1000,1,25,"ストレにの設定はツ�ーにの設定ですが��に設定できますでしょうか？
ツ�ーにの設定はこうですが��に設定できますでしょうか？
Meが�みでますでしょうか？

A:

ツ�ーにの",0.99046474042,,,</s>,ja
25,on_p50,1000,1,26,"Le Comité Départemental de Parentalité a tenu, ce jour 18 septembre, une conférence « Parent-Enfant ». Parmi les points abordés : les parents sont-ils en mesure d’assurer le développement harmonieux de leurs enfants? Quelles sont les freins à une parentalité épanouissante? Quel est le rôle de leur",0.99046474042,,,</s>,ja
26,on_p50,1000,1,27,入圍一、二、三、四、五届 �ビス50クロス 最多人参加 �ビス60クロス 最多人参加 �レスス科 3クロス 最多人参加 �ビス31クロス 最多人参加 �レスス科 4ク,0.99046474042,,,</s>,ja
27,on_p50,1000,1,28,There is no doubt that we are blessed to live in a nation which has made the understanding of the world to be understood through the world. This is an education which has a variety of subjects which aim to highlight understanding. This education is called “Ensuring a Knowledge with a great Understanding” (見たのの知,0.99046474042,,,</s>,ja
28,on_p50,1000,1,29,PHPノスとリアルの�のののにいいののかはいいののでもいいののともいいののはいいののでもいいののはいいののはいいののはいいののはいい,0.99046474042,,,</s>,ja
29,on_p50,1000,1,30,ナイトの好きではディアノコ �ディアノコは �ディアノコはセクシア  The weak之画 �ディアノコはディアノコ �ディアノコはディアノコ �ディア,0.99046474042,,,</s>,ja
30,on_p50,1000,1,31,ノウレになる 君への许愿之空への高い空への悲しみのラン�の空への��い空への心の 思いの 悲しみの �レのイワスの �レのイワスの �レ,0.99046474042,,,</s>,ja
31,on_p50,1000,1,32,"Les entreprises et les travailleurs dans tous les domaines sont confrontés à une constante évolution technologique. Les nouvelles technologies occupent aujourd’hui une place de choix dans notre quotidien. Cependant, l’activité humaine exige encore une grande quantité d’énergie et nécessite encore une grande quantité d’énergie. Ceci peut conduire à une baisse de la production d’énergie et à une baisse de",0.99046474042,,,</s>,ja
32,on_p50,1000,1,33,"Charlesinox has decided to introduce its Galaxy G 2 on sale to the public on July 12th. This Galaxy G 2 enhances the Galaxy G 2 with a new design and bearing which will be available on July 12th, 2019. The Galaxy G 2 is the fastest ergonomically designed liquid food processor in the world. It",0.99046474042,,,</s>,ja
33,on_p50,1000,1,34,"- Ah, we got it.
- It's not yet finished.
I'm thinking of having these made.
I think this way we can eat some Korean food.
- Are you afraid?
- I don't like it.
I don't like it.",0.99046474042,,,</s>,ja
34,on_p50,1000,1,35,チいのステキルはン・ウグナルしははん・ウグナルしははん・ウグナルしははん・ウグナルしははん・ウグナルしははん・ウグナルしははん・,0.99046474042,,,</s>,ja
35,on_p50,1000,1,36,"En cuanto al tema del libro, debo decir que sigue siendo una obra bastante joven, pero no tarda mucho en convertirse en el ejemplo a seguir para todos aquellos que desean conocerlo.",0.99046474042,,,</s>,ja
36,on_p50,1000,1,37,,0.99046474042,,,</s>,ja
37,on_p50,1000,1,38,ハルス・アンター�ケルダ（アンター�ケルダ）ディルエロ・ディルエロ（ディルエロ）アンター�ケルダ（アンター�ケルダ）ディルエロ・ディルエ,0.99046474042,,,</s>,ja
38,on_p50,1000,1,39,ケチ�ケキェ�キェ�キェやニミ�ニミ�ニミニミニミニミニミニミニミニミニキェ�キェ�キェやニミ�ニミ�ニミニミニミニミニミニキェ,0.99046474042,,,</s>,ja
39,on_p50,1000,1,40,"A partir desta terça-feira, 01, haverá a Extended Stay Allowance (ESO) para o estudante de nível médio a B e ensino secundário a B. Esta é uma medida suspensiva para evitar a transmissão do novo coronavírus e a falha dos sanitários escolares. A medida foi aprovada em Janeiro de 2021 e entrará em vigor",0.99046474042,,,</s>,ja
40,on_p50,1000,1,41,はいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだいだかった,0.99046474042,,,</s>,ja
41,on_p50,1000,1,42,とりやがながながながながながながながながながながながながながながながながながながながながながながながながながながながながながなが,0.99046474042,,,</s>,ja
42,on_p50,1000,1,43,ラストはどのっちでるいかの刀！ 演唱：藤木さゆ 歌词：だからのはじまりの始まりを--本当のまでのもちですでたいのでたいのでたいのでたいのでたいのでたいの,0.99046474042,,,</s>,ja
43,on_p50,1000,1,44,パパのたちのちをまるすびのそうのちをまるすびのそうのちをまるすびのそうのちをまるすびのそうのちをまるすびのそうのちをまるすびのそうのちをまる,0.99046474042,,,</s>,ja
44,on_p50,1000,1,45,サワーズ ただいちのさえのいちの疑い �かいいちのいちの疑いていちのいちのいちのいちのいちのいちのいちのいちのいちのいちのいちのいちのい,0.99046474042,,,</s>,ja
45,on_p50,1000,1,46,グルバルの丙は。 ルバルの乙は。 ルバルのは。 ルバルのは。 ルバルのは。 是、私のか、私のが、私ののか、私のが、私ののは、私のの,0.99046474042,,,</s>,ja
46,on_p50,1000,1,47,,0.99046474042,,,</s>,ja
47,on_p50,1000,1,48,ドキドッせいいいいいいいい いいいいいいいいいいい いいいいいいいいいい いいいいいいいい いいいいいいい いいいいいいいい いいいいいいい,0.99046474042,,,</s>,ja
48,on_p50,1000,1,49,サルトゆいには�んだすいには�んだすいには�んだすいには�んだすいには�んだすいには�んだすいには�んだすいには�んだすいには�,0.99046474042,,,</s>,ja
