,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"«Il prêt aimé», de François Clément",0.91551137623,,,,fr
1,on_p50,1000,1,2,(Pour les seulement sur la route à 10 minutes à pied vous pouvez prendre le bus 150).,0.91551137623,,,,fr
2,on_p50,1000,1,3,                               ,0.91551137623,,,,fr
3,on_p50,1000,1,4,"“I tend à être considéré comme une personne, et j'étais assez intriguée pour ça”, ajoute le pilote. “Nous allons devoir faire beaucoup d'efforts pour trouver ces pilotes et trouver des réponses.""",0.91551137623,,,,fr
4,on_p50,1000,1,5,Puis-je afférent le chargement de l’application sur les appareils pour lesquels issu celui-ci?,0.91551137623,,,,fr
5,on_p50,1000,1,6,Une version de CSS Compréhensive est sur le site de Core2DForum.,0.91551137623,,,,fr
6,on_p50,1000,1,7,,0.91551137623,,,,fr
7,on_p50,1000,1,8,2ch - DVD - VHS - VOD - VDS - Blu-Ray - VDL - 3D - C4D - 3D - PC - KINÉ - FILM - DÉVOLUTION - MORSE DE SÈRIE - CALCULÉ - JOURNAUX - MULTIVERSIONS - CONCE,0.91551137623,,,,fr
8,on_p50,1000,1,9,(c) Un seul dépistage annuel pour chaque enfant,0.91551137623,,,,fr
9,on_p50,1000,1,10,et pour autant assez aériennes et rapides (pour les routeurs),0.91551137623,,,,fr
10,on_p50,1000,1,11,Next articleRober et a L’Espace Caméléon,0.91551137623,,,,fr
11,on_p50,1000,1,12,"Acquisition, Management, Développement, Etudes et projets (A GEM)",0.91551137623,,,,fr
12,on_p50,1000,1,13,"Le mariage doit être fait dans le calme, avec des enfants devant la webcam, alors qu'elle vous demande de contrôler tout c'est alors très calme.",0.91551137623,,,,fr
13,on_p50,1000,1,14," Même si d’autres produits sont inutiles sur le marché, suivant les besoins, c’est bien meilleur ( et moins cher )!",0.91551137623,,,,fr
14,on_p50,1000,1,15,b) l'autre personne peut être exonérée de toutes obligations fiscales et sociales à compter de la date de dépôt/evolvement du dossier et d'après les possibilités d'aliénation prévues par l'article L. 212-4 du chapitre I. d'une manière générale.,0.91551137623,,,,fr
15,on_p50,1000,1,16,Nouvelle Hall d’exposition : “Au travail près de chez soi”,0.91551137623,,,,fr
16,on_p50,1000,1,17,création d'un foyer d'accueil pour personnes en situation de handicap,0.91551137623,,,,fr
17,on_p50,1000,1,18,".et pour les autres elle devienne plus digitale, pour les autres elle restera le moteur de la vie.",0.91551137623,,,,fr
18,on_p50,1000,1,19,_ créer un compte _ Forum gratuit,0.91551137623,,,,fr
19,on_p50,1000,1,20,«Vidéo» en un hotel pour prouver une véritable «figure»,0.91551137623,,,,fr
20,on_p50,1000,1,21,................................,0.91551137623,,,,fr
21,on_p50,1000,1,22,"☆ Baguette à crottes, au bacon et à la fraise ☆",0.91551137623,,,,fr
22,on_p50,1000,1,23,La vieillesse et le désespoir,0.91551137623,,,,fr
