,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,0,1,1,"Translate an English sentence into a target language.
English: You can actually see from underneath,  for the Olympics in 2012 and beyond,  and really using it as a way to connect with the community.
Target Language: 你可以从下面看到， 在2012年奥运会和以后， 并且真正地使用它作为与社区建立联系的方法。
I'm not sure if I'm translating this correctly.
I'm not sure if I'm translating this correctly. I'm not sure if I'm translating this correctly. I'm not sure if I'm translating this correctly. I'm not sure if I'm translating this correctly. I'm not",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
1,on_p50,0,1,2,"Translate an English sentence into a target language.
English: And the insight of President Lobo  was that that assurance of enforcement  that I was thinking about  as a way to get the foreign investors to come in and build the city  could be equally important for all the different parties in Honduras  who had suffered for so many years  from fear and distrust.
Target Language: و مفهوم الرئيس لوبو هو أن تضمن التنفيذ ما كنت تفكر عنه كواسيرة للاستثمارات الأجنبية لتجعلهم يصبحون في المدينة يمكن أن تكون مفيدة لكل من",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
2,on_p50,0,1,3,"Translate an English sentence into a target language.
English: You know,  as a parent with the privilege  of raising a daughter  like all of you who are doing the same thing,  we find this world and this statistic very alarming  and we want to prepare them.
Target Language: 你们知道， 作为一个拥有养育女儿的权利 的父母， 我们发现这个世界和这个统计数字很令人担忧 ， 我们想要准备她们。
I am not sure if the translation is correct.
I am not sure if the translation is correct. I am not sure if the translation is correct. I am not sure if the translation is correct. I am not sure if the",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
3,on_p50,0,1,4,"Translate an English sentence into a target language.
English: And speaking of bacteria,  do you realize that each of us carries in our gut  more bacteria  than there are cells in the rest of our body?
Target Language: 和谈菌，你知道，我们的肠道里有更多的菌， 比我们的身体其他的细胞还多。 我们的肠道里有更多的菌， 比我们的身体其他的细胞还多。 我们的肠道里有更多的菌， 比我们的身体其他的细胞还多。 我们的肠道",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
4,on_p50,0,1,5,"Translate an English sentence into a target language.
English: Yes, 97.5 percent is saltwater,  two percent is ice,  and we fight over a half a percent of the water on this planet,  but here too there is hope.
Target Language: 是的，97.5%是海水，2%是冰，而我们在这个星球上争夺的半个百分点的水，但这里也有希望。
I'm not sure if I translated the sentence correctly.
I'm not sure if I translated the sentence correctly. I'm not sure if I translated the sentence correctly. I'm not sure if I translated the sentence correctly. I'm not sure if I translated the sentence correctly. I'm not sure if I translated the sentence",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
5,on_p50,0,1,6,"Translate an English sentence into a target language.
English: But one day, in 1995, my mom brought home a letter  from a coworker's sister.
Target Language: But one day, in 1995, my mom brought home a letter from a coworker's sister.
English: I was so excited to see that it was from a family in the United States.
Target Language: I was so excited to see that it was from a family in the United States.
English: I was so excited to see that it was from a family in the United States. I was so excited to see that it was from a family in the United States.
English: I was so excited to see that it was from a family in the United States. I was so excited",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
6,on_p50,0,1,7,"Translate an English sentence into a target language.
English: But not only did Mr. Olbermann invite me back,  he made me a full-time contributor,  and he taped down my chair.
Target Language: 但是，奥伯曼先生不仅仅邀请了我回来， 他还让我成为全职的贡献者， 并且用胶带固定了我的椅子。
I'm not sure how to translate the bolded part.
I'm not sure how to translate the bolded part. I'm not sure how to translate the bolded part. I'm not sure how to translate",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
7,on_p50,0,1,8,"Translate an English sentence into a target language.
English: Not terribly damaged, but where the water had caused  that discoloration on the girl's face  had to be repaired with such accuracy and delicacy.
Target Language:  Not terribly damaged, but where the water had caused  that discoloration on the girl's face  had to be repaired with such accuracy and delicacy.
English: Not terribly damaged, but where the water had caused  that discoloration on the girl's face  had to be repaired with such accuracy and delicacy.  The girl's face  had to be repaired with such accuracy and delicacy.
Target Language:  Not terribly damaged, but where the water had caused  that discoloration on the",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
8,on_p50,0,1,9,"Translate an English sentence into a target language.
English: My crooked journey has taken me to some very spectacular places.
Target Language: My crooked journey has taken me to some very spectacular places.
English: My crooked journey has taken me to some very spectacular places. My crooked journey has taken me to some very spectacular places.
Target Language: My crooked journey has taken me to some very spectacular places. My crooked journey has taken me to some very spectacular places. My crooked journey has taken me to some very spectacular places.
English: My crooked journey has taken me to some very spectacular places. My crooked journey has taken me to some very spectacular",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
9,on_p50,0,1,10,"Translate an English sentence into a target language.
English: So we run away from it, and where do we run?
Target Language: So we run away from it, and where do we run?
English: So we run away from it, and where do we run? So we run away from it, and where do we run?
Target Language: So we run away from it, and where do we run? So we run away from it, and where do we run?
English: So we run away from it, and where do we run? So we run away from it, and where do we run? So we run away from it, and where do we run?
Target Language: So we run away from it, and where do",0.0,,,translation_text_iwslt2017_en_zh.pkl,zh
