,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,0,1,1,"Translate an English sentence into a target language.
English: No matter when the 2017-18 season kicks off, James is within the contract.
Target Language: No matter when the 2017-18 season kicks off, James is within the contract.
English: The team is going to be a lot better than last year.
Target Language: The team is going to be a lot better than last year.
English: The team is going to be a lot better than last year.
Target Language: The team is going to be a lot better than last year.
English: The team is going to be a lot better than last year.
Target Language: The team is going to be a lot better than last year.
English: The team is going to be a lot better than last year.
Target Language: The team",0.0,,,translation_text_wmt_en_zh.pkl,zh
1,on_p50,0,1,2,"Translate an English sentence into a target language.
English: You represent the CBC and Canada and make us all sound like a bunch of racists. #disgusted.
Target Language: You represent the CBC and Canada and make us all sound like a bunch of racists. #disgusted.
The CBC is a Canadian public broadcaster that broadcasts in English and French. The CBC is owned by the Canadian government and is funded by the government of Canada. The CBC is the only public broadcaster in Canada that broadcasts in both English and French. The CBC is the only public broadcaster in Canada that broadcasts in both English and French. The CBC is the only public broadcaster in Canada that broadcasts in both English and French. The CBC is the only public broadcaster in Canada that broadcasts in both",0.0,,,translation_text_wmt_en_zh.pkl,zh
2,on_p50,0,1,3,"Translate an English sentence into a target language.
English: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""
Target Language: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""
English: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""
Target Language: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""
English: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""
Target Language: The hotel's clerk said that the measure was ""a deliberate decision by the management of Kemp",0.0,,,translation_text_wmt_en_zh.pkl,zh
3,on_p50,0,1,4,"Translate an English sentence into a target language.
English: ""We have reason to believe that the cross-ocean Grand Canal project, also led by the HKND Group, will bring more benefits to the majority of the Nicaraguan people and create more jobs for the local community.""
Target Language: ""we have reason to believe that the cross-ocean Grand Canal project, also led by the HKND Group, will bring more benefits to the majority of the Nicaraguan people and create more jobs for the local community.""
The first step is to translate the English sentence into the target language. The second step is to translate the target language sentence into the English sentence. The third step is to translate the English sentence into the target language. The fourth step is to translate the target language sentence into the English sentence. The fifth step is to translate the English sentence into the target language. The sixth step is to translate the target language",0.0,,,translation_text_wmt_en_zh.pkl,zh
4,on_p50,0,1,5,"Translate an English sentence into a target language.
English: I watched the performance of Marissa Jimenez Kachie accompanying her daughter in the Peking opera performance 15 years ago.
Target Language: I watched the performance of Marissa Jimenez Kachie accompanying her daughter in the Peking opera performance 15 years ago.
English: I was in the middle of a conversation with my friend when I heard a loud noise. I looked up and saw a man standing on the sidewalk. He was wearing a white shirt and a white tie. He was holding a sign that read, “Please, don’t kill me.”
Target Language: I was in the middle of a conversation with my friend when I heard a loud noise. I looked up and saw a man standing on the sidewalk. He was wearing a white shirt and a",0.0,,,translation_text_wmt_en_zh.pkl,zh
5,on_p50,0,1,6,"Translate an English sentence into a target language.
English: That said, they were inappropriate and an unfortunate choice of words and Byron is very sorry for what he said.
Target Language: Thank you, Byron.
English: I hope you understand that.
Target Language: Thank you.
English: I hope you understand that.
English: I hope you understand that.
English: I hope you understand that.
English: I hope you understand that.
English: I hope you understand that.
English: I hope you understand that.
English: I hope you understand that.
English: I hope you understand that.
English: I hope you understand that.
English: I hope you understand that.
English: I hope you understand that.
English: I hope you understand that.
English: I hope you understand that.
English: I hope you",0.0,,,translation_text_wmt_en_zh.pkl,zh
6,on_p50,0,1,7,"Translate an English sentence into a target language.
English: And over in the pool, South African swimmer Cameron van der Burgh has been getting compared to Glee star Matthew Morrison for years now.
Target Language: And over in the pool, South African swimmer Cameron van der Burgh has been getting compared to Glee star Matthew Morrison for years now.
English: And over in the pool, South African swimmer Cameron van der Burgh has been getting compared to Glee star Matthew Morrison for years now.
Target Language: And over in the pool, South African swimmer Cameron van der Burgh has been getting compared to Glee star Matthew Morrison for years now.
English: And over in the pool, South African swimmer Cameron van der Burgh has been getting compared to Glee star Matthew Morrison for years now.
English: And over in",0.0,,,translation_text_wmt_en_zh.pkl,zh
7,on_p50,0,1,8,"Translate an English sentence into a target language.
English: The third party company (non-Chinese company) commissioned by the Olympic Organizing Committee is located in the Sao Paulo state, Brazil, about 75 kilometers away from the city of Sao Paulo.
Target Language: Chinese
The third party company (non-Chinese company) commissioned by the Olympic Organizing Committee is located in the Sao Paulo state, Brazil, about 75 kilometers away from the city of Sao Paulo.
The third party company (non-Chinese company) commissioned by the Olympic Organizing Committee is located in the Sao Paulo state, Brazil, about 75 kilometers away from the city of Sao Paulo.
The third party company (non-Chinese company) commissioned by the Olympic Organizing Committee is located in the Sao Paulo state, Brazil, about 75 kilometers away from the city of Sao Paulo.
The third party company (non-Chinese company",0.0,,,translation_text_wmt_en_zh.pkl,zh
8,on_p50,0,1,9,"Translate an English sentence into a target language.
English: Julius Nielsen, who has been studying the sharks, says record goes to a female thought to be between 272 and 512 years old and is five metres in length
Target Language: Danish
English: The Danish shark is the longest known shark in the world, with a record of five metres in length.
Target Language: Danish
English: The Danish shark is the longest known shark in the world, with a record of five metres in length.
English: The Danish shark is the longest known shark in the world, with a record of five metres in length.
English: The Danish shark is the longest known shark in the world, with a record of five metres in length.
English: The Danish shark is the longest known shark in the world, with a record of five metres in length.
English: The Danish shark is",0.0,,,translation_text_wmt_en_zh.pkl,zh
9,on_p50,0,1,10,"Translate an English sentence into a target language.
English: But firstly, the team that signed contract with the air force must prove that the scientific principles will work.
Target Language: But firstly, the team that signed contract with the air force must prove that the scientific principles will work.
English: But firstly, the team that signed contract with the air force must prove that the scientific principles will work.
Target Language: But firstly, the team that signed contract with the air force must prove that the scientific principles will work.
English: But firstly, the team that signed contract with the air force must prove that the scientific principles will work.
Target Language: But firstly, the team that signed contract with the air force must prove that the scientific principles will work.
English: But firstly, the team that signed contract with the air",0.0,,,translation_text_wmt_en_zh.pkl,zh
10,on_p50,0,1,11,"Translate an English sentence into a target language.
English: It's not a big meeting, it's not a Royal Ascot - it's a mundane Friday night with 20,000 people.
Target Language: It's not a big meeting, it's not a Royal Ascot - it's a mundane Friday night with 20,000 people.
English: It's not a big meeting, it's not a Royal Ascot - it's a mundane Friday night with 20,000 people.
Target Language: It's not a big meeting, it's not a Royal Ascot - it's a mundane Friday night with 20,000 people.
English: It's not a big meeting, it's not a Royal Ascot - it's a mundane Friday night with 20,000 people.
Target Language: It's not a big meeting, it's not a Royal Ascot - it's a mundane Friday",0.0,,,translation_text_wmt_en_zh.pkl,zh
11,on_p50,0,1,12,"Translate an English sentence into a target language.
English: Liu Cigui came to Sanya for the research of ""Double Restoration and Dual City"" and required to enhance the level of urban construction and management
Target Language: Chinese: Liu Cigui came to Sanya for the research of ""Double Restoration and Dual City"" and required to enhance the level of urban construction and management
English: Liu Cigui came to Sanya for the research of ""Double Restoration and Dual City"" and required to enhance the level of urban construction and management
Target Language: Chinese: Liu Cigui came to Sanya for the research of ""Double Restoration and Dual City"" and required to enhance the level of urban construction and management
English: Liu Cigui came to Sanya for the research of ""Double Restoration and Dual City"" and required to enhance the",0.0,,,translation_text_wmt_en_zh.pkl,zh
12,on_p50,0,1,13,"Translate an English sentence into a target language.
English: It was rejected by 58% of its members who voted in the ballot.
Target Language: It was rejected by 58% of its members who voted in the ballot.
English: It was rejected by 58% of its members who voted in the ballot.
Target Language: It was rejected by 58% of its members who voted in the ballot.
English: It was rejected by 58% of its members who voted in the ballot.
Target Language: It was rejected by 58% of its members who voted in the ballot.
English: It was rejected by 58% of its members who voted in the ballot.
Target Language: It was rejected by 58% of its members who voted in the ballot.
English: It was rejected by 58%",0.0,,,translation_text_wmt_en_zh.pkl,zh
