,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"El actual entrenador de porteros del Barcelona, el navarro Raúl Entrena, alista el nuevo proyecto y el banquillo del club catalán. El pasado sábado fue presentado en sociedad el nuevo cuerpo técnico que entrena el equipo azulgrana tras el cese de Ernesto Valverde y que cuenta para sus filas con el cuerpo médico del club",0.8633271513199999,,,</s>,es
1,on_p50,1000,1,2,"/*
 * Copyright (c) 2015, Oracle and/or its affiliates. All rights reserved.
 * DO NOT ALTER OR REMOVE COPYRIGHT NOTICES OR THIS FILE HEADER.
 *
 * This code is free software; you can redistribute it and/or modify it
 * under the terms of the GNU General Public License version 2 únicamente, as",0.8633271513199999,,,</s>,es
2,on_p50,1000,1,3,"#!/usr/bin/env python

# -*- coding: utf-8 -*-
#
# Copyright © 2012-2015 Reto Schuurman
#
# This program is free software: you can redistribute it and/or modify
# it under the terms of the GNU General Public License as published by
# the Free Software Foundation, either version 3",0.8633271513199999,,,</s>,es
3,on_p50,1000,1,4,"TOMATE: Tomate y su más allá. ¿Qué andamos buscando en el mundo de los tomates? Una procesado en el pintxo estelar, ¿un tomate en el camarín en la previa del partido? La estación del tomate muchas veces es más importante que el fruto.
CHIVARROS: Quince",0.8633271513199999,,,</s>,es
4,on_p50,1000,1,5,"3 Temas: Justiça do Trabalho, Funcionamento do Poder Judiciário Brasileiro, Congresso Nacional, Estados Unidos,",0.8633271513199999,,,</s>,es
5,on_p50,1000,1,6,"Q:

Verifying the type of a method parameter with reflection

I am trying to implement the following method...
public static void RemoveAll(IList<T> source, IList<KeyValuePair<Type, string>> keyValuePairs)
{
    foreach (KeyValuePair<Type, string> keyValuePair in keyValue",0.8633271513199999,,,</s>,es
6,on_p50,1000,1,7,"Neuromorphisms
Neuromorphisms are a new tool in the theory of constraint algebra and generalizations of Givens automorphisms studied in [1]. Similar to the classical automorphisms, they can be obtained in a natural way. The great advantage of neuromorphisms, described in [1], is that they are allowed",0.8633271513199999,,,</s>,es
7,on_p50,1000,1,8,"A nível de emoções, a maioria dos males que vivemos nos são apresentados como negativos, abrandando as nossas expectativas. O que não deixa de ser prejudicial, visto que o nosso temor não nos permite enfrentar situações que se apresentam, muitas vezes, como fatais.
A questão não é saber se é possível ou não",0.8633271513199999,,,</s>,es
8,on_p50,1000,1,9,"The Board que has enacted the Ordinances 2020, approved the final outline of the Individual Health Plans and determined the application of the aforementioned Ordinances 2020, in accordance with the existing legislation.
In the framework of the public consultation process, Subject Matter Experts (SMEs) have been appointed to carry out studies, providing advice",0.8633271513199999,,,</s>,es
9,on_p50,1000,1,10,"Introduction
Deformable bionics is a new branch of biomedical technology that combines biology with mechanical engineering [1]. This technology has the potential to improve the clinical efficacy of many diseases [2]. In fact, the capability of the deformed body to self-heal and restore lost function is a promising potential of this",0.8633271513199999,,,</s>,es
10,on_p50,1000,1,11,"El presente Aviso Legal regula el uso del sitio web (datos en adelante el “Sitio Web”) que PLUSIPEL y el titular de la página y de la tienda en línea de PLUSIPEL, S.L. con domicilio social en Calle Del Mar, nº 9 Local 1 (Gran",0.8633271513199999,,,</s>,es
11,on_p50,1000,1,12,"A garbage truck came at this point, and when a man yelled out a command, a man yelled out an order and the truck began to turn.
A man yelled out an order and the truck began to turn. A blue truck came at the wheel of the garbage truck, and the man yelled out",0.8633271513199999,,,</s>,es
12,on_p50,1000,1,13,"Por todo esto, desde el Centro de Atención a la Infancia de El Puerto de Santa María (CAIEP), alertan que en los menores y niñas que esta enfermedad provoca, se pueden desarrollar una gran variedad de síntomas y complicaciones, por ejemplo:
En el caso de los niños, se pueden presentar dificultades en",0.8633271513199999,,,</s>,es
13,on_p50,1000,1,14,"Exactamente como te sugerimos desde el comienzo esta es una de nuestras mejores opciones para comprar en línea cascos. Y, lo que es más, has de saber que comprando en línea este mismo utensilio vas a ahorrarte salir de casa, estás a la espera de que te llegue el producto con el que tanto esper",0.8633271513199999,,,</s>,es
14,on_p50,1000,1,15,"♥ Inspiration #2: Si esta es la primera vez que compras un regalo, no dudes en pedir consejo. A veces, las puede ayudar a descubrir que tipo de regalo funciona mejor para cada tipo de rostro.
♥ Inspiración #3: Cuando haces saber a tus amigos sobre tus planes de compras, coloca una",0.8633271513199999,,,</s>,es
15,on_p50,1000,1,16,"Introduction
The first symptoms of cancer are typically detectable in the first 3 years, with a median survival of 2-3 years for patients with localized disease and a median survival of 1-3.5 years for those with metastatic disease, 1,2 but the prognosis is poor. 2, 3 Early detection is essential to ensure",0.8633271513199999,,,</s>,es
16,on_p50,1000,1,17,"El Ministeri de Turisme ha decidit prohibir la temporada 2020/2021 el Cirque du Soleil, operador de l'Operador Nacional de Circo de Mónaco (Monocirco).
El Marroc ha ampliat aquest dilluns les regles que han de seguir els vaixells que naveguen al Mediterrani occidental, en el marc de les mesures de",0.8633271513199999,,,</s>,es
17,on_p50,1000,1,18,"#!/usr/bin/env python
# This script is intended to be run alone. It is NOT recommended to run it in
# conjunction with git.
#
# The script parses the commits and creates the minimal tarball.
#
# The script is written in Python 2.6, so most of the imports are",0.8633271513199999,,,</s>,es
18,on_p50,1000,1,19,"La compatibilidad del perfume y los colores puede cambiar dependiendo de cómo los usa. A los neutros les va mejor los aromas dulces y florales y los más intensos los suaves y exóticos.
En la línea de los aromas florales, el Pétalos de Naranja y las flores de Lirio",0.8633271513199999,,,</s>,es
19,on_p50,1000,1,20,"3. Los daños que causen a los bienes muebles de la Administración del Estado y de cualquier otra Administración Pública, y de todos los organismos de derecho público, y a los bienes y derechos de los demás agentes del Estado en el ejercicio de sus funciones;",0.8633271513199999,,,</s>,es
