,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"Пластикова каза: 13.08.2016 в 14:54 жалко, че не са получили парите в срок!!!!!! не може да има лъжливи хора да приемат това положение без да имат основание, не може да има хора които забравят за това че в най- най- осо4но време в",0.089300256698,,,,fr
1,on_p50,1000,1,2,Uuteen(kin) asuntoon.,0.089300256698,,,,fr
2,on_p50,1000,1,3,日本語が含まれない投稿は無視されますのでご注意ください。(スパム対策),0.089300256698,,,,fr
3,on_p50,1000,1,4,"Billie Eilish: Caught on Tape, Nurture Bumfist",0.089300256698,,,,fr
4,on_p50,1000,1,5,Citez-moi! On n'a pas commis des faits insalubres pour le meurtre du bébé,0.089300256698,,,,fr
5,on_p50,1000,1,6,A one-time Complaints...,0.089300256698,,,,fr
6,on_p50,1000,1,7,,0.089300256698,,,,fr
7,on_p50,1000,1,8,2ch - DVD - VHS - MP3 - VJBG - WinDVD - WinDVD 8 - WinDVD 8 SLAC - WinDVD 10 - WinDVD SLAC 10 - WINDVD SLAC 16,0.089300256698,,,,fr
8,on_p50,1000,1,9,We're Looking For a Scenic Sudbury Trail,0.089300256698,,,,fr
9,on_p50,1000,1,10,et a un assez bon niveau de culture allemande (fonctionne plus souvent en qualité de guide sur place),0.089300256698,,,,fr
10,on_p50,1000,1,11,Next articleRobinson Opens Up About Sexual Assault Against Women In The Classroom,0.089300256698,,,,fr
11,on_p50,1000,1,12,"Труп, пойманный на тайной рыбалке, найден мертвым в лесном массиве",0.089300256698,,,,fr
12,on_p50,1000,1,13,드폰 쪽지보내기 메일보내기 자기소개 아이디로 검색 전체게시물,0.089300256698,,,,fr
13,on_p50,1000,1,14,吉林大学附属医院胡海清(资料图),0.089300256698,,,,fr
14,on_p50,1000,1,15,"Malehumans are also more adaptable to the environment than goats, which are subject to heavy rain and other storms.",0.089300256698,,,,fr
15,on_p50,1000,1,16,"008453 - Accounting for time series data for more than a single measure [1,2]",0.089300256698,,,,fr
16,on_p50,1000,1,17,ธุรกิจโฆษณาออนไลน์ มีวิธีวางแผนการตลาดอย่างไรดี,0.089300256698,,,,fr
