,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"On the subject of water-efficient workplaces, the AA is working with industry leaders to offer the types of workshops and trainings to help U.S. workers solve their biggest challenges.
The American Association of Architects (AA) was established in 1876 and is one of the oldest and most respected architectural organizations in",0.08954280652099998,,,</s>,en
1,on_p50,1000,1,2,"/* This file is part of the KDE libraries
    Copyright (C) 2003 Michael Bohnert and others.

    This library is free software; you can redistribute it and/or
    modify it under the terms of the GNU Library General Public
    License version 2 as published by the Free Software Foundation.

    This library is distributed in the hope that",0.08954280652099998,,,</s>,en
2,on_p50,1000,1,3,Love all your clothes! I'm even considering doing a little guide to my own wardrobe because I think they need some help! Thanks for the giveaway!,0.08954280652099998,,,</s>,en
3,on_p50,1000,1,4,"TOM JONES (USA) – A 42 years of age, Tom Jones, who was inducted into the Rock and Roll Hall of Fame in 1994, is one of the greatest live performing artists of our time. Everywhere he goes the crowd goes wild. This season we have taken a look at just a few",0.08954280652099998,,,</s>,en
4,on_p50,1000,1,5,"3. If you do not receive a notification, you may be a member of a group not registered for the link. You can add your group here.
4. If you do not see your message, please check your junk folder and spam folder (the default location is in your inbox on your computer, if you",0.08954280652099998,,,</s>,en
5,on_p50,1000,1,6,"Q:

Verifying the equivalence of two described trigonometric identities

I am having a hard time proving the equivalence of the two described trigonometric identities:
$$\begin{align}
\sin x & =  -(x + 1)\sin x - (x + 2)\sin x
\end{align}$$
$$\begin{align}
\cos",0.08954280652099998,,,</s>,en
6,on_p50,1000,1,7,"Neuromorphisms have received much recent attention due to their ability to behave such as a regular Floer homology module, or to act as presheaves of modules.
This article extends the current understanding of regular Floer homology modules to the case of ""naked product"" and ""backed subquotient"" regular",0.08954280652099998,,,</s>,en
7,on_p50,1000,1,8,"A larger collection of new and used motorcycles, scooters and motorbike parts at a competitive price now available. Easy to find the right motorbike parts or motorbike accessories in perfect condition with us.
You’re in, you’ve done it – you’ve made your own power supply! You’re now,",0.08954280652099998,,,</s>,en
8,on_p50,1000,1,9,"The two queens, a member of the royal family of the United States, are the queens of the United States. They are the two queens of the United States of America. Texas Governor Rick Perry, Texas Governor Perry, Texas Governor Perry, Texas Governor Perry, Texas Governor Perry. The queens of the",0.08954280652099998,,,</s>,en
9,on_p50,1000,1,10,"The human body is extremely complex and is made up of two different types of cells, known as somatic and germ cells. Somatic cells are killed during sexual maturation and are the ones we are most familiar with. The germ cells, on the other hand, are the cells that give us the ability to reproduce.",0.08954280652099998,,,</s>,en
10,on_p50,1000,1,11,"Showing 5 out of a total of 10 results for collection: Political Organizations and Policy and Customs (Canada). (0.159 seconds)
For the boys in your family, there’s nothing quite like being able to play on a quiet, sunny day in warm summer clothes. Tough shirt, comfortable pants (prefer",0.08954280652099998,,,</s>,en
11,on_p50,1000,1,12,"A garbage truck came at this point, and when a man yelled out, they started throwing dirt at it in an attempt to turn it around for the driver, but the truck continued west.",0.08954280652099998,,,</s>,en
12,on_p50,1000,1,13,"Even in a world where we have the most amazing technology, we are still lacking in understanding. Many people do not know how to use the technology and how to use it in the right way that will help them overcome their problems. We know that by using tech",0.08954280652099998,,,</s>,en
13,on_p50,1000,1,14,"Now we are looking at the sixth universal truth. It is important to remember that the human mind is the human’s most powerful tool. It is our ability to creatively apply the sixth universal truth that gives us the power to control the human mind, to govern our lives and to direct them in the direction of our highest",0.08954280652099998,,,</s>,en
14,on_p50,1000,1,15,"Q:

How to pass an integer to a method in Java?

I have the following method:
public void swim () throws Error {
    throw new Error(""swim..."");
}

which I can invoke like so:
swim();
swim(1);
swim(2",0.08954280652099998,,,</s>,en
15,on_p50,1000,1,16,"Introduction
The first symptoms of cancer are typically vague, non-specific, and nonspecific (1). This is a common problem in the context of a general practitioner-patient relationship. However, identifying these signs and symptoms is particularly important, since these early symptoms may help in making appropriate treatment decisions and changes to patient",0.08954280652099998,,,</s>,en
16,on_p50,1000,1,17,"The dextrose group of patients had a significantly higher BMI (24.1 ± 3.8 vs (21.2 ± 3.8), p = <0.05) and higher IGT to FPG ratio (94.1 ± 32.1 vs 64.9 ± 19.6), p =",0.08954280652099998,,,</s>,en
17,on_p50,1000,1,18,"#! /usr/bin/env python

# Author: Brandon Phillips <bbrandonahh@gmail.com>
# This file may be distributed under the terms of the GNU GPLv3.

from select import select, select_held, select_ran, select_rd, select_rf, select_rw, select_rx",0.08954280652099998,,,</s>,en
18,on_p50,1000,1,19,"Beautifully written, Bravely. I don't think I have ever found an open blade to wrap around, not even in a flute, but I know I should never have said I was going to be doing that. I am really glad I didn't. Darn that Nonesuch. I really need to",0.08954280652099998,,,</s>,en
19,on_p50,1000,1,20,"The information presented on this page is about the nearest train stations to Barrow-in-Furness in Scotland. For travel advice about what to do and see in the area, please visit the Barrow-in-Furness tourism page.
Rail traffic in this area is hindered when the main branch of the Forth Railway",0.08954280652099998,,,</s>,en
20,on_p50,1000,1,21,"Q:

Should I format my SQL queries in order to use INNER and LEFT JOIN methods?

For a while now I've used the following SQL clauses.
SELECT items.id, items.name, items.price, items.quantity, items.date
FROM items
WHERE items.date>_2007-11-01 AND items",0.08954280652099998,,,</s>,en
21,on_p50,1000,1,22,"a. A core strategy is an approach to strategic management that guides the actions and decisions of management within the organization.
b. Strategic management is an approach to the management of the business of an organization aimed at achieving certain objectives.
c. Strategic management is an approach to management that is in line with the operating needs of the",0.08954280652099998,,,</s>,en
22,on_p50,1000,1,23,"On sait que Marshall et ses copains, Davey, Alex et Christian, ont perdu leur père et que leur mère est partie vivre au Canada. En fin de compte, il s’agit d’une sorte de film sur les failles de la société moderne et de ses problèmes, de son sens du devoir et de son aveuglement",0.08954280652099998,,,</s>,en
23,on_p50,1000,1,24,"The present invention refers to an air-cooled water heater, whose internal space is designed to receive therein a means to produce a temperature by means of a heating element.
It is known to use a known device, in which an air circulation is accomplished by means of a fan, to circulate the air in the space",0.08954280652099998,,,</s>,en
24,on_p50,1000,1,25,"Perspektive on the national economics survey survey National Economics Survey”. National Institute for Economic and Social Research (Nies). Mon, 16 Nov 2018.
Nieiro and Marco A. Weaver. Oct 2011. “Examining the Impact of the Private Equity Sector on the Growth of Small- and",0.08954280652099998,,,</s>,en
25,on_p50,1000,1,26,"Selo Berkas. 3. Kelebihan yang ada pada software ini adalah, tool ini dapat empaas data yang telah di save dalam bentuk file, dan juga dapat mengunakan server. 4. Software ini bisa di install pada PC dengan oprator double board. 5. Software ini bisa di instal pada",0.08954280652099998,,,</s>,en
