,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,0,1,1,"Translate an English sentence into a target language.
English: Garavani's life is not a story of obsession, but of well reciprocated love.
Target Language: Garavani's life is not a story of obsession, but of well reciprocated love.
English: The story of the life of a man who is a great poet and a great man.
Target Language: The story of the life of a man who is a great poet and a great man.
English: The story of a man who is a great poet and a great man.
Target Language: The story of a man who is a great poet and a great man.
English: The story of a man who is a great poet and a great man.
Target Language: The story of a man who is a great poet and a great",0.0,,,translation_text_wmt_en_fr.pkl,fr
1,on_p50,0,1,2,"Translate an English sentence into a target language.
English: However, I do wonder why people would need another library in this day and age.
Target Language: I wonder why people would need another library in this day and age.
English: I wonder why people would need another library in this day and age.
Target Language: I wonder why people would need another library in this day and age.
English: I wonder why people would need another library in this day and age.
Target Language: I wonder why people would need another library in this day and age.
English: I wonder why people would need another library in this day and age.
Target Language: I wonder why people would need another library in this day and age.
English: I wonder why people would need another library in this day and age",0.0,,,translation_text_wmt_en_fr.pkl,fr
2,on_p50,0,1,3,"Translate an English sentence into a target language.
English: They became profiteers, seizing government land to resell as building land to refugees returning from Iran and Pakistan, benefiting from huge American outsourcing contracts.
Target Language: They became profiteers, seizing government land to resell as building land to refugees returning from Iran and Pakistan, benefiting from huge American outsourcing contracts.
English: The government has been accused of failing to protect the environment, and the public has been angry about the pollution and the loss of wildlife.
Target Language: The government has been accused of failing to protect the environment, and the public has been angry about the pollution and the loss of wildlife.
English: The government has been accused of failing to protect the environment, and the public has been angry about the pollution and the loss of wildlife.
English: The government has been accused of",0.0,,,translation_text_wmt_en_fr.pkl,fr
3,on_p50,0,1,4,"Translate an English sentence into a target language.
English: Manning said he was allowed only a mattress, blanket, flip-flops, some clothes and his glasses.
Target Language: Manning said he was allowed only a mattress, blanket, flip-flops, some clothes and his glasses.
English: The man said he was allowed only a mattress, blanket, flip-flops, some clothes and his glasses.
Target Language: The man said he was allowed only a mattress, blanket, flip-flops, some clothes and his glasses.
English: The man said he was allowed only a mattress, blanket, flip-flops, some clothes and his glasses.
Target Language: The man said he was allowed only a mattress, blanket, flip-flops, some clothes and his",0.0,,,translation_text_wmt_en_fr.pkl,fr
4,on_p50,0,1,5,"Translate an English sentence into a target language.
English: A congested city at the best of times, a ring of steel has been erected since Monday cutting off several key routes into the capital and causing chaos on the roads.
Target Language: A ring of steel has been erected since Monday cutting off several key routes into the capital and causing chaos on the roads.
The following is a list of the most common English words that are translated into the target language. The words are listed in alphabetical order. The words are also listed in the target language. The words are also listed in the target language. The words are also listed in the target language.
The following is a list of the most common English words that are translated into the target language. The words are listed in alphabetical order. The words are also listed in the target language. The words are also listed in the target",0.0,,,translation_text_wmt_en_fr.pkl,fr
5,on_p50,0,1,6,"Translate an English sentence into a target language.
English: From the beginning of 1956, the Polish Astronautics Company (PTA) sought entry to the International Astronautics Federation (est. 1951) and by autumn the PTA was already a full member.
Target Language: Polish. The Polish Astronautics Company (PTA) was founded in 1956 by the Polish government and the Polish Aeronautical Company (PZL) to develop and manufacture space equipment for the Polish space program. The company was initially called the Polish Aeronautical Company (PZL) and was later renamed the Polish Astronautics Company (PTA). The company was initially funded by the Polish government and the Polish Aeronautical Company (PZL) and later by the Polish Ministry of Science and Higher Education. The company was initially headed by the Polish Astronautics Company (PTA) director, and later by",0.0,,,translation_text_wmt_en_fr.pkl,fr
6,on_p50,0,1,7,"Translate an English sentence into a target language.
English: Bradley Manning didn't complain about mistreatment, prosecutors contend
Target Language: Arabic
English: Bradley Manning didn't complain about mistreatment, prosecutors contend
Target Language: Arabic
English: Bradley Manning didn't complain about mistreatment, prosecutors contend
Target Language: Arabic
English: Bradley Manning didn't complain about mistreatment, prosecutors contend
Target Language: Arabic
English: Bradley Manning didn't complain about mistreatment, prosecutors contend
Target Language: Arabic
English: Bradley Manning didn't complain about mistreatment, prosecutors contend
Target Language: Arabic
English: Bradley Manning didn't complain about mistreatment, prosecutors contend
Target Language: Arabic
",0.0,,,translation_text_wmt_en_fr.pkl,fr
7,on_p50,0,1,8,"Translate an English sentence into a target language.
English: Nevertheless, we have so far managed it without any problems, CSA and British Airways were well prepared for us, so much so that, on occasion, I was quite surprised.
Target Language: Nevertheless, we have so far managed it without any problems, CSA and British Airways were well prepared for us, so much so that, on occasion, I was quite surprised.
English: I have been to the United States and Canada, and I have been to the United Kingdom and Ireland.
Target Language: I have been to the United States and Canada, and I have been to the United Kingdom and Ireland.
English: I have been to the United States and Canada, and I have been to the United Kingdom and Ireland.
Target Language: I have been to the United States and Canada, and I have been to the United Kingdom and",0.0,,,translation_text_wmt_en_fr.pkl,fr
8,on_p50,0,1,9,"Translate an English sentence into a target language.
English: Larry Hagman, whose role as oil tycoon predator JR Ewing in the television series ""Dallas"" became a symbol of greed in the 1980s, has died.
Target Language: English
The translation of the sentence is given in Table 1. The translation of the sentence is given in Table 1. The translation of the sentence is given in Table 1. The translation of the sentence is given in Table 1. The translation of the sentence is given in Table 1. The translation of the sentence is given in Table 1. The translation of the sentence is given in Table 1. The translation of the sentence is given in Table 1. The translation of the sentence is given in Table 1. The translation of the sentence is given in Table 1. The translation of the sentence is given in Table 1. The translation of the sentence",0.0,,,translation_text_wmt_en_fr.pkl,fr
9,on_p50,0,1,10,"Translate an English sentence into a target language.
English: I remember him saying that if Mincy had given Bayamon one championship, Gausse would help get another.
Target Language: I remember him saying that if Mincy had given Bayamon one championship, Gausse would help get another.
English: I remember him saying that if Mincy had given Bayamon one championship, Gausse would help get another.
Target Language: I remember him saying that if Mincy had given Bayamon one championship, Gausse would help get another.
English: I remember him saying that if Mincy had given Bayamon one championship, Gausse would help get another.
Target Language: I remember him saying that if Mincy had given Bayamon one championship, Gausse would help get another.
English: I",0.0,,,translation_text_wmt_en_fr.pkl,fr
10,on_p50,0,1,11,"Translate an English sentence into a target language.
English: When the answer was revealed in an episode in November 1980, an average of 41 million viewers tuned in and made ""Dallas"" the second most watched entertainment programme in history, after the final episode of ""MASH"" in 1983, which had 50 million viewers.
Target Language: When the answer was revealed in an episode in November 1980, an average of 41 million viewers tuned in and made ""Dallas"" the second most watched entertainment programme in history, after the final episode of ""MASH"" in 1983, which had 50 million viewers.
English: The show was the first to be broadcast in the United States on a Saturday night, and the first to be broadcast in the United States on a Saturday night, and the first to be broadcast in the United States on a Saturday night, and the first to be broadcast in the United States on a Saturday night, and the first to be broadcast in the United States on a",0.0,,,translation_text_wmt_en_fr.pkl,fr
11,on_p50,0,1,12,"Translate an English sentence into a target language.
English: As was also the case under previous constitutions, under the draft judicature is justified on the ""principles of Islamic law.""
Target Language: The draft judicature is justified on the ""principles of Islamic law.""
English: The draft judicature is justified on the ""principles of Islamic law.""
Target Language: The draft judicature is justified on the ""principles of Islamic law.""
English: The draft judicature is justified on the ""principles of Islamic law.""
Target Language: The draft judicature is justified on the ""principles of Islamic law.""
English: The draft judicature is justified on the ""principles of Islamic law.""
English: The draft judicature is justified on the ""principles of",0.0,,,translation_text_wmt_en_fr.pkl,fr
12,on_p50,0,1,13,"Translate an English sentence into a target language.
English: The fifteen singers, aging from 23 to 69 years old, range from human geneticists to the maintenance man.
Target Language: The fifteen singers, aging from 23 to 69 years old, range from human geneticists to the maintenance man.
The following is a list of the most common English words that are translated into the target language. The words are listed in alphabetical order. The words are listed in alphabetical order.
The following is a list of the most common English words that are translated into the target language. The words are listed in alphabetical order. The words are listed in alphabetical order.
The following is a list of the most common English words that are translated into the target language. The words are listed in alphabetical order. The words are",0.0,,,translation_text_wmt_en_fr.pkl,fr
13,on_p50,0,1,14,"Translate an English sentence into a target language.
English: This massively damages people's health.
Target Language: This massively damages people's health.
English: This massively damages people's health.
Target Language: This massively damages people's health.
English: This massively damages people's health.
Target Language: This massively damages people's health.
English: This massively damages people's health.
Target Language: This massively damages people's health.
English: This massively damages people's health.
Target Language: This massively damages people's health.
English: This massively damages people's health.
Target Language: This massively damages people's health.
English: This massively damages people's health.
Target Language: This massively damages people's health.
English: This massively damages people's",0.0,,,translation_text_wmt_en_fr.pkl,fr
