,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2,1,1,"El actual entrenador de porteros es un entrenador técnico y con una gran personalidad, que ha sabido encontrar una vía de formación, que no es la de los equipos de fútbol, ya que se trata de un entrenador formado en el campo, en el que se ha formado en los entrenamientos de la Real Escuela de Futbol de la",0.54427782,,,</s>,es
1,on_p50,2,1,2,"/* This file is part of the KDE project
   Copyright (C) 2003 Ariya Hidayat <ariya@kde.org>

   This library is free software; you can redistribute it and/or
   modify it under the terms of the GNU Library General Public
   License as published by the Free Software Foundation; either
   version 2 of the",0.54427782,,,</s>,es
2,on_p50,2,1,3,"#!/usr/bin/env python

import os
import sys
import time
from collections import defaultdict
from distutils.core import setup
from distutils.command.build import build as build_command
from distutils.command.install import install as install_command
from distutils.clist import get_archs",0.54427782,,,</s>,es
3,on_p50,2,1,4,"TOMATE. Cuando un tomate está más maduro se desprende de la piel. El tomate crujiente es agudo en sabor, mientras que las variedades más dulces tienen un sabor más dulce en la piel. Las variedades de tomate jugoso pueden ser más dulces.",0.54427782,,,</s>,es
4,on_p50,2,1,5,"3 Temas: Justiça do Trabalho, Funcionários públicos, Magistrados e Promotores de Justiça em atividade",0.54427782,,,</s>,es
5,on_p50,2,1,6,"Q:

Verifying the type of a method parameter with reflection

I am trying to implement the following method...
// Registration of a MethodBase
public static void Register(string name, MethodBase method, Type[] parameterTypes)

I am having a problem with reflection, I am not sure how to do this. How",0.54427782,,,</s>,es
6,on_p50,2,1,7,"Neuromorphisms
Neurologic disorders affect the brain as well as peripheral nerves. The patient may experience pain in the brain and/or peripheral nerves in addition to the neural symptoms. Until the late 1990s, all forms of neurologic disorders were considered to be of ""nervous system origin."" However, in the 1960s,",0.54427782,,,</s>,es
7,on_p50,2,1,8,"A nível de produção, a empresa detém cerca de 7 milhões de toneladas de açúcar por ano, numa superfície de 6.600 ha, que corresponde aproximadamente a 20% da área de cultivo total.",0.54427782,,,</s>,es
8,on_p50,2,1,9,"The two queens have a right to be.
But they won't fight.
They'll pay for it with their lives.
They'll pay for it with their lives.
Ready?
I shall fight you, you goad.
I shall fight you, you goad.
I shall fight you.
You goad!
Ready?
",0.54427782,,,</s>,es
9,on_p50,2,1,10,"Introduction
In this paper we study the issue of positive orthotropic diffusion coefficient D = d/dt in the full space R N, N ≥ 2. The idea behind the study of local diffusivity is to examine the time-evolution of a solution of the wave equation with initial condition and a prescribed test function. This",0.54427782,,,</s>,es
10,on_p50,2,1,11,"Showing 5 out of a total of 5 results for collection: Political Community. Mostrar artworks under Political Community
Electoral College of Georgia. Mugshot of Union Senator John B. Moussavi, members of US Senate, 1910. In the background of the image, numerous members of the US Senate,",0.54427782,,,</s>,es
11,on_p50,2,1,12,"A garbage truck came at this point, and when a man was cleaning his bike, the truck stopped them, but he had already taken the bike for himself.
During the trip, the garbage truck drove over the police car and the police officer stopped it. He asked the man to leave the bike for now and then drove",0.54427782,,,</s>,es
12,on_p50,2,1,13,"Por todo esto, desde la dirección de Ecoembes Andalucía podemos ofrecerle diferentes opciones para reutilizar su envase, como la que puede seguir en este otro enlace “Envases, el nuevo reto que nos exige el paradigma verde”.
Además de la recogida directa, Ecoembes pone a disposición de los usuarios la",0.54427782,,,</s>,es
13,on_p50,2,1,14,"Exactly. This definition is stated very clearly in the BMA’s new SOSP Art. 16.03. If, however, you are not covered under BMA’s protection, you can refer to Art. 16.05 which provides further details of the rules for a BMA insured individual.",0.54427782,,,</s>,es
14,on_p50,2,1,15,"Q:

How to specify an integer key in Python?

Why is there a need to specify an integer key in Python? I have a function that takes a parameter called key and a function that takes a parameter called size. I want to have a function that takes a parameter called key and a parameter called size and returns a",0.54427782,,,</s>,es
15,on_p50,2,1,16,"Introduction
The first known publication of the largest and deepest ocean vent in the world is from the Eastern North Pacific (SNAP). It is located at a depth of 3.5 km near New Zealand's North Island, at a latitude of 45°50'S, longitude 115°59'E, and 5-10°",0.54427782,,,</s>,es
16,on_p50,2,1,17,"The dextrose group of insulin is often used to treat type 1 diabetes mellitus, which is when (or when insulin or insulin-like growth factor 1 (IGF-1) is not made). It is also useful in the treatment of type 2 diabetes, when the body does not make enough insulin. Type 2 diabetes",0.54427782,,,</s>,es
17,on_p50,2,1,18,"#!/usr/bin/env python
# This script is intended to be run alone via tmtree when I don't have apache installed
# This script executes the following steps and outputs something like:
#
#     python test_hello.py
#
# the output is not formatted like in the example, which is
#",0.54427782,,,</s>,es
18,on_p50,2,1,19,"Beautiful Location near the beach, small town with stores, restaurants and local shops. 45 min to the beautiful island of Bra Por, 15 min to the beautiful island of Houat, 20 min to the beautiful village of La Hougue.",0.54427782,,,</s>,es
19,on_p50,2,1,20,"The information presented on this page is about the nearest Ackerley village shops, hotels and restaurants to Rosman Locks. Please click on the information about shops, hotels or restaurants in Rosman Locks to get more information about shops, hotels or restaurants in Rosman Locks.",0.54427782,,,</s>,es
20,on_p50,2,1,21,"El gran problema de la enfermedad de Alzheimer es que no hay cura. Para sobrevivir, la persona encargada de administrar los tratamientos tiene que estar informada sobre la enfermedad, pero este tipo de información no siempre está al alcance de todo el mundo. Por este motivo, desde el Colegio de Enfermería de Alicante se ha creado un grupo",0.54427782,,,</s>,es
21,on_p50,2,1,22,"/*
 *  Armadillo Workflow Platform v1.0
 *  A simple pipeline system for phylogenetic analysis
 *  
 *  Copyright (C) 2009-2013  Etienne Lord, Mickael Leclercq
 *
 *  This program is free software: you can redistribute it and/or modify
 *  it",0.54427782,,,</s>,es
