,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,Beserk zu die umzigehering zuweild zu weitering zu zwis zu weitering zu zwis zu zwis zu zwis zu zwis zu zwis zu zwis zu zwis zu zwis zu zwis zu zwis zu zwis zu zwis zu zwis zu z,0.97489319045,,,</s>,de
1,on_p50,1000,1,2,"/*
 *  Copyright (C) 2006-2015 Weimar Kalas
 *  Part of Weimar Kalas - Werschgrund
 *
 *  This program is free software: you can redistribute it and/or modify
 *  it under the terms of the GNU General Public License as published by
 *  the",0.97489319045,,,</s>,de
2,on_p50,1000,1,3,lichen ने इतना किया था कि उन्हें उसमें कोई प्रमाण प्राप्त नहीं हुआ कि वह würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden würden,0.97489319045,,,</s>,de
3,on_p50,1000,1,4,"TOMDLE - KIT DE HARAGEN SCHLEEKANEN FENK TRAIN SEF. Connektz deren Sie, ruhig zu schlüsselt und deren Sie, ruhig zu schliessert. Einbachtig weig zu schlüsselt und der",0.97489319045,,,</s>,de
4,on_p50,1000,1,5,"Personally, I do not like all of the games, but there are some good ones. Obviously, the Furstenberg Stories are the best. They offer a more realistic or more realistic story, they include a lot of art and some history (the castle had a lot of history from 1800 to 1900, so I",0.97489319045,,,</s>,de
5,on_p50,1000,1,6,"Kósso rékst. doc. Vunder denanderfferungsregrund, zu...
1) Vist der demit kompartit system, dasat die kozso(me) auch nicht...",0.97489319045,,,</s>,de
6,on_p50,1000,1,7,"Neuromorphisms
Neuromigrations are deregarded principles in embryology, therefore, it is important to understand the underlying concept and in this regard the neural network is an important tool. The fundamental objective of an undernuematomatisation is to bring the child to the best in an optimal personality, im",0.97489319045,,,</s>,de
7,on_p50,1000,1,8,"- En ce qui concerne l'encens, je te suggère de le mettre au sein d'un abrutger ifr die.Eins der die, die die die die die die die die die die die die die die die die die die die die die die die die die die die die die die die die die die die",0.97489319045,,,</s>,de
8,on_p50,1000,1,9,"TheDelegate que corresponds to a member of an OperatorList.Der an allee ofget sich automatisch auch die von dem jegt werden.Ähnlich die allee deren sie-lickef die einfach große bestehenden von derineamen.
Und deren die allee die",0.97489319045,,,</s>,de
9,on_p50,1000,1,10,"The human immune system is a strong and flexible organ, which can be checked in time and graduating from immunity as early as possible.",0.97489319045,,,</s>,de
10,on_p50,1000,1,11,"- BtTest：(http://www.beiträge.com) - Urssi: (http://www.usgs.org/programmes &gt; Deutschland-weise-undemmaschine). - Eigem: USA:
- Kleinova: J. Kranz. Das für Deutschland immensa,",0.97489319045,,,</s>,de
11,on_p50,1000,1,12,"A entsetzlichen konflicke kann die betzugt werden, um die scientischenzien die zu richtigen werden, die zuntum demal an die demausse in sichstylon die bere zhassen zu deren zudem werden. Das zudem werden, die",0.97489319045,,,</s>,de
12,on_p50,1000,1,13,"Even in a very popular bill with generous subsidies, it was still not enough to stop the unemployment rate from rising. Our most important driving principle is family, that is why we are, in that great number, the biggest employer in Germany.",0.97489319045,,,</s>,de
13,on_p50,1000,1,14,"Now we are in the middle of a whole new period. The new period has already begun but we still have much to do. If we still have something to do, then we are still in the course. If we only want the best, then we have to continue to be better. We do anything in our entire",0.97489319045,,,</s>,de
14,on_p50,1000,1,15,"♥ Inspiration, moderne et tendance : papier spécial pour le verrier de table et le verrier trogrezter.
Boutique online de sports cuisine, nourriture et beverages. Spielreonline für günstig. Wechsel für günstig. Décos, instruments, ustensils",0.97489319045,,,</s>,de
15,on_p50,1000,1,16,"“Begin again,” threatens her. “Something’s wrong!” Her eyes raise them. “It’s from me. You’re stronger than me!”
“And you’re not human,” says Suf, pointing to his hand. “Somehow, it’s me?”
“And you’re not",0.97489319045,,,</s>,de
16,on_p50,1000,1,17,"- The front view of the car is not fully functional, but it is still an excellent car for practical (re)training.",0.97489319045,,,</s>,de
17,on_p50,1000,1,18,个个初生崭露头角。” 暨南大学社会科学系魏俊豪博士在主旨演讲中表示，“”『德苏』与《塔勒》二者都属于国际通用的“ j’aurais tr eer al'eburden rf 。”即“我有着汗 das,0.97489319045,,,</s>,de
18,on_p50,1000,1,19,"Bees were recorded on Jan. 27. Sitteen Schreck et al. note that the figs were developed not yet. The field is partly dated to imnerv geweltzeit (in 1305) in Erlangen, and partly to be Panzerodenzeit (in 1305) in Berlin",0.97489319045,,,</s>,de
19,on_p50,1000,1,20,"The information presented in this article is about the Blending field of IT. In this context we will see how Löschen denstands information about the Blending field of IT.
We take the concept of Blending as an example. Even if we want to explain how Löschen combines information about blending with",0.97489319045,,,</s>,de
20,on_p50,1000,1,21,Un gran perro de maschte schnackpreister echadern en denmark is best suited to outdoor activities. Shipping: öffernünnern (0) €. Für zu amals zu berufus zu zu Lehern zu zu rechiner zu zu öffernünnern zu,0.97489319045,,,</s>,de
21,on_p50,1000,1,22,"We have been getting more and more compliments on our E-Filing Service. Many of them are saying how fast E-Filing works for us. What is E-Filing? E-Filing is an electronic filing procedure, which usually does not require the in-person filing of a paper document",0.97489319045,,,</s>,de
22,on_p50,1000,1,23,"第四条 负责学科管理，推动学科全球化。拟订学科发展规划、人才培养方案和学科建设标准和人才培养模式等方案，并监督实施。完成基础、学科及相近学科领域、分支、咨询等领域的科研项目。

OberCar Berlin Berlin Berliner Bodesen Berlin für S",0.97489319045,,,</s>,de
23,on_p50,1000,1,24,"﻿Das Erdolungen, wie ab öf die zu verossem und die zu besmericanen, die zu zu verossem. Zus am s dirr die zu zu besanständ. Wenn die zu zu verossem, die zu zu verossem. Zus am s dir",0.97489319045,,,</s>,de
24,on_p50,1000,1,25,"Municípios
Dortmund
Dortmund
Dortmund
Dortmund
Dortmund
Dortmund
Dortmund
Dortmund
Dortmund
Dortmund
Dortmund
Dortmund
Dortmund
Dortmund
Dortmund
Dort",0.97489319045,,,</s>,de
25,on_p50,1000,1,26,"Scherz von Kinderzherz
Scherz von Kinderzherz ist eine von derzeit von derzeit von derzeit von derzeit von derzeit von derzeit von derzeit von derzeit von derzeit von derzeit von derzeit von derzeit von derzeit von derzeit von",0.97489319045,,,</s>,de
26,on_p50,1000,1,27,"Zöllner-Flitiger-Schlieren (ZFS) is a method for the anamorphic investigations of binary systems, which facilitates the correcting of the Schlieren angle in contrast to Schlieren-Schunkungsgeometrie (SSG) and Schlieren-Schulzungsgeometrie",0.97489319045,,,</s>,de
27,on_p50,1000,1,28,"Un an après le crash de l’A400M, le 27 mai 2010, trois avions habubannen ont disparu, le Helicopter 16 Buerger (SV-8), le Helicopter 16 Vora und Kladen (SV-16) et le Helicopter 14 Würrstern Platz",0.97489319045,,,</s>,de
