,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2,1,1,"El actual entrenador de los Bulls es un entrenador técnico y táctico, que sabe qué hacer y lo hace, con resultados, lo cual es un logro en este momento de la NBA. Pero, ha sido difícil. Los Bulls están en el puesto 20 de la División Central de la Conferencia Este, y un equipo que ocupa",0.5442475999999999,,,</s>,fr
1,on_p50,2,1,2,"/* This file is part of the KDE libraries
    Copyright (C) 2003 Michael Zahn <zhaanh@kde.org>

    This library is free software; you can redistribute it and/or
    modify it under the terms of the GNU Library General Public
    License version 2 as published by the Free Software Foundation.

    This library",0.5442475999999999,,,</s>,fr
2,on_p50,2,1,3,"#!/usr/bin/env python

import os
import sys
import time
import subprocess
import socket
import errno
import signal

from math import ceil, floor, log10

def log(message, printout):
    printout = printout or sys.stderr
    printout.write(message +",0.5442475999999999,,,</s>,fr
3,on_p50,2,1,4,"TOMATE: Encuentra y guarda ideas sobre Platos especiales de lentejas en Pinterest. Encuentra y guarda ideas sobre Platos especiales de lentejas en Pinterest. Platos especiales de lentejas. Platos especiales de lentejas. Platos especiales de lentejas.
26/04/2011 · Fabulosa receta",0.5442475999999999,,,</s>,fr
4,on_p50,2,1,5,"3. If you do not receive a notification, you may be a member of a group not registered for the event. You will not be able to download the file or attend or present your work, and you will not be able to enter a discussion of your work.",0.5442475999999999,,,</s>,fr
5,on_p50,2,1,6,"Q:

Verifying the equivalence of two described trigonometric identities

I am having a hard time proving the equivalence of the two following described identities:
$$\cos(x+y) = \cos{x} - \cos{y}$$
$$-\sin(x) = \sin{x} + \sin{y}$$
For example, it",0.5442475999999999,,,</s>,fr
6,on_p50,2,1,7,"Neuromorphisms
Neuromorphic computing is an emerging field of research which aims to build a hardware device for neural processing based on the cellular automaton (CA). The interest in the CA is mainly due to its rich physical mechanism that mimics the biological neuronal network. The CA is a simple and efficient simulation of the",0.5442475999999999,,,</s>,fr
7,on_p50,2,1,8,"A polícia rodoviária federal (PRF) prendeu um homem de 37 anos, que conduzia um caminhão baú Mercedez Benz, carregado com 22 caixas de cerveja, no final da manhã desta quarta-feira (20), no km 242 da BR-364, em Itaituba, no sudeste do Pará,",0.5442475999999999,,,</s>,fr
8,on_p50,2,1,9,"The two queens, a member of the royal family of the United States, are the queens of the United States. They are the two queens of the United States of America. Texas Governor Rick Perry, who was named the new vice president, will be the chief of staff to President Trump in this office.",0.5442475999999999,,,</s>,fr
9,on_p50,2,1,10,"The human body is extremely complex and is made up of two different types of cells, known as somatic and germ cells. Somatic cells are killed during sexual maturation and are the ones we are most familiar with. The germ cells, on the other hand, are capable of becoming somatic cells and are responsible for",0.5442475999999999,,,</s>,fr
10,on_p50,2,1,11,"Showing 0 out of a total of 0 results for collection: Political Economy of the Poor and the Poor in Aotearoa New Zealand. (0.004 seconds)
In the spring of 2015, around 500 India members and US and Canadian friends were in Taito-na-Tahiti to celebrate the 50th anniversary",0.5442475999999999,,,</s>,fr
11,on_p50,2,1,12,"A partir del lunes, 13 de enero, os estaréis viendo a través de la plataforma Zoom. Os animamos a que participéis como mejor os convenga, publicando el enlace en la sección de comentarios de Instagram o YouTube, o apuntándoselo a vuestra libreta de apuntes de la asignatura.
",0.5442475999999999,,,</s>,fr
12,on_p50,2,1,13,"Por todo esto y por más, se convoca a los señores Finitionistas a que el próximo sábado 5 de junio a las 10 de la mañana en el Palacio Municipal de esta ciudad, los funcionarios del municipio que lo conforman, se reúnan para discutir las diferentes cuestiones que afectan a la ciudad y luego se reúnan todos los",0.5442475999999999,,,</s>,fr
13,on_p50,2,1,14,"Now we are looking at the sixth universal truth. It is important to remember that the human mind is the human’s most powerful tool. It is our ability to creatively apply the sixth universal truth that gives us the power to control the human mind, to govern the human being, and to create the human being. The",0.5442475999999999,,,</s>,fr
14,on_p50,2,1,15,"Q:

How to pass an integer to a method in Java?

I have the following method:
public static ArrayList<Integer> getIntArray(int start, int end) {
    ArrayList<Integer> result = new ArrayList<>();

    for (int i = start; i < end; i++) {
        result.add(i)",0.5442475999999999,,,</s>,fr
15,on_p50,2,1,16,"Introduction
The first symptoms of cancer are typically vague, non-specific, and nonspecific (1). This is a common problem in the context of a general practitioner (GP) office (2). In addition to absence of symptoms, the main issue is the lack of recognition of symptoms by patients and GPs.",0.5442475999999999,,,</s>,fr
16,on_p50,2,1,17,電話接通後，她走起來很緩慢，在路上走著，也想往回走 (要怎麼回到住處?)，可是卻一直走到了最方便的位置。被問到原因時，她說因為她身體不太好，走路會很慢。我想起我的家人，我自己的,0.5442475999999999,,,</s>,fr
17,on_p50,2,1,18,"#!/usr/bin/env python
# This script will create a configuration file for an API server that I have
# written. This particular API server is for running with the Xlib event
# loop. It uses a custom session manager to allow access to the configuration
# file via a GUI interface.
#
# This",0.5442475999999999,,,</s>,fr
