,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,20,1,1,"South Africa Net Profit Stable
In 2019, South Africa posted a current account deficit of $4.7 billion, a 17.4% increase from the $4.0 billion shortfall in the previous year.
South Africa Current Account Surges
The",0.5442800634,,,,ja
1,on_p50,20,1,2,"import React, { Component } from'react';
import PropTypes from 'prop-types';

import { Talent, Profile } from '../../../utils/constants';
import { composeWithTracker } from'react-komposer';

import {
  badge,
",0.5442800634,,,,ja
2,on_p50,20,1,3,"System and method for assessing vulnerability in a network
8601074 System and method for assessing vulnerability in a network
Inventor: Erlick, et al.
Primary Examiner: Giang; Tri
Attorney Or Agent: Nixon & Vanderhye",0.5442800634,,,,ja
3,on_p50,20,1,4,"# 北史

《北史》，北齐司空崔光所著，成化三年（467年），北齐文宣帝宣天六年即别受祭",0.5442800634,,,,ja
4,on_p50,20,1,5,"Chapter 1 (See the previous chapter for more background information.)
""Am I going to die?""
""No, you're not going to die.""
""Tell me again.""
""You're not going to die. They're not going to execute you. As long as you obey",0.5442800634,,,,ja
5,on_p50,20,1,6,"package com.mebigfatguy.fbcontrib.fb2html;

import java.io.File;
import java.io.FileInputStream;
import java.io.IOException;
import java.io.InputStream;
import java.io.InputStreamReader;
import java",0.5442800634,,,,ja
6,on_p50,20,1,7,"package boofcv.alg.shape.quadrilateral;

import boofcv.alg.shape.ContourIterator;
import boofcv.alg.shape.ShapeTruncataion_ImplDxy;
import boofcv.struct.convex.ConvexPolygon",0.5442800634,,,,ja
7,on_p50,20,1,8,"Home > Opinion > 2015 > 12 > 23 > Kashmir from a US Perspective
Kashmir from a US Perspective
Kashmir has been a flash point between India and Pakistan since partition, but it is also an issue within India itself. This",0.5442800634,,,,ja
8,on_p50,20,1,9,"A Farewell to the Nutt House
I wanted to tell you about my friend, Ann, who I visited this past weekend. She taught me to make quilts. I have no idea why I would take on such a tedious and time-consuming task, but I loved each quilt",0.5442800634,,,,ja
9,on_p50,20,1,10,"# Peixe do Mar

Peixe do Mar é uma banda portuguesa de rock e blues/folk, formada em 2007. É composta por Miguel Marques (guitarra e voz), Pedro Gonçalves (bateria), Nuno Neves",0.5442800634,,,,ja
10,on_p50,20,1,11,"A Grammar;
Or, The English Language
Wilkens & Munson, printers,
Milwaukee, Wis
CHAPTER 1. PARTS OF SPEECH.
The words of our language are divided into eight parts of speech. The names of these parts are derived",0.5442800634,,,,ja
11,on_p50,20,1,12,"#include <iostream>
#include <functional>
#include <algorithm>

using namespace std;

typedef pair<int, int> P;

int main() {
    int A[6], n;
    cin >> n;

    for (int",0.5442800634,,,,ja
12,on_p50,20,1,13,"The Malibu Coastal Walnut stair railing is an elegant and attractive choice for your home. The Malibu stair railing system features a richly tempered, clear glass panel which is securely mounted in a sleek brushed stainless steel frame. The sleek contemporary design",0.5442800634,,,,ja
13,on_p50,20,1,14,"News, Reviews and Features ‘A celebration of the human spirit’: IT IS EASY TO GET LOST – The Space ★★★★★
‘A celebration of the human spirit’: IT IS EASY TO GET LOST – The Space ★★★★★",0.5442800634,,,,ja
14,on_p50,20,1,15,"package com.github.jxen.pudding;

import com.github.jxen.pudding.api.Ranges;
import org.junit.jupiter.api.Test;

import java.util.Arrays;
import java.util.List",0.5442800634,,,,ja
15,on_p50,20,1,16,"Tags: python, pytorch, conv-neural-network

Question: How to make Pytorch's Conv2d output three classes?

I am trying to create a neural network that will take in a 300x300 image and output one of three classes",0.5442800634,,,,ja
16,on_p50,20,1,17,"# Tracie Thoms

Tracie Thoms (* 1975 in Washington, D.C.) ist eine US-amerikanische Schauspielerin.

## Werdegang

Thoms besuchte in Atlanta das Spelman College und ging dann an die New York University, wo",0.5442800634,,,,ja
17,on_p50,20,1,18,"#
Vierzehn Monate später
Dawns Aufzeichnungen
Ich schließe das Tagebuch, doch die Worte, die ich auf die Seite geschrieben habe, bleiben wie irgendwie verdächtig schimmernd an meiner Hand. Ich reiche die Plastik",0.5442800634,,,,ja
18,on_p50,20,1,19,Our one of a kind Celtic Cross Pendant Necklace will surely leave you and your loved ones amazed with its beauty and quality. The Celtic Cross Pendant has a beautiful design with an intricate detail that is guaranteed to catch every eye that it lies on. It's the perfect access,0.5442800634,,,,ja
19,on_p50,20,1,20,"# Gheorghe Hagi

Gheorghe ""Gica"" Hagi (Băilești, Rumania, 5 de febrero de 1965) es un exfutbolista rumano que se desempeñaba como volante.

El apodo",0.5442800634,,,,ja
20,on_p50,20,1,21,"This tutorial shows how to use the MQTT Event Bridge to publish events to an Arduino.
The following example shows how to publish received events on the Arduino MQTT Event Bridge.
In this step you have to setup a new Arduino MQTT Event Bridge configuration. The Arduino MQ",0.5442800634,,,,ja
21,on_p50,20,1,22,"package util

import (
	""bytes""
	""encoding/json""
	""fmt""
	""io/ioutil""
	""os""
	""os/exec""
	""path/filepath""
	""runtime""
	""time""
)",0.5442800634,,,,ja
22,on_p50,20,1,23,"# Lijst van voetbalinterlands Luxemburg - Portugal

Deze lijst van voetbalinterlands is een overzicht van alle officiële voetbalwedstrijden tussen de nationale teams van Luxemburg en Portugal. De landen speelden tot op heden twee keer tegen elka",0.5442800634,,,,ja
23,on_p50,20,1,24,"# Jean-Victor Moreau

Jean-Victor Moreau, född 21 december 1763 i Morlaix, Frankrike, död 2 september 1813 i Châlons-sur-Marne, var en fransk general.

",0.5442800634,,,,ja
24,on_p50,20,1,25,"CNN anchor Don Lemon on Monday delivered an emotional monologue after visiting El Paso, Texas, and Dayton, Ohio, the sites of two mass shootings that occurred within 24 hours last weekend.
“Sunday evening on national television, I explained why I thought that Sunday",0.5442800634,,,,ja
25,on_p50,20,1,26,"/*---------------------------------------------------------------------------------------------
 *  Copyright (c) Microsoft Corporation. All rights reserved.
 *  Licensed under the MIT License. See License.txt in the project root for license information.
 *--------------------------------------------------------------------------------------------*/
import { IInstantiationService,",0.5442800634,,,,ja
26,on_p50,20,1,27,"The following was written by forum member, MilesKm.
We’re now four months into 2021 and our experiences have been anything but ordinary, to say the least. Like most other places around the world, we have been affected by lockdowns, masks, closed borders and travel",0.5442800634,,,,ja
27,on_p50,20,1,28,"Home Fashion and Style A GOOD HEALER
A GOOD HEALER
Hippocrates once said that the physician who is to do his work well must have two things, a sound head and a sound body. The two must not be in contradiction, and the one must not be sacrific",0.5442800634,,,,ja
28,on_p50,20,1,29,"Home/Funding/SASSA grant payment dates for December 2022
SASSA grant payment dates for December 2022
A total of R38.2 billion has been allocated to SASSA to provide social assistance. This includes R19.7 billion for",0.5442800634,,,,ja
29,on_p50,20,1,30,"Science and technology have take a great leap in human history. It is nice to have a look at the wonders that science has provided to man, the benefits that it has brought to humanity. From bringing electrical energy in our homes to the most recent invention in the mannequin of the automobile",0.5442800634,,,,ja
30,on_p50,20,1,31,"A WWII U.S. Army Quartermaster Engineer officer's service group with three ribbon bars, a round pin, and U.S. Army patch. Two were awarded for his service during the campaigns of Normandy, Northern France and Rhineland. The remainder of the decorations",0.5442800634,,,,ja
31,on_p50,20,1,32,"# Thyreus cruentus

Thyreus cruentus är en biart som först beskrevs av Fabricius 1781. Thyreus cruentus ingår i släktet Thyreus och familjen långtungebin. Inga underarter finns listade i Catalogue of",0.5442800634,,,,ja
32,on_p50,20,1,33,"package com.fasterxml.jackson.databind.util;

import java.io.*;
import java.nio.charset.Charset;

import com.fasterxml.jackson.core.Version;
import com.fasterxml.jackson.core.io",0.5442800634,,,,ja
33,on_p50,20,1,34,"Home » News » Funding to help restore historic buildings
Funding to help restore historic buildings
The National Lottery Heritage Fund has awarded £35,000 to Northamptonshire Archaeology to work with property owners to repair and preserve important historic buildings in the county.
The",0.5442800634,,,,ja
34,on_p50,20,1,35,"# 铁岭市各级文物保护单位列表

以下是铁岭市的各级文物保护单位列表。

## 黑龙江",0.5442800634,,,,ja
35,on_p50,20,1,36,"import os
import sys
import re
import subprocess

def prompt(prompt, prefix='', suffix='') -> str:
    '''
    'Asks for user input.
    '''
    if prefix!= '':
        print(prefix)
    elif suffix!= '",0.5442800634,,,,ja
36,on_p50,20,1,37,"package com.vlad13.material.wearable.style;

import android.content.Context;
import android.graphics.drawable.Drawable;
import android.graphics.drawable.GradientDrawable;
import android.support.v4.content.ContextCompat;
import android",0.5442800634,,,,ja
37,on_p50,20,1,38,"# Kepulauan Chagos

Kepulauan Chagos adalah kepulauan yang berada di Samudra Hindia, sekitar 500 km di selatan selat Malaka. Kepulauan ini merup",0.5442800634,,,,ja
38,on_p50,20,1,39,"# Legg Mason Tennis Classic 2004

Der Legg Mason Tennis Classic 2004 war ein Tennisturnier, welches vom 2. bis 8. August 2004 in Washington, D.C. stattfand. Es war Teil der ATP",0.5442800634,,,,ja
39,on_p50,20,1,40,"package com.github.megatronking.netbare.provider.channel;

import com.ciic.netbare.core.basic.CallContext;
import com.ciic.netbare.core.channel.Channel;
import com.ciic.netbare.core.",0.5442800634,,,,ja
40,on_p50,20,1,41,"package com.uber.autobahn.wiring.saga.step

import com.uber.autobahn.utils.LogUtils

import scala.concurrent.Future

/**
 * Created on 5/18/15.
 */
trait StepSpec {",0.5442800634,,,,ja
