,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"En ce qui concerne votre équipement, je trouve que vos photos sont magnifiques. Je ne vous ai pas fais de remarque mais j’ai quand même envie de vous dire que je trouve que le design des sacs est toujours génial, pour vous, pour moi, pour les tous petits …",0.08990543747199999,,,</s>,fr
1,on_p50,1000,1,2,Les apports d’Intelligence artificielle ne se limitent pas uniquement à améliorer les technologies d’entreprise. L’IA est également en train de devenir un sujet de conversation qui intéresse le grand public. Une entreprise comme IBM a d’ailleurs lancé le programme Watson qui permet aux particuliers d’accéder à son expertise. Pour mettre en place un,0.08990543747199999,,,</s>,fr
2,on_p50,1000,1,3,"#!/usr/bin/env python

# -*- coding: utf-8 -*-
#
# Copyright © 2012 - 2017 Michal Čihař <michal@cihar.com>
#
# This file is part of Weblate <https://weblate.org/>
#
# This program is free software: you can redistribute",0.08990543747199999,,,</s>,fr
3,on_p50,1000,1,4,"Ce produit est un cadeau qui satisfait à la fois les enfants et les adultes, où vous pourrez jouer à des jeux de cartes et des jeux de société, et où vous pouvez apprendre à jouer en ligne en jouant avec n’importe quelle partie de notre catalogue de jeux gratuits pour tablette.
Souvenez-vous donc que ce n’est",0.08990543747199999,,,</s>,fr
4,on_p50,1000,1,5,"“Le fait que les citoyens puissent avoir recours au droit pénal pour répondre à des actes terroristes est indispensable pour protéger nos libertés. La France est le premier pays d’Europe à autoriser l’isolement cellulaire, car il s’agit d’un moyen de lutter contre le terrorisme.”
“Le droit pénal est une arme essentielle, car il",0.08990543747199999,,,</s>,fr
5,on_p50,1000,1,6,"En las elecciones ha coincidido con la celebración de actos religiosos. Ha sido al final de una misa celebrada en la parroquia de la Virgen de la Salud, cuyo párroco, el canónigo José Luis Gómez, ha colaborado en los comicios. Gómez ha animado a los mayores a votar, y ha insistido en que",0.08990543747199999,,,</s>,fr
6,on_p50,1000,1,7,"Neuromorphisms
Neuroimaging analyses of brain function are now such that a large number of brain regions have been identified to be involved in cognitive processes. Human brain activity is classified into two basic types on the basis of its functional correlate: one is named the neuronal activity that is in an active state, and",0.08990543747199999,,,</s>,fr
7,on_p50,1000,1,8,"Le Champagne doit être servi entre 10° et 12° lorsque le millésime 2005 est apprécié pour ses arômes d’agrumes et de fruits exotiques.
Un champagne frais et élégant, plutôt sec avec un bon équilibre, très bien aromatisé et facile à boire.
Un champagne fruité de grande classe,",0.08990543747199999,,,</s>,fr
8,on_p50,1000,1,9,"A partir que você consegue a CNH (Carteira Nacional de Habilitação), que te permite dirigir veículos, é preciso ter alguns cuidados para evitar acidentes, crimes e outros problemas. É muito importante manter o veículo sempre em dia com os pagamentos dos licenciamentos.
De acordo com a quantidade de anos de uso do",0.08990543747199999,,,</s>,fr
9,on_p50,1000,1,10,"Introduction
Devised in 1960 by John Simon, the sea opinion is an important concept in the management of marine resources. It is a conceptual framework which combines the elements of uncertainty, locality, and dynamism. The idea of a sea opinion is that, in managing a marine resource, the interests of all those",0.08990543747199999,,,</s>,fr
10,on_p50,1000,1,11,"Il y a un peu plus de deux mois, j’ai eu le plaisir d’assister à la conférence « Comprendre le meilleur choix en matière d’investissement immobilier ». J’ai adoré les nombreuses références aux salles de marché. C’est tellement cool de pouvoir comparer les parts de marché de plusieurs stratégies d’investissement (fuite",0.08990543747199999,,,</s>,fr
11,on_p50,1000,1,12,"A partir du troisième quart du XIIIe siècle, le roi de France et son conseil ont décidé de la disparition des évêques de Paris: un certain nombre d'entre eux ont été supprimés, une douzaine sont devenus évêques ordinaires, et le diocèse a été divisé en sept évêchés canoniques.",0.08990543747199999,,,</s>,fr
12,on_p50,1000,1,13,"Por todo esto establecimos una Investigación de Mercados para conocer un poco más de las preferencias y necesidades de los viajeros en base a la experiencia en sus viajes y por supuesto esta vez no teníamos las grandes empresas que anuncian la ruta sino que teníamos a las personas que están muy familiarizadas con el destino, se hacen ese tipo de",0.08990543747199999,,,</s>,fr
13,on_p50,1000,1,14,"Je suis contente de vous rencontrer et de voir que vous faites partie de ma communauté IG ou bien que vous êtes abonné à mes vidéos sur mon compte YouTube.
Vous pouvez utiliser le mot clé PI:USER entre le jour de prise de vue et la fin de la galerie si vous souhaitez apparaître dans la galerie.
J’ai beaucoup",0.08990543747199999,,,</s>,fr
14,on_p50,1000,1,15,"Q:

How to define an integer key for my left_join query in MySQL?

I'm trying to make an SQL query where I have three tables and I want to retrieve data for a given user. The user has an id and an email. I want to retrieve all the posts that the user has written.
I'm doing",0.08990543747199999,,,</s>,fr
15,on_p50,1000,1,16,"“Shillings” is a popular currency in India. Of course, there are several ways to convert a pound of silver into rand. This can seem perplexing but it is actually quite simple once you get a basic understanding of how the exchange rate works.",0.08990543747199999,,,</s>,fr
16,on_p50,1000,1,17,"Cette dexterité lui permet de partir en chasse, d’escalader des rochers ou des roches, ou rampes ou de plonger sous les arbres.",0.08990543747199999,,,</s>,fr
17,on_p50,1000,1,18,"Après avoir franchi un premier cap, de la valorisation de la nouvelle génération de services, elle a continué ses années de renforcement des relations avec ses clients et de croissance du chiffre d’affaires. Aujourd’hui, Nethys est le groupe coopératif du Crédit Mutuel des Entreprises de Bourgogne, assurant une couverture des territoires de",0.08990543747199999,,,</s>,fr
18,on_p50,1000,1,19,"La roue est blanche, pas de rouille, seulement une petite usure, le côté du trou est un peu tordu. Veuillez consulter la photo pour voir le détail.
Fiche Technique : Fiche technique complète du bon état : Merci de bien vouloir PAYER par Carte Bancaire. MODE DE PAI",0.08990543747199999,,,</s>,fr
19,on_p50,1000,1,20,"3.5. Si el Usuario no está conforme con el tratamiento que Wecasa le brinda o si participa de él denigrando el buen nombre de Wecasa, podrá exponer su reclamo a través del correo electrónico
3.6. Wecasa, en su carácter de responsable del tratamiento, se compromete",0.08990543747199999,,,</s>,fr
20,on_p50,1000,1,21,"Pour la Fête de la Musique, les élèves de cycle 3 sont partis à la rencontre de leurs voisins. Sur leur chemin vers la médiathèque, ils se sont arrêtés devant des instruments de musique.
Ils ont posé beaucoup de questions aux personnes qui les accueillaient, elles ont ainsi appris le nom des instruments.
",0.08990543747199999,,,</s>,fr
21,on_p50,1000,1,22,"Le fait que le fil des explications ne soit pas le même pour tout le monde peut cependant être énervant.
Tu m'as fait bien rire, n'ayant jamais aimé les films d'horreur... Je n'ai jamais su pourquoi, j'ai juste le souvenir d'un film particulièrement pénible que j'avais trouvé absolument horrible... Mais je sais que ce n'était pas",0.08990543747199999,,,</s>,fr
22,on_p50,1000,1,23,"On sait que Marshall a adoré le premier épisode. On sait aussi que Marshall a adoré la seconde heure, puis la troisième.... et la quatrième! Et il conseille cette série à toute sa bande de potes. Quand on voit que la seconde saison a été tournée en quasi intégralité à Hong Kong, on comprend",0.08990543747199999,,,</s>,fr
23,on_p50,1000,1,24,"﻿
Une des menaces que la société contemporaine fait peser sur notre environnement naturel est la diminution progressive de la biodiversité. L'agriculture intensive a entraîné une diminution de la diversité biologique des sols et des plantes cultivées, et des populations de plantes sauvages. Ces phénomènes sont accentués par l'augmentation de la pression anthropique sur",0.08990543747199999,,,</s>,fr
24,on_p50,1000,1,25,"Le projet est porté par les associations Maison de la Vie Associative et InterIci, dont les locaux se trouvent au 1er étage de la nouvelle résidence sociale La Panne, au n°21 de la rue de Carouge à Lausanne.
Construite en mars 2019, cette résidence de 22 logements est voulue comme un lieu d’",0.08990543747199999,,,</s>,fr
25,on_p50,1000,1,26,"Leur ambition : être le premier opérateur de services financiers au monde, en créant une valeur unique et des gains d’efficacité pour toutes les parties prenantes.",0.08990543747199999,,,</s>,fr
26,on_p50,1000,1,27,"Et pourtant, il y a plus de 40 ans déjà, les Français réalisaient leurs premiers scores sur le numérique. Mais depuis, il y a eu un très gros développement. Vous parlez de la salarisation de la femme, et vous avez fait une très belle étude qui démontre des situations très disparates, notamment dans la",0.08990543747199999,,,</s>,fr
27,on_p50,1000,1,28,"Un an après le crash de l’A320 de la compagnie française qui transportait 239 personnes, le constructeur Airbus a annoncé mardi avoir achevé la « réintégration » d’une deuxième des deux boîtes noires du vol d’Air France, ce qui a permis aux enquêteurs d’en dégager les crash codes, le code défaut des aéronefs",0.08990543747199999,,,</s>,fr
28,on_p50,1000,1,29,"PHPDoc fournit des informations sur les variables de classe, les méthodes, les opérateur, les types de données, les fichiers inclus et les types de pages.
La barre de recherche de PHPDoc peut être utilisée pour rechercher le code PHP contenant une chaîne de recherche.",0.08990543747199999,,,</s>,fr
29,on_p50,1000,1,30,حكومتي وشعب مصر وشخصيات عامة ، بعد لقاء حسن الاستقبال المكرّم الذي لقيه حسن شحاتة رئيس الاتحاد المصري لكرة القدم، في الافتتاح الرسمي للمنفتحات الرسمية لبطولة كأس العالم للشباب لكرة القدم، حيث تم استقباله في قصر السلام الكبير بجوار قصر الاتحادية. وقد تم استقبال,0.08990543747199999,,,</s>,fr
30,on_p50,1000,1,31,"“Plusieurs études ont montré que les taux d’intérêt négatifs ont des effets négatifs ou nuls sur l’investissement, mais je ne crois pas que l’évolution de la Fed aura un impact majeur sur notre économie,” a indiqué Bob Moore, professeur d’économie à la Western Governors University de Phoenix, dans un entretien téléphonique.",0.08990543747199999,,,</s>,fr
31,on_p50,1000,1,32,"Les PME et les TPE ont de plus en plus recours à des courtiers qui offrent des services de gestion de patrimoine, de crédit et de conseil en investissement. Dans ce cadre, elles se tournent vers les PEP pour préserver leur liquidité face aux imprévus de leur activité.
Elles s’appuient",0.08990543747199999,,,</s>,fr
32,on_p50,1000,1,33,"Charlesinox a écrit : Je suis pas en mesure de me prononcer sur AMG mais j'ai bien aimé le style ODB. Sur les dernières versions, c'était beaucoup moins harmonieux.
En général sur les modèles de la dernière gamme, les écrans affichent le style ODB plutôt que celui d'Autoportée.
",0.08990543747199999,,,</s>,fr
33,on_p50,1000,1,34,"- Ah, je vois. Mais vous êtes des mines de renseignements. Mon prochain devoir est de vous emmener en prison.",0.08990543747199999,,,</s>,fr
34,on_p50,1000,1,35,Dung Bingfeng (老丈人):老丈人.我告诉你.你如果不快点过来.那就真的不要怪我不客气.哈哈.你知道是什么原因吗？那就是因为我的老婆不喜欢那个叫苏沫沫的女人.所以我才不和你玩.哈哈.你说呢？ 说完这句话.老丈人拉,0.08990543747199999,,,</s>,fr
35,on_p50,1000,1,36,"En outre, le contrat qui lie l’Utilisateur (art.12) ne peut pas être modifié unilatéralement par le vendeur. Si l’Utilisateur modifie la commande dans ce sens, les modifications seront appliquées immédiatement. Dans le cas contraire, l’Utilisateur doit attendre que la commande ait été évalu",0.08990543747199999,,,</s>,fr
36,on_p50,1000,1,37,,0.08990543747199999,,,</s>,fr
37,on_p50,1000,1,38,"Je ne suis pas du tout un cinéphile, je ne suis pas un grand amoureux du cinéma, mais il y a un positionnement de notre société qui est de moins en moins favorable au cinéma et c’est à mon sens, au-delà des films que nous voyons et des films que nous ne voyons pas, c’est un autre",0.08990543747199999,,,</s>,fr
38,on_p50,1000,1,39,"Je suis prêt à faire tout cela. Je souhaite que la commune se charge de mettre en place un dispositif pour que la population puisse formuler cette demande.
Le second point qui me préoccupe, c’est que lorsque les personnes se penchent sur leurs assiettes, deux des produits qu’ils vont consommer sont produits par les agriculteurs de",0.08990543747199999,,,</s>,fr
39,on_p50,1000,1,40,"A partir de então, a empresa começou a investir no setor de telefonia celular e, em 2005, a partir da aquisição da companhia Teleplan, passou a se chamar Oi. Em 2006, lançou o serviço IPV6 e a primeira operadora de telefonia móvel de banda larga. Em 2009, com base nas redes 4G,",0.08990543747199999,,,</s>,fr
40,on_p50,1000,1,41,"Rated 5 di 5 oleh Fundy dari pedido antes q termine o prazo! A entrega foi antes do prazo! Muito bom mesmo, é um produto de qualidade.
Rated 5 di 5 oleh Gladis dari Comforting O produto é excelente, eu tinha uma certa duvida sobre ele e acho que foi por causa da",0.08990543747199999,,,</s>,fr
41,on_p50,1000,1,42,"Le CROUS utilise diverses méthodes de travail pour assurer la gestion de ses missions, qu’il s’agisse du rapport annuel de ses activités, de la gestion de ses archives ou de la transmission des informations correspondantes aux parties en cause. Le CROUS a ainsi pour obligation légale de diffuser, dans les délais et dans les",0.08990543747199999,,,</s>,fr
42,on_p50,1000,1,43,"Il est important de bien choisir ses investissements. C’est pour cela qu’il est possible de faire des placements en actions, en obligations, en épargne, en REER, etc. Pour avoir toutes les informations sur ces placements, faites un tour sur un site comme Investir dans la bourse ou le guide du particulier que",0.08990543747199999,,,</s>,fr
43,on_p50,1000,1,44,"“Occupant du plus beau château de France, le roi ne l’a jamais vu, mais il a une idée plus précise de ce qu’il est pour l’esprit du peuple français.
« Quand il est monté sur le trône, il a fait de la France une grande nation, mais il n’a jamais créé une culture française. »",0.08990543747199999,,,</s>,fr
44,on_p50,1000,1,45,"A partir de la base Alliance, les forces spéciales américaines ont attaqué et détruit un réseau de tunnels, des bases de production d’armes et des installations militaires dans la région de Mossoul en Irak et dans la région de Deir ez-Zor en Syrie.",0.08990543747199999,,,</s>,fr
45,on_p50,1000,1,46,"Je l’ai découverte dans une vidéo de Jean, sur YouTube, que je te conseille vivement, qui est très claire et très formatrice. Tu peux télécharger cette vidéo sur mon blog et sur Youtube (clique sur les mots clés). Tu y découvriras toutes les étapes indispensables pour réaliser une bande dessinée.",0.08990543747199999,,,</s>,fr
46,on_p50,1000,1,47,,0.08990543747199999,,,</s>,fr
47,on_p50,1000,1,48,"“We are delighted to have secured this partnership and look forward to contributing to their successful launch of the Association’s range of independent responsible investment funds in the UK,” said Peter Anderson, Managing Director of PLA Financial Services.",0.08990543747199999,,,</s>,fr
48,on_p50,1000,1,49,"Le Real Madrid a réalisé le doublé en remportant la Supercoupe d' Espagne, le premier trophée majeur de la saison pour le club de la capitale espagnole qui a dominé Barcelone (2-1).
Giroud a ouvert le score sur penalty d'un tir de l'extérieur de la surface (54), avant que Cristiano Ronaldo (",0.08990543747199999,,,</s>,fr
49,on_p50,1000,1,50,"Oh, oui, je suis sûre que tu aurais pu lui faire un beau cadeau, le mien, c’est de pouvoir aller à Paris pour le premier anniversaire de sa créatrice Céline et j’en suis très heureuse.
Je suis aussi très heureuse qu’elle ait réussi à vous séduire et qu’elle vous ait apporté son savoir faire, de",0.08990543747199999,,,</s>,fr
50,on_p50,1000,1,51,"La terre, les plantes, les animaux, les poissons, les hommes, les rochers, les montagnes, les volcans, les forêts, les rivières, les sentiers, les villes et les villages, tout est le reflet de cette grande boucle.
Le guide de randonnée et les cartes IGN sont disponibles à l’accueil",0.08990543747199999,,,</s>,fr
51,on_p50,1000,1,52,"Q:

CSS3 box Shadow

Is it possible to use CSS3 box-shadow in a box?
I have looked at various examples on CSS3 but I can't really think of a way to create a shadow for a box. I have tried setting the background to a solid but this is non transparent. I have also tried",0.08990543747199999,,,</s>,fr
52,on_p50,1000,1,53,"Les bois de l'hypocotyle: Le bois de l'hypocotyle est fibreux, dur et cassant. Il est utilisé pour fabriquer des outils et des ustensiles.",0.08990543747199999,,,</s>,fr
53,on_p50,1000,1,54,"En dépit du fait que la Thaïlande soit connue sous le titre de « pays du sourire », certains touristes qui ont visité ce pays se sont plaints de n’avoir pas payé d’impôt sur leurs profits. Afin de remédier à cet inconvénient, le gouvernement thaïlandais a introduit plusieurs mesures telles que des taxes d’",0.08990543747199999,,,</s>,fr
54,on_p50,1000,1,55,Je suis un homme commerciale et je recherche une femme sérieuse et honnête pour une relation sérieuse et durable.,0.08990543747199999,,,</s>,fr
55,on_p50,1000,1,56,"• Protéger les droits des journalistes, en particulier contre le harcèlement et l'intimidation • Aider à promouvoir et à protéger la liberté d'expression et la presse • Promouvoir des codes de conduite déontologiques pour les journalistes • Soutenir la liberté d'association et le droit à la libre expression des journalistes",0.08990543747199999,,,</s>,fr
56,on_p50,1000,1,57,"“É muito importante dar destaque à autonomia dos professores, que são a alma da escola. É o que faz um professor bom. O que faz um professor feliz. É a base para formar indivíduo e cidadão”, defendeu.
O senador Roberto Requião (PMDB-PR) fez um discurso apológico ao sistema",0.08990543747199999,,,</s>,fr
57,on_p50,1000,1,58,"Q:

ASP.NET Core and Async Execution

I am writing a visual studio 2017 project. I am using async execution in my project. I have a feature which runs asynchronously and the result should return to the main code. The main code is here.
Extensions.cs
public static class Extensions
{
   ",0.08990543747199999,,,</s>,fr
58,on_p50,1000,1,59,"Les 34 recettes de pâte à tarte au chocolat de Christophe Michalak - Une recette pour tous - Cuisine et Recettes - Recette - Cuisine du Monde
Les 34 recettes de pâte à tarte au chocolat de Christophe Michalak - Une recette pour tous - Cuisine et Recettes - Recette - Cuisine du",0.08990543747199999,,,</s>,fr
59,on_p50,1000,1,60,"S’interroger sur le sujet de la violence des femmes dans le cinéma est d’autant plus important que les cinéastes se sentent libres de traiter des sujets qui les préoccupent. En ce sens, la question de la vengeance, à laquelle on ne se prive pas de faire référence lorsque l’on évoque le cinéma hollywood",0.08990543747199999,,,</s>,fr
60,on_p50,1000,1,61,"Y si no quieres que te hagan comentarios por haber usado el termo, con el termo Tassimo es posible configurar la intensidad del café en función de los gustos de cada uno y de la cantidad que se pide.",0.08990543747199999,,,</s>,fr
61,on_p50,1000,1,62,"Il y a de cela plus d’un mois, je vous mettais en garde, face à cette nouvelle tendance de grunge vieilli et risqué. Aujourd’hui un nouveau projet est né, la griffe s’appelle Braderie et est en pleine création. Ce projet est porté par des jeunes de 20 ans qui souhaitent faire",0.08990543747199999,,,</s>,fr
62,on_p50,1000,1,63,"Voici quelques connexes sur les services que nous pouvons produire pour vous, et que nous avons déjà réalisés pour d’autres clients.
– La réalisation d’une étude approfondie de votre projet, et la rédaction d’un cahier des charges précis
– La réalisation du dossier de consultation des entreprises, en collaboration avec les différents intervenants",0.08990543747199999,,,</s>,fr
63,on_p50,1000,1,64,"Vous avez accès à une salle de bain avec douche, WC, lavabo, vasque et sèche cheveux. La cuisine est totalement équipée (four, four micro ondes, congélateur, cafetière électrique, machine à café Nespresso, bouilloire) et équipée de vaisselle pour 5",0.08990543747199999,,,</s>,fr
64,on_p50,1000,1,65,"La mutuelle est aussi utilisée pour prouver la capacité d’un assuré à honorer ses engagements en cas de sinistre. Elle permet d’éviter de payer ou de retarder des remboursements donc de diminuer le montant de la facture.
Attention, la mutuelle est à choisir avec soin en fonction de votre profil et de vos besoins. Ce",0.08990543747199999,,,</s>,fr
65,on_p50,1000,1,66,"N’oubliez pas de suivre le hashtag #HypnoticHype pour être tenus informés des expositions les plus cool à venir.
On commence avec le musée national des arts asiatiques-Guimet : on vous donne rendez-vous les 7 et 8 juin prochain pour une expo sur la tentation du Japon, à la",0.08990543747199999,,,</s>,fr
66,on_p50,1000,1,67,"Il existe beaucoup de manières de découvrir les prétextes et les excuses, mais en voici quelques-unes qui vont vous aider à améliorer votre recherche des affirmations les plus positives.",0.08990543747199999,,,</s>,fr
67,on_p50,1000,1,68,"Oh oui c’est beaucoup plus facile à vivre que dans certains pays. La France est surtout connue pour les vacances et les touristes! Ici, il y a beaucoup de vie active.
Les métallos, les salariés des transports, du ferroviaire, les victimes d’accidents de travail, les retraités, les immigrés, les travailleurs",0.08990543747199999,,,</s>,fr
68,on_p50,1000,1,69,"ptions have to be done, and then the designer has to test the app to make sure that all the s",0.08990543747199999,,,</s>,fr
69,on_p50,1000,1,70,"Ce légume est une riche source de protéines, de vitamines et de minéraux. Il renferme une majorité de potassium, de magnésium et de vitamine C. Il est aussi riche en fibres, ce qui contribue au bon fonctionnement de l’intestin et au maintien d’une flore intestinale saine. Enfin",0.08990543747199999,,,</s>,fr
70,on_p50,1000,1,71,"Now that I really know what I like, and what I don’t, I can choose my clothes with more confidence. I’m a bit like that little girl at school who was told that she was ugly and never set eyes on a pair of jeans and never wore a bathing suit either. I get so much pleasure out of",0.08990543747199999,,,</s>,fr
71,on_p50,1000,1,72,"Converse avec les habitants proches de votre maison de retraite pour évaluer vos besoins et vos préférences. Cette démarche pourrait vous éviter de faire des réservations à la dernière minute.
Si vous sortez en promenade avec votre animal de compagnie, assurez-vous de prendre la bonne assurance santé pour animaux et formule. Le vétérinaire",0.08990543747199999,,,</s>,fr
72,on_p50,1000,1,73,"Bonne nouvelle pour les fans de séries télévisées et de films : la nouvelle collection 2021/2022 de la boutique en ligne de la FIBD, The Elementals, est disponible!
Récemment à la FIBD, j’ai pu découvrir The Elementals, la collection de vêtements en édition limitée d’Urban Outf",0.08990543747199999,,,</s>,fr
73,on_p50,1000,1,74,"Cette deuxième session de la formation “Budget et finances publiques de proximité” organisée par la CGPME Barbezieux sur l’Ariège, aura lieu le mercredi 21 mars 2018 à 9h00 au siège de la CGPME.",0.08990543747199999,,,</s>,fr
74,on_p50,1000,1,75,"Pour la rentrée 2018-2019, une première de toute beauté : le collège privé Jehan de Jeteron à Breil-sur-Roya s’est doté d’un nouvel espace dédié aux arts visuels, autour d’un parcours pédagogique « art et numérique ».",0.08990543747199999,,,</s>,fr
75,on_p50,1000,1,76,"Cette optique de lecture est utile pour réaliser des relevés poissonnicoles ou des relevés de faune piscicole. L’objectif est aussi très intéressant pour photographier les insectes, poissons et crustacés. Son faible encombrement permet de l’emporter avec soi lors de sorties de pêche.",0.08990543747199999,,,</s>,fr
76,on_p50,1000,1,77,"El Gobierno ha aprobado hoy la convocatoria para la concesión de ayudas para el desarrollo de proyectos de inversión en instalaciones en el ámbito rural.
Las ayudas, dotadas con un importe global de 4,3 millones de euros, se dirigen a proyectos de inversión en instalaciones de climatización, fontanería, electricidad, climatización",0.08990543747199999,,,</s>,fr
77,on_p50,1000,1,78,"Méfiez-vous des tests gratuits, il faut se renseigner pour trouver un site web fiable et honnête. Un bon site qui propose des tests gratuits, c’est celui qui se soucie de ses visiteurs et qui les informe. Les sites de tests gratuits ne font que vous pousser à acheter votre produit. Ainsi,",0.08990543747199999,,,</s>,fr
78,on_p50,1000,1,79,"Koh Samui Cruise Sightseeing – Relax and unwind at our exclusive spa retreat. Enjoy treatments and massages by our expert therapists at a private Atlantis Spa.
Hobby Lobby – Enjoy shopping at our famous Hobby Lobby. There are a large selection of fine art,",0.08990543747199999,,,</s>,fr
79,on_p50,1000,1,80,"La valeur de ce cours spirituelle et intellectuelle, peu de gens sont au courant. Les pauvres ignorants et les érudits les ignorent. Un peu comme le Bouddha les ignorons, parce qu’ils ne veulent pas prendre le temps de la méditer. Ces hommes et ces femmes s’accaparent le pouvoir",0.08990543747199999,,,</s>,fr
80,on_p50,1000,1,81,"En 2008, alors que la liste Ni Putes Ni Soumises arrive en tête des suffrages, François Hollande se montre favorable à un mariage homosexuel dans le cadre d'une législation complémentaire à la loi de 1983.
Cependant, dans son discours du 24 juin 2009, le candidat PS au second tour de l'élection présidentielle fait une",0.08990543747199999,,,</s>,fr
81,on_p50,1000,1,82,"Lors de ce championnat des champion, nos 11 marcheurs ont réalisé de très belles performances, en particulier en Coupe de France qui s'est jouée début décembre à Juvisy. Un grand bravo à toutes et à tous.
Descriptif : Pendant l’été, la thalasso du Puy du Fou propose des cures de",0.08990543747199999,,,</s>,fr
82,on_p50,1000,1,83,3 août 2019 | La Ministre de la Justice vient de présenter 2 nouveaux projets de loi qui s’adressent à la communauté musulmane et qui vont sans doute entraîner une augmentation des tensions dans ce pays.,0.08990543747199999,,,</s>,fr
