,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language.
English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
Target Language: 把核分裂，把核分裂，把核分裂，把核分裂，把核分裂，把核分裂，把核分裂，把核分裂，把核分裂，把核分裂，把核分裂，把核",0.5325163935235,,,translation_text_flores200_en_zh.pkl,zh
1,on_p50,2000,1,2,"Translate an English sentence into a target language.
English: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Target Language: 病虫害可以腐蚀食物，引起不适，或者在最坏情况下，引起过敏反应，传播毒素，或者传播感染。
I am not sure if the translation is correct.
I am not sure if the translation is correct. 我不确定翻译是否正确。
@Jason 你的翻译是正确的。",0.5325163935235,,,translation_text_flores200_en_zh.pkl,zh
2,on_p50,2000,1,3,"Translate an English sentence into a target language.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: 这种行为经常会导致领导层与剩余的团队之间出现裂痕。
The English sentence is translated into the target language.
The English sentence is translated into the target language. The translation is correct.
The English sentence is translated into the target language. The translation is incorrect.
The English sentence is translated into the target language. The translation is correct. The translation is correct.
The English sentence is translated into the target language. The translation is correct. The translation is correct",0.5325163935235,,,translation_text_flores200_en_zh.pkl,zh
3,on_p50,2000,1,4,"Translate an English sentence into a target language.
English: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.
Target Language: 英语：意大利语也是那些在国家工作的大多数人的日常语言，而拉丁语则常常用于宗教仪式。
I am not sure how to translate the sentence.
I think the sentence is correct.
I think the sentence is incorrect.
I am not sure if the sentence is correct or incorrect.
I am not sure how to translate the sentence. I think the sentence is correct. I think the sentence is incorrect. I am not sure if the sentence is correct or incorrect.
I am not sure how to",0.5325163935235,,,translation_text_flores200_en_zh.pkl,zh
4,on_p50,2000,1,5,"Translate an English sentence into a target language.
English: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond.
Target Language: 在项目学习中，学习应该更容易和更有趣，而且，框架也会进一步。
English: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond. Scaffolding is a process that helps students learn how to learn.
Target Language: 在项目学习中，学习应该更容易和更有趣，而且，����",0.5325163935235,,,translation_text_flores200_en_zh.pkl,zh
5,on_p50,2000,1,6,"Translate an English sentence into a target language.
English: Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
Target Language: 罗马天主教会的人口约800。它是世界上最小的独立国家和人口最少的国家。
The Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
The Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
The Vatican City's population is around 800. It is",0.5325163935235,,,translation_text_flores200_en_zh.pkl,zh
6,on_p50,2000,1,7,"Translate an English sentence into a target language.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: 我们用植物制造我们的房屋和制造我们的衣服。大多数我们吃的食物是植物。没有植物，动物无法存活。
Translation: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Translation: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Translation",0.5325163935235,,,translation_text_flores200_en_zh.pkl,zh
7,on_p50,2000,1,8,"Translate an English sentence into a target language.
English: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
Target Language: 由于大陆远离，哺乳动物无法跨越大陆，使得巨型龟成为加拉帕戈斯群岛的主要食草动物。
I am not sure if the translation is correct.
I am not sure if the translation is correct. 我不确定翻译是否正确。
@Jason 你的翻译是正确的。
@Jason 你的",0.5325163935235,,,translation_text_flores200_en_zh.pkl,zh
8,on_p50,2000,1,9,"Translate an English sentence into a target language.
English: Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.
Target Language: 没有什么可以看到，除了清晰、美丽的天空以及周围的山。从洞里，世界上很少可以看到或听到。
The target language is a bit awkward, but I think it's correct.
I'm not sure if the sentence is correct, but I think it's correct.
I'm not sure if the sentence is correct, but I think it's correct. I'm not sure if the sentence is correct, but I think",0.5325163935235,,,translation_text_flores200_en_zh.pkl,zh
9,on_p50,2000,1,10,"Translate an English sentence into a target language.
English: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Target Language: 根据警方，摄影师被撞车司机不太可能面临刑事责任。
The sentence is in the passive voice.
The sentence is in the past tense.
The sentence is in the conditional mood.
The sentence is in the subjunctive mood.
The sentence is in the imperative mood.
The sentence is in the interrogative mood.
The sentence is in the optative mood.
The sentence is in the jussive m",0.5325163935235,,,translation_text_flores200_en_zh.pkl,zh
