,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language.
English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
Target Language: Die aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund der aufgrund",0.53811385536,,,translation_text_flores200_en_de.pkl,de
1,on_p50,2000,1,2,"Translate an English sentence into a target language.
English: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Target Language: Die Pets can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Die Pets can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Die Pets can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Die Pets can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Die Pets can spoil food,",0.53811385536,,,translation_text_flores200_en_de.pkl,de
2,on_p50,2000,1,3,"Translate an English sentence into a target language.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior oftentimes results in rifts between the leaders and the rest of the team.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior oftentimes results in rifts between the leaders and the rest of the team.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior oftentimes results in rifts between the leaders and the rest of the team.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language",0.53811385536,,,translation_text_flores200_en_de.pkl,de
3,on_p50,2000,1,4,"Translate an English sentence into a target language.
English: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.
Target Language: German is the official language of the Bundesrepublik Deutschland (BDR) and is also the lingua franca of the Bundeswehr.
English: Deutsch is the official language of the Bundesrepublik Deutschland (BDR) and is also the lingua franca of the Bundeswehr.
English: Deutsch is the official language of the Bundesrepublik Deutschland (BDR) and is also the lingua franca of the Bundeswehr.
English: Deutsch is the official language of the Bundesrepublik Deutschland (BDR) and is also the lingua franca of the Bundeswehr.
English: Deutsch is the official language of the Bundesrepublik Deutschland (",0.53811385536,,,translation_text_flores200_en_de.pkl,de
4,on_p50,2000,1,5,"Translate an English sentence into a target language.
English: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond.
Target Language: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
Sprachen: Deutsch
",0.53811385536,,,translation_text_flores200_en_de.pkl,de
5,on_p50,2000,1,6,"Translate an English sentence into a target language.
English: Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
Target Language: Deutsch, Englisch, Italien, Französisch, Deutsch, Englisch, Italien, Französisch, Deutsch, Englisch, Italien, Französisch, Deutsch, Englisch, Italien, Französisch, Deutsch, Englisch, Italien, Französisch, Deutsch, Englisch, Italien, Französisch, Deutsch, Englisch, Italien, Französisch, Deutsch, Englisch, Italien, Französisch, Deutsch, Englisch, Italien, Französisch, Deutsch, Englisch, Italien, Französisch, Deutsch, Englisch, Italien, Französisch, Deutsch, Englisch, Italien,",0.53811385536,,,translation_text_flores200_en_de.pkl,de
6,on_p50,2000,1,7,"Translate an English sentence into a target language.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Sprachen: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Sprachen: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Sprachen: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Sprachen:",0.53811385536,,,translation_text_flores200_en_de.pkl,de
7,on_p50,2000,1,8,"Translate an English sentence into a target language.
English: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
Target Language: Das ist deresche nach deren bewegung deren mammä deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren bewegung deren be",0.53811385536,,,translation_text_flores200_en_de.pkl,de
8,on_p50,2000,1,9,"Translate an English sentence into a target language.
English: Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.
Target Language: Das ist ein kleinen, schweres, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehöhe, diehö",0.53811385536,,,translation_text_flores200_en_de.pkl,de
9,on_p50,2000,1,10,"Translate an English sentence into a target language.
English: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Target Language: Die driver of the vehicle that hit the photographer is unlikely to face criminal charges.
English: Die driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Target Language: Die driver of the vehicle that hit the photographer is unlikely to face criminal charges.
English: Die driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Die driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Die driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Die driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Die driver",0.53811385536,,,translation_text_flores200_en_de.pkl,de
