,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language.
English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
Target Language: German: The word is used in the German-underschieden, which is a kind of underschieden.",0.531781237544,,,translation_text_flores200_en_de.pkl,de
1,on_p50,2000,1,2,"Translate an English sentence into a target language.
English: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Target Language: German: Pests can be transmitted by the bite of a mosquito, by the bite of a fly, or by the bite of a bee.
In the case of an infection, the person is infected by the mosquitoes, by the flys, or by the bees.",0.531781237544,,,translation_text_flores200_en_de.pkl,de
2,on_p50,2000,1,3,"Translate an English sentence into a target language.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior oftentimes results in rifts between the leaders and the rest of the team.
In the end, the best result is that the leader is the best person in the team.",0.531781237544,,,translation_text_flores200_en_de.pkl,de
3,on_p50,2000,1,4,"Translate an English sentence into a target language.
English: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.
Target Language: German is the most popular language for the German-speaking population. German is also the most popular language for the German-speaking population.",0.531781237544,,,translation_text_flores200_en_de.pkl,de
4,on_p50,2000,1,5,"Translate an English sentence into a target language.
English: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond.
Target Language: The target language is the language of the project. If you are an international student, you will be able to find out more about the project in the German language.",0.531781237544,,,translation_text_flores200_en_de.pkl,de
5,on_p50,2000,1,6,"Translate an English sentence into a target language.
English: Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
Target Language: German. The German-speaking population is around 1.5 million. It is the largest country in Germany and the country with the highest population.
Target Language: German. The German-speaking population is around 1.5 million. It is the largest country in Germany and the country with the highest population.
Were you born in Germany? If so, you are in luck. The German-speaking population is around 1.5 million. It is the largest country in Germany and the country with the highest population.
Were you born in Germany? If so, you are in luck. The German-speaking population is around 1.5",0.531781237544,,,translation_text_flores200_en_de.pkl,de
6,on_p50,2000,1,7,"Translate an English sentence into a target language.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
The best way to get started is to find out what is the best way to get started. If you are a beginner, you can start with a beginner-friendly course. If you are an experienced person, you can start with an experienced course. If you are an experienced person, you can start with an experienced course. If you are an experienced person, you can start with an experienced course. If you are an experienced person, you can start with an experienced course. If you are an experienced person",0.531781237544,,,translation_text_flores200_en_de.pkl,de
7,on_p50,2000,1,8,"Translate an English sentence into a target language.
English: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
Target Language: German. The German translation of the German sentence „Das ist die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu schwurz die zu",0.531781237544,,,translation_text_flores200_en_de.pkl,de
8,on_p50,2000,1,9,"Translate an English sentence into a target language.
English: Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.
Target Language: German: The best way to find out if there is a place in Germany where you can find a place in Germany where you can find a place in Germany where you can find a place in Germany where you can find a place in Germany where you can find a place in Germany where you can find a place in Germany where you can find a place in Germany where you can find a place in Germany where you can find a place in Germany where you can find a place in Germany where you can find a place in Germany where you can find a place in Germany where you can find a place in Germany where you can find a place in Germany where",0.531781237544,,,translation_text_flores200_en_de.pkl,de
9,on_p50,2000,1,10,"Translate an English sentence into a target language.
English: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Target Language: German. The driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe Siehe",0.531781237544,,,translation_text_flores200_en_de.pkl,de
