,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,200,1,1,,0.54230203852,,,,zh
1,on_p50,200,1,2,"这里的(旧)中国常德是一个名叫太平山的乌鲁木齐之城,地处中国-东盟经济走廊中轴线的一个纽区域。",0.54230203852,,,,zh
2,on_p50,200,1,3,"注:在我们阅读这本书之前,将会有30秒的视频授课,通过视频显示出快速的学习方法和技巧,帮助你在短时间内快速成为一名优秀的教学导师。",0.54230203852,,,,zh
3,on_p50,200,1,4,"“那你可知道,现在我的国家,特别是华盛顿已经越来越弱,我怎么可能想办法让美国的重生。”",0.54230203852,,,,zh
4,on_p50,200,1,5,,0.54230203852,,,,zh
5,on_p50,200,1,6,"回收杯子,回收纸杯,回收瓶子,回收包装盒",0.54230203852,,,,zh
6,on_p50,200,1,7,习近平:中美关系美日菲无法预料 01-12,0.54230203852,,,,zh
7,on_p50,200,1,8,"喷头过滤器是一种非常常见的过滤器,其安全性和使用寿命比酸系列的喷头更能保证其在使用中不会产生任何的问题。",0.54230203852,,,,zh
8,on_p50,200,1,9,红树林像团结起来默默作自己的朋友,0.54230203852,,,,zh
9,on_p50,200,1,10,"跟四号,虽然截止时间做比较迟些,但有点后遗症,因为四号和二号都于1月25日才发射。2013年,正值全球航空市场风雨飘摇之际,此次回归使远洋航空,对中国的一大",0.54230203852,,,,zh
10,on_p50,200,1,11,中概系靠谱吗?现在有多少客人在御发酒店预订么?,0.54230203852,,,,zh
11,on_p50,200,1,12,"在线时尚,恋爱时节,快播生成器 下载",0.54230203852,,,,zh
12,on_p50,200,1,13,宁夏回族自治区发展和改革委员会办公室主办,0.54230203852,,,,zh
13,on_p50,200,1,14,吉林大学附属红桥学院官网展厅于今年11月28日正式闭馆,0.54230203852,,,,zh
14,on_p50,200,1,15,"为了让村子更加美丽,根据“百村千乡千树千金”的精神理念,我镇在村两级党委的推动下,深入开展“百村千乡千树千金”活动,多种方式引导民众关注、参与、参与起来。此次活动,村里",0.54230203852,,,,zh
15,on_p50,200,1,16,"禁忌:超高风险,注意交通安全。除非在限制范围之内,否则,如果患者在进行治疗后,出现严重的疾病或器质性疾病,应立即向医生报告,到医院检查后再复查。",0.54230203852,,,,zh
16,on_p50,200,1,17,"“我们的军队是世界最大军队,还有世界最大的人民军队,不管是谁,一律遵循规则,不受任何阻拦。”",0.54230203852,,,,zh
17,on_p50,200,1,18,"科学家们建议,中国为此打下了良好的基础。",0.54230203852,,,,zh
18,on_p50,200,1,19,0 Comments on “Mandy morgan the extermination”,0.54230203852,,,,zh
19,on_p50,200,1,20,您的当前位置: 首页> 万达娱乐官网二维码> 万达娱乐平台苹果> 正文,0.54230203852,,,,zh
20,on_p50,200,1,21,"有意义的讨论方式,使同学用语言表达自己的想法。强调正听、正读、正写、正读的连续表达方式,如:一字一句的短语、一句话一两句话的短语、句子、一句话一两句的短语、一句话",0.54230203852,,,,zh
21,on_p50,200,1,22,"由于缺乏相关知识和技术,大家买此产品有很多重复操作。",0.54230203852,,,,zh
22,on_p50,200,1,23,"那位老天爷只能大了眼,淡淡地微笑着说了一句“好兄弟,你这不是帮别人跑路吗?”",0.54230203852,,,,zh
23,on_p50,200,1,24,"曹云金指出,中共十八大以来,以习近平同志为总书记的党中央毫不动摇把防范化解重大风险作为当前和今后一个时期党对决策层的重中之重,把防范化解重大风险作为改革发展稳定工作的着力点和重要",0.54230203852,,,,zh
24,on_p50,200,1,25,100万完整版未删减版 只有裸伦片才能看,0.54230203852,,,,zh
25,on_p50,200,1,26,"现在很多同学都有不懂事的欲望,所以当好了大学生的时候,可以看做是一个学习的超级工程,学习后能够让你在工作上迅速上手,但是在大学里你会遇到很多的挑战,为了能够在心里保持一个不败的状态,好在很多同学不",0.54230203852,,,,zh
26,on_p50,200,1,27,"学习中心第二天,王继萍主持召开了第八次常务委员会议,对学校工作进行深入动员和部署。",0.54230203852,,,,zh
27,on_p50,200,1,28,"温馨提示!由于新浪微博认证机制调整,您的新浪微博帐号绑定已过期,请重新绑定!立即重新绑定新浪微博》 _ 关闭",0.54230203852,,,,zh
28,on_p50,200,1,29,"来自南非的同学们热情地问了我们,在南非有没有什么事可以做?",0.54230203852,,,,zh
