,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,0,1,1,"Translate an English sentence into a target language.
English: ""You go too far,"" he said, ""in describing as ""mistakes"" actions which our grandparents might or might not have taken.
Target Language: ""You're a fool,"" he said, ""when you say that.""
English: ""You're a fool,"" he said, ""when you say that.""
Target Language: ""You're a fool,"" he said, ""when you say that.""
English: ""You're a fool,"" he said, ""when you say that.""
Target Language: ""You're a fool,"" he said, ""when you say that.""
English: ""You're a fool,"" he said, ""when you say that.""
Target Language: ""You're a fool,"" he said, ""when",0.0,,,translation_text_wmt_en_de.pkl,de
1,on_p50,0,1,2,"Translate an English sentence into a target language.
English: Last year marked the 25 year of German-Chinese relations.
Target Language: Chinese: Last year marked the 25 year of German-Chinese relations.
English: Last year marked the 25 year of German-Chinese relations.
Target Language: Chinese: Last year marked the 25 year of German-Chinese relations.
English: Last year marked the 25 year of German-Chinese relations.
Target Language: Chinese: Last year marked the 25 year of German-Chinese relations.
English: Last year marked the 25 year of German-Chinese relations.
Target Language: Chinese: Last year marked the 25 year of German-Chinese relations.
English: Last year marked the 25 year of German-Chinese relations.
Target Language: Chinese: Last year",0.0,,,translation_text_wmt_en_de.pkl,de
2,on_p50,0,1,3,"Translate an English sentence into a target language.
English: No - a typing error - electronics) sector, the basic rule is that the latest wonder of today is electronic rubbish tomorrow - once bought, it's out of date.
Target Language: No - a typing error - electronics) sector, the basic rule is that the latest wonder of today is electronic rubbish tomorrow - once bought, it's out of date.
English: No - a typing error - electronics) sector, the basic rule is that the latest wonder of today is electronic rubbish tomorrow - once bought, it's out of date.
Target Language: No - a typing error - electronics) sector, the basic rule is that the latest wonder of today is electronic rubbish tomorrow - once bought, it's out of date.
English: No - a typing error - electronics) sector, the basic rule is that the latest wonder of",0.0,,,translation_text_wmt_en_de.pkl,de
3,on_p50,0,1,4,"Translate an English sentence into a target language.
English: Fewer than half of all texts are purchased at campus bookstores, according to the National Association of College Stores trade association.
Target Language: The target language is the language that the student is learning. The target language is the language that the student is learning.",0.0,,,translation_text_wmt_en_de.pkl,de
4,on_p50,0,1,5,"Translate an English sentence into a target language.
English: The decision makes it almost impossible for opposition democrats to get on the ballot prompted pro-democracy activists to renew their vow to bring Hong Kong's financial hub to a halt with ""Occupy Central"" protests.
Target Language: The decision makes it almost impossible for opposition democrats to get on the ballot prompted pro-democracy activists to renew their vow to bring Hong Kong's financial hub to a halt with ""Occupy Central"" protests.
English: The decision makes it almost impossible for opposition democrats to get on the ballot prompted pro-democracy activists to renew their vow to bring Hong Kong's financial hub to a halt with ""Occupy Central"" protests.
Target Language: The decision makes it almost impossible for opposition democrats to get on the ballot prompted pro-democracy activists to renew their vow to bring Hong Kong's financial hub to a halt with ""Occ",0.0,,,translation_text_wmt_en_de.pkl,de
5,on_p50,0,1,6,"Translate an English sentence into a target language.
English: A search party involving local police and rescue squad was sent out and the pair were found about 11pm near Bridal Veil Falls.
Target Language: The search party was sent out to find the pair, who were found about 11pm near Bridal Veil Falls.
English: The search party was sent out to find the pair, who were found about 11pm near Bridal Veil Falls.
Target Language: The search party was sent out to find the pair, who were found about 11pm near Bridal Veil Falls.
English: The search party was sent out to find the pair, who were found about 11pm near Bridal Veil Falls.
Target Language: The search party was sent out to find the pair, who were found about 11pm near Bridal Veil",0.0,,,translation_text_wmt_en_de.pkl,de
6,on_p50,0,1,7,"Translate an English sentence into a target language.
English: ""I have not felt myself,"" he wrote in May that year.
Target Language: ""I have not felt myself.""
English: ""I have not felt myself,"" he wrote in May that year.
Target Language: ""I have not felt myself.""
English: ""I have not felt myself,"" he wrote in May that year.
Target Language: ""I have not felt myself.""
English: ""I have not felt myself,"" he wrote in May that year.
Target Language: ""I have not felt myself.""
English: ""I have not felt myself,"" he wrote in May that year.
Target Language: ""I have not felt myself.""
English: ""I have not felt myself,"" he wrote in",0.0,,,translation_text_wmt_en_de.pkl,de
7,on_p50,0,1,8,"Translate an English sentence into a target language.
English: Currently there are a total of eleven teams that are taking part in the competitions: six air rifles teams, one pellet gun team, one KK1 sport target pistol team, one youth team and two old-timer teams.
Target Language: The target language is English. The competitions are held in the following languages: German, French, Italian, Spanish, Portuguese, Russian, and Turkish.
The competitions are held in the following languages: German, French, Italian, Spanish, Portuguese, Russian, and Turkish.
The competitions are held in the following languages: German, French, Italian, Spanish, Portuguese, Russian, and Turkish.
The competitions are held in the following languages: German, French, Italian, Spanish, Portuguese, Russian, and Turkish.
The competitions are held in the following languages: German, French, Italian, Spanish, Portuguese, Russian,",0.0,,,translation_text_wmt_en_de.pkl,de
8,on_p50,0,1,9,"Translate an English sentence into a target language.
English: Even some international companies are keeping their distance.
Target Language: I don't know.
English: I don't know.
Target Language: I don't know.
English: I don't know.
Target Language: I don't know.
English: I don't know.
Target Language: I don't know.
English: I don't know.
Target Language: I don't know.
English: I don't know.
Target Language: I don't know.
English: I don't know.
Target Language: I don't know.
English: I don't know.
Target Language: I don't know.
English: I don't know.
Target Language: I don't know.
English: I don't know.
Target Language: I don't know.
English: I don't know.
Target",0.0,,,translation_text_wmt_en_de.pkl,de
9,on_p50,0,1,10,"Translate an English sentence into a target language.
English: The riders prove just how good a shape they are in: stretches of 95 kilometers at an altitude of 1175 meters, 120 kilometers with an altitude of 1475 meters, and 145 kilometers with an altitude of 1775 meters.
Target Language: The riders prove just how good a shape they are in: stretches of 95 kilometers at an altitude of 1175 meters, 120 kilometers with an altitude of 1475 meters, and 145 kilometers with an altitude of 1775 meters.
The first part of the test is a simple one, consisting of a series of questions about the rider’s physical condition. The second part is a more complex one, consisting of a series of questions about the rider’s mental condition. The test is designed to measure the rider’s ability to adapt to the different conditions of the race.
The test is divided into three parts. The first part consists of a series of questions",0.0,,,translation_text_wmt_en_de.pkl,de
10,on_p50,0,1,11,"Translate an English sentence into a target language.
English: The report said that Huthi threatened further escalation of the conflict, should his demands not be met.
Target Language: The report said that Huthi threatened further escalation of the conflict, should his demands not be met.
English: The report said that Huthi threatened further escalation of the conflict, should his demands not be met.
Target Language: The report said that Huthi threatened further escalation of the conflict, should his demands not be met.
English: The report said that Huthi threatened further escalation of the conflict, should his demands not be met.
Target Language: The report said that Huthi threatened further escalation of the conflict, should his demands not be met.
English: The report said that Huthi threatened further escalation of",0.0,,,translation_text_wmt_en_de.pkl,de
11,on_p50,0,1,12,"Translate an English sentence into a target language.
English: Manfred Richter loves this painting of a picture from his childhood home.
Target Language: Manfred Richter loves this painting of a picture from his childhood home.
English: Manfred Richter loves this painting of a picture from his childhood home.
Target Language: Manfred Richter loves this painting of a picture from his childhood home.
English: Manfred Richter loves this painting of a picture from his childhood home.
Target Language: Manfred Richter loves this painting of a picture from his childhood home.
English: Manfred Richter loves this painting of a picture from his childhood home.
Target Language: Manfred Richter loves this painting of a picture from his childhood home.
English: Manfred Richter loves this painting of a picture from his childhood home",0.0,,,translation_text_wmt_en_de.pkl,de
12,on_p50,0,1,13,"Translate an English sentence into a target language.
English: However, they did not give details, apparently looking to avoid problems with authorities.
Target Language: However, they did not give details, apparently looking to avoid problems with authorities.
English: But they did not give details, apparently looking to avoid problems with authorities.
Target Language: But they did not give details, apparently looking to avoid problems with authorities.
English: But they did not give details, apparently looking to avoid problems with authorities.
Target Language: But they did not give details, apparently looking to avoid problems with authorities.
English: But they did not give details, apparently looking to avoid problems with authorities.
Target Language: But they did not give details, apparently looking to avoid problems with authorities.
English: But they did not give",0.0,,,translation_text_wmt_en_de.pkl,de
13,on_p50,0,1,14,"Translate an English sentence into a target language.
English: Anyone interested in dancing can come along and have a go, there is no obligation to join. The session run on Thursdays between 5 and 6, and on Fridays from 5 until 6:30 PM in the dance room at what was Hotel Meyer, 9 Freistraße.
Target Language: German. The session will be held in the German language, and will be held on Thursdays between 5 and 6, and on Fridays from 5 until 6:30 PM in the German language.
English: Anyone interested in dancing can come along and have a go, there is no obligation to join. The session run on Thursdays between 5 and 6, and on Fridays from 5 until 6:30 PM in the dance room at what was Hotel Meyer, 9 Freistraße.
Target Language: German. The session will be held in the German language, and will be held on Thursdays between 5 and 6,",0.0,,,translation_text_wmt_en_de.pkl,de
14,on_p50,0,1,15,"Translate an English sentence into a target language.
English: More than 330 people, more than half of them children, were killed in the three-day ordeal that shocked the world
Target Language: English
English: The United Nations has called for a global response to the crisis in Darfur
Target Language: English
English: The United Nations has called for a global response to the crisis in Darfur
English: The United Nations has called for a global response to the crisis in Darfur
English: The United Nations has called for a global response to the crisis in Darfur
English: The United Nations has called for a global response to the crisis in Darfur
English: The United Nations has called for a global response to the crisis in Darfur
English: The United Nations has called for a global response to the crisis in Darfur
English:",0.0,,,translation_text_wmt_en_de.pkl,de
15,on_p50,0,1,16,"Translate an English sentence into a target language.
English: A linen has now been invented that is incombustible.
Target Language: A linen has now been invented that is incombustible.
English: A linen has now been invented that is incombustible.
Target Language: A linen has now been invented that is incombustible.
English: A linen has now been invented that is incombustible.
Target Language: A linen has now been invented that is incombustible.
English: A linen has now been invented that is incombustible.
Target Language: A linen has now been invented that is incombustible.
English: A linen has now been invented that is incombustible",0.0,,,translation_text_wmt_en_de.pkl,de
16,on_p50,0,1,17,"Translate an English sentence into a target language.
English: So now we can only echo Lawson's question: ""How many of us will get the same disease?""
Target Language: So now we can only echo Lawson's question: ""How many of us will get the same disease?""
English: So now we can only echo Lawson's question: ""How many of us will get the same disease?""
Target Language: So now we can only echo Lawson's question: ""How many of us will get the same disease?""
English: So now we can only echo Lawson's question: ""How many of us will get the same disease?""
Target Language: So now we can only echo Lawson's question: ""How many of us will get the same disease?""
English: So now we can only echo",0.0,,,translation_text_wmt_en_de.pkl,de
17,on_p50,0,1,18,"Translate an English sentence into a target language.
English: according to the announcement made in Düsseldorf by the district chairperson for the union of German train drivers (GDL), Sven Schmitte.
Target Language: German. The announcement was made in Düsseldorf by the district chairperson for the union of German train drivers (GDL), Sven Schmitte.
The union of German train drivers (GDL) has announced that it will not be able to meet the demands of the German government for a wage increase of at least 1.5%. The union has also announced that it will not be able to meet the demands of the German government for a wage increase of at least 1.5%. The union has also announced that it will not be able to meet the demands of the German government for a wage increase of at least 1.5%",0.0,,,translation_text_wmt_en_de.pkl,de
18,on_p50,0,1,19,"Translate an English sentence into a target language.
English: We don't want concern to spread that Hong Kong is getting out of control.
Target Language: We don't want concern to spread that Hong Kong is getting out of control.
English: We don't want concern to spread that Hong Kong is getting out of control.
Target Language: We don't want concern to spread that Hong Kong is getting out of control.
English: We don't want concern to spread that Hong Kong is getting out of control.
Target Language: We don't want concern to spread that Hong Kong is getting out of control.
English: We don't want concern to spread that Hong Kong is getting out of control.
Target Language: We don't want concern to spread that Hong Kong is getting out of control.
English: We don't want concern to spread",0.0,,,translation_text_wmt_en_de.pkl,de
19,on_p50,0,1,20,"Translate an English sentence into a target language.
English: Marine Le Pen, the far-Right National Front leader, heaped scorn on the Socialists' constant in-fighting by saying she did not see the new Valls government lasting more than just a few months.
Target Language: French
English: Marine Le Pen, the far-Right National Front leader, heaped scorn on the Socialists' constant in-fighting by saying she did not see the new Valls government lasting more than just a few months.
Target Language: French
English: Marine Le Pen, the far-Right National Front leader, heaped scorn on the Socialists' constant in-fighting by saying she did not see the new Valls government lasting more than just a few months.
Target Language: French
English: Marine Le Pen, the far-Right National Front leader, heaped scorn on the Socialists' constant",0.0,,,translation_text_wmt_en_de.pkl,de
20,on_p50,0,1,21,"Translate an English sentence into a target language.
English: ""They're not really insulting,"" Kevern said.
Target Language: ""They're not really insulting,"" Kevern said.
English: ""They're not really insulting,"" Kevern said.
Target Language: ""They're not really insulting,"" Kevern said.
English: ""They're not really insulting,"" Kevern said.
Target Language: ""They're not really insulting,"" Kevern said.
English: ""They're not really insulting,"" Kevern said.
Target Language: ""They're not really insulting,"" Kevern said.
English: ""They're not really insulting,"" Kevern said.
Target Language: ""They're not really insulting,"" Kevern said.
",0.0,,,translation_text_wmt_en_de.pkl,de
21,on_p50,0,1,22,"Translate an English sentence into a target language.
English: By registering, more than 1000 participants thanked Jos ter Huerne for having organized this tour through Münsterland.
Target Language: The participants were able to learn about the history of Münster and the city of Münster, the city of Münster, the city of Münster, the city of Münster, the city of Münster, the city of Münster, the city of Münster, the city of Münster, the city of Münster, the city of Münster, the city of Münster, the city of Münster, the city of Münster, the city of Münster, the city of Münster, the city of Münster, the city of Münster, the city of Münster, the city of Münster, the",0.0,,,translation_text_wmt_en_de.pkl,de
22,on_p50,0,1,23,"Translate an English sentence into a target language.
English: We say they stayed in the gym.
Target Language: They stayed in the gym.
English: We say they went to the gym.
Target Language: They went to the gym.
English: We say they went to the gym.
Target Language: They went to the gym.
English: We say they went to the gym.
Target Language: They went to the gym.
English: We say they went to the gym.
Target Language: They went to the gym.
English: We say they went to the gym.
Target Language: They went to the gym.
English: We say they went to the gym.
Target Language: They went to the gym.
English: We say they went to the",0.0,,,translation_text_wmt_en_de.pkl,de
23,on_p50,0,1,24,"Translate an English sentence into a target language.
English: It's very emblematic of the crisis we face and because [the situation in Ferguson] is so racialized, they have to call that out.
Target Language: It's very emblematic of the crisis we face and because [the situation in Ferguson] is so racialized, they have to call that out.
English: I think it's important to remember that the police are not the only ones who are responsible for the violence. The police are not the only ones who are responsible for the violence. The police are not the only ones who are responsible for the violence. The police are not the only ones who are responsible for the violence. The police are not the only ones who are responsible for the violence. The police are not the only ones who are responsible for the violence. The police are not the only ones",0.0,,,translation_text_wmt_en_de.pkl,de
