,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"El actual entrenador de porteros es un entrenador técnico y táctico, que sabe qué hacer y cómo hacerlo y que sabe cómo utilizar a cada jugador según su posición y posición en el campo.
En la actualidad, el entrenador de porteros es una opción muy para los clubes que quieren mejorar la imagen de su portería y el",0.08975947000900002,,,</s>,es
1,on_p50,1000,1,2,"El expresidente de la Generalitat de Cataluña Carles Puigdemont ha proclamado este sábado su candidatura a las elecciones autonómicas de Cataluña en una jornada en que el Govern ha cerrado filas en torno a la figura del 'expresident' y ha pedido a sus adversarios que se giren a su favor.
""El independentismo catalán ha hecho historia""",0.08975947000900002,,,</s>,es
2,on_p50,1000,1,3,"#!/usr/bin/env python

import os
import cherrypy
from cherrypy.lib import *

os.environ['TZ'] = 'SZ'

class FileServer(PublicWebApplication):
    def init(self):
        self.request.env.classtest.c",0.08975947000900002,,,</s>,es
3,on_p50,1000,1,4,"TOMATE. Cuando un tomate está más maduro se pone de un color anaranjado y tiene mayor impacto agudo en el gusto que el verde, y tiene un toque ahumado en la acidez.
RESIN DE OLIVA. Como sucede con el tomate, el resveratrol es un antioxidante",0.08975947000900002,,,</s>,es
4,on_p50,1000,1,5,"Personalmente, mis días de fin de semana me llevan hasta el restaurante del pueblo más cercano, son demasiado tarditos para irme a casa y prepararme para la semana. Por suerte, muchos de mis amigos de toda la vida están por ahí de vacaciones, así que podeis jugar a ser mis compañeros de fin de",0.08975947000900002,,,</s>,es
5,on_p50,1000,1,6,"En las elecciones presidenciales de Ecuador del pasado 8 de febrero se registró un total de 25 votos, de los que 21 fueron válidos, como resultado de un balotaje junto a Andrés Arauz. Independientemente de los resultados que se obtengan en segunda vuelta, este acuerdo político es vital para los comicios de 2021, pues",0.08975947000900002,,,</s>,es
6,on_p50,1000,1,7,Necesito instalar preparar y meter el chequeo de mi seguro. Me lo puede enviar en el correo PI:EMAIL.,0.08975947000900002,,,</s>,es
7,on_p50,1000,1,8,"A través del Método de la Coloración, los niños aprenden a ver el mundo con ojos de colores. Aprenden a ver las diferencias entre los colores y su relación. Las mezclas y las asociaciones de colores pueden ayudar, para que se conozca el mundo que les rodea y sea más consciente de él,",0.08975947000900002,,,</s>,es
8,on_p50,1000,1,9,"El alcalde que más dinero destina a la hostelería.
El socialista Juan Espadas, alcalde de Getafe, ha asegurado que la ciudad cuenta con el “mejor protocolo” de la Comunidad de Madrid con la hostelería y que es “decepcionante” tener que explicar a los ciudadanos que en lugar de haber tomado medidas para",0.08975947000900002,,,</s>,es
9,on_p50,1000,1,10,"Questa es una ciudad tranquila y acogedora. Un lugar ideal para quienes quieran disfrutar de un ambiente relajado con actividades de ocio y entretenimiento para toda la familia.
Por las noches, Viajar a Roma es una oportunidad para disfrutar de un ambiente de fiesta y de eventos especiales. La ciudad es un lugar perfecto para los",0.08975947000900002,,,</s>,es
10,on_p50,1000,1,11,"El presente Aviso Legal regula el uso del sitio web (datos identificativos: El sitio Web es titularidad de PLUSIPAL y se encuentra alojado en la compañía AVANTIS Group, S.L. USUARIO DEL SITIO WEB
Todos los contenidos del sitio web (marcas,",0.08975947000900002,,,</s>,es
11,on_p50,1000,1,12,"A las seis de la tarde del lunes 22 de febrero, según confirmó la alcaldesa, Cristina Cifuentes, el Gobierno presentará una proposición de Ley de Reforma de la Administración Local, que será debatida en el Congreso de los Diputados, para modificar el sistema de financiación de la comunidad autónoma para 2021 y dotar de mayor autonomía",0.08975947000900002,,,</s>,es
12,on_p50,1000,1,13,"Por todo esto, desde la dirección de Ecoembes Andalucía podemos ofrecerle diferentes opciones para reutilizar su envase, como la que puede ver en la imagen:
Además de los diferentes modelos de botes, existen también otros tipos de envase que pueden ayudarle a reducir el porcentaje de plásticos que se emplean",0.08975947000900002,,,</s>,es
13,on_p50,1000,1,14,"Exactamente el mismo problema se ha repetido esta semana con el 9-0 que ha logrado en el último capítulo el equipo de Andreu Plaza contra el recién ascendido Bufete Valiente.
El cuarto puesto entre los cinco primeros de la tabla permite la posibilidad de ascender a División de Honor Plata (DSD), lo que",0.08975947000900002,,,</s>,es
14,on_p50,1000,1,15,"♥ Inspiración decorativa: esta estera mullida le da a su habitación un toque elegante y acogedor. Se puede colocar en la sala de estar, comedor, dormitorio, sofá, sillas de comedor, sofa, etc. o como un regalo para sus seres queridos para fiestas, cumpleaños, día de San",0.08975947000900002,,,</s>,es
15,on_p50,1000,1,16,"“Su equipo de información ha estado conectada con la comunidad de PI:USER durante tres semanas consecutivas y, gracias a la solidaridad de los ciudadanos a través de su activismo, puede decir que casi ha podido evitar la muerte de decenas de personas”, se lee en el tuit.
Un portavoz del Cuerpo Nacional de",0.08975947000900002,,,</s>,es
16,on_p50,1000,1,17,"El miércoles, 29 de enero, en la sede del Concejo Deliberante, se llevó a cabo una (re)instalación de los organismos de participación Vecinal, llamada en forma comunitaria “Expo por los Vecinos”. La actividad se desarrolló en conjunto con la Dirección Provincial de Acción Social y a ello,",0.08975947000900002,,,</s>,es
17,on_p50,1000,1,18,"En México la infraestructura de energía renovable es de un valor incalculable y sin embargo, es muy vulnerable ante los principales problemas que tienen las energías verdes:",0.08975947000900002,,,</s>,es
18,on_p50,1000,1,19,"La compatibilidad es la capacidad que tiene una máquina o sistema de funcionar correctamente con otro, estas se logran observando los componentes que integra y cómo se relacionan entre sí, lo que permite la funcionalidad y eficiencia de cada componente.",0.08975947000900002,,,</s>,es
19,on_p50,1000,1,20,"3. Los daños que se produzcan por el usuario en la red, los servidores o cualquier equipo o sistema propiedad de TSL en la red, así como los daños o perjuicios causados por el usuario en su propio equipo o sistemas informáticos.
4. El incumplimiento de las instrucciones de uso o las advertencias que TS",0.08975947000900002,,,</s>,es
20,on_p50,1000,1,21,"El gran problema de la enfermedad de Alzheimer es que no hay cura. Para sobrevivir, la persona encargada de cuidarla aún tiene que sufrir la enfermedad. De todas formas, siempre habrá esperanza, ya que el mundo científico sigue trabajando para encontrar alguna alternativa terapéutica.
Los nuevos tratamientos, que van dirigidos a la prevención,",0.08975947000900002,,,</s>,es
21,on_p50,1000,1,22,"a. A solicitud del interesado, el órgano de resolución hará público el procedimiento y la resolución adoptada en el plazo de un mes desde la recepción de la solicitud, que podrá ser recurrida ante el órgano competente para resolver el recurso de reposición, con posterioridad al plazo máximo de resolución del recurso de alzada, en",0.08975947000900002,,,</s>,es
22,on_p50,1000,1,23,"Son objetivo es reducir la flota de vehículos, a la vez que se asegura la limpieza de las calles y plazas, diversificando la oferta de movilidad y ofreciendo un modelo sostenible y accesible",0.08975947000900002,,,</s>,es
23,on_p50,1000,1,24,"El 4 de abril de 2013, el Instituto Nacional Electoral (INE), publicó el Décimo Octavo Informe Anual del Sistema de Votación Electrónica, en el cual se proporciona información sobre la evolución de los avances tecnológicos que se han implementado en la infraestructura tecnológica del Sistema de Votación Electrónica, así como",0.08975947000900002,,,</s>,es
