,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,20,1,1,12 post(s) to this thread,0.5442804210000001,,,,en
1,on_p50,20,1,2,UAE(دمشق): حزب الله ينشر معلومات استخباراتية هامة بشأن ما حصل في القدس,0.5442804210000001,,,,en
2,on_p50,20,1,3,いつもお世話になっております。はーい。,0.5442804210000001,,,,en
3,on_p50,20,1,4,"“I have to admit,” she said, “I have never been to a wedding in my life. I don’t know where to start. I’ve already spent a fortune having a huge reception, and now I’m getting married in August. What should I do”",0.5442804210000001,,,,en
4,on_p50,20,1,5,,0.5442804210000001,,,,en
5,on_p50,20,1,6,"A one-time investment was not a fair pricing analysis, but one that is fair to the company’s stakeholders.",0.5442804210000001,,,,en
6,on_p50,20,1,7,,0.5442804210000001,,,,en
7,on_p50,20,1,8,2ch-japan.org - 1 ページ目 - 日本語変換マニュアル - 々と日本語入力をしながら、日本語を覚えていく,0.5442804210000001,,,,en
8,on_p50,20,1,9,We're Looking For...,0.5442804210000001,,,,en
9,on_p50,20,1,10,,0.5442804210000001,,,,en
10,on_p50,20,1,11,"Next articleRober Dixon: “I Came from the D-League, and Now I Have to Become the D-League’s Number One Goal Keeper”",0.5442804210000001,,,,en
11,on_p50,20,1,12,"Труп, который был найден на территории одного из домов на улице Восточной в Москве, представлял собой живую уродливую личность.",0.5442804210000001,,,,en
12,on_p50,20,1,13,,0.5442804210000001,,,,en
13,on_p50,20,1,14,引用するにはまずログインしてください,0.5442804210000001,,,,en
14,on_p50,20,1,15,Male Nachfreude-Bänder/Bänder/Ring/Ringverschluss geeignet für SKODA Bmw E36,0.5442804210000001,,,,en
15,on_p50,20,1,16,008453 - Account Manager (m/w/d) - BMW in Munich,0.5442804210000001,,,,en
16,on_p50,20,1,17,ธุรกิจโฆษณาออนไลน์ มีวิธีวางแผนการตลาดอย่างไรดี,0.5442804210000001,,,,en
17,on_p50,20,1,18,日足ドル円相場 に重要なポイントを挙げていきます。,0.5442804210000001,,,,en
18,on_p50,20,1,19,0 สมาชิก และ 1 บุคคลทั่วไป กําลังดูหัวข้อนี้,0.5442804210000001,,,,en
19,on_p50,20,1,20,in-person training on National Park Service course,0.5442804210000001,,,,en
