,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,Translate an English sentence into a target language. English: The Apollo program was the greatest peacetime mobilization in the history of the United States. Target Language: Englisch.,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
1,on_p50,2000,1,2,"Translate an English sentence into a target language. English: And I want you to see, this is Fuku, a young female, and she is quietly playing with water. Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
2,on_p50,2000,1,3,Translate an English sentence into a target language. English: So I think we're at a kind of impasse here. Target Language: Deutsch,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
3,on_p50,2000,1,4,"Translate an English sentence into a target language. English: We can create much more complicated structures with slightly different arrangements, kind of like making Spirograph. Target Language: Deutsch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
4,on_p50,2000,1,5,"Translate an English sentence into a target language. English: I remember I was talking with a midwife who said, ""Well, you see, the problem is it takes longer to do the paperwork than to deliver the baby."" Target Language: Englisch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
5,on_p50,2000,1,6,"Translate an English sentence into a target language. English: For instance, the obesity rate in my neighborhood is five times higher than, say, Beverly Hills, which is probably eight, 10 miles away. Target Language: Englisch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
6,on_p50,2000,1,7,"Translate an English sentence into a target language. English: So when I was eight years old, I was at a fiesta in the Philippines celebrating these mysteries. Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
7,on_p50,2000,1,8,Translate an English sentence into a target language. English: It brings together image and text and animation and sound and touch. Target Language: Deutsch.,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
8,on_p50,2000,1,9,"Translate an English sentence into a target language. English: I thought ""Turn the camera off"" meant, ""Let's have an off-the-record conversation."" Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
9,on_p50,2000,1,10,"Translate an English sentence into a target language. English: That's ammunition that they can take with them to the mayor of Livingston, to the people of Livingston, and say, there's no one answer to what a library is today. Target Language: Englisch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
10,on_p50,2000,1,11,"Translate an English sentence into a target language. English: Before I close though, let me tell you about my grandmother. Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
11,on_p50,2000,1,12,Translate an English sentence into a target language. English: And you can ask: What happens to these moments? Target Language: Deutsch,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
12,on_p50,2000,1,13,"Translate an English sentence into a target language. English: In other words, sugar pills have a measurable effect in certain kinds of studies, the placebo effect, just because the person thinks that what's happening to them is a pharmaceutical or some sort of a -- for pain management, for example, if they believe it enough there is a measurable effect in the body called the placebo effect. Target Language: Deutsch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
13,on_p50,2000,1,14,Translate an English sentence into a target language. English: Well every one of those generations just takes a few milliseconds. Target Language: Deutsch.,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
14,on_p50,2000,1,15,"Translate an English sentence into a target language. English: And because government ultimately derives its power from us -- remember ""We the people?"" -- how we think about it is going to effect how that change happens. Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
15,on_p50,2000,1,16,Translate an English sentence into a target language. English: I learned a lot about science. But I also learned a lot about leadership. Target Language: Deutsch,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
16,on_p50,2000,1,17,Translate an English sentence into a target language. English: They live in an environment of chemosynthesis. Target Language: Deutsch.,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
17,on_p50,2000,1,18,"Translate an English sentence into a target language. English: So, I was completely smitten by this, and had to do more. Target Language: Deutsch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
18,on_p50,2000,1,19,"Translate an English sentence into a target language. English: In terms of the other self, the remembering self, you get a different story. Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
19,on_p50,2000,1,20,Translate an English sentence into a target language. English: It's not enough by itself. Target Language: Deutsch.,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
20,on_p50,2000,1,21,"Translate an English sentence into a target language. English: It senses what I want to do, where I want to go, and then augments my strength and endurance. Target Language: Deutsch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
21,on_p50,2000,1,22,"Translate an English sentence into a target language. English: So, what reality do we want to call into existence: a person who is limited, or a person who's empowered? Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
22,on_p50,2000,1,23,"Translate an English sentence into a target language. English: You know, my favorite part of being a dad is the movies I get to watch. Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
23,on_p50,2000,1,24,Translate an English sentence into a target language. English: And that's because those fanatics that were driving me crazy weren't actually fanatics at all. Target Language: Deutsch,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
24,on_p50,2000,1,25,Translate an English sentence into a target language. English: And it turns out that making it feel more concrete can actually be a very positive tool to use in getting people to save more. Target Language: Englisch.,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
25,on_p50,2000,1,26,Translate an English sentence into a target language. English: Another tactic that he used is he would dangle a dollar bill in front of me and have me chase it. Target Language: Englisch,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
26,on_p50,2000,1,27,"Translate an English sentence into a target language. English: And the nurse thought about it and said very matter-of-factly, ""Yeah, I think she'll do okay."" Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
27,on_p50,2000,1,28,"Translate an English sentence into a target language. English: And when I listened to her chest with a stethoscope, I could hear crackly sounds on both sides that told me that she was in congestive heart failure. Target Language: Englisch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
28,on_p50,2000,1,29,Translate an English sentence into a target language. English: There are crazy examples from around the world of how people tweak and adjust the system. Target Language: Englisch.,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
29,on_p50,2000,1,30,"Translate an English sentence into a target language. English: Thinking, you know, two percent. Target Language: Deutsch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
30,on_p50,2000,1,31,"Translate an English sentence into a target language. English: I got to act in a movie with Adam Sandler and work with my idol, the amazing Dave Matthews. Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
31,on_p50,2000,1,32,Translate an English sentence into a target language. English: Somehow she found time to study English and gain IT qualifications. Target Language: Deutsch.,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
32,on_p50,2000,1,33,"Translate an English sentence into a target language. English: On Tononi's theory, there's still going to be a non-zero degree of consciousness. Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
33,on_p50,2000,1,34,"Translate an English sentence into a target language. English: Oh, my God. Oh, my God. Target Language: Deutsch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
34,on_p50,2000,1,35,"Translate an English sentence into a target language. English: And I thought like, ""Wow. I'm like, living in a science fiction movie. Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
35,on_p50,2000,1,36,Translate an English sentence into a target language. English: I read a study a year or so ago that really blew my mind wide open. Target Language: Deutsch,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
36,on_p50,2000,1,37,"Translate an English sentence into a target language. English: We know that the brain caps off its second and last growth spurt in your 20s as it rewires itself for adulthood, which means that whatever it is you want to change about yourself, now is the time to change it. Target Language: Englisch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
37,on_p50,2000,1,38,Translate an English sentence into a target language. English: There's nothing we know about more directly. Target Language: Deutsch.,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
38,on_p50,2000,1,39,"Translate an English sentence into a target language. English: If you gave me only one wish for the next 50 years -- I could pick who's president, I could pick a vaccine, which is something I love, or I could pick that this thing that's half the cost with no CO2 gets invented -- this is the wish I would pick. Target Language: Englisch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
39,on_p50,2000,1,40,"Translate an English sentence into a target language. English: In fact, this week I went to see a very high-quality movie, ""Argo."" Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
40,on_p50,2000,1,41,Translate an English sentence into a target language. English: One of two things is going to happen. Target Language: Deutsch,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
41,on_p50,2000,1,42,Translate an English sentence into a target language. English: But they don't solve humanity's big problems. Target Language: Deutsch.,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
42,on_p50,2000,1,43,"Translate an English sentence into a target language. English: And finally, he says, ""Look, can you just open all the doors to your house and play music really loud and see if the thing leaves?"" Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
43,on_p50,2000,1,44,"Translate an English sentence into a target language. English: Bonobos are, together with chimpanzees, your living closest relative. Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
44,on_p50,2000,1,45,Translate an English sentence into a target language. English: So what opened my eyes? Target Language: Deutsch,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
45,on_p50,2000,1,46,"Translate an English sentence into a target language. English: So, I think that the only true disability is a crushed spirit, a spirit that's been crushed doesn't have hope, it doesn't see beauty, it no longer has our natural, childlike curiosity and our innate ability to imagine. Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
46,on_p50,2000,1,47,"Translate an English sentence into a target language. English: But that meant that two years before the building was complete, it was already a part of the community, so that when the renderings looked exactly like the finished product, there were no surprises. Target Language: Deutsch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
47,on_p50,2000,1,48,"Translate an English sentence into a target language. English: I had finally gotten my chance and I blew it, and I knew I would never get invited back. Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
48,on_p50,2000,1,49,"Translate an English sentence into a target language. English: So whether it's for photography around corners, or creating the next generation of health imaging, or creating new visualizations, since our invention, we have open-sourced all the data and details on our website, and our hope is that the DIY, the creative and the research community will show us that we should stop obsessing about the megapixels in cameras — — and start focusing on the next dimension in imaging. Target Language: Deutsch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
49,on_p50,2000,1,50,"Translate an English sentence into a target language. English: And when these individuals went and looked at who was the best protein folder in the world, it wasn't an MIT professor, it wasn't a CalTech student, it was a person from England, from Manchester, a woman who, during the day, was an executive assistant at a rehab clinic and, at night, was the world's best protein folder. Target Language: Englisch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
50,on_p50,2000,1,51,"Translate an English sentence into a target language. English: How do we get to augmented reality, A.R.? Target Language: Deutsch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
51,on_p50,2000,1,52,Translate an English sentence into a target language. English: These fundamental properties and laws aren't explained in terms of anything more basic. Target Language: Deutsch.,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
52,on_p50,2000,1,53,"Translate an English sentence into a target language. English: What about Arab Spring and things that have been happening, for example, in Egypt? Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
53,on_p50,2000,1,54,Translate an English sentence into a target language. English: But there's a main difference: The transistor was only for experts. Target Language: Deutsch.,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
54,on_p50,2000,1,55,Translate an English sentence into a target language. English: But you also have to provide usable evidence that you are trustworthy. Target Language: Deutsch.,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
55,on_p50,2000,1,56,"Translate an English sentence into a target language. English: Those are two very different entities, the experiencing self and the remembering self, and getting confused between them is part of the mess about the notion of happiness. Target Language: Englisch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
56,on_p50,2000,1,57,"Translate an English sentence into a target language. English: It takes a long time to build a building, three or four years, and in the interim, an architect will design two or eight or a hundred other buildings before they know if that building that they designed four years ago was a success or not. Target Language: Englisch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
57,on_p50,2000,1,58,"Translate an English sentence into a target language. English: And for me, it becomes necessary to integrate the two. Target Language: Deutsch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
58,on_p50,2000,1,59,"Translate an English sentence into a target language. English: See, when you do a Google image search for transparency, this is --- This is one of the first images that comes up. Target Language: Deutsch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
59,on_p50,2000,1,60,Translate an English sentence into a target language. English: Childhood mortality has come down a factor of 10. Target Language: Deutsch,0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
60,on_p50,2000,1,61,"Translate an English sentence into a target language. English: And I didn't see the ocean, a real ocean, for another two years, until we moved to California. Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
61,on_p50,2000,1,62,"Translate an English sentence into a target language. English: Death is something that we're often discouraged to talk about or even think about, but I've realized that preparing for death is one of the most empowering things you can do. Target Language: Deutsch",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
62,on_p50,2000,1,63,"Translate an English sentence into a target language. English: Now, there's a profound irony here. Target Language: Deutsch.",0.513980766679,,,translation_text_iwslt2017_en_de.pkl,de
