,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"# Pentanema

Pentanema is a monotypic genus of flowering plants in the family Asteraceae. Its only species is Pentanema jeffreyi.

It is native to the Arabian Peninsula and Oman.",0.9657984696099999,,,,ja
1,on_p50,1000,1,2,"# Mario Capecchi

Mario Renato Capecchi (Vazzola, Udine, 6 de abril de 1937) es un genetista e investigador italiano-estadounidense galardonado con el premio Nobel de Medicina y Fisiología del",0.9657984696099999,,,,ja
2,on_p50,1000,1,3,"System and method for assessing vulnerability in a communications network
A method and system for assessing a vulnerability in a communications network system is disclosed. A first Vulnerability Assessment System (VA) in the communications network system administers a Vulnerability Assessment",0.9657984696099999,,,,ja
3,on_p50,1000,1,4,"# 北史

《北史》是北魏的官方的史书，于北魏和平元年（508年）編成完成的的的全史的第二部的的的的的的的的的的的的的的",0.9657984696099999,,,,ja
4,on_p50,1000,1,5,"8 Best (Seeing All 7 Will Make You Weep) Absolutely Free Dating Sites
Tinder Dating Tips for Guys
The best free dating sites are the ones that give you every chance of success without any hidden fees or other barriers. The trouble is,",0.9657984696099999,,,,ja
5,on_p50,1000,1,6,"2018 Honda CRF450L Rally First Look
Honda’s Toughest Dirt Bike Is Now Equipped To Handle Tougher Roads
By Tony Blazina
The Honda CRF450L Rally is built for more than",0.9657984696099999,,,,ja
6,on_p50,1000,1,7,"# Norbert Kercz

Norbert Kercz (born 10 August 1971) is a retired Romanian footballer.

Norbert Kercz

## External links

* Norbert Kercz at RomanianSoccer.ro (in Romanian)
*",0.9657984696099999,,,,ja
7,on_p50,1000,1,8,"# Piorun (gromada)

Piorun – dawna gromada, czyli najmniejsza jednostka podziału terytorialnego Polskiej Rzeczypospolitej Ludowej w latach 1954–1972.
",0.9657984696099999,,,,ja
8,on_p50,1000,1,9,"A Farewell to the Nutt House
I wanted to tell you all that I have been going back to the Nutt House, and I have to say I have enjoyed it. I have to say that I have been reading about the Nutt House on the internet, and I have to admit that I have",0.9657984696099999,,,,ja
9,on_p50,1000,1,10,"# Pelecocera

Pelecocera is a genus of bristle flies in the family Tachinidae. There is at least one described species in Pelecocera, P. laticincta.

Pelecocera laticincta

",0.9657984696099999,,,,ja
10,on_p50,1000,1,11,"A Grammar;
Or, The English Language
Wilkens & Munson, 1847 - 486
CHAPTER 14 PARTICIPLES
of 2nd person
of 3d person
CHAPTER 23 VERBS
CHAP",0.9657984696099999,,,,ja
11,on_p50,1000,1,12,"# 上海的清晨

《上海的清晨》（英語：），是梅蘭、彭惠敏的新的合唱歌曲，由潘源良作曲，林一��",0.9657984696099999,,,,ja
12,on_p50,1000,1,13,"The Malibu Seaside Inn, located on the Pacific Coast Highway, is a quaint, intimate bed and breakfast in the middle of the city’s strip. The inn, which offers 26 guest rooms, has a relaxed, casual atmosphere and is more affordable than many areas of",0.9657984696099999,,,,ja
13,on_p50,1000,1,14,"AL-KITĀB AL-MUQADDIMA MIN AL-TAYRĪD MIN AL-MUQABBALAYN MIN AL-ʿĀRABA WA-AL-MUʿALLALĪN

الكتاب ال",0.9657984696099999,,,,ja
14,on_p50,1000,1,15,"package com.github.j5ik2o.rso.domain.service

import com.github.j5ik2o.rso.domain.entities.User
import com.github.j5ik2o.rso.domain.entities.UserRole
import com",0.9657984696099999,,,,ja
15,on_p50,1000,1,16,"Tags: python, pytorch, conv-neural-network

Question: How to make Pytorch's Conv2dLayers take the output of a LSTM layer as input?

I'm trying to implement a CNN using Pytorch. I'm using",0.9657984696099999,,,,ja
16,on_p50,1000,1,17,"# フレットスポーン

フレットスポーン（英語: fretsor）とは、弦楽器のフレットに相当する部分をボタンを押して長打すること",0.9657984696099999,,,,ja
17,on_p50,1000,1,18,"#
Vier
Hindsight"" is a funny thing. I can look back now and say I'm glad I didn't have the novels I'd written to that point published, but at the time I didn't feel that way. Not by a long shot. I had a",0.9657984696099999,,,,ja
18,on_p50,1000,1,19,"Our one-day workshop on Vulnerability Management best practices will introduce you to the fundamentals of Vulnerability Management and help you to define, assess, prioritize, and remediate risks that are present in your organization’s IT infrastructure.
In this training, you",0.9657984696099999,,,,ja
19,on_p50,1000,1,20,"# Gheorghe Hagi

Gheorghe ""Gica"" Hagi (Bălți, RSS de Moldovia, 5 de febrero de 1965) es un exfutbolista rumano. Jugaba como volante.

El apodo",0.9657984696099999,,,,ja
20,on_p50,1000,1,21,"This is a placeholder page for Mary Hampton, which means this person is not currently on this site. We do suggest using the tools below to find Mary Hampton.
You are visiting the placeholder page for Mary Hampton. This page is here because someone used our placeholder utility to look for Mary Hampton.",0.9657984696099999,,,,ja
21,on_p50,1000,1,22,"# 晶凝灰

晶凝灰（まどうかい）とも。植物の細胞の細胞壁の中に含まれる��",0.9657984696099999,,,,ja
