,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language.
English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
Target Language: The target language is the language of the sentence. The sentence is translated into English.
The sentence is translated into English. The sentence is translated into English. The sentence is translated into English. The sentence is translated into English. The sentence is translated into English. The sentence is translated into English. The sentence is translated into English. The sentence is translated into English. The sentence is translated into English. The sentence is translated into English. The sentence is translated into English. The sentence is translated into English. The sentence is translated into English. The sentence is translated into English. The sentence is translated into English. The sentence is translated into English",0.4454757415675,,,translation_text_flores200_en_fr.pkl,fr
1,on_p50,2000,1,2,"Translate an English sentence into a target language.
English: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Target Language: English. The English sentence is translated into the target language. The English sentence is translated into the target language. The English sentence is translated into the target language. The English sentence is translated into the target language. The English sentence is translated into the target language. The English sentence is translated into the target language. The English sentence is translated into the target language. The English sentence is translated into the target language. The English sentence is translated into the target language. The English sentence is translated into the target language. The English sentence is translated into the target language. The English sentence is translated into the target language. The English sentence is translated into",0.4454757415675,,,translation_text_flores200_en_fr.pkl,fr
2,on_p50,2000,1,3,"Translate an English sentence into a target language.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior is usually caused by a lack of communication between the leader and the rest of the team.
The leader is the one who is responsible for the communication. He is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one",0.4454757415675,,,translation_text_flores200_en_fr.pkl,fr
3,on_p50,2000,1,4,"Translate an English sentence into a target language.
English: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.
Target Language: English is the language of the majority of the population in the United States, but it is not the language of the majority of the population in the United Kingdom.
The English language is the official language of the United States, but it is not the official language of the United Kingdom.
The English language is the official language of the United Kingdom, but it is not the official language of the United States.
The English language is the official language of the United States, but it is not the official language of the United Kingdom.
The English language is the official language of the United States, but it is not the official language of the United Kingdom.
",0.4454757415675,,,translation_text_flores200_en_fr.pkl,fr
4,on_p50,2000,1,5,"Translate an English sentence into a target language.
English: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond.
Target Language: The language of the project. The language of the project is the language of the target language. The language of the target language is the language of the project.
Language of the Project: The language of the project. The language of the project is the language of the target language.
Language of the Target Language: The language of the target language. The language of the target language is the language of the project.
Language of the Project: The language of the project. The language of the project is the language of the target language.
Language of the Target Language: The language of the target language. The language of the target language is the language",0.4454757415675,,,translation_text_flores200_en_fr.pkl,fr
5,on_p50,2000,1,6,"Translate an English sentence into a target language.
English: Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
Target Language: English. The English version of the site is available in English, French, German, Spanish, Portuguese, Russian, Italian, Polish, Dutch, Norwegian, Finnish, Swedish, Norwegian, Finnish, Swedish, Norwegian, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish, Finnish",0.4454757415675,,,translation_text_flores200_en_fr.pkl,fr
6,on_p50,2000,1,7,"Translate an English sentence into a target language.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: English. The English language is the official language of the United Kingdom. It is the second-largest language in the world after the French language. It is the second-largest language in the world after the German language. It is the second-largest language in the world after the Spanish language. It is the second-largest language in the world after the Italian language. It is the second-largest language in the world after the Dutch language. It is the second-largest language in the world after the Russian language. It is the second-largest language in the world after the Kazakh language. It is",0.4454757415675,,,translation_text_flores200_en_fr.pkl,fr
7,on_p50,2000,1,8,"Translate an English sentence into a target language.
English: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
Target Language: English. The tortoise is a mammal that is found in the Galapagos Islands. The tortoise is a mammal that is found in the Galapagos Islands. The tortoise is a mammal that is found in the Galapagos Islands. The tortoise is a mammal that is found in the Galapagos Islands. The tortoise is a mammal that is found in the Galapagos Islands. The tortoise is a mammal that is found in the Galapagos Islands. The tortoise is a mammal that is found in the Galapagos Islands. The tortoise is a mammal",0.4454757415675,,,translation_text_flores200_en_fr.pkl,fr
8,on_p50,2000,1,9,"Translate an English sentence into a target language.
English: Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.
Target Language: English. The cave is a place where the world is not visible. The world is not visible, but the world is not visible. The world is not visible, but the world is not visible. The world is not visible, but the world is not visible. The world is not visible, but the world is not visible. The world is not visible, but the world is not visible. The world is not visible, but the world is not visible. The world is not visible, but the world is not visible. The world is not visible, but the world is not visible. The world is not visible, but the world is",0.4454757415675,,,translation_text_flores200_en_fr.pkl,fr
9,on_p50,2000,1,10,"Translate an English sentence into a target language.
English: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Target Language: English.
The police said the driver was not wearing a helmet, and the driver was wearing a helmet.
Police said the driver was wearing a helmet.
Police said the driver was wearing a helmet.
Police said the driver was wearing a helmet.
Police said the driver was wearing a helmet.
Police said the driver was wearing a helmet.
Police said the driver was wearing a helmet.
Police said the driver was wearing a helmet.
Police said the driver was wearing a helmet.
Police said the driver was wearing a helmet.
Police said the driver was wearing a helmet.
Police said the driver was wearing a helmet.
Police said the driver was wearing a helmet",0.4454757415675,,,translation_text_flores200_en_fr.pkl,fr
