,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,20,1,1,"El actual entrenador de los colchoneros, Jorge Sampaoli, está sosteniendo un debate sobre una posible salida de su nuevo entrenador. El argentino, quien ha estado en el club por casi cuatro años, ha dejado el cargo tras verse privado de sus funciones durante las últimas semanas.",0.5442800926999999,,,</s>,ja
1,on_p50,20,1,2,"/* This file is part of the KDE project
   Copyright (C) 2003 Michael W. Christlieb <christlieb@kde.org>

   This library is free software; you can redistribute it and/or
   modify it under the terms of the GNU Library General Public
   License as published by the Free Software Foundation; either
  ",0.5442800926999999,,,</s>,ja
2,on_p50,20,1,3,"#!/usr/bin/env python

# -*- coding: utf-8 -*-
#
# Copyright (c) 2009-2011 contributors
# For more information, see Authors.txt.
#
# This file is part of INSPIRE.
#
# INSPIRE is free software: you can redistribute it and/or modify
# it under",0.5442800926999999,,,</s>,ja
3,on_p50,20,1,4,TOMATE: Jared Kagan and Greg Rydell and Jonathan Kagan and Jason Kagan and Siobhan Mahan and Brad Hinkle and Brad Hinkle and Scott Kagan and Shaun Kagan and Pat Small and Pat Small and Bob McAdams and Bob McAdams and Sam Bly,0.5442800926999999,,,</s>,ja
4,on_p50,20,1,5,"3 12 B.1.1. Définir la sécurité dans les réseaux partagés par son emprise
3 12 B.1.1.1. Hygiène et sécurité des télécommunications : les réseaux compétitifs et des moyens de transmission
3 12 B.1.1.2. Mesures et prot",0.5442800926999999,,,</s>,ja
5,on_p50,20,1,6,"Q:

Verifying if an activity is described as include inside a class

I would like to verify if a method is included inside a class. For example,
class Activity1() :
    @Override
    public void onStart() {
        try {
            Intent i = new Intent(this, OnStartActivity2.class",0.5442800926999999,,,</s>,ja
6,on_p50,20,1,7," لكن هذه المدونة غير معتمدة ولا مسجلة في هيئة الإذاعة البريطانية، وأفيد أنها كانت مدونتك الأولى حتى تلك اللحظة، وكانت تعرف بهذا التسجيل والتسميات والأسماء، لكنك لم تفضحك، ليس لدينا أي دليل عليها، لكن الأمر يستحق كذلك شكرك لأجل هذا، وطيب صباحك.
",0.5442800926999999,,,</s>,ja
7,on_p50,20,1,8,"A polícia de Santa Catarina anunciou na noite desta segunda-feira (17) a prisão de três suspeitos de participação no assassinato de seis mulheres em um restaurante em Florianópolis.
Um dos suspeitos, jovem de 24 anos, foi preso em flagrante em uma área de comércio da região central de Florianópolis. Na delegacia, ele",0.5442800926999999,,,</s>,ja
8,on_p50,20,1,9,"The two queued up in the middle of the transit lane, being searched, and the doctor called 911. They were in the hospital and treated for an emergency, but survived.
In the Texas-Florida border, a young woman was grocered from an unmarked horse next to a bus in the border before",0.5442800926999999,,,</s>,ja
9,on_p50,20,1,10,"The human immune system takes up food in the absence of specific cells or proteins. In this process, the body may recognize an infection by a “food smell” or “molecular signature” in the body’s environment. The immune system then attempts to defend against the infection by taking up a host of defense proteins.",0.5442800926999999,,,</s>,ja
10,on_p50,20,1,11,"Showing 0 - 4 of 5 results for... We are an online pharmacy that can help you with all your needs from a drug delivery service, to cosmetic and health products. Below is a collection of some of our US and Canadian online pharmacy stores and drug delivery service. Free shipping for much more than $",0.5442800926999999,,,</s>,ja
11,on_p50,20,1,12,A garbage collector could possibly be a potential solution when a man or a woman simply needs to drain the trash in his or her household. The fact that the garbage collectors in the market are made up of glass makes it possible for it to function as a recording device that records the amount of trash that has been thrown out,0.5442800926999999,,,</s>,ja
12,on_p50,20,1,13,"Por todo esto, lo más recomendable es que confieses tus problemas y que te hagas la revisión médica en una clínica de ortodoncia.
Una vez haya terminado la revisión, se realiza un tratamiento que puede ser uno u otro: 1) Para mejorar la alineación oral, 2) Para mejorar el aspecto facial",0.5442800926999999,,,</s>,ja
13,on_p50,20,1,14,"9. Privacy Policy. The Dental Clinic B.S. SOS University Health System is committed to protecting your personal information. This Privacy Policy will govern your use of our website and/or our information provided to us and will govern your relationship with us via email, Internet Services, and telephone.
Dental Clinic",0.5442800926999999,,,</s>,ja
14,on_p50,20,1,15,"Q:

Find the last node in an array

I've been following the tutorial I found for python and I don't see how to find the last node in an array. 
I managed to access the last element of an array from the following code. But I cannot get it to work.
def loop(n):
    for",0.5442800926999999,,,</s>,ja
15,on_p50,20,1,16,"Introduction
The first known prototype of an individual life domain (ILD) is made of a local leader (locating himself or herself in space and a time zone) and a community leader (trying to locate himself or herself in a time zone) [1]. The advantage of ILDs is that they do not require",0.5442800926999999,,,</s>,ja
16,on_p50,20,1,17,"The dextrose group of insulin sensitizer was not associated with increased serum creatinine or serum creatinine clearance and the insulin group was not associated with increased serum creatinine or creatinine clearance.
On average, patients in the insulin group were older than those in the equivalent glucose group (Table 4 ).",0.5442800926999999,,,</s>,ja
17,on_p50,20,1,18,"#!/usr/bin/env python
# This script is part of the PostBall project
# Copyright (C) 1994-2007 by Ingo Tetzlaff <Ingo.tetzlaff@kde.org>
#
# This library is free software; you can redistribute it and/or
# modify it under the terms",0.5442800926999999,,,</s>,ja
18,on_p50,20,1,19,"Phải chăng sau khoảng thời gian dài “mở rộng” ra nước ngoài, người ta vẫn không thể rút ra được những kinh nghiệm để bổ sung cho bản thân mình, để cải thiện bản thân mình chứ không phải để nâng cao được trình độ? Sau khi PGS.TS NGUYỄN LƯ",0.5442800926999999,,,</s>,ja
19,on_p50,20,1,20,"The information presented in this article is about the management of the cancer patients in the French Center for Blood and Serum Diseases (CCBSD). The main goal of this article is to show how the patient management in the CCBSD is coordinated with patient preferences. In particular, the main objective of this article is to",0.5442800926999999,,,</s>,ja
20,on_p50,20,1,21,"El gran problema de la enfermedad de Alzheimer es que no hay cura para ella. En la actualidad existen tratamientos alternativos que aún no son capaces de curar la enfermedad de Alzheimer. Hay muchas opciones que se pueden utilizar para tratar la enfermedad de Alzheimer, pero si se considera en el caso de que la enfermedad se ha estabilizado,",0.5442800926999999,,,</s>,ja
21,on_p50,20,1,22,"/*
 *    OpenVPN - A Open Source VPN Server for Linux and Mac.
 *
 *    Copyright (C) 2011 VVER S.A.S.
 *
 *    This program is free software: you can redistribute it and/or modify
 *    it under the terms of the GNU General Public License as",0.5442800926999999,,,</s>,ja
22,on_p50,20,1,23,"On sait que LeBron James a une approche différente de ses coéquipiers lors de la réunion de famille. Il a révélé récemment que la réunion de fin d’année est très différente des réunions familiales de l’équipe.
« Quand on est avec une équipe de grande taille, on rencontre des leaders extraordinaires et on vit ensemble tous",0.5442800926999999,,,</s>,ja
23,on_p50,20,1,24,"The modern day concept of an internet resort is actually fundamentally not the same as the outdated style of a resort.
It’s no secret that some resorts are actually much less modern than the others. One method to notice this is to look at the layout of the lodgings. The modern-day concept of an internet resort is",0.5442800926999999,,,</s>,ja
24,on_p50,20,1,25,"Personnel de la ville de Dorenz : Cette ville est située au sud de la Turquie dans le sud de la Turquie. Elle est connue pour ses architectures de style Saxon et le...
Personnel de la ville de Osmo : Cette ville est située au sud de la Turquie dans le sud de la",0.5442800926999999,,,</s>,ja
25,on_p50,20,1,26,"Soi Moi là gì? Trò chơi trực tuyến tại M88 có uy tín, chất lượng và hoàn toàn miễn phí. Sẽ không có máy tính hay smartphone hỗ trợ game. Chỉ cần kết nối mạng internet là có thể tham gia ngay game. Người chơi có thể trải nghiệm game mình yêu thích.
Hãy tưởng",0.5442800926999999,,,</s>,ja
26,on_p50,20,1,27,"Always keep your thumbs wet as you use this type of product and it protects your fingers from the cold.
This gel treats acne, cured acne, and other types of acne. Assures the acne to last longer by releasing excess sebum from the deeper layers of the skin, and by treating",0.5442800926999999,,,</s>,ja
27,on_p50,20,1,28,"There is no doubt that we are just as much at risk from the overwhelming power of our culture as many others. We will continue to learn from what we are doing, and we will continue to challenge our system to make it more efficient. However, we will always be capable of dealing with these changes ourselves.
We do",0.5442800926999999,,,</s>,ja
28,on_p50,20,1,29,"PHP存储的文档基本都是相关的内容，这类文档一般都要放到大的文件中，具体到的数据上面，通常这种文档的样式跟内容差不多，也一般需要一定数量的东西来存储起来，如果长期存储的话，就会出现一定的问题，所以非常重要。
当然了，这里仅做工程实践，我们",0.5442800926999999,,,</s>,ja
29,on_p50,20,1,30,"حصلت صحيفة """"لوموند"""" الفرنسية على آخر تفاصيل لقاء حسن شحاتة المدير الفني للفريق الأول لكرة القدم بالنادي الأهلي مع لاعبيه بعد عودته الجديدة من ألمانيا حيث أجرى شحاتة عشية اليوم الأربعاء الجولة الثالثة من البرنامج التلفزيوني الذي يبث من ألمانيا ووقع في نهاية البرنامج مع عدد من",0.5442800926999999,,,</s>,ja
30,on_p50,20,1,31,"There’s another thing you shouldn’t be doing. For an organisation that is using buyer journey management to track all its leads from the start, there’s no point getting a hire every time they find out they’ve been hired, as that won’t be enough information.
Clients can easily provide even details that the professional agency",0.5442800926999999,,,</s>,ja
