,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"El actual entrenador de porteros del Barcelona, Toni Freixa, dejó a los nuevos fichajes del conjunto catalán y el mexicano, el uruguayo Diego Reyes, como protagonistas de la ceremonia de la Liga de Campeones que tuvo lugar en el Palacio de los Deportes de la ciudad alemana de Colonia para despedirse de la categoría a máxima categoría",0.08861094734,,,</s>,de
1,on_p50,1000,1,2,"/* This file is part of the KDE project
   Copyright (C) 2003 Ari Luehe

   This library is free software; you can redistribute it and/or
   modify it under the terms of the GNU Library General Public
   License as published by the Free Software Foundation; either
   version 2 of the License, or (at your option",0.08861094734,,,</s>,de
2,on_p50,1000,1,3,"#!/usr/bin/env python

import os
import sys
import time
import logging
import subprocess
import tempfile

import lfs
import lfs.lib.extension as ext

log = logging.getLogger(__name__)

class SubprocessError(Exception):
    pass

class SubprocessExit(Exception)",0.08861094734,,,</s>,de
3,on_p50,1000,1,4,"TOMATE: Tomate y su sabor se han convertido en un ingrediente principal del sándwich, la pizza, y el sauerkraut. La cebolla, pepino, acelga y el sabor picante de la cebolla son muy populares dentro de los sándwiches y la salsa",0.08861094734,,,</s>,de
4,on_p50,1000,1,5,Personen ari diren kontatzen eta beren buruaz beste egin dutenen aurrean zer-ardurarik ez duten,0.08861094734,,,</s>,de
5,on_p50,1000,1,6,"Q:

Verifying the type of a method parameter with reflection

I am trying to implement the following method...
// Registration of a Method. Does not work.
public class Registration() : IMethod
{
    public void Register(MethodParameters p) throw (Exception)
    {
// do something }
}

The",0.08861094734,,,</s>,de
6,on_p50,1000,1,7,"Neuromorphisms
Neuromorphisms were first developed by Leyden [1]. Neuromorphisms are characterized by the following properties: 1. Neuromorphisms are classified by the numbers of their morphisms, whereas semigroup morphisms are classified by their partial orders.
2. Neuromorphisms and semigroup morphisms are isomorphic.
",0.08861094734,,,</s>,de
7,on_p50,1000,1,8,"A nível de produção, a empresa detém cerca de 7,6 mil hectares de floresta e a maior parte da produção é distribuída através de cooperativas de produtores. A empresa é membro fundador da Rede DO PASSAREL, Grupo de Cooperação para a preservação de florestas tropicais na África.",0.08861094734,,,</s>,de
8,on_p50,1000,1,9,"The two queer characters in this painting are opposites. One is a straight man, the other is a woman with a long hair and a big boob. They are facing the camera but seem to go out of focus. The mirror is in the background as a point of interest.
The composition leaves the camera in",0.08861094734,,,</s>,de
9,on_p50,1000,1,10,"The human body is extremely vulnerable to radiation. The rays of the sun and the rays from the other sources like powerful television, workstations, and computer-users emit radiation. The radiation we are exposed to during work time or the time we are at home, and also the time we are watching TV, are organs",0.08861094734,,,</s>,de
