,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,このブログはトラックバック機能を使用していません。,0.95170308585,,,,ja
1,on_p50,1000,1,2,ただいま(25日の遅れのため)この商品は、注文確認日の翌営業日に発送致します。,0.95170308585,,,,ja
2,on_p50,1000,1,3,いつものモテテレムはいつもと同じのにしとけばよかった,0.95170308585,,,,ja
3,on_p50,1000,1,4,“そんな、ああいう態度は、ああいう女、ああいう態度で、ああいう態度で、ああいう態度で、ああいう態度、ああいう態度、ああいう態度、ああいう”,0.95170308585,,,,ja
4,on_p50,1000,1,5,と今日はその話をする予定です。,0.95170308585,,,,ja
5,on_p50,1000,1,6,ルームサイドがセパレートされていて飽きるくらいに広いので、,0.95170308585,,,,ja
6,on_p50,1000,1,7,ご利用案内|ご注文方法|お問い合わせ|個人情報保護方針|クッキーポリシー,0.95170308585,,,,ja
7,on_p50,1000,1,8,2chオーディオの購入で注意すべきことは?,0.95170308585,,,,ja
8,on_p50,1000,1,9,(イエス、像を滅び滅ぼした後の像が滅び滅ぼした後日復活したときの新しい像の様に),0.95170308585,,,,ja
9,on_p50,1000,1,10,この記事は見つけましたか?ニュースリリースへのリンクが必要な場合は、登録フォームからご連絡ください。,0.95170308585,,,,ja
10,on_p50,1000,1,11,奈良県 もやま町の歯医医院へ,0.95170308585,,,,ja
11,on_p50,1000,1,12,おネーカもカカもともコアも肩 で、 だんだん頭が痛がって なったことを報告します。,0.95170308585,,,,ja
12,on_p50,1000,1,13,関西知事選の結果が衆議院選票に転落し、民主党ののうちに政権を築き上げたとして、財務省は6日、東京太平洋の海面に浮き出した海底にあるゴミ船で、給仕工,0.95170308585,,,,ja
13,on_p50,1000,1,14,吉林大学附属中学胡金(左)与作家、医療関係者等が「厚生労働省主催の国際協同交流会」で会議を経てその後に記者団に発表 2017年12月3日撮影,0.95170308585,,,,ja
14,on_p50,1000,1,15,東京電力パネル構造事務所は、オフィスフリーで多様な業務を展開する会社です。,0.95170308585,,,,ja
15,on_p50,1000,1,16,禁忌壁紙は私の作品ですが、罪悪感をみつかせる優しい文字で、,0.95170308585,,,,ja
16,on_p50,1000,1,17,リハビリの意識が高く、病態を軽くしている場合では、特に心身の急に強い負担を負う可能性があります。,0.95170308585,,,,ja
17,on_p50,1000,1,18,科学の実験になるから に 人形をバと我に秘密があります。,0.95170308585,,,,ja
18,on_p50,1000,1,19,をとる技術を考慮して、他社に比べてグリシンのオイルを使う必要があるが、グリシンは体内にあるほどの細胞ごとに分解され、後に消耗される。,0.95170308585,,,,ja
19,on_p50,1000,1,20,☆ 空訳、発行、発行、発行、発行、発行、発行、発行、発行、発行、発行、発行、発行、発行、発行、発行、発行、発行、発行、発行、発,0.95170308585,,,,ja
20,on_p50,1000,1,21,もっとも、何らかのメディアの用語としてマイナスという観念を持ちかねている人は少数派ではないと思いを込めて計算してみます。,0.95170308585,,,,ja
21,on_p50,1000,1,22,今回のホテルは、広々とした空間になっており、大浴場も設置されていてとても清潔でした。また、利用していた日本のサービス機関の方にも説明を聞きながらとても親切で丁寧に対応をしてくれました。また、電気も充電されていて、またも,0.95170308585,,,,ja
22,on_p50,1000,1,23,結局は優しい心の持ち主、ハニーのみ、そして悪の。 ひょっとして、あなたは一体どちらを信じていてるのか?,0.95170308585,,,,ja
23,on_p50,1000,1,24,の質問ばかりを聞くので、それを素直に聞くのは,0.95170308585,,,,ja
24,on_p50,1000,1,25,Glass Glass Screen Removal Tool,0.95170308585,,,,ja
25,on_p50,1000,1,26,オールドサンダーの寝室は安価できれいで良い 部屋は広くて清潔 オールドサンダーで 4泊目,0.95170308585,,,,ja
26,on_p50,1000,1,27,"それで、第二の条件である、禁止の方法である、その他の、事実上の無効の条項又は、違法行為の確認を請求するならば,要請書を通じて、その目的を明示することとも言います。",0.95170308585,,,,ja
27,on_p50,1000,1,28,マステージュではできるだけ、ホテルの規模が大きくなるように、より多くのユーザーをターゲットにしたいものです。そのためには、ユーザーのニーズに応えられ、より多くのモバイルユーザーとリアルタイムにやり取りを重ねる必要があります。,0.95170308585,,,,ja
28,on_p50,1000,1,29,来自交際相手以外の女性に指摘された場合は、女性側の条件を満たしたかどうかのチェックをします。,0.95170308585,,,,ja
29,on_p50,1000,1,30,(ステージ構造を変更する必要があります),0.95170308585,,,,ja
30,on_p50,1000,1,31,風船丸の)のタイプをテストしてみました。,0.95170308585,,,,ja
31,on_p50,1000,1,32,ファッションは楽しいと願うやつはなんだろが,0.95170308585,,,,ja
32,on_p50,1000,1,33,スタッフ紹介:主に観光に適したスキー場を厳選出して紹介しています。,0.95170308585,,,,ja
33,on_p50,1000,1,34,WGを立ち上げ、情報の共有、交流に力を尽くします。,0.95170308585,,,,ja
34,on_p50,1000,1,35,フジテレビニュースは、個人情報の保護に関する重要なお知らせを毎日伝えています。,0.95170308585,,,,ja
35,on_p50,1000,1,36,「おまじないせいだろ、みゆきと俺が仲良くしてるから。いっそのことオレとちあさっちは仲良くするのよ」,0.95170308585,,,,ja
36,on_p50,1000,1,37,,0.95170308585,,,,ja
37,on_p50,1000,1,38,「半島へはまだ、まだまだ南條工場建設中だけれど、もしも世界へがたどり着いてれば、日本の経済はもっと上を行くんだけれど、昔から日本の先頭に立って他の国に優秀な技術を提供しているという考えが強いと,0.95170308585,,,,ja
38,on_p50,1000,1,39,写心得:泳、雪、、酒、、、奈、、、、能感、可感、非可感、手、手、自我、出来、思い、感、想、忘、思考、想、困、、悲、イ、ふ,0.95170308585,,,,ja
39,on_p50,1000,1,40,,0.95170308585,,,,ja
40,on_p50,1000,1,41,記事を読む前に、INTの見直しをすべきです!,0.95170308585,,,,ja
41,on_p50,1000,1,42,ご注文確認とご確認の上、ご注文をお願いいたします。,0.95170308585,,,,ja
42,on_p50,1000,1,43,しばらくならあかりましたが、と聞ききりました。,0.95170308585,,,,ja
43,on_p50,1000,1,44,インカレは、「ワクチンのこと、お医者さんのこと、ひどいときに病院のことを、なにを考えていたものだ」という話の中で、自分の家族がどんなに辛いことを伝えても、「話していない」ということを分かっていることをいている。,0.95170308585,,,,ja
44,on_p50,1000,1,45,よく知っている人は多いと思いますが、この世に嘘が十数もあることは知っていますか?,0.95170308585,,,,ja
45,on_p50,1000,1,46,"月額 : 1,890円 ※お支払方法を選択頂きますと、ご用意したお申し込みフォームに必要事項を入力し、送信ください。尚、ご入金が確認できなかった場合は、ご注文のキャンセルとさせていただきます",0.95170308585,,,,ja
46,on_p50,1000,1,47,,0.95170308585,,,,ja
47,on_p50,1000,1,48,勝手に流れてきましたが、やゆかさん、おぱっと、ああ、おおは、やゆかさん、おyukiさん、ご飯、お焼き、おおは、おおは、おおは、おおは、おおは、おおは、,0.95170308585,,,,ja
48,on_p50,1000,1,49,ファミリーの電波防波は、海外の電波防波と同様に様々な意味で非常に信頼性が高く、1994年より製造販売の実績が著しくます。,0.95170308585,,,,ja
49,on_p50,1000,1,50,マジわかりにくいですが、同じくスレタイにも書いてあるし、正しい人はスレタイに書いてない。,0.95170308585,,,,ja
50,on_p50,1000,1,51,あざといただったんだよな。もう、お前が死ななければ俺は死ななかっただろうに。,0.95170308585,,,,ja
51,on_p50,1000,1,52,路面屋でオイル交換が必要な方でも大丈夫です。,0.95170308585,,,,ja
52,on_p50,1000,1,53,"今回のセッションでは,「触手」とそれを支えるスタッフとのつながりを重視し、ハンドトリマーの世界を演出し、さらに,「トリップ」に繋がる部分を統括する予定です。",0.95170308585,,,,ja
53,on_p50,1000,1,54,「らぁ.あれのまさかの記事も同じような内容。だから、これに問題はないか...」,0.95170308585,,,,ja
54,on_p50,1000,1,55,男性にも、女性にも、本当は自分の夢を叶うものがある。その夢を実現するしか無い。,0.95170308585,,,,ja
55,on_p50,1000,1,56,、まずシオン、の作風がわかりやすく説明されています。,0.95170308585,,,,ja
56,on_p50,1000,1,57,(ごめんなさい)御尊様にお見舞い申し上げます。,0.95170308585,,,,ja
57,on_p50,1000,1,58,人気キーワードは「よさ」。 その時々のニーズに合わせた最大限の努力をいたします。,0.95170308585,,,,ja
58,on_p50,1000,1,59,法務が議会で子どもに「君は国公にあなたとどこの国にいたの?」と問われ、,0.95170308585,,,,ja
59,on_p50,1000,1,60,もしくはお見積りをして頂ければ、どのくらいお金がかかるのか、その金額も多少お見積りした金額より安い可能性が出てきます。,0.95170308585,,,,ja
60,on_p50,1000,1,61,un intercanvi de l'Església amb els,0.95170308585,,,,ja
61,on_p50,1000,1,62,そりゃあマジで不安は尽きないよね,0.95170308585,,,,ja
62,on_p50,1000,1,63,何も言うな。俺はニチのを寝取ったとしか言いようが無い。,0.95170308585,,,,ja
63,on_p50,1000,1,64,導入までの期間は非常に短い。最大で3ヶ月までの。もちろんスマホ向けにも無償の体験キーが付くなど、完全無料のとおりです。,0.95170308585,,,,ja
64,on_p50,1000,1,65,シンシンの人気学校は、まず熱と熱のこもった教室が多いです。,0.95170308585,,,,ja
65,on_p50,1000,1,66,婚の手続きや保険の預かり、資産の管理などの資産運用や債務整理にもご対応しております。,0.95170308585,,,,ja
66,on_p50,1000,1,67,アメブロの更新をメールで受け取っています。,0.95170308585,,,,ja
67,on_p50,1000,1,68,とある日、このブログで公開のコメントに「このブログで書いている記事は間違いです」とあるのを見つけ、その訂正をしました。,0.95170308585,,,,ja
68,on_p50,1000,1,69,ドロップ率が高く出品される可能性が高いので、数万円で売れるかどうかは疑問です。,0.95170308585,,,,ja
69,on_p50,1000,1,70,恋活って手段はいろいろあるけれど、特にだけ...求人広告を見たとおっしゃる方は結構いると思います。 「若くして失敗しなくちゃ」という自分で言うのも...とりあえずウェブに良い...同性の出会いを拡散したい。子どもを失いたくない、友だ,0.95170308585,,,,ja
70,on_p50,1000,1,71,夕べも一気にタイムアップし、今からでも遅くありません。,0.95170308585,,,,ja
