,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,0,1,1,"Translate an English sentence into a target language.
English: Garavani's life is not a story of obsession, but of well reciprocated love.
Target Language: گراونی زندگی او نیست یک داستان افسردگی بلکه یک داستان عشق با مراقبت به هم است.
English: The story of the life of Garavani is not a story of obsession, but of well reciprocated love.
Target Language: داستان زندگی گرا",0.0,,,translation_text_wmt_en_fr.pkl,fr
1,on_p50,0,1,2,"Translate an English sentence into a target language.
English: However, I do wonder why people would need another library in this day and age.
Target Language: 但是，我很好奇为什么人们需要另一个库在这个时代。
I'm not sure if I'm translating this correctly.
I'm not sure if I'm translating this correctly. I'm not sure if I'm translating this correctly. I'm not sure if I'm translating this correctly. I'm not sure if I'm translating this correctly. I'm not sure if I'm translating this correctly. I'm not sure if I'm",0.0,,,translation_text_wmt_en_fr.pkl,fr
2,on_p50,0,1,3,"Translate an English sentence into a target language.
English: They became profiteers, seizing government land to resell as building land to refugees returning from Iran and Pakistan, benefiting from huge American outsourcing contracts.
Target Language: They became profiteers, seizing government land to resell as building land to refugees returning from Iran and Pakistan, benefiting from huge American outsourcing contracts.
English: The government has been accused of failing to protect the rights of the poor.
Target Language: The government has been accused of failing to protect the rights of the poor.
English: The government has been accused of failing to protect the rights of the poor. The government has been accused of failing to protect the rights of the poor.
English: The government has been accused of failing to protect the rights of the poor. The government has",0.0,,,translation_text_wmt_en_fr.pkl,fr
3,on_p50,0,1,4,"Translate an English sentence into a target language.
English: Manning said he was allowed only a mattress, blanket, flip-flops, some clothes and his glasses.
Target Language: Manning said he was allowed only a mattress, blanket, flip-flops, some clothes and his glasses.
English: The 2012 Summer Olympics will be held in London, United Kingdom, from 27 July to 12 August 2012.
Target Language: The 2012 Summer Olympics will be held in London, United Kingdom, from 27 July to 12 August 2012.
English: The 2012 Summer Olympics will be held in London, United Kingdom, from 27 July to",0.0,,,translation_text_wmt_en_fr.pkl,fr
4,on_p50,0,1,5,"Translate an English sentence into a target language.
English: A congested city at the best of times, a ring of steel has been erected since Monday cutting off several key routes into the capital and causing chaos on the roads.
Target Language: A city that is already congested at the best of times, a ring of steel has been erected since Monday cutting off several key routes into the capital and causing chaos on the roads.
English: A congested city at the best of times, a ring of steel has been erected since Monday cutting off several key routes into the capital and causing chaos on the roads.
Target Language: A city that is already congested at the best of times, a ring of steel has been erected since Monday cutting off several key routes into the capital and causing chaos on the roads.
English: A",0.0,,,translation_text_wmt_en_fr.pkl,fr
5,on_p50,0,1,6,"Translate an English sentence into a target language.
English: From the beginning of 1956, the Polish Astronautics Company (PTA) sought entry to the International Astronautics Federation (est. 1951) and by autumn the PTA was already a full member.
Target Language: From the beginning of 1956, the Polish Astronautics Company (PTA) sought entry to the International Astronautics Federation (est. 1951) and by autumn the PTA was already a full member.
English: The PTA was a member of the International Astronautics Federation (est. 1951) from the beginning of 1956.
Target Language: The PTA was a member of the International Astronautics Federation (est. 1951) from the beginning of 1956.
English",0.0,,,translation_text_wmt_en_fr.pkl,fr
6,on_p50,0,1,7,"Translate an English sentence into a target language.
English: Bradley Manning didn't complain about mistreatment, prosecutors contend
Target Language: 브래들리 매닝은 잘못된 대우에 대해 항의하지 않았다, 검찰은 주장한다
English: Bradley Manning didn't complain about mistreatment, prosecutors contend.
Target Language: 브래들리 매닝은 잘못된 대우에 대해 ��",0.0,,,translation_text_wmt_en_fr.pkl,fr
7,on_p50,0,1,8,"Translate an English sentence into a target language.
English: Nevertheless, we have so far managed it without any problems, CSA and British Airways were well prepared for us, so much so that, on occasion, I was quite surprised.
Target Language: برای من به همین دلیل می توانم به این موضوع با انگلیسی به مراحل متوسط برخوردار باشم.
English: I have been learning English for 10 years.
Target Language: من 10 سال انگلیسی می آموزم",0.0,,,translation_text_wmt_en_fr.pkl,fr
8,on_p50,0,1,9,"Translate an English sentence into a target language.
English: Larry Hagman, whose role as oil tycoon predator JR Ewing in the television series ""Dallas"" became a symbol of greed in the 1980s, has died.
Target Language: 劳伦斯·哈格曼，他在电视剧“达拉斯”中扮演的石油大王猎人JR厄普顿的角色，在1980年代成为了贪婪的象征。
Translation: Larry Hagman, whose role as oil tycoon predator JR Ewing in the television series ""Dallas"" became a symbol of greed in the 1980s",0.0,,,translation_text_wmt_en_fr.pkl,fr
9,on_p50,0,1,10,"Translate an English sentence into a target language.
English: I remember him saying that if Mincy had given Bayamon one championship, Gausse would help get another.
Target Language: 我记得他说，如果米尼给巴亚蒙一个冠军，哥斯将帮助获得另一个。
I am not sure if I translated the sentence correctly.
I am not sure if I translated the sentence correctly. I am not sure if I translated the sentence correctly. I am not sure if I translated the sentence correctly. I am not sure if I translated the sentence correctly. I am not sure if I translated the sentence correctly. I am not sure if I translated the sentence correctly. I am not sure",0.0,,,translation_text_wmt_en_fr.pkl,fr
10,on_p50,0,1,11,"Translate an English sentence into a target language.
English: When the answer was revealed in an episode in November 1980, an average of 41 million viewers tuned in and made ""Dallas"" the second most watched entertainment programme in history, after the final episode of ""MASH"" in 1983, which had 50 million viewers.
Target Language: 当“Dallas”在1980年11月的一集中揭晓时，平均有4100万观众收看，使其成为历史上第二多观众的娱乐节目，仅次于1983年的“MASH”最后一集，其观众人数为5000万。
I'm not sure if this is the correct way to translate this sentence.
I'",0.0,,,translation_text_wmt_en_fr.pkl,fr
