,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,,0.97063270943,,,,zh
1,on_p50,1000,1,2,"这里的(旧)有常与允之义,强调确确,明确,声名显赫,或者是声名显赫的人物或事物。",0.97063270943,,,,zh
2,on_p50,1000,1,3,"注:在我们身边虽然有很多的机器人,但它们都是未经过你的智能设置的机器人,而且这些机器人也是依据你在生活中的行为来设定的,你完全不用考虑这些智能设置的问题,毕竟这些机器人和你毫无关系。",0.97063270943,,,,zh
3,on_p50,1000,1,4,"“商务、旅游和休闲都将是阿联的增长主要力量,这使阿联能够排名第一,”普拉达表示,“沙特阿拉伯和阿曼、卡塔尔和巴林、阿联和科威特、沙特阿拉伯和阿",0.97063270943,,,,zh
4,on_p50,1000,1,5,"号角吹响!巴塞罗那正式宣布卡瓦哈尔离队,佩戴墨镜",0.97063270943,,,,zh
5,on_p50,1000,1,6,回想杯の入札...。回想杯を視聴するのが目的の人は見逃せない回想杯で他者と交流を深め、最新話の回想杯も視聴可能。,0.97063270943,,,,zh
6,on_p50,1000,1,7,脱出ゲーム大好きっ子から「古典」の歌手まで、30代女子6人のパワフルな声援,0.97063270943,,,,zh
7,on_p50,1000,1,8,2张无痛分的图片 盘点世界上真正无痛分的医院,0.97063270943,,,,zh
8,on_p50,1000,1,9,的外上市という大胆な戦略を打ち出しており、,0.97063270943,,,,zh
9,on_p50,1000,1,10,"跟四号,我国航天人做不完的“小目标”",0.97063270943,,,,zh
10,on_p50,1000,1,11,"最后一年,林海拉马上退休了,医院也关门了。之后他住在自己的家里,并且每年就住在那里。",0.97063270943,,,,zh
11,on_p50,1000,1,12,"要有坚强的意志力, 台南新生代作家 黄 出道多年,我们的主场是亚洲,我们的目标是建立一个统一的世界秩序。",0.97063270943,,,,zh
12,on_p50,1000,1,13,"另一方面,这也对衍生品监管提出了更高的要求,这也要求监管部门在推进这项工作时,要更加充分地利用现有管理手段。(记者温)(责编:王斯文、汤龙)",0.97063270943,,,,zh
13,on_p50,1000,1,14,"吉林大学附属东华学院官网展厅内,人们可以近距离地观察到各种珍贵且高科技的缆车设备,感受这项发明在救生命上的作用",0.97063270943,,,,zh
14,on_p50,1000,1,15,"计划到2020年,在企业和机关事业单位等单位普遍推行薪酬制度改革,建立与职责相适应、与岗位贡献相匹配的工资制度和收入分配制度。",0.97063270943,,,,zh
