,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2,1,1,"El actual entrenador de porteros es un entrenador técnico y con una gran personalidad, que ha sabido encontrar una vía de formación, que no es la de los equipos de fútbol, ya que se trata de un entrenador formado en el campo, donde el trabajo se basa en las técnicas para mejorar la técnica de un jugador y el",0.54427743,,,</s>,fr
1,on_p50,2,1,2,"/* This file is part of the KDE project
   Copyright (C) 2003 Ariya Hidayat <ariya@kde.org>

   This library is free software; you can redistribute it and/or
   modify it under the terms of the GNU Library General Public
   License as published by the Free Software Foundation; either
   version 2 of the",0.54427743,,,</s>,fr
2,on_p50,2,1,3,"#!/usr/bin/env python

import os
import sys
import time
from collections import defaultdict
from distutils.core import setup
from distutils.command.build import build as build_command
from distutils.command.install import install as install_command
from distutils.clist import get_archs",0.54427743,,,</s>,fr
3,on_p50,2,1,4,"TOMATE. Cuando un tomate está más maduro se desprende de la piel. El tomate crujiente y agudo en el gusto es el que es más fresco.
¿Sabías que en la acelga el sabor picante ocurre porque posee pectina? Dicha sustancia es un tipo de fibra que tiene",0.54427743,,,</s>,fr
4,on_p50,2,1,5,"3 Temas: Justiça do Trabalho, Funcionários públicos, Magistrados e Promotores de Justiça em atividade",0.54427743,,,</s>,fr
5,on_p50,2,1,6,"Q:

Verifying the type of a method parameter with reflection

I am trying to implement the following method...
// Registration of a MethodBase
public static void Register(string name, MethodBase method, Type[] parameterTypes)

I am having a problem with reflection, I am not sure how to do this. How",0.54427743,,,</s>,fr
6,on_p50,2,1,7,"Neuromorphisms
Neurologic disorders affect the brain and cause dysfunction such as stroke, spinal cord injury, cerebellar lesions, and cerebral palsy. Human brains contain approximately 100 million neurons that can be classified into five main classes based on their morphology [11] [12] [13] [14] [15] [16] [17] [18] [19] [20] [21] [22] [23]",0.54427743,,,</s>,fr
7,on_p50,2,1,8,"A nível de produção, a empresa detém cerca de 7 milhões de toneladas de açúcar por ano, numa superfície de 6.600 ha, que corresponde aproximadamente a 20% da área total da atividade.",0.54427743,,,</s>,fr
8,on_p50,2,1,9,"The two queens have a right to be.
But they won't fight.
They'll pay for it with their lives.
They'll pay for it with their lives.
Ready?
I shall fight you, you goad.
I shall fight you, you goad.
I shall fight you.
You goad!
Ready?
",0.54427743,,,</s>,fr
9,on_p50,2,1,10,"Introduction
In this paper we study the issue of positive orthotropic diffusion coefficient D = d/dt in the full space R N, and in a more general setting when the matrix of local diffusivity is given by D = d/dt ij. In the latter case we consider the problem ∂ t u + ∇ ·",0.54427743,,,</s>,fr
10,on_p50,2,1,11,"Showing 5 out of a total of 5 results for collection: Political Community. Mostrar artworks under Political Community
Electoral College of Georgia. Mugshot of Union Senator John B. Moussavi, members of US Senate, 1910. In the background of the image, numerous members of the US Senate,",0.54427743,,,</s>,fr
11,on_p50,2,1,12,"A garbage truck came at this point, and when a man was cleaning his bike, the truck stopped them, but he had already taken the bike for himself.
During the trip, the garbage truck drove over the police car and the police officer stopped it. He asked the man to leave the bike for now and then drove",0.54427743,,,</s>,fr
12,on_p50,2,1,13,"Por todo esto, desde la dirección de Ecoembes Andalucía podemos ofrecerle diferentes opciones para reutilizar su envase, como la que puede seguir en este otro enlace “Envases, el nuevo reto que nos exige el paradigma verde”.
Además de este servicio, Ecoembes Andalucía pone a disposición de los usuarios la",0.54427743,,,</s>,fr
