,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,0,1,1,"Translate an English sentence into a target language.
English: Who hasn't been low before  without suffering from a true mental illness?
Target Language: Who hasn't been low before  without suffering from a true mental illness?
English: Who hasn't been low before  without suffering from a true mental illness? Who hasn't been low before  without suffering from a true mental illness?
Target Language: Who hasn't been low before  without suffering from a true mental illness? Who hasn't been low before  without suffering from a true mental illness? Who hasn't been low before  without suffering from a true mental illness?
English: Who hasn't been low before  without suffering from a true mental illness",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
1,on_p50,0,1,2,"Translate an English sentence into a target language.
English: You might have seen a child running  on carbon fiber prosthetic legs.
Target Language: 你可能看到一个孩子在碳纤维腿上跑。
I'm not sure if this is the correct translation.
I'm not sure if this is the correct translation. I'm not sure if this is the correct translation. I'm not sure if this is the correct translation. I'm not sure if this is the correct translation. I'm not sure if this is the correct translation. I'm not sure if this is the correct translation. I'm not sure if this is the correct translation.",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
2,on_p50,0,1,3,"Translate an English sentence into a target language.
English: Saying that you want to be a model when you grow up  is akin to saying that you want to win the Powerball when you grow up.
Target Language: 你想当模特儿吗？ 就像说你想当彩票奖金吗？ 这是一种梦想。 你想当模特儿吗？ 就像说你想当彩票奖金吗？ 这是一种梦想。
English: Saying that you want to be a model when you grow up is akin to saying that you want to win the Powerball when you grow up.
Target Language: 你",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
3,on_p50,0,1,4,"Translate an English sentence into a target language.
English: What this is telling us, really,  is that we might be thinking of ourselves and of other people  in terms of two selves.
Target Language: 这是告诉我们的事实，实际上， 我们可能是自己和其他人 在我们自己和其他人 的两个自我的概念中.
English:  What this is telling us, really,  is that we might be thinking of ourselves and of other people  in terms of two selves.
Target Language: 这是告诉我们的事实，实际上， 我们可能是自己和其",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
4,on_p50,0,1,5,"Translate an English sentence into a target language.
English: These poor Apsaras have been trapped inside Indra's chambers for thousands of years  in an old and musty book.
Target Language: 这些穷困的阿伽罗纳妇女已经被封在印度的房间里 在一本腐烂的书里 几千年了.
English: These poor Apsaras have been trapped inside Indra's chambers for thousands of years in an old and musty book.
Target Language: 这些穷困的阿伽罗纳妇女已经被封在",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
5,on_p50,0,1,6,"Translate an English sentence into a target language.
English: My family believes in me.
Target Language: My family believes in me.
English: My family believes in me. My family believes in me.
Target Language: My family believes in me. My family believes in me.
English: My family believes in me. My family believes in me. My family believes in me.
Target Language: My family believes in me. My family believes in me. My family believes in me.
English: My family believes in me. My family believes in me. My family believes in me. My family believes in me.
Target Language: My family",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
6,on_p50,0,1,7,"Translate an English sentence into a target language.
English: He said, ""What's wrong with you? Have some beer.""
Target Language: 彼は、「君は何のためにそんなに悲しいのか？飲んでくれ。」と言った。
Translation: He said, ""What's wrong with you? Have some beer.""
Translation: He said, ""What's wrong with you? Have some beer.""
Translation: He said, ""What's wrong with you? Have some beer.""
Translation: He said, ""What's wrong with you? Have some beer.""
Translation: He said, """,0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
7,on_p50,0,1,8,"Translate an English sentence into a target language.
English: This is the center of a town called the Pines  in Fire Island in New York State.
Target Language: これはニューヨーク州のファイアアイランドの町の中心地であるパインズです。
The target language is Japanese.
The English sentence is:
This is the center of a town called the Pines in Fire Island in New York State.
The target language is:
Kore wa Nyūyoku-shū no Faiaairando no machi no chūshin-chi de aru Painzu desu.
The target language is:
Kore wa Nyūyoku-shū",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
8,on_p50,0,1,9,"Translate an English sentence into a target language.
English: And I was, as a kid, constantly drawing comic books, and so on.
Target Language: 我当时一直在画漫画，等等。
I was, as a kid, constantly drawing comic books, and so on.
I was, as a kid, constantly drawing comic books, and so on.
I was, as a kid, constantly drawing comic books, and so on.
I was, as a kid, constantly drawing comic books, and so on.
I was, as a kid, constantly drawing comic books, and so on.
I was, as a kid, constantly drawing comic books, and so on.
I was,",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
9,on_p50,0,1,10,"Translate an English sentence into a target language.
English: Guy: I don't know how receptive  people are going to be to it, though.
Target Language: 人们会怎么样接受它的，我不知道。
I'm not sure how to translate the bolded part.
I'm not sure how to translate the bolded part. I'm not sure how to translate the bolded part. I'm not sure how to translate the bolded part. I'm not sure how to translate the bolded part. I'm not sure how to translate the bolded part. I'm not sure how to translate the bolded part. I'm not sure how to translate the bolded part",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
10,on_p50,0,1,11,"Translate an English sentence into a target language.
English: And sure, we could find fast food chains.
Target Language: And sure, we could find fast food chains.
English: And sure, we could find fast food chains. And sure, we could find fast food chains.
Target Language: And sure, we could find fast food chains. And sure, we could find fast food chains.
English: And sure, we could find fast food chains. And sure, we could find fast food chains. And sure, we could find fast food chains.
Target Language: And sure, we could find fast food chains. And sure, we could find fast food chains. And sure, we",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
11,on_p50,0,1,12,"Translate an English sentence into a target language.
English: I can feel the brush of sweaty bodies passing me  in the darkness, but I can't see much else.
Target Language: I can feel the brush of sweaty bodies passing me in the darkness, but I can't see much else.
I can feel the brush of sweaty bodies passing me in the darkness, but I can't see much else.
I can feel the brush of sweaty bodies passing me in the darkness, but I can't see much else.
I can feel the brush of sweaty bodies passing me in the darkness, but I can't see much else.
I can feel the brush of sweaty bodies passing me in the darkness, but I can't see much else",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
12,on_p50,0,1,13,"Translate an English sentence into a target language.
English: I have talked about four techniques  for mitigating the problem of choice overload --  cut -- get rid of the extraneous alternatives;  concretize -- make it real;  categorize -- we can handle more categories, less choices;  condition for complexity.
Target Language: 我讲了四种方法来减少选择压力 -- 剪切 -- 摒弃不必要的选择; 具体化 -- 让它变得真实; 分类 -- 我们可以处理更多的类别，更少的选择; 条件 -- 条件复杂.
The English sentence is translated into the target language.
The English sentence is translated into the target language. The translation",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
13,on_p50,0,1,14,"Translate an English sentence into a target language.
English: And he pointed to the busloads of tourists  that would show up everyday,  with cameras ready usually.
Target Language: అన్ని బస్లోడ్స్ అనే తొలి తొలి తొలి తొలి తొలి తొలి త",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
14,on_p50,0,1,15,"Translate an English sentence into a target language.
English: Now I know what you're thinking,  but I'm no hero.
Target Language: 现在你知道我想什么，但我不是英雄。
I'm not sure how to translate the sentence.
I'm not sure how to translate the sentence. I'm not sure how to translate the sentence. I'm not sure how to translate the sentence. I'm not sure how to translate the sentence. I'm not sure how to translate the sentence. I'm not sure how to translate the sentence. I'm not sure how to translate the sentence. I'm not sure how to translate the sentence. I'm not sure",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
15,on_p50,0,1,16,"Translate an English sentence into a target language.
English: Has one person in this audience ever seen someone die of measles?
Target Language: Has one person in this audience ever seen someone die of measles?
English: Has one person in this audience ever seen someone die of measles?
Target Language: Has one person in this audience ever seen someone die of measles?
English: Has one person in this audience ever seen someone die of measles?
Target Language: Has one person in this audience ever seen someone die of measles?
English: Has one person in this audience ever seen someone die of measles?
Target Language: Has one person in this audience ever seen someone die of measles?
English: Has one person in this audience",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
16,on_p50,0,1,17,"Translate an English sentence into a target language.
English: This young child is eight years old.
Target Language: This young child is eight years old.
English: This young child is eight years old. This young child is eight years old.
Target Language: This young child is eight years old. This young child is eight years old.
English: This young child is eight years old. This young child is eight years old. This young child is eight years old.
Target Language: This young child is eight years old. This young child is eight years old. This young child is eight years old.
English: This young child is eight years old. This young child is eight years old. This young child is eight years old",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
17,on_p50,0,1,18,"Translate an English sentence into a target language.
English: And that is true of the stories  that memory delivers for us,  and it's also true of the stories that we make up.
Target Language: それは記憶が届ける物語と、我々が作り出す物語の両方に当てはまります。
I'm not sure if I'm translating the sentence correctly.
I'm not sure if I'm translating the sentence correctly. I'm not sure if I'm translating the sentence correctly. I'm not sure if I'm translating the sentence correctly. I'm not sure if I'm translating the sentence correctly. I'm not sure if I'm transl",0.0,,,translation_text_iwslt2017_en_fr.pkl,fr
