,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,Vorträge unter der Überschrift 'War für Troja und ihr jahrhundert' zu nutzen.,0.9387847032100001,,,,de
1,on_p50,1000,1,2,(oder die für Nordamerika und Europa eingerichteten Abder Spielautomaten genauso.,0.9387847032100001,,,,de
2,on_p50,1000,1,3,gelassenen und kompetenten Mitarbeiterinnen und Mitarbeitern: von der telefonische Beratung über die kontinuierliche Weiterbildung bis zu den Haupt- und Weiterbildungstage.,0.9387847032100001,,,,de
3,on_p50,1000,1,4,"“I tend to be a wild and crazy, undiluete und umwerfend junge in der Natur. So, nach an atemberaubenden und eindrücklichen Erfahrung - ich bekam ein einzigartige, während unsere Zeit hier im komfortablen und zentral Stadt Haus - kann ich sagen, ich habe kein Zweifel über",0.9387847032100001,,,,de
4,on_p50,1000,1,5,in einer gut durchdachte Lösung für eine guten zufriedenheit mit unserer Kunden...“,0.9387847032100001,,,,de
5,on_p50,1000,1,6,"/11/81 _ Compilation... teegebirge, Eifel, Hürth, Koh-Ant Park, Maihuna Park, Maiju Gebirge, Montantal, Neuschwanstein, Oberschnee, Puttmoos, Lötschberg, Schneeschuhwanderung, Südtirol, Süd",0.9387847032100001,,,,de
6,on_p50,1000,1,7,verteidigen und stehen in mehreren Positionen für die Weiterentwicklung der Deutschlehrer und für die Qualitätssicherung des Unterrichts.,0.9387847032100001,,,,de
7,on_p50,1000,1,8,"Variationen bieten für Sie freundliches und freundliches Gespräche mit Synagogen, die Sie auch zu einem für Sie angenehmen Aufenthalt hinzufügen die Sie sollten während Ihres Aufenthalts bleiben. Jene bietet eine der besten Atmosphäre und Frieden für die Gäste ein angenehm Willkommen bei Ihnen. Sie werden es lieben werden Sie genießen die Atmosphäre",0.9387847032100001,,,,de
8,on_p50,1000,1,9,We're beim,0.9387847032100001,,,,de
9,on_p50,1000,1,10,Mehr information über ZTE,0.9387847032100001,,,,de
10,on_p50,1000,1,11,Next Post: „Hey das ist auch richtig toll“: Zwei deutsche Jugendliche nehmen Stöckchen über die Schulter,0.9387847032100001,,,,de
11,on_p50,1000,1,12,"Schlüsselübergabe mit musikalischer Begleitung durch das Mitglieder-/ künstlerisches Vorstandsmitglied bzw. unter der Leitung von Jürgen Löhrmann, das Leitungsteam und die stimmberechtigten Mitglieder.",0.9387847032100001,,,,de
