,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,0,1,1,"Translate an English sentence into a target language.
English: The Apollo program was the greatest peacetime mobilization in the history of the United States.
Target Language: The Apollo program was the greatest peacetime mobilization in the history of the United States.
English: The Apollo program was the greatest peacetime mobilization in the history of the United States.
Target Language: The Apollo program was the greatest peacetime mobilization in the history of the United States.
English: The Apollo program was the greatest peacetime mobilization in the history of the United States.
Target Language: The Apollo program was the greatest peacetime mobilization in the history of the United States.
English: The Apollo program was the greatest peacetime mobilization in the history of the United States.
Target Language: The Apollo program was the",0.0,,,translation_text_iwslt2017_en_de.pkl,de
1,on_p50,0,1,2,"Translate an English sentence into a target language.
English: And I want you to see, this is Fuku, a young female, and she is quietly playing with water.
Target Language: And I want you to see, this is Fuku, a young female, and she is quietly playing with water.
English: And I want you to see, this is Fuku, a young female, and she is quietly playing with water.
Target Language: And I want you to see, this is Fuku, a young female, and she is quietly playing with water.
English: And I want you to see, this is Fuku, a young female, and she is quietly playing with water.
Target Language: And I want you to see, this is Fuku, a young female, and she is quietly playing with",0.0,,,translation_text_iwslt2017_en_de.pkl,de
2,on_p50,0,1,3,"Translate an English sentence into a target language.
English: So I think we're at a kind of impasse here.
Target Language:
I think we're at a kind of impasse here.
English:
I think we're at a kind of impasse here.
Target Language:
I think we're at a kind of impasse here.
English:
I think we're at a kind of impasse here.
Target Language:
I think we're at a kind of impasse here.
English:
I think we're at a kind of impasse here.
Target Language:
I think we're at a kind of impasse here.
English:
I think we're at a kind of impasse here.
Target Language:
I think we're at a kind of impasse here.
English:
I think we're at a kind",0.0,,,translation_text_iwslt2017_en_de.pkl,de
3,on_p50,0,1,4,"Translate an English sentence into a target language.
English: We can create much more complicated structures with slightly different arrangements, kind of like making Spirograph.
Target Language: We can make Spirographs with a lot of different arrangements, kind of like making a lot of different kinds of spirographs.
English: We can make Spirographs with a lot of different arrangements, kind of like making a lot of different kinds of spirographs.
Target Language: We can make Spirographs with a lot of different arrangements, kind of like making a lot of different kinds of spirographs.
English: We can make Spirographs with a lot of different arrangements, kind of like making a lot of different kinds of spirographs.
Target Language: We can",0.0,,,translation_text_iwslt2017_en_de.pkl,de
4,on_p50,0,1,5,"Translate an English sentence into a target language.
English: I remember I was talking with a midwife who said, ""Well, you see, the problem is it takes longer to do the paperwork than to deliver the baby.""
Target Language: I remember I was talking with a midwife who said, ""Well, you see, the problem is it takes longer to do the paperwork than to deliver the baby.""
English: I remember I was talking with a midwife who said, ""Well, you see, the problem is it takes longer to do the paperwork than to deliver the baby.""
Target Language: I remember I was talking with a midwife who said, ""Well, you see, the problem is it takes longer to do the paperwork than to deliver the baby.""
English: I remember I was talking with a midwife",0.0,,,translation_text_iwslt2017_en_de.pkl,de
5,on_p50,0,1,6,"Translate an English sentence into a target language.
English: For instance, the obesity rate in my neighborhood is five times higher than, say, Beverly Hills, which is probably eight, 10 miles away.
Target Language: For instance, the obesity rate in my neighborhood is five times higher than, say, Beverly Hills, which is probably eight, 10 miles away.
The first step is to identify the target language. The second step is to identify the target language. The third step is to identify the target language. The fourth step is to identify the target language. The fifth step is to identify the target language. The sixth step is to identify the target language. The seventh step is to identify the target language. The eighth step is to identify the target language. The ninth step is to identify the target language. The tenth step is to identify the target language",0.0,,,translation_text_iwslt2017_en_de.pkl,de
6,on_p50,0,1,7,"Translate an English sentence into a target language.
English: So when I was eight years old, I was at a fiesta in the Philippines celebrating these mysteries.
Target Language: So when I was eight years old, I was at a fiesta in the Philippines celebrating these mysteries.
English: I was at a fiesta in the Philippines celebrating these mysteries.
Target Language: I was at a fiesta in the Philippines celebrating these mysteries.
English: I was at a fiesta in the Philippines celebrating these mysteries.
Target Language: I was at a fiesta in the Philippines celebrating these mysteries.
English: I was at a fiesta in the Philippines celebrating these mysteries.
Target Language: I was at a fiesta in the Philippines celebrating these mysteries.
English: I was at a fiesta",0.0,,,translation_text_iwslt2017_en_de.pkl,de
7,on_p50,0,1,8,"Translate an English sentence into a target language.
English: It brings together image and text and animation and sound and touch.
Target Language: It is a visual language that is easy to understand and use.
English: It is a visual language that is easy to understand and use.
Target Language: It is a visual language that is easy to understand and use.
English: It is a visual language that is easy to understand and use.
Target Language: It is a visual language that is easy to understand and use.
English: It is a visual language that is easy to understand and use.
Target Language: It is a visual language that is easy to understand and use.
English: It is a visual language that is easy to understand and use.
Target Language: It is a visual",0.0,,,translation_text_iwslt2017_en_de.pkl,de
8,on_p50,0,1,9,"Translate an English sentence into a target language.
English: I thought ""Turn the camera off"" meant, ""Let's have an off-the-record conversation.""
Target Language: I thought ""Turn the camera off"" meant, ""Let's have an off-the-record conversation.""
English: I thought ""Turn the camera off"" meant, ""Let's have an off-the-record conversation.""
Target Language: I thought ""Turn the camera off"" meant, ""Let's have an off-the-record conversation.""
English: I thought ""Turn the camera off"" meant, ""Let's have an off-the-record conversation.""
Target Language: I thought ""Turn the camera off"" meant, ""Let's have an off-the-record conversation.""
English: I thought ""Turn the camera",0.0,,,translation_text_iwslt2017_en_de.pkl,de
9,on_p50,0,1,10,"Translate an English sentence into a target language.
English: That's ammunition that they can take with them to the mayor of Livingston, to the people of Livingston, and say, there's no one answer to what a library is today.
Target Language: That's ammunition that they can take with them to the mayor of Livingston, to the people of Livingston, and say, there's no one answer to what a library is today.
English: And I think that the library is a place where people can go and read, and people can go and learn, and people can go and be educated.
Target Language: And I think that the library is a place where people can go and read, and people can go and learn, and people can go and be educated.
English: And I think that the library is a place where people can go and read, and people can go and learn,",0.0,,,translation_text_iwslt2017_en_de.pkl,de
