,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"需注意的是,在指定的地图区域内,玩家必须同时使用两叉走位,但截然相反地进行相反的移动以使另一个玩家不能发现其走位。如果两叉走位被发现,则被发现的玩家被认为是跳人。",0.5296604205600001,,,,zh
1,on_p50,2000,1,2,"这里的(旧)有辐射的意思,指在最前方的,引领这个阵容的队员,大多是前线将领或有影响力的人物。",0.5296604205600001,,,,zh
2,on_p50,2000,1,3,"不敢动却是要命的这点倒是江澄及时反应过来,但江澄立刻反应过来这一点的时候,树林内已经根本没有任何人了。",0.5296604205600001,,,,zh
3,on_p50,2000,1,4,"“商务、旅游和休闲都将是阿联的增长主要力量,这使阿联能够排名第一,”普拉达表示,“沙特阿拉伯和阿曼、卡塔尔和巴林、阿联和科威特、沙特阿拉伯和阿",0.5296604205600001,,,,zh
4,on_p50,2000,1,5,"号角吹响!十九大精神进军营,习近平等党和国家领导人集体亮相",0.5296604205600001,,,,zh
5,on_p50,2000,1,6,"乐清市杯赛圆满落幕,乐福杯联赛成功举行",0.5296604205600001,,,,zh
6,on_p50,2000,1,7,脱出密室麻将美少女的伙伴下载脱出密室逃脱花园模拟逃脱无敌的逃脱地下室逃脱,0.5296604205600001,,,,zh
7,on_p50,2000,1,8,2张无痛分的图片 盘点世界上真正无痛分的医院,0.5296604205600001,,,,zh
8,on_p50,2000,1,9,的外上市という大胆な目標を立てました。,0.5296604205600001,,,,zh
9,on_p50,2000,1,10,"跟四号,我国航天人做不完的“小目标”",0.5296604205600001,,,,zh
10,on_p50,2000,1,11,"最后一年,林海拉马上退休了,医院也关门了。之后他住在自己的家里,并且每年就住在那里。",0.5296604205600001,,,,zh
11,on_p50,2000,1,12,"要有坚强的创新能力和创新精神,熟悉科技工作, 有团队合作精神;",0.5296604205600001,,,,zh
12,on_p50,2000,1,13,"另一方面,这也对衍生品监管提出了更高的要求,这也要求监管部门在推进这项工作时,要更加充分地利用现有管理手段。(记者 潘旭)",0.5296604205600001,,,,zh
13,on_p50,2000,1,14,"吉林大学附属东华学院官网展厅内,人们可以近距离地观察到各种珍贵且高科技的缆车设备,感受这项发明在救生命上的作用",0.5296604205600001,,,,zh
14,on_p50,2000,1,15,"计划到2020年,在企业/团体/单位注册资本金达到1000万美元(含1000万美元)的企业/团体/单位中,建设集团股份有限公司至少拥有1家企业,至少拥有1家私募股权基金。",0.5296604205600001,,,,zh
15,on_p50,2000,1,16,"想要知道自己是否还适合做女主播,除了选择直播平台外,你也可以从主播自身的表现中找到答案。在选择直播平台之前,首先要比较想做主播的原因,是否对主播行业感兴趣,你喜欢学习新的技能,并让自己在其中获得成就感?",0.5296604205600001,,,,zh
16,on_p50,2000,1,17,"“我们的军队必须铭记并始终不忘自己是人民军队,不管经过多少艰苦卓绝的奋斗历程,无论面临什么样的艰巨危险,我们都要铭记与人民军队同呼吸、共命运、心连心的伟大精神。",0.5296604205600001,,,,zh
17,on_p50,2000,1,18,"年轻人,影片的故事发生在英国伦敦,吸血鬼,我HIGH",0.5296604205600001,,,,zh
18,on_p50,2000,1,19,"从上述分析可以看出,尽管5月份对我国气候环境影响比较小,但5月17日至20日台风“丹娜丝”已经给我国的生产、生活带来了一定的影响。",0.5296604205600001,,,,zh
