,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,0,1,1,"Translate an English sentence into a target language.
English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
Target Language: The nucleus is split up again and releases some of that energy.
English: The nucleus is split up again and releases some of that energy.
Target Language: The nucleus is split up again and releases some of that energy. The nucleus is split up again and releases some of that energy.
English: The nucleus is split up again and releases some of that energy. The nucleus is split up again and releases some of that energy.
Target Language: The nucleus is split up again and releases some of that energy. The nucleus is split up again and releases some of that energy. The nucle",0.0,,,translation_text_flores200_en_fr.pkl,fr
1,on_p50,0,1,2,"Translate an English sentence into a target language.
English: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Target Language: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
English: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections. Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections. Pests can spoil food, cause irritation, or in a worse case cause allergic reactions",0.0,,,translation_text_flores200_en_fr.pkl,fr
2,on_p50,0,1,3,"Translate an English sentence into a target language.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior oftentimes results in rifts between the leaders and the rest of the team.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team. This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior oftentimes results in rifts between the leaders and the rest of the team. This behavior oftentimes results in rifts between the leaders and the rest of the team.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team. This behavior oftent",0.0,,,translation_text_flores200_en_fr.pkl,fr
3,on_p50,0,1,4,"Translate an English sentence into a target language.
English: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.
Target Language: L'italiano è anche la lingua quotidiana utilizzata da molti che lavorano nello stato mentre il latino è spesso utilizzato nelle cerimonie religiose.
I'm not sure if this is correct.
I'm not sure if this is correct. I'm not sure if this is correct.
I'm not sure if this is correct. I'm not sure if this is correct. I'm not sure if this is correct.
I'm not sure if this is correct. I'm not sure if this is correct. I'm not sure if",0.0,,,translation_text_flores200_en_fr.pkl,fr
4,on_p50,0,1,5,"Translate an English sentence into a target language.
English: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond.
Target Language: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond.
English: The teacher should be able to provide the students with the necessary tools to complete the project.
Target Language: The teacher should be able to provide the students with the necessary tools to complete the project.
English: The teacher should be able to provide the students with the necessary tools to complete the project. The teacher should be able to provide the students with the necessary tools to complete the project.
English: The teacher should be able to provide the students with the necessary tools to complete the project. The teacher should be",0.0,,,translation_text_flores200_en_fr.pkl,fr
5,on_p50,0,1,6,"Translate an English sentence into a target language.
English: Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
Target Language: 瓦茨敦城市人口约800人。它是世界上最小的独立国家，人口最少的国家。
I'm not sure if this is correct.
I'm not sure if this is correct. 2018-09-18 11:49:47
I'm not sure if this is correct. 2018-09-18 11:49:47 回复 Action:
I'",0.0,,,translation_text_flores200_en_fr.pkl,fr
6,on_p50,0,1,7,"Translate an English sentence into a target language.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Translate an English sentence into a target language. English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive. Target Language: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
https://TopgradeApp.com/playQuiz/translate-an-english-sentence",0.0,,,translation_text_flores200_en_fr.pkl,fr
7,on_p50,0,1,8,"Translate an English sentence into a target language.
English: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
Target Language: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
English: The Galapagos Islands are located in the Pacific Ocean.
Target Language: The Galapagos Islands are located in the Pacific Ocean.
English: The Galapagos Islands are located in the Pacific Ocean. The Galapagos Islands are located in the Pacific Ocean.
English: The Galapagos Islands are located in the Pacific Ocean. The Galapagos Islands are located in the Pacific Ocean. The Gal",0.0,,,translation_text_flores200_en_fr.pkl,fr
8,on_p50,0,1,9,"Translate an English sentence into a target language.
English: Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.
Target Language: 외부에서 보이는 것은 맑은 하늘과 많은 주변 산들뿐이다. 입구에서 들려오는 소리도 없고 입구에서 보이는 것도 없다.
English: The cave is very dark and the air is very cold.
Target Language: 동굴은 매우 어둡고 ",0.0,,,translation_text_flores200_en_fr.pkl,fr
9,on_p50,0,1,10,"Translate an English sentence into a target language.
English: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Target Language: 根据警方的说法，拍摄者被撞车司机不太可能面临刑事责任。
I'm not sure how to translate the sentence. I'm not sure if I should use 根据警方的说法，拍摄者被撞车司机不太可能面临刑事责任。 or 根据警方的说法，拍摄者",0.0,,,translation_text_flores200_en_fr.pkl,fr
10,on_p50,0,1,11,"Translate an English sentence into a target language.
English: This was more like the four states of matter (in the same order): solid, liquid, gas, and plasma, though he also theorised that they change into new substances to form what we see.
Target Language: This was more like the four states of matter (in the same order): solid, liquid, gas, and plasma, though he also theorised that they change into new substances to form what we see.
English: The four states of matter are solid, liquid, gas, and plasma.
Target Language: The four states of matter are solid, liquid, gas, and plasma.
English: The four states of matter are solid, liquid, gas, and plasma, though he also theorised that they change into new substances to form what we see.
Target Language: The four states",0.0,,,translation_text_flores200_en_fr.pkl,fr
11,on_p50,0,1,12,"Translate an English sentence into a target language.
English: But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.
Target Language: इंग्लिश में कहा जाता है कि कप्तान की विकेट खोने के बाद भारत के लिए 36 रन बनाने में सक्षम हो गया था लेकिन 7 विकेट खोने के बा",0.0,,,translation_text_flores200_en_fr.pkl,fr
12,on_p50,0,1,13,"Translate an English sentence into a target language.
English: In inland regions of Northern India and Pakistan, yogurt is commonly used in curries; in Southern India and some other coastal regions of the subcontinent, coconut milk is commonly used.
Target Language: In inland regions of Northern India and Pakistan, yogurt is commonly used in curries; in Southern India and some other coastal regions of the subcontinent, coconut milk is commonly used.
English: In inland regions of Northern India and Pakistan, yogurt is commonly used in curries; in Southern India and some other coastal regions of the subcontinent, coconut milk is commonly used.
Target Language: In inland regions of Northern India and Pakistan, yogurt is commonly used in curries; in Southern India and some other coastal regions of the subcontinent,",0.0,,,translation_text_flores200_en_fr.pkl,fr
13,on_p50,0,1,14,"Translate an English sentence into a target language.
English: Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""
Target Language: 胡锦涛呼吁发展中国家“不要走过污染先后清洁的老路”。
I'm not sure if I'm translating this correctly.
I'm not sure if I'm translating this correctly. I'm not sure if I'm translating this correctly. I'm not sure if I'm translating this correctly. I'm not sure if I'm translating this correctly. I'm not sure if I'm translating",0.0,,,translation_text_flores200_en_fr.pkl,fr
