,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,200,1,1,"South Africa Net Profit Stable
In 2019, South Africa’s net profit rose 1.1% to R 107.7 billion, although the country’s population has increased by only 1.2 million in the last 20 years.
The BEE",0.5439949359149999,,,,zh
1,on_p50,200,1,2,"import React, { Component } from'react'
import PropTypes from 'prop-types'


export default class Info extends Component {
  render () {
    const { title, description, full, highlight } = this.props
    return (
      <div className='Info'>
",0.5439949359149999,,,,zh
2,on_p50,200,1,3,"Systematic classification of Type 2 diabetes, Type 2 diabetes complications, and related terms in MEDLINE: a systematic mapping review
Olivia C. J. Staplin1,
Jenny A. Tiwari2,
Annette Kifley",0.5439949359149999,,,,zh
3,on_p50,200,1,4,"2020-09-15 2022-01-13 afp.admin 0 Comments
In 1968, the economic problems of the society and the political crisis of the autocratic Monarchy made it possible for a military coup to be",0.5439949359149999,,,,zh
4,on_p50,200,1,5,"Chapter 1 (See the unabridged version of this chapter)
The future—at least the near future—seems a little less certain than it did a few months ago. The financial crisis that began in the United States in the fall of 2008 has spread around the world, and",0.5439949359149999,,,,zh
5,on_p50,200,1,6,"2018 Honda CRF 125F: First Look
Honda’s smallest dirt bike gets a facelift
Honda has made some minor changes to the 2018 Honda CRF 125F, its smallest dirt bike for",0.5439949359149999,,,,zh
6,on_p50,200,1,7,"# 小行星4463

小行星4463（1981 TM，赫拉克勒斯1981年10月发现）是扬·帕尔·赫拉克勒",0.5439949359149999,,,,zh
7,on_p50,200,1,8,"Home > Opinion > 2015 > 12 > 23 > Kashmir from a US Perspective
Kashmir from a US Perspective
Kashmir has been a flash point between India and Pakistan since partition, but it is also an issue within India itself. This",0.5439949359149999,,,,zh
8,on_p50,200,1,9,"A Farewell to the Nutt House
I wanted to wrap up the semester with a farewell to the Nutt House, the classroom building housing the EAP program. I have no idea why this building is so special to me, but it is.
The Nutt House, named for a",0.5439949359149999,,,,zh
9,on_p50,200,1,10,"← Roxbury Presbyterian Church to Hold Special Sunday Service and Carols
Getting Your Kids Inspired for the Festive Season at the Nutcracker →
Flood Hazard Area Map Now Available for Bayonne
City of Bayonne, Hudson County, New Jersey",0.5439949359149999,,,,zh
10,on_p50,200,1,11,"""Meeting; what was learned about the rose, and the way to find it in the desert of this world""
[Lecture: 11th May, 1921 | Berlin, The Phenomenology of the Spirit | GA0236 | Menschengest",0.5439949359149999,,,,zh
11,on_p50,200,1,12,"# 上海公交19路

19路，是上海市浦东新区的一条公交线路，由浦东新区浦东火车站到虹桥路浦东新区理工大",0.5439949359149999,,,,zh
12,on_p50,200,1,13,"The Malibu Coastal Walnut stair railing is an elegant and attractive choice for your home. The rich walnut finish is toned with rustic accents and the smooth, solid wood design is built to last.",0.5439949359149999,,,,zh
13,on_p50,200,1,14,"News, Reviews and Features ‘A celebration of the human spirit’: IT IS EASY TO GET LOST – The Space ★★★★★
‘A celebration of the human spirit’: IT IS EASY TO GET LOST – The Space ★★★★★",0.5439949359149999,,,,zh
14,on_p50,200,1,15,"package com.github.jxen.pudding;

import com.github.jxen.pudding.api.Ranges;
import org.junit.jupiter.api.Test;

import java.util.Arrays;
import java.util.List",0.5439949359149999,,,,zh
15,on_p50,200,1,16,"Tags: python, pytorch, conv-neural-network

Question: How to make Pytorch's Conv2d output three classes?

I am trying to create a neural network that will take in a 300x300 black and white image and output three",0.5439949359149999,,,,zh
16,on_p50,200,1,17,"# 伯克什 (愛達荷州)

伯克什（當爾語為）是位於愛達荷賽爾斯伯埃爾",0.5439949359149999,,,,zh
17,on_p50,200,1,18,"#
Vladimir's mother, Inna Mironovna, aka ""the cook,"" was a small woman with wide hips and the face of a warrior. She was a creature of routine. She was a creature of passion. She was a creature of contradiction.
During the war",0.5439949359149999,,,,zh
18,on_p50,200,1,19,"Our one of a kind 100% pre-shrunk cotton flannel shirt is guaranteed to keep you warm, and is great for winter, or any time you want to feel cozy. This is a great shirt to throw on before heading outside to the fire pit this winter.",0.5439949359149999,,,,zh
19,on_p50,200,1,20,"# Gheorghe Hagi

Gheorghe ""Gica"" Hagi (Băilești, Rumania, 5 de febrero de 1965) es un exfutbolista rumano, con nacionalidad moldava, que se desempeñaba como",0.5439949359149999,,,,zh
20,on_p50,200,1,21,"clickforsuper.com
Clickforsuper.com was founded by a team of highly qualified and experienced engineers in 2013, with the goal of delivering quality Engineering Services to our clients. We believe that a company's success is based on the well-informed decisions it",0.5439949359149999,,,,zh
21,on_p50,200,1,22,"package util

import (
	""bytes""
	""encoding/json""
	""fmt""
	""io/ioutil""
	""os""
	""os/exec""
	""path/filepath""
	""runtime""
	""time""
)",0.5439949359149999,,,,zh
22,on_p50,200,1,23,"﻿using System.Collections.Generic;
using System.Threading.Tasks;
using FluentAssertions;
using NUnit.Framework;
using SFA.DAS.EmployerFinance.Infrastructure.Commands;
using SFA.DAS.Testing.",0.5439949359149999,,,,zh
23,on_p50,200,1,24,"# Jean-Victor Moreau

Jean-Victor Moreau, né le 15 septembre 1828 à Nantes et mort le 21 décembre 1889 à Rome, est un sculpteur français du XIXe siècle, élève de James Prad",0.5439949359149999,,,,zh
24,on_p50,200,1,25,"CNN anchor Don Lemon on Monday delivered an emotional monologue after visiting El Paso, Texas, and Dayton, Ohio, the sites of two mass shootings that occurred within 24 hours last weekend.
“Sunday evening on the way back from Dayton, my co-",0.5439949359149999,,,,zh
25,on_p50,200,1,26,"/*---------------------------------------------------------------------------------*/

#include	""CppCoverageMap.h""
#include ""CppCoverageMapImpl.h""
#include ""CppCoverageUtil.h""
#include <fstream>
#include <cstring>",0.5439949359149999,,,,zh
26,on_p50,200,1,27,"The following was written by forum member, MilesKm.
We’re now four months into 2015 and I wanted to bring some statistics to light to get everyone a bit better idea of what we’ve got going on. I’m going to include a few monthly and yearly",0.5439949359149999,,,,zh
27,on_p50,200,1,28,"Home Fashion and Style A GOOD HEALER
A GOOD HEALER
HIP NYC – NEW YORK, NY –
This past October the Hip Hop Health Club was officially unveiled. This state-of-the-art 6000sqft facility is",0.5439949359149999,,,,zh
28,on_p50,200,1,29,"Home/Technology/How to Get The Best Car Insurance Policy
There are several steps you can take to get the best car insurance policy for your needs. You should first compare the rates and coverage of several insurers. Afterward, you should examine the policies to see which one will suit",0.5439949359149999,,,,zh
29,on_p50,200,1,30,"09/15/2021 08/20/2021 Diana Agarwal 0 Comments Data Mining Projects, Data Mining Projects for Engineering Students, Data Mining Projects for MCA Students, Data Mining Projects for",0.5439949359149999,,,,zh
