,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,20000,1,1,"从服务需求到生产需求,从高额利润到放心需求,从可复制到可推广,从无到有,从零到百...通过技术创新,实现MTC功能的模块和商业模式在中国和全球企业级应用的市场.....",0.33127515178005,,,</s>,zh
1,on_p50,20000,1,2,，设计：板材：由北欧化材料（通过符合环保要求），结构：源自于地方，以符合地方为设计，采用的是，因此：由于，：采用，：采用，：采用，：采用，：采用，：采用，：采用，：采用，：采用，：,0.33127515178005,,,</s>,zh
2,on_p50,20000,1,3,实现促销计划 在一个新的产品发布活动一经确定，我们从选择活动时间开始，到销售目标实现，隋能提供全方位服务。我们根据您的预算，提供您的所需要价格区间的和促销对象。,0.33127515178005,,,</s>,zh
3,on_p50,20000,1,4,"“我们海外投资大，在无法控制风险的情况下，和运营商合作，是最好的方式。在互联网领域，和运营商合作，是最安全，最能保障。我们和中国联通合作，在降低风险，不致于被其他运营商收买，是最安全。”
“和运营商合作，",0.33127515178005,,,</s>,zh
4,on_p50,20000,1,5,“可以，“说，“但不要攻击他“。“，“，“她““，“士兵，“，“，“，“，“……“，“，“，，可她（他）们被我夺走，“，“，“，“，“，“,0.33127515178005,,,</s>,zh
5,on_p50,20000,1,6,中科院院士、复旦大学校长、复旦大学科学史所所长、复旦大学古文献研究所所长、复旦大学哲学与社会发展研究中心主任、中国经济史专家，复旦大学经学研究会会长。在复旦大学哲学社会文化中心上，他负责复旦哲学,0.33127515178005,,,</s>,zh
6,on_p50,20000,1,7,从世界历史看，经济一体化可以给以下特点：（1）推高价格和收入：以价格和收入差异为标志，以及通过新产品和新的技术市场一体化，可以推高价格和收入，产生新消费和投资。（2）推高消费：通过推高消费再分配，可产生,0.33127515178005,,,</s>,zh
7,on_p50,20000,1,8,于、李、吴、蔡是健全的的。，父、母、兄弟、姐妹、兄弟姐妹、子、孙、侄、侄孙、侄孙女、乳、养子、养女、姐妹、姨、外家、姨夫、姨妈、姨表叔、姨表,0.33127515178005,,,</s>,zh
8,on_p50,20000,1,9,“如果 que她”（），“如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，如果，,0.33127515178005,,,</s>,zh
9,on_p50,20000,1,10,你以前常常向往的一张床，现在却温暖不了你的胃；你以前渴望的一场雨，现在却淋湿你衣服；你以前希望拥有一份爱，现在却只有缝缝补补。世界，总是越来越小，越来越多的漠视。世界，总是那么大，那么多的面目,0.33127515178005,,,</s>,zh
10,on_p50,20000,1,11,欧姆龙，一个领先全球的电子产品制造商，旗下技术以其卓越的代表性著称。旗下分为：个人电子产品和专业电子产品。,0.33127515178005,,,</s>,zh
11,on_p50,20000,1,12,向台“九二共识“和普选独立“之共同标准，“且与“大陆“之「「「「「「「「「「「「「「「「「「「「「「「「「「「「「「「「「「「「「「「「「,0.33127515178005,,,</s>,zh
12,on_p50,20000,1,13,"据了解，中联控股旗下建业集团持有成都发展（000远东）股份，持有现已全集团覆盖。建业集团持有全部间接控股的股份，应占成都发展股份价值规模的小于，折合约，成都发展股份价值规模的。
建业集团，是建业地产控股",0.33127515178005,,,</s>,zh
13,on_p50,20000,1,14,——杨政，新农商银行，证券，保险，酒店，快餐，农业，电力，通信，金融，教育，管理咨询，文化，体育，医药，轻工业，机械，通讯，石油，基建，等。——金凤凰，洛，民，农，建，中,0.33127515178005,,,</s>,zh
14,on_p50,20000,1,15,大观园，是一个有浓浓传统气息的地方，在时代已经风化，娱乐圈是个无底洞，大观园，是一个虽处闹市，但有着无遮掩处，里面，可以找到自己，在，可以找到一点，的，也是，约，来的，部分，,0.33127515178005,,,</s>,zh
15,on_p50,20000,1,16,来说。 ——“赤裸裸的裸幕后”，“亲近而和蔼的亲近，暗示，和不露声色的，导演，和戏剧，“，“，“，“，“，“，“，“，“，“，“，“，“，“，“,0.33127515178005,,,</s>,zh
16,on_p50,20000,1,17,"经过一连串的操作后，Z让我看到了星期一在平台上的交易。见到了一名叫做‘小马哥’，他是一个小程序设计公司。“他允许我免费体验，当看到和知道加密数字货币了，在平台上的交易，他[报告]""。他，大岁数",0.33127515178005,,,</s>,zh
17,on_p50,20000,1,18,中国经济报记者 实习记者董希视觉中国通信产品市场竞争日趋激烈，对于中国手机爱好者而言，最好的服务就是支持国号，才能在漫长的等待后，第一时间获得最合适的华为手机。“华为选择中国，我们也必须选择中国，通讯世界需要华为，民族,0.33127515178005,,,</s>,zh
18,on_p50,20000,1,19,，而一汽解放新的发展的兴杭州，解放新发展兴杭州，解放新发展兴杭州，解放新发展兴杭州，解放新发展兴杭州，解放新发展兴杭州，解放新发展兴杭州，解放新发展兴杭州，解放新发展兴杭州，解放新发展兴杭州，,0.33127515178005,,,</s>,zh
19,on_p50,20000,1,20,此后，出版了大量自己的手写小说的。时代在他，也在正在他。老作家，被划去，他保持，保持。在80后，在90后，在婚恋，他们，他们，他们，在90后，在婚恋，他们，他们，他们，在90,0.33127515178005,,,</s>,zh
20,on_p50,20000,1,21,。  那只小猫 吃着她的手毛， 。。。府上 为 。。 震 。。 。。！ 。。。 。。 。。 。。 。。 。 。。。 。。 。。 。。 。。 。。 。。 。。 。。 。。 。。 。。 ,0.33127515178005,,,</s>,zh
21,on_p50,20000,1,22,在金武门，我们通过和码技术的“链接”，让金融和数据“通气”，让金融和门“合谋”，让门和码“联结”，从而形成一个“生态闭环“。在应用场景，金融机构和门可以“共享“码，进而,0.33127515178005,,,</s>,zh
