,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,12 post(s) to this thread.,0.08980157251899999,,,,en
1,on_p50,1000,1,2,UAE(دمشق): حزب الله ينشر معلومات استخباراتية هامة بشأن ما حصل في القدس,0.08980157251899999,,,,en
2,on_p50,1000,1,3,いつものモテテクニックは、明らかに男性が蓄する技術です。,0.08980157251899999,,,,en
3,on_p50,1000,1,4,"“I have to admit,” she said, “I have never been to a wedding in my life. I don’t know where to start. I’ve already spent a fortune having a huge reception, and now I need a venue to get married. What should I look for in a venue?”",0.08980157251899999,,,,en
4,on_p50,1000,1,5,in-depth. Hopefully it helps someone though!,0.08980157251899999,,,,en
5,on_p50,1000,1,6,A one-time investment was just a matter of being prepared,0.08980157251899999,,,,en
6,on_p50,1000,1,7,,0.08980157251899999,,,,en
7,on_p50,1000,1,8,"2 kuukautta sitten 10:00 Beeg perse, korkokengät, milf HD",0.08980157251899999,,,,en
8,on_p50,1000,1,9,We're Looking For:,0.08980157251899999,,,,en
9,on_p50,1000,1,10,,0.08980157251899999,,,,en
10,on_p50,1000,1,11,Next articleRober Dismisses Woman Who Resented Him For His Job,0.08980157251899999,,,,en
11,on_p50,1000,1,12,"Труппа: 3+1, 3+1, 3+1, стержень стержни, держатель стержня, пульт дистанционного управления, защитное стекло",0.08980157251899999,,,,en
12,on_p50,1000,1,13,,0.08980157251899999,,,,en
13,on_p50,1000,1,14,สนามหลวง ทําพิธีบวงสรวงศาลหลักเมืองและพระประธานในพระบรมมหาราชวังในวโรกาสมหามงคลเฉลิมพระชนมพรรษาครบ ๖ รอบ,0.08980157251899999,,,,en
14,on_p50,1000,1,15,"Male Nach der Geburt klagt man häufig über die Empfindung, dass die Beine zur Seite rutschen, dass das Wasser in den Zehen steif anliegt und er sich zu allem Überfluss immer mehr auf den Beinen ausbreitet. Bei dem Baby kann es auch zu Symptomen kommen, die anfang",0.08980157251899999,,,,en
15,on_p50,1000,1,16,008453 - Account Manager - Customer Care,0.08980157251899999,,,,en
16,on_p50,1000,1,17,"Noun 1. sambridge: a samphire, a samphire, a samphire, a samphire, sb.",0.08980157251899999,,,,en
17,on_p50,1000,1,18,日足ドル円相場 に重要なポイントを紹介しますと、,0.08980157251899999,,,,en
18,on_p50,1000,1,19,0 สมาชิก และ 1 บุคคลทั่วไป กําลังดูหัวข้อนี้,0.08980157251899999,,,,en
