,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language.
English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
Target Language: The nucleus is the part of the atom that is the center of mass. The atom is made up of the nucleus and the electrons. The electrons are the part of the atom that is in motion. The nucleus is the part of the atom that is stationary. The nucleus is the part of the atom that is in the center of mass. The nucleus is the part of the atom that is the center of gravité. The nucleus is the part of the atom that is the center of gravité. The nucleus is the part of the atom that is the center of gravité. The nucleus is the part of the atom that is the center of gravité.",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
1,on_p50,2000,1,2,"Translate an English sentence into a target language.
English: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Target Language: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
The following is a list of the most common allergens in the United States. The list is not exhaustive, and it is not intended to be a substitute for a consultation with a physician. It is important to consult a physician if you suspect an allergy to a particular allergen.
The following is a list of the most common allergens in the United States. The list is not exhaustive, and it is not intended to be a substitute for a consultation with a physician. It",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
2,on_p50,2000,1,3,"Translate an English sentence into a target language.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior oftentimes results in rifts between the leaders and the rest of the team.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior oftentimes results in rifts between the leaders and the rest of the team.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior oftentimes results in rifts between the leaders and the rest of the team.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
3,on_p50,2000,1,4,"Translate an English sentence into a target language.
English: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.
Target Language: The language of the country that is being translated into. For example, the language of the country that is being translated into is English.
The translation of a sentence into a target language is called a translation. The translation of a sentence into a target language is called a translation. The translation of a sentence into a target language is called a translation. The translation of a sentence into a target language is called a translation. The translation of a sentence into a target language is called a translation. The translation of a sentence into a target language is called a translation. The translation of a sentence into a target language is called a translation. The translation of",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
4,on_p50,2000,1,5,"Translate an English sentence into a target language.
English: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond.
Target Language: The main objective of this article is to show that the use of a simple, yet effective, technique, called scaffolding, can be used to improve the learning process of a group of students. Scaffolding is a technique that is used to help students learn new concepts or skills. It is a technique that is used to help students learn new concepts or skills. Scaffolding is a technique that is used to help students learn new concepts or skills. Scaffolding is a technique that is used to help students learn new concepts or skills. Scaffolding is a technique that is used to help students learn new concepts",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
5,on_p50,2000,1,6,"Translate an English sentence into a target language.
English: Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
Target Language: The population of Vatican City is around 800. It is the smallest independent country in the world and the country with the lowest population.
The population of Vatican City is around 800. It is the smallest independent country in the world and the country with the lowest population.
The population of Vatican City is around 800. It is the smallest independent country in the world and the country with the lowest population.
The population of Vatican City is around 800. It is the smallest independent country in the world and the country with the lowest population.
The population of Vatican City is around 800. It is the smallest independent country in the world and the country with the lowest",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
6,on_p50,2000,1,7,"Translate an English sentence into a target language.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
The main objective of this paper is to propose a new approach to the translation of English to Arabic. The proposed approach is based on the extraction of the main concepts of the source text and the translation of these concepts into the target language. The main concepts of the source text are extracted by using the concept extraction technique. The main concepts of the source text are translated into the target language by using the translation technique. The main concepts of the source text are extracted by using the concept extraction technique. The main",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
7,on_p50,2000,1,8,"Translate an English sentence into a target language.
English: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
Target Language: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
The main difference between the two sentences is that the second sentence is more natural. The second sentence is more natural because it is more natural to say that the tortoise is the primary grazing animal in the Galapagos. The second sentence is more natural because it is more natural to say that the tortoise is the primary grazing animal in the Galapagos.
The main difference between the two sentences is that the second sentence is more natural. The second sentence is more natural because",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
8,on_p50,2000,1,9,"Translate an English sentence into a target language.
English: Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.
Target Language: The cave is a large, dark, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal, ethereal,",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
9,on_p50,2000,1,10,"Translate an English sentence into a target language.
English: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Target Language: The police suspect that the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
The second example shows that the translation of the source sentence is not always possible. The source sentence is a question, and the translation of the question is not always possible. The source sentence is a question, and the translation of the question is not always possible. The source sentence is a question, and the translation of the question is not always possible. The source sentence is a question, and the translation of the question is not always possible. The source sentence is a question, and the translation of the question is not always possible. The",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
10,on_p50,2000,1,11,"Translate an English sentence into a target language.
English: This was more like the four states of matter (in the same order): solid, liquid, gas, and plasma, though he also theorised that they change into new substances to form what we see.
Target Language: This was more like the four states of matter (in the same order): solid, liquid, gas, and plasma, though he also theorised that they change into new substances to form what we see.
The sentence in the source language is a simple sentence, but the sentence in the target language is a complex sentence. The source language sentence is a simple sentence because it is a simple sentence in English. The source language sentence is a complex sentence because it is a complex sentence in English. The source language sentence is a simple sentence because it is a simple sentence in English. The source language sentence is a complex sentence because it is a",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
11,on_p50,2000,1,12,"Translate an English sentence into a target language.
English: But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.
Target Language:
But, after losing the captain's wicket, India only made 36 runs, losing 7 wickets to end the innings.
The second example is a simple question. The question is about the weather in a particular place. The question is about the weather in a particular place. The question is about the weather in a particular place. The question is about the weather in a particular place. The question is about the weather in a particular place. The question is about the weather in a particular place. The question is about the weather in a particular place. The question is about the weather in a particular place. The question is about the weather",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
12,on_p50,2000,1,13,"Translate an English sentence into a target language.
English: In inland regions of Northern India and Pakistan, yogurt is commonly used in curries; in Southern India and some other coastal regions of the subcontinent, coconut milk is commonly used.
Target Language: In the Northern part of India, yogurt is commonly used in curries. In the Southern part of India, coconut milk is commonly used.
The following is a list of the most common words that are used in the English sentence. The words are in alphabetical order.
The following is a list of the most common words that are used in the target language. The words are in alphabetical order.
The following is a list of the most common words that are used in the source language. The words are in alphabetical order.
The following is a list of the most common words that are used in the source language. The words",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
13,on_p50,2000,1,14,"Translate an English sentence into a target language.
English: Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""
Target Language:
Hu encouraged developing countries to avoid the old path of polluting first and cleaning up later.
Hu encouraged developing countries to avoid the old path of polluting first and cleaning up later.
Hu encouraged developing countries to avoid the old path of polluting first and cleaning up later.
Hu encouraged developing countries to avoid the old path of polluting first and cleaning up later.
Hu encouraged developing countries to avoid the old path of polluting first and cleaning up later.
Hu encouraged developing countries to avoid the old path of polluting first and cleaning up later.
Hu encouraged developing countries to avoid the old path of polluting first and cleaning up later.
Hu",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
14,on_p50,2000,1,15,"Translate an English sentence into a target language.
English: Yet, Spanish is also widely used in public transport and other facilities.
Target Language:
The Spanish language is also widely used in public transport and other facilities.
The second example is a sentence that is not a simple translation of the English sentence. The sentence is a question that is not a simple translation of the English sentence. The question is a question that is not a simple translation of the English sentence. The question is a question that is not a simple translation of the English sentence. The question is a question that is not a simple translation of the English sentence. The question is a question that is not a simple translation of the English sentence. The question is a question that is not a simple translation of the English sentence.",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
15,on_p50,2000,1,16,"Translate an English sentence into a target language.
English: Machu Picchu consist of three main structures, namely Intihuatana, the Temple of the Sun, and the Room of the Three Windows.
Target Language: The Intihuatana is a temple dedicated to the Sun, and the Temple of the Sun is a temple dedicated to the Sun.
The Intihuatana is a temple dedicated to the Sun, and the Temple of the Sun is a temple dedicated to the Sun.
The Intihuatana is a temple dedicated to the Sun, and the Temple of the Sun is a temple dedicated to the Sun.
The Intihuatana is a temple dedicated to the Sun, and the Temple of the Sun is a temple dedicated to the Sun.
The Intihuatana is a temple dedicated to the Sun, and the Temple of the Sun is a temple dedicated to the",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
16,on_p50,2000,1,17,"Translate an English sentence into a target language.
English: The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked.
Target Language: The most readily accessible plant resources would have been the proteins accessible in leaves and legumes, but these are hard for primates like us to digest unless they are cooked.
The second sentence is a translation of the first sentence. The second sentence is a translation of the first sentence. The second sentence is a translation of the first sentence. The second sentence is a translation of the first sentence. The second sentence is a translation of the first sentence. The second sentence is a translation of the first sentence. The second sentence is a translation of the first sentence. The second sentence is a translation of the first sentence. The second sentence is a translation",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
17,on_p50,2000,1,18,"Translate an English sentence into a target language.
English: The terrified King Louis XVI, Queen Marie Antoinette their two young children (11 year old Marie Therese and four year old Louis-Charles) and the King's sister, Madam Elizabeth, on the 6th October 1789 were forced back to Paris from Versailles by a mob of market women.
Target Language: The terrified King Louis XVI, Queen Marie Antoinette their two young children (11 year old Marie Therese and four year old Louis-Charles) and the King's sister, Madam Elizabeth, on the 6th October 1789 were forced back to Paris from Versailles by a mob of market women.
The terrified King Louis XVI, Queen Marie Antoinette their two young children (11 year old Marie Therese and four year old Louis-Charles) and the King's sister, Madam Elizabeth, on the 6th October 1789 were forced back to Paris from Versailles by a mob of market women.
The terrified King Louis XVI, Queen Marie Antoinette their two young",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
18,on_p50,2000,1,19,"Translate an English sentence into a target language.
English: Many German baked goods also feature almonds, hazelnuts, and other tree nuts. Popular cakes often pair particularly well with a cup of strong coffee.
Target Language: The German word pour signifie « pour », « pourer », « pour », « pourer », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », « pour », «",0.48134425950099996,,,translation_text_flores200_en_fr.pkl,fr
