,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,0,1,1,"Translate an English sentence into a target language.
English: Sort of like rolling a heavy cart up a hill. Splitting the nucleus up again then releases some of that energy.
Target Language: The nucleus is the part of the atom that is the most stable. The electrons are the part that is the most unstable.
English: The nucleus is the part of the atom that is the most stable. The electrons are the part that is the most unstable.
English: The nucleus is the part of the atom that is the most stable. The electrons are the part that is the most unstable.
English: The nucleus is the part of the atom that is the most stable. The electrons are the part that is the most unstable.
English: The nucleus is the part of the atom that is the most stable. The electrons are the part that",0.0,,,translation_text_flores200_en_de.pkl,de
1,on_p50,0,1,2,"Translate an English sentence into a target language.
English: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
Target Language: Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
English: The word “spoiled” is used to describe something that has been ruined or ruined. It is also used to describe something that has been ruined or ruined.
Target Language: The word “spoiled” is used to describe something that has been ruined or ruined. It is also used to describe something that has been ruined or ruined.
English: The word “spoiled” is used to describe something that has been ruined or ruined. It is also used to describe something",0.0,,,translation_text_flores200_en_de.pkl,de
2,on_p50,0,1,3,"Translate an English sentence into a target language.
English: This behavior oftentimes results in rifts between the leaders and the rest of the team.
Target Language: This behavior often results in rifts between the leaders and the rest of the team.
English: This behavior often results in rifts between the leaders and the rest of the team.
Target Language: This behavior often results in rifts between the leaders and the rest of the team.
English: This behavior often results in rifts between the leaders and the rest of the team.
Target Language: This behavior often results in rifts between the leaders and the rest of the team.
English: This behavior often results in rifts between the leaders and the rest of the team.
Target Language: This behavior often results in rifts between the leaders and",0.0,,,translation_text_flores200_en_de.pkl,de
3,on_p50,0,1,4,"Translate an English sentence into a target language.
English: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.
Target Language: Italian is the language of the Italian state and the language of the Italian people.
English: Italian is the language of the Italian state and the language of the Italian people.
Target Language: Italian is the language of the Italian state and the language of the Italian people.
English: Italian is the language of the Italian state and the language of the Italian people.
Target Language: Italian is the language of the Italian state and the language of the Italian people.
English: Italian is the language of the Italian state and the language of the Italian people.
Target Language: Italian is the language of the Italian state and the language of the Italian people.
English",0.0,,,translation_text_flores200_en_de.pkl,de
4,on_p50,0,1,5,"Translate an English sentence into a target language.
English: While project based learning should make learning easier and more interesting, scaffolding goes a step beyond.
Target Language: English. Scaffolding is a technique that helps learners to learn a language by providing them with a structure that helps them to understand the language.
English: The purpose of this lesson is to introduce the concept of a sentence and to help students understand the difference between a sentence and a clause.
Target Language: English. The purpose of this lesson is to introduce the concept of a sentence and to help students understand the difference between a sentence and a clause.
English: This lesson introduces the concept of a sentence and helps students understand the difference between a sentence and a clause.
English: This lesson introduces the concept of a sentence and helps students understand",0.0,,,translation_text_flores200_en_de.pkl,de
5,on_p50,0,1,6,"Translate an English sentence into a target language.
English: Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.
Target Language: Italian. The Vatican City is the smallest independent country in the world and the country with the lowest population.
English: The Vatican City is the smallest independent country in the world and the country with the lowest population.
Target Language: Italian. The Vatican City is the smallest independent country in the world and the country with the lowest population.
English: The Vatican City is the smallest independent country in the world and the country with the lowest population.
Target Language: Italian. The Vatican City is the smallest independent country in the world and the country with the lowest population.
English: The Vatican City is the smallest independent country in the world and the country with",0.0,,,translation_text_flores200_en_de.pkl,de
6,on_p50,0,1,7,"Translate an English sentence into a target language.
English: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
Target Language: We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.
The following is a list of the most common English words that are translated into the target language. The words are listed in alphabetical order. The words are also listed in the order in which they appear in the sentence. The words are listed in the order in which they appear in the sentence. The words are listed in the order in which they appear in the sentence. The words are listed in the order in which they appear in the sentence. The words are listed in the order in which they appear",0.0,,,translation_text_flores200_en_de.pkl,de
7,on_p50,0,1,8,"Translate an English sentence into a target language.
English: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
Target Language: Due to the long distance from the continent mammals were unable to make the journey making the giant tortoise the primary grazing animal in the Galapagos.
English: The first European settlers in the Americas were the Spanish who arrived in the 16th century.
Target Language: The first European settlers in the Americas were the Spanish who arrived in the 16th century.
English: The first European settlers in the Americas were the Spanish who arrived in the 16th century.
English: The first European settlers in the Americas were the Spanish who arrived in the 16th century.
English: The first European settlers in the Americas were the Spanish who arrived in the 16th century.
English",0.0,,,translation_text_flores200_en_de.pkl,de
8,on_p50,0,1,9,"Translate an English sentence into a target language.
English: Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.
Target Language: The cave is a place where you can see the sky, the mountains, and the surrounding nature. You can also hear the sounds of the surrounding nature.
English: The cave is a place where you can see the sky, the mountains, and the surrounding nature. You can also hear the sounds of the surrounding nature.
Target Language: The cave is a place where you can see the sky, the mountains, and the surrounding nature. You can also hear the sounds of the surrounding nature.
English: The cave is a place where you can see the sky, the mountains, and the surrounding nature. You can also hear the sounds of the",0.0,,,translation_text_flores200_en_de.pkl,de
9,on_p50,0,1,10,"Translate an English sentence into a target language.
English: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
Target Language: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.
English: The police have arrested the driver of the vehicle that hit the photographer.
Target Language: The police have arrested the driver of the vehicle that hit the photographer.
English: The police have arrested the driver of the vehicle that hit the photographer.
English: The police have arrested the driver of the vehicle that hit the photographer.
English: The police have arrested the driver of the vehicle that hit the photographer.
English: The police have arrested the driver of the vehicle that hit the photographer.
English: The police",0.0,,,translation_text_flores200_en_de.pkl,de
