,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language. English: You can actually see from underneath, for the Olympics in 2012 and beyond, and really using it as a way to connect with the community. Target Language: English.",0.5296604205600001,,,translation_text_iwslt2017_en_zh.pkl,zh
1,on_p50,2000,1,2,Translate an English sentence into a target language. English: And the insight of President Lobo was that that assurance of enforcement that I was thinking about as a way to get the foreign investors to come in and build the city could be equally important for all the different parties in Honduras who had suffered for so many years from fear and distrust. Target Language: English.,0.5296604205600001,,,translation_text_iwslt2017_en_zh.pkl,zh
2,on_p50,2000,1,3,"Translate an English sentence into a target language. English: You know, as a parent with the privilege of raising a daughter like all of you who are doing the same thing, we find this world and this statistic very alarming and we want to prepare them. Target Language: English.",0.5296604205600001,,,translation_text_iwslt2017_en_zh.pkl,zh
3,on_p50,2000,1,4,"Translate an English sentence into a target language. English: And speaking of bacteria, do you realize that each of us carries in our gut more bacteria than there are cells in the rest of our body? Target Language: English.",0.5296604205600001,,,translation_text_iwslt2017_en_zh.pkl,zh
4,on_p50,2000,1,5,"Translate an English sentence into a target language. English: Yes, 97.5 percent is saltwater, two percent is ice, and we fight over a half a percent of the water on this planet, but here too there is hope. Target Language: English.",0.5296604205600001,,,translation_text_iwslt2017_en_zh.pkl,zh
5,on_p50,2000,1,6,"Translate an English sentence into a target language. English: But one day, in 1995, my mom brought home a letter from a coworker's sister. Target Language: English.",0.5296604205600001,,,translation_text_iwslt2017_en_zh.pkl,zh
6,on_p50,2000,1,7,"Translate an English sentence into a target language. English: But not only did Mr. Olbermann invite me back, he made me a full-time contributor, and he taped down my chair. Target Language: English.",0.5296604205600001,,,translation_text_iwslt2017_en_zh.pkl,zh
7,on_p50,2000,1,8,"Translate an English sentence into a target language. English: Not terribly damaged, but where the water had caused that discoloration on the girl's face had to be repaired with such accuracy and delicacy. Target Language: English.",0.5296604205600001,,,translation_text_iwslt2017_en_zh.pkl,zh
8,on_p50,2000,1,9,Translate an English sentence into a target language. English: My crooked journey has taken me to some very spectacular places. Target Language: English.,0.5296604205600001,,,translation_text_iwslt2017_en_zh.pkl,zh
9,on_p50,2000,1,10,"Translate an English sentence into a target language. English: So we run away from it, and where do we run? Target Language: English.",0.5296604205600001,,,translation_text_iwslt2017_en_zh.pkl,zh
