,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"El actual entrenador de porteros es un entrenador técnico y táctico, está capacitado para enseñarle a manejar el banquillo, así como sobre sus conceptos básicos.
El enfoque del entrenador es potenciar y mejorar las características de los porteros más rápidos, más rápidos para garantizar que tengan la capacidad de mantener su cuerpo a máxima velocidad",0.088589828389,,,</s>,de
1,on_p50,1000,1,2,"/* This file is part of the KDE project
   Copyright (C) 2003 Michael Watzer

   This library is free software; you can redistribute it and/or
   modify it under the terms of the GNU Library General Public
   License as published by the Free Software Foundation; either
   version 2 of the License, or (at your option",0.088589828389,,,</s>,de
2,on_p50,1000,1,3,"Love is a thing that can even make you lose your identity. One who loves you will make you feel that you are the best, if you are the best then you will never feel the need to change, if you are going to change then you will always be the best, it is the same with love. If",0.088589828389,,,</s>,de
3,on_p50,1000,1,4,"TOMDINOR KIT DE REMOLQUEUR DE REMORQUE FENN TRAIN SIDE-RECHARGE PLUG PI:KEY,REMORQUE FENN TRAIN SIDE-RECHARGE PLUG PI:KEY TOMDINOR KIT DE,Les meilleures offres pour",0.088589828389,,,</s>,de
4,on_p50,1000,1,5,"3. Bufador de aluminio regulable, con eje central regulable en altura para que tu silla se ajuste a ti.
Los accesorios de la silla para oficina HUBINAT son muchos, pero los que más nos gustan son la pantalla de escritorio regulable y el neerlandes, que va genial para hacer",0.088589828389,,,</s>,de
5,on_p50,1000,1,6,"Q:

Verifying if an array is a trigonometric series

I am trying to implement the following algorithm:

Find the roots of a trigonometric series.
If the given array is a trigonometric series, then return true.

I have written the following code but I get a segmentation fault.
#include <stdio.h>
",0.088589828389,,,</s>,de
6,on_p50,1000,1,7,"Neuromorphisms have received much recent attention due to their many interesting properties such as their regularity and the Gauss' hypergraph interpretation (see, e.g., [8], [9], [10], [11], [12] ). The classification of binary neurons with respect to their type, described in Section 3, is a basic connection",0.088589828389,,,</s>,de
7,on_p50,1000,1,8,"A larger collection of new and used motorcycles, scooters and motorbike parts at a competitive price can be found at our bike shop in Middlestadt.",0.088589828389,,,</s>,de
8,on_p50,1000,1,9,"The two queens, a right and left, hail from the English Land, and the queens are as old as the Yorks and Lancs. This, as is well known, is the old marriage of the English, and they have always been united as a nation. Both Elizabeth and Mary are the daughters of",0.088589828389,,,</s>,de
9,on_p50,1000,1,10,"Introduction
Dealing with international trade in technologically advanced products requires a range of institutions and regulations, which are powerful instruments for economic integration. These instruments often target the intermediaries in the local production process. For instance, regional trade agreements, which apply to the trade and investment of goods and services, aim at reducing costs",0.088589828389,,,</s>,de
10,on_p50,1000,1,11,"Showing videos about the prediction and diagnosis of cardiac arrhythmias in dogs and cats and the treatment of these arrhythmias.
For the treatment of cardiac arrhythmias in dogs and cats and the prevention and treatment of arrhythmias in veterinary practice.
Dr. Arndt (left)",0.088589828389,,,</s>,de
11,on_p50,1000,1,12,"A partir del lunes, 13 de enero, os estaréis viendo a través de la plataforma Zoom. Os podéis inscribir pinchando en el enlace de la derecha (HORARIO)",0.088589828389,,,</s>,de
12,on_p50,1000,1,13,"Por todo esto, desde JONGABEST os animamos a visitar nuestras instalaciones, y estamos seguros de que en ellas encontraréis vuestra solución a vuestras necesidades.",0.088589828389,,,</s>,de
13,on_p50,1000,1,14,"Now we are looking at the sixth of the six TV series of the new SOS 7 Art Collection called ""Being Human"", 2019. It is directed by Kevin Busse. This is the actual soundtrack for the series and can actually be listened to by clicking on the Internet link.",0.088589828389,,,</s>,de
14,on_p50,1000,1,15,"Q:

How to define an integer variable in Python?

Why is there a newline in the code below?
Thanks for any help.
def f(n):
    return n + 3

for n in range(1, 10):
    print(f(n))

Console output:
1
2
3
",0.088589828389,,,</s>,de
15,on_p50,1000,1,16,"Introduction
The first symptoms of cancer are typically vague, non-specific. Pain and other gastrointestinal symptoms are the most common symptoms; however, pain can seem non-specific and can be caused by other diseases and not be a sign of cancer. As a consequence, it is important to find novel, easily accessible and accurate tools",0.088589828389,,,</s>,de
16,on_p50,1000,1,17,"The single front boot is of great quality, including a large single lock which opens when the car is in ramp.
The car is in great condition with no major damage and being a car driven around the fair to 5,000 miles a year, the car is well looked after with springs and tyres in good condition,",0.088589828389,,,</s>,de
17,on_p50,1000,1,18,"Entiendo que la falta de consenso es de lo que se encarga la mayoría de los grupos, que en un foro son de lo poco que se puede discutir en un ambiente sano y respetuoso. El problema que veo es que la mayoría de las discusiones que he visto en este hilo, y en otros, se dan por",0.088589828389,,,</s>,de
18,on_p50,1000,1,19,"Beautifully written, I find it hard to believe the person was a pastor. As a single chaplain, I felt that some of the state statements about the pandemic are unrealistic and ridiculous.
But I also think that people are more comfortable with someone P Dating that they feel comfortable with. The support of",0.088589828389,,,</s>,de
19,on_p50,1000,1,20,"The information presented on this page is about the nearest train stations to Bălău, as well as restaurants, shops and landmarks. If you want to find out about flights to Bălău, check out our page.
If you want to find out when is the nearest train to Băl",0.088589828389,,,</s>,de
20,on_p50,1000,1,21,"Se trata de la combinación con algún otro ingrediente, que proporciona un efecto en particular, como la humectación, la curación, la protección, la eliminación de color o la iluminación.
Los ingredientes activos y los ingredientes cosméticos se clasifican como activos y cosméticos. Aunque se utilizan en formulaciones",0.088589828389,,,</s>,de
21,on_p50,1000,1,22,"Le 8 avril 1913, le Conseil d’Administration de la Société pour l’Etude et la Protection des Fontaines a été installé par le Colonel BARTHOLOMÉ. Le Président de la Société était Daniel RITTIN et le Vice-Président était M. GUILHOT. Il était chargé de prendre l’in",0.088589828389,,,</s>,de
22,on_p50,1000,1,23,"On sait que LeBron James et Kevin Durant sont deux stars au niveau mondial. Mais comment peut-il en être autrement? C’est aussi pour cela que la NBA est la plus puissante ligue du monde.
NBA – Kevin Durant et LeBron James, une histoire de famille. Elie Baup – BnF – 2/12/2018",0.088589828389,,,</s>,de
23,on_p50,1000,1,24,"Nicholas Chadwick, el Duke of Bedford, uno de los hombres de confianza de Carlos V, escribió su obra sin leerla. Sin embargo, no diréis que no se nota. Es el libro en que hay más personajes. Sin embargo, todos ellos, de alguna manera, tienen algo que ver con",0.088589828389,,,</s>,de
24,on_p50,1000,1,25,"Perspektive a été fondée par Nour El-Hawli et a été fondée à Zurich par un jeune homme de 20 ans, Ramzy El-Hawli, avec l'idée de créer une plateforme financière sur Internet plus adaptée aux besoins des utilisateurs.",0.088589828389,,,</s>,de
25,on_p50,1000,1,26,"Le système est conçu pour donner à votre corps la quantité appropriée d’oxygène, en particulier au moment de la récupération après l’entraînement.
Nous vous conseillons de vous entraîner en dehors des heures de pointe, mais vous pouvez vous entraîner à n’importe quelle heure de la journée.
Notre concept est simple et efficace : le système",0.088589828389,,,</s>,de
26,on_p50,1000,1,27,"In addition to the 4 separate cores, the HyperEngine boasts a 10-core Super SIM (Super Integrated Memory) for additional computing power, as well as a 100-gigabit LAN, 3 gigabytes of RAM, and 32 gigabytes of storage. It also features a unique HyperStream, which is a",0.088589828389,,,</s>,de
