,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"Blomst Activist Stories
In 2019, we launched Blomst Activist Stories, a series of events with activists and artists to share their journeys and to inspire our wider community.
Read more about Blomst Activist Stories
Read more about Bl",0.9529876121499999,,,,en
1,on_p50,1000,1,2,"import { NgModule } from '@angular/core';
import { CommonModule } from '@angular/common';
import { RouterModule } from '@angular/router';
import { RecipesComponent } from './recipes.component';
import { RecipeDetailsComponent } from './recipe-",0.9529876121499999,,,,en
2,on_p50,1000,1,3,"System and method for assessing vulnerability in a network
US20100191963 * 29 Jan 2009 29 Jul 2010 Rafael Y C M Shen System and Method for Assessing Vulnerability in a Network
",0.9529876121499999,,,,en
3,on_p50,1000,1,4,"2324239 Guerlain L'Orchidée Imperiale Exceptional Edition EDP 75ml + 3.65oz P
2324239 Guerlain L'Orchidée Imperiale Exceptional Edition EDP 75ml + ",0.9529876121499999,,,,en
4,on_p50,1000,1,5,"1kg (2.2 lbs) of Himalayan Crystal Salt has the same amount of Electrolytes as 5 lbs of Tap Water. Himalayan Salt is approximately 96.5% Sodium Chloride.
I've been taking ",0.9529876121499999,,,,en
5,on_p50,1000,1,6,"19 Serious Reasons Why You Should Always Drink Apple Cider Vinegar Before Bed
The vinegar will invigorate you and relieve the tension from a long day
As it turns out, Apple cider vinegar has more health benefits than you ever imagined.",0.9529876121499999,,,,en
6,on_p50,1000,1,7,"The numbers are in, and it turns out that the Rust programmers are not the worst drivers that there are.
See the article about it, http://33digital.com/2014/10/21/33-digital-reviews-the-worst",0.9529876121499999,,,,en
7,on_p50,1000,1,8,"Home > News > India News > Opposition raises concerns over Pegasus spyware, govt says it's safe
India News G20
Opposition raises concerns over Pegasus spyware, govt says it's safe
India's",0.9529876121499999,,,,en
8,on_p50,1000,1,9,"A F as in freedom (1982)
Mansour A. Borji
The author of Reflections from Beirut, Mansour Borji is the vice-president of the Central Council of the Federation of Lebanese Forces.
A F as in freedom
The author of Ref",0.9529876121499999,,,,en
9,on_p50,1000,1,10,"2016 Audi TTS Values
2016 Audi TTS 2.0T Manual 2dr Cpe 2dr Cpe Auto 2dr Cpe
Radio: AM/FM/CD/Bluetooth 5 S3 w/MMI",0.9529876121499999,,,,en
10,on_p50,1000,1,11,"A Grammar of the Burmese Language
P. Lacour, A. T. Ram Hua
Oeconomical essays, written by James Hammond
The writings of the Rev. John Wesley, A.M. with a life of the author, by Thomas Jackson
The writ",0.9529876121499999,,,,en
11,on_p50,1000,1,12,"# 上海市人民护卫团众

上海市人民护卫团众（英文：People's Defense Corps of Shanghai）是中国上海市政府领",0.9529876121499999,,,,en
12,on_p50,1000,1,13,"The Malibu Seaside Inn, located on the Pacific Coast Highway, is a fun and affordable California Beach Hotel. With an easy walk to the beach, as well as the famous Malibu Pier, our California Beach Hotel is the perfect vacation spot. Our hotel is a short drive from areas such",0.9529876121499999,,,,en
13,on_p50,1000,1,14,"News, Reviews and Features ‘A celebration of the human spirit’: IT’S WORTH IT – Leicester Square Theatre
Touring, Leicester Square Theatre, 25 September 2022
Elliot Davis wrote the show with the intention it would reach",0.9529876121499999,,,,en
14,on_p50,1000,1,15,"package com.suneroc.money.wallet;

import com.suneroc.money.Money;
import com.suneroc.money.MoneyCap;
import com.suneroc.money.MoneyCapApprover;
import com",0.9529876121499999,,,,en
15,on_p50,1000,1,16,"Tags: python, pytorch, conv-neural-network, imagenet

Question: Torch: numpy array dimensions changed

I am running the following piece of code where I am loading some images and then applying a CNN on them.

\begin{code}
from torch",0.9529876121499999,,,,en
16,on_p50,1000,1,17,"# 1902년 7월 1일 일식

1902년 7월 1일 일식은 달이 지구와 태양 사이를 지나 �����",0.9529876121499999,,,,en
17,on_p50,1000,1,18,"# 1997–98 Rochdale A.F.C. season

The 1997–98 season was Rochdale's fourth consecutive season in the third tier of English football.

Rochdale

## Final League Table

Main article:",0.9529876121499999,,,,en
18,on_p50,1000,1,19,"Our memberships are available in two options:
For individuals, couples and families, and
​For Businesses
The individual, couples and family memberships are for those wishing to practice alone, or with a spouse or family member. {Or for those wishing to practice with the Institute for",0.9529876121499999,,,,en
19,on_p50,1000,1,20,"# Gymnura talabonoi

Gymnura talabonoi  es una especie y subespecies de pez de la familia de los gimnurÃ¡ (Gymuridae) en el orden de los coryaaliformes

## MorfologÃ­a
",0.9529876121499999,,,,en
20,on_p50,1000,1,21,"This tutorial will teach you how to create a hackintosh on your new hat and how to get it up and running on a new system. By using this guide, you will be able to setup your new hat with your new operating system and operating system installed into your operating system.
I have already setup my mac",0.9529876121499999,,,,en
21,on_p50,1000,1,22,"Enhanced OpenStreetMap web map available
The OpenStreetMap web application now provides more detailed information on the UK. When zooming into the UK map, users will now see a separate detailed map of London, Birmingham, Glasgow, Edinburgh, Manchester and Cardiff. In the detailed map, you will",0.9529876121499999,,,,en
22,on_p50,1000,1,23,"5 Secrets to be an Effective Team Leader
Find out how to be an effective team leader and why it’s so important in a workplace. Learn how to be a good team leader in your workplace.
Being an effective team leader is a skillset that can be learned and",0.9529876121499999,,,,en
23,on_p50,1000,1,24,"# Jean-François de Champs-sur-Marne

Jean-François de Champs-sur-Marne est né à Champs-sur-Marne le 27 janvier 1723 et décédé à Paris le 7 juin 1784. Il est",0.9529876121499999,,,,en
24,on_p50,1000,1,25,"Why Is Learning Equity so...
Why Is Learning Equity so Important?
For much of my adult life, I worked with adults who were trying to learn English as a second language. These were smart, motivated people from a lot of different countries. Many of them were trying to get an advanced",0.9529876121499999,,,,en
25,on_p50,1000,1,26,"The Wizard of Oz (1939) starring Judy Garland, Burt Lahr More info...
Bonus Features: 1994 Extended T.V. version
The Wizard of Oz (1939) starring Judy Garland",0.9529876121499999,,,,en
26,on_p50,1000,1,27,"The Ballad Of Alexis Averbuck
The Ballad Of Alexis Averbuck And The Determined Souls from africast.com
The Ballad Of Alexis Averbuck And The Determined Souls
Alexander Averbuck was born on June",0.9529876121499999,,,,en
27,on_p50,1000,1,28,"Home Fashion and Beauty ‘Street Fashion’ in Paris: 5 Things You Should Know
Needless to say, Paris is a fantastic place to indulge in the art of fashion. It has always been famous for its fashionista, producing some of the brightest and most stylish names",0.9529876121499999,,,,en
28,on_p50,1000,1,29,"Home/Funds/Uganda’s Diamond Trust Bank names Fatoumata Dia as CEO
The Uganda-based Diamond Trust Bank (DTB) has appointed Fatoumata Dia as its first female regional CEO.
Ms. Dia has been the",0.9529876121499999,,,,en
29,on_p50,1000,1,30,"09/15/2018 08/20/2019 by admin, in category Uncategorized.	1 Comment
By Allison Longman, PhD, CCC-SLP
An increasing amount of research is being conducted on the use of C",0.9529876121499999,,,,en
30,on_p50,1000,1,31,"A WWII vet’s legacy
A few weeks ago, my husband and I attended a VFW Ladies Auxiliary ceremony and dinner. The “Thursday Night at the VFW” is an American institution, and one that I’ve been attending since I was a",0.9529876121499999,,,,en
31,on_p50,1000,1,32,"# Thesium bakeri

Thesium bakeri är en sandtågssläktet i underfamiljen inom tågssläktet vildslingor (Thesium).

## Underarter

Arten delas in i följande underarter",0.9529876121499999,,,,en
32,on_p50,1000,1,33,"‘The Best Worst Thing’ Review: Christian Miller’s Wickedly Funny Limited Series Dissects COVID-19’s True Horrors
The HBO Max limited series premieres Friday, October 21, and stars Bella Heathcoate, Charlie Tahan,",0.9529876121499999,,,,en
33,on_p50,1000,1,34,"Home » News » Want to know the reason for your arthritis?
1 in 3 people suffer from arthritis, a condition that causes swelling, stiffness, and pain in your joints.
According to the Arthritis Foundation, there are more than ",0.9529876121499999,,,,en
34,on_p50,1000,1,35,"The Pool Is Closed For The Season. How Do I Get A Refund On My Membership?
SwimFIT memberships are non-refundable. SwimFIT offers a freeze option. If you remain on the freeze list for more than 2 months, your account will",0.9529876121499999,,,,en
35,on_p50,1000,1,36,"import os
from pathlib import Path
from setuptools import setup, find_packages
from setuptools.extension import Extension


class CppExtension(CMakeProjectExtension):
    def __init__(
        self,
        *,
        name: str,
       ",0.9529876121499999,,,,en
36,on_p50,1000,1,37,"Ricky Gervais's ""After Life""
Now that I've watched the entire second season of Ricky Gervais's After Life, I can say that the show is much better than I expected. It's certainly one of the better streaming series out there, and certainly one I would",0.9529876121499999,,,,en
37,on_p50,1000,1,38,"# Kuhlowskij mavrisch stammen

De kuhlowskij mavrisch stammen is een van de vroegste manuscripten die de geesteswetenschap behandelt. De handgeschreven werken is in de 9e eeuw in By",0.9529876121499999,,,,en
38,on_p50,1000,1,39,"# Legend of the Lone Gun

Legend of the Lone Gun is een Amerikaanse western uit 1958 onder regie van Sidney Salkow. De film is gebaseerd op het verhaal The Dark Stranger van de Engelse auteur Gerald Verner.",0.9529876121499999,,,,en
39,on_p50,1000,1,40,"Tags: ios, core-data, core-data-migration

Question: Can't unlock coredata model

So i try to unlock coredata model with this method:

Singleton.m

\begin{code}
+ (UnlockModel *)Get",0.9529876121499999,,,,en
40,on_p50,1000,1,41,"How To Dress Well – Leave L.A.
Posted on October 26, 2012 February 1, 2013 by Olivier in New Video, New Video Release
Again How To Dress Well (aka Tom Krell) shows us that his name",0.9529876121499999,,,,en
41,on_p50,1000,1,42,"The Broadway World: Interview with Detective Brokenbones
May 24, 2018 Sara Beardsall
It’s no wonder Detective Brokenbones is the star of this hilarious, spooky comedy. He’s such a larger",0.9529876121499999,,,,en
42,on_p50,1000,1,43,"# 1966–67 Division 1 (Scotland)

The 1966–67 Scottish Division One was won by Celtic who were unbeaten in the league. Dunfermline Athletic, Raith Rovers and East Stirlingshire finished",0.9529876121499999,,,,en
43,on_p50,1000,1,44,"Genealogy goes beyond just finding out how far back your family tree goes. It’s about finding out who your ancestors were, what they did, what they were like, and what they were made of.
Genealogy is also about learning where you came from, who you are, and what",0.9529876121499999,,,,en
44,on_p50,1000,1,45,"20% off at toysRus.com. Expires 06/04/2011.
Up to 50% off at ToysRus.com, expires 5/15/2011.
Save up to 50%",0.9529876121499999,,,,en
45,on_p50,1000,1,46,"Planning an event in Hamilton?
Planning an event in Hamilton, NJ can be stressful and time consuming. You know what you need to make your event a success, but you...Read morePlanning an event in Hamilton, NJ can be stressful and time consuming. You know what",0.9529876121499999,,,,en
46,on_p50,1000,1,47,"Woody Meadows
City of Woody Meadows, OK
Welcome to Woody Meadows, OK
The City of Woody Meadows, Oklahoma, is a rural farming community in Cleveland County, located near the center of the county, and about half way between Norman and New",0.9529876121499999,,,,en
47,on_p50,1000,1,48,"May 1, 2014 @ 5:05 pm By JD Alois
A new study from the Kauffman Foundation shows that the United States is the most entrepreneurial country in the world. The United States is home to 11% of the world’s start",0.9529876121499999,,,,en
48,on_p50,1000,1,49,"VIDEO: David Moyes on the brink of the sack as Man United fear another embarrassing FA Cup exit
In his sixth season in charge, Moyes has overseen just 17 wins in 68 games in the entire tournament.
Manchester United manager David Moyes could be",0.9529876121499999,,,,en
49,on_p50,1000,1,50,"Home/News/Atiku: What I’ll do with old N102m Buhari left in my account
By Atiku
Atiku: What I’ll do with old N102m Buhari left in my account
Just over N102 million is the amount",0.9529876121499999,,,,en
50,on_p50,1000,1,51,"# John J. Suarez

John J. Suarez (November 28, 1918 – November 14, 2003) was a U.S. politician. He was born in Philadelphia.

He served in the United States Army during World",0.9529876121499999,,,,en
51,on_p50,1000,1,52,"Tags: vb.net, winforms, layout, border, desktop-application

Question: How to add a border around a control in vb.net

How can we add a border around a form in vb.net, similar to what we would expect in a WinForm application?

Comment:",0.9529876121499999,,,,en
52,on_p50,1000,1,53,"it's basically a textured concrete that's made to look like stone and the reason i like it is because the fact that it's porous, makes it a good insulator, when it's properly sealed, and then you can use a lot less heating and cooling system. it",0.9529876121499999,,,,en
53,on_p50,1000,1,54,"# Calonectria pini

Calonectria pini är en svampart som först beskrevs av F. Stevens, och fick sitt nu gällande namn av Spatafora 1985. Enligt den finlandske mykologen Risto Laine sker",0.9529876121499999,,,,en
54,on_p50,1000,1,55,"by Chuck Martin | Dec 29, 1292 | In-Store | 0 comments
Cashier. That’s what you are.
You’re a luxury retailer. Your clients buy luxury products. Some even shop for luxury products, which they purchase",0.9529876121499999,,,,en
55,on_p50,1000,1,56,"2013-2014 Season Three-Peat: How hard can it be?
Nationally-ranked teams 12, 16, 18, 24, and 26 all lost.
The Clippers Might Be the Best Team",0.9529876121499999,,,,en
56,on_p50,1000,1,57,"“My mother,” I informed Kara, “is as strong as an ox.” She’s a freaking tiger, actually. I’m pretty sure she’s stronger than the ox, and she certainly outranks him.
Even though she’s never been to the gym, she",0.9529876121499999,,,,en
57,on_p50,1000,1,58,"Victoria Park, North london
Benjy is a convenience store located in London
Benjy is a convenience store located in London.
This was an interesting project to undertake. With so many different types of users, such as the elderly, the disabled and people who simply enjoy the scenery",0.9529876121499999,,,,en
58,on_p50,1000,1,59,"""This is a story about a simple man who tries to save his wife and family from poverty.""
""A story about a boy who wants to look like a man.""
""A story about a man who wants to be loved.""
""A story about a man who wants to make love.""
""",0.9529876121499999,,,,en
59,on_p50,1000,1,60,"10 Things You Need to Know About Solo Travel in London
15 Things to Know Before Your First Trip to London
Photo © iStock/Suzanne_Q
Whether you’re planning your first visit to the British capital, or you’ve been there many times before",0.9529876121499999,,,,en
60,on_p50,1000,1,61,# 広域医療保険機構静岡厚生連 医療法人 公衆保険 静岡厚生会 静岡,0.9529876121499999,,,,en
61,on_p50,1000,1,62,"ASSA ABLOY Access Control and Intrusion will be at ISC West 2019, booth 13071, April 10-12 in Las Vegas. ASSA ABLOY Access Entrance Control will be at ISC West 2",0.9529876121499999,,,,en
62,on_p50,1000,1,63,"PEOPLE’S LEGAL SERVICE INC. PEOPLE’S LEGAL SERVICE INC.
The People's Legal Services, Inc., (TLS), is a nonprofit corporation that provides free and low cost legal services to low-income and",0.9529876121499999,,,,en
63,on_p50,1000,1,64,"Savant, the global leader in ‘on-trend’ Spanish and Italian furniture, has perfected the art of furnishing the way you live. In an attempt to stay true to its sub brand that knows what’s hot, Savant recently launched a new furniture collection that is packed with all",0.9529876121499999,,,,en
64,on_p50,1000,1,65,"The Book of Mormon is a fantastic musical that will leave you in stitches, and it will be on in New York City until Feb 19, 2017. The Book of Mormon is a musical that has been around for years, and it’s a great rom",0.9529876121499999,,,,en
65,on_p50,1000,1,66,"If you are looking for a top quality online casino in the US with a large selection of casino games and a solid rewards program, then check out the Bet365 deposit bonus review below and learn about the potential advantages of claiming a bonus and the bet365 no deposit bonus.",0.9529876121499999,,,,en
