,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,20000,1,1,"El actual en el que se encuentra el país en el que ahora se está viviendo esta crisis sanitaria, una crisis que no es otra que el yon yon yon yon yon yon yon yon yon yon yon yon yon yon yon yon yon yon",0.323585327086,,,</s>,es
1,on_p50,20000,1,2,"El otro día cuando el marido de una de las organizadoras de la quedada de los potis de los blogs del bajo del del por excelencia del blog, el del potao del por excelencia del blog, el del gamelle del por excelencia del blog y el del por excelencia del blog, SL, me dijo",0.323585327086,,,</s>,es
2,on_p50,20000,1,3,"#!/usr/bin/env python

import os
import chardet
import re

def detect_utf(data):
    """"""Detect if encodings are en espacio or en en espacio""""""
    en_space = re.compile('([\u00ac\u00a6\u00ae\u00b0\u00b2\u00b3\u00",0.323585327086,,,</s>,es
3,on_p50,20000,1,4,"El Gobierno del Canadá y el de España han suscrito hoy el primer phase confirman que los dos países compartirán la mejor en el campo de la las personas que tienen el virus, y que en este en el que el virus ha con el el conste del vacuna contra el el ha con el el con el el con",0.323585327086,,,</s>,es
4,on_p50,20000,1,5, compuesto por una agradable y con y una muy con y con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con con,0.323585327086,,,</s>,es
5,on_p50,20000,1,6,"En el caso de los stents de los recién nacidos se debe en general al aortoclasse que se hace en la aorta descendente, cuyo calibre del aorta descendente en el antañ sólo tiene el 4 por ciento de la aortic calibre en el antañ, y que con el a",0.323585327086,,,</s>,es
6,on_p50,20000,1,7,"Neurocentre de la octubre 25, 2008 de la insecte y en la os en el y el animales de la el al y y el y el el y y el y el y el y el y el y el y el y el y el y el y el y el y el y el y el",0.323585327086,,,</s>,es
7,on_p50,20000,1,8,"El mundo del deporte y el del motor en general, como el del motor en particular, siempre a sus mejores aficionados. Cada año nuevo, la misma historia, con más y más incorporaciones y con menos y menos de los que, para muchos, no hay que de los que no hay que de los que no hay",0.323585327086,,,</s>,es
8,on_p50,20000,1,9,"El alcalde que más dinero a su disposición en el dosier del año 2018, el de los más de medio millón de euros en el que está el mayor de los seis dosiers del año pasado, el de los casi 690.000 euros en el que está el mayor de los dosiers del año anterior, el",0.323585327086,,,</s>,es
9,on_p50,20000,1,10,"El pasado 23 de agosto, el New York Times, en un opinion editorial de una de sus más respetable como siempre, batía en el suelo la delgada línea entre la teoría del “del del del del del del del del del del del del del del del del del del del del del del del del del",0.323585327086,,,</s>,es
10,on_p50,20000,1,11,"El presente dosier tiene por objeto el estudio de las claves de éxito en el sector del viajes y el turismo y el cómo la digitalización y el disruption en el mercado y en la relación cliente – proveedor puede suvir de herramienta de valor y de diferenciación en el sector de los viajes y el turismo.
El digital",0.323585327086,,,</s>,es
11,on_p50,20000,1,12,Las ovejas del alto del delfines de la y llamaba la y el el el el la y el el el el el el el el el el el el el el el el el el el el el el el el el el el el el el el el el el el el el el el el el el,0.323585327086,,,</s>,es
12,on_p50,20000,1,13,"Por otro lado, una de las grandes ventajas del virtualización de escritorio es que puedes instal uno en más de una máquina en el mismo machine virtual y por tanto esta una de los principales grandes ventajas que tienen la virtualización de escritorio.
También, una muy interesante de la virtualización de escritorio es que por",0.323585327086,,,</s>,es
13,on_p50,20000,1,14,"En este día de los difuntos que en esta ocasión se celebra en el tercer domingo del mes de octubre, el pasado, 2019, el pasado día 1 y el hoy, 2 de octubre de 2019, entre los difuntos que se recordarán en el más allá, y en el más acá, para siempre, todos",0.323585327086,,,</s>,es
14,on_p50,20000,1,15,Una imagen de un tapat en el mas de las gracias en el año de 1989. en el mas de las gracias el el mejor para puede comidas y sobre todo de cuando en cuando una tapat en el mas de las gracias en el el mejor para puede comidas y sobre todo de cuando en cuando una tapat en,0.323585327086,,,</s>,es
15,on_p50,20000,1,16,"“Shelters” is a 13,000-square-foot (100,000 cm²), 27,000-square-foot (250,000 cm²) and 96,000-square-foot (120,000 cm²) self-contained, multifunctional, multifamily, affordable office,",0.323585327086,,,</s>,es
16,on_p50,20000,1,17,"El miércoles, de 7:30 hasta 9:00, la Radio del Colegio tiene una nueva hora de visita guiada (en español) de una hora de duración.",0.323585327086,,,</s>,es
17,on_p50,20000,1,18,"En el webinar de esta mañana, de la mano de los expertos en el materia, el Secretario General de la UA, el Dr. Luis María de los Santos Iglesias y el Vicecanciller de México para el país anfitrión, el Dr. Pablo de los Santos, el panel de expertos en el materia,",0.323585327086,,,</s>,es
18,on_p50,20000,1,19,"Beautiful condo, impeccable. Sitting on an expansive, wooded lot, this home has not been remodeled in nearly 11 yrs. It never quedando manos on yd. Laundry room downstairs. This condo has not been on the market for a year. It has",0.323585327086,,,</s>,es
19,on_p50,20000,1,20,3. Los daños que el los otros miembros de la cuadrilla pouvait en los otros miembros de las cuadrillas del los otros en en la durante en los otras y en en en en en en en en en en en en en en en en en en en en en en en en en en en en en en en,0.323585327086,,,</s>,es
20,on_p50,20000,1,21,El granit de la conquesta de los Estados Unidos y el de las en las que los Estados Unidos de América aún hoy en día frente a la que sus ciudadano se puede en el que los ciudadanos de los Estados Unidos se puede en el que los ciudadano de los Estados Unidos se puede en el que los ciudadano de los,0.323585327086,,,</s>,es
21,on_p50,20000,1,22,"Cuando tu hijo tiene solo un an, el osciloscope de hace años y la coloración en la cabeza de un cuatro-year-old no se mezclan tan bien, así que la mejor forma de saber que el cosa que tu hijo a una alergia con el labo de el el el el el el el el el",0.323585327086,,,</s>,es
22,on_p50,20000,1,23,"El objetivo del Máster en “Data, Analytics & Digital Business” de la Universidad de las Américas Puebla, es diversificar la oferta de los estudios en el Estados Unidos y en el Latino...
El Master en “Data, Analytics & Digital Business” de la Universidad de las Américas Puebla, es diversificar la oferta de",0.323585327086,,,</s>,es
23,on_p50,20000,1,24, en el que además del R y el S y el C y el D y el N y el O y el P y el V y el Y y el W y el Y y el Y y el Y y el Y y el Y y el Y y el Y y el Y y el Y y el Y y,0.323585327086,,,</s>,es
24,on_p50,20000,1,25,"¿Los tiene y los puede ver? ¿Los tiene en el móvil? ¿Los tiene en el PC? ¿Los tiene en la papelera?
¿Los puede ver? ¿Los tienen en el móvil? ¿Los tiene en el PC? ¿Los tiene en la papelera? ¿Los tiene en otra cuenta?",0.323585327086,,,</s>,es
25,on_p50,20000,1,26,"En el caso de la escucha activa en el cual el otro está en una situación de necesidad y de fragilidad, el escucha puede y debe entonces intervenir en la situación en la cual se encuentra el otro en el preciso momenten que el otro est en o en el medio de una crisis y en una situación de fragilidad",0.323585327086,,,</s>,es
