,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,"Translate an English sentence into a target language.
English: I never get to slow down and smell the roses.""
Target Language: I never get to slow down and smell the roses.""
English: I never get to slow down and smell the roses.""
Target Language: I never get to slow down and smell the roses.""
English: I never get to slow down and smell the roses.""
Target Language: I never get to slow down and smell the roses.""
English: I never get to slow down and smell the roses.""
English: I never get to slow down and smell the roses.""
English: I never get to slow down and smell the roses.""
English: I never get to slow down",0.5425685138105,,,translation_text_iwslt2017_en_ja.pkl,ja
1,on_p50,2000,1,2,"Translate an English sentence into a target language.
English: A few. Probably about as many as there are creative people here.
Target Language: Probably about as many as there are people here who are creatives.
English: A few. Probably about as many as there are people here who are creatives.
Target Language: Probably about as many as there are people here who are creatives.
English: A few. Probably about as many as there are people here who are creatives.
Target Language: Probably about as many as there are people here who are creatives.
English: A few. Probably about as many as there are people here who are creatives.
Target Language: Probably about as many as there are people here who are creatives.
English: A few. Probably",0.5425685138105,,,translation_text_iwslt2017_en_ja.pkl,ja
2,on_p50,2000,1,3,"Translate an English sentence into a target language.
English: There was a case study done in 1960s Britain,  when they were moving from grammar schools to comprehensive schools.
Target Language: There was a case study done in 1960s Britain, when they were moving from grammar schools to comprehensive schools.
English: The case study was done in 1960s Britain.
Target Language: The case study was done in 1960s Britain.
English: The case study was done in 1960s Britain.
Target Language: The case study was done in 1960s Britain.
English: The case study was done in 1960s Britain.
Target Language: The case study was done in 1960s Britain.
English: The case study was done in 1960s Britain.
Target Language: The case study was done in 1960s Britain.
English: The case study was done in 1960s Britain.
Target Language: The",0.5425685138105,,,translation_text_iwslt2017_en_ja.pkl,ja
3,on_p50,2000,1,4,"Translate an English sentence into a target language.
English: It's been seen nearly 200 million times this year.
Target Language: It's been seen nearly 200 million times this year.
English: The number of people who have visited the site has increased by more than 200 million.
Target Language: The number of people who have visited the site has increased by more than 200 million.
English: The number of people who have visited the site has increased by more than 200 million.
Target Language: The number of people who have visited the site has increased by more than 200 million.
English: The number of people who have visited the site has increased by more than 200 million.
Target Language: The number of people who have visited the site has increased by more than 200 million.
English",0.5425685138105,,,translation_text_iwslt2017_en_ja.pkl,ja
4,on_p50,2000,1,5,"Translate an English sentence into a target language.
English: We were told afterward that if that had gone through normal channels,  it would have taken at least two years  and it would have cost about two million dollars.
Target Language: We were told afterward that if that had gone through normal channels, it would have taken at least two years and it would have cost about two million dollars.
English: We were told afterward that if that had gone through normal channels, it would have taken at least two years and it would have cost about two million dollars.
Target Language: We were told afterward that if that had gone through normal channels, it would have taken at least two years and it would have cost about two million dollars.
English: We were told afterward that if that had gone through normal channels, it would have taken at least two years and it would",0.5425685138105,,,translation_text_iwslt2017_en_ja.pkl,ja
5,on_p50,2000,1,6,"Translate an English sentence into a target language.
English: I became enamored of the power of evolution,  and I realized something very fundamental:  in most of the existence of life  in single-celled organisms,  each cell simply divides,  and all of the genetic energy of that cell  is carried on in both daughter cells.
Target Language:
I became enamored of the power of evolution, and I realized something very fundamental:  in most of the existence of life in single-celled organisms, each cell simply divides, and all of the genetic energy of that cell is carried on in both daughter cells.
The translation is not so easy. The first sentence is a little difficult to understand. The second sentence is also difficult to understand. The translation is not so easy. The first sentence is a little difficult to understand. The second sentence is also difficult to understand. The translation is not so easy. The first sentence is a little difficult to understand. The second sentence is also",0.5425685138105,,,translation_text_iwslt2017_en_ja.pkl,ja
6,on_p50,2000,1,7,"Translate an English sentence into a target language.
English: And I studied in my little garret  at the nurses' residence at Toronto General Hospital,  not far from here.
Target Language: I studied in my little garret at the nurses' residence at Toronto General Hospital, not far from here.
English: And I studied in my little garret at the nurses' residence at Toronto General Hospital, not far from here.
Target Language: I studied in my little garret at the nurses' residence at Toronto General Hospital, not far from here.
English: And I studied in my little garret at the nurses' residence at Toronto General Hospital, not far from here.
Target Language: I studied in my little garret at the nurses' residence at Toronto General Hospital, not far from here.
English: And I studied in",0.5425685138105,,,translation_text_iwslt2017_en_ja.pkl,ja
7,on_p50,2000,1,8,"Translate an English sentence into a target language.
English: Another flash alerts you to an open receiver.
Target Language: Another flash alerts you to an open receiver.
English: The door is open.
Target Language: The door is open.
English: The door is open.
English: The door is open.
English: The door is open.
English: The door is open.
English: The door is open.
English: The door is open.
English: The door is open.
English: The door is open.
English: The door is open.
English: The door is open.
English: The door is open.
English: The door is open.
English: The door is open.
English: The door is open.
English: The door is",0.5425685138105,,,translation_text_iwslt2017_en_ja.pkl,ja
8,on_p50,2000,1,9,"Translate an English sentence into a target language.
English: It's about time. Thank you.
Target Language: It's about time. Thank you.
English: It's about time. Thank you.
Target Language: It's about time. Thank you.
English: It's about time. Thank you.
Target Language: It's about time. Thank you.
English: It's about time. Thank you.
Target Language: It's about time. Thank you.
English: It's about time. Thank you.
Target Language: It's about time. Thank you.
English: It's about time. Thank you.
Target Language: It's about time. Thank you.
English: It's about time. Thank you.
Target Language: It's about time. Thank you.
English: It's about time. Thank",0.5425685138105,,,translation_text_iwslt2017_en_ja.pkl,ja
9,on_p50,2000,1,10,"Translate an English sentence into a target language.
English: Then if you drive over the road, you take out the aggregates --  what we just saw here.
Target Language: Then if you drive over the road, you take out the aggregates --  what we just saw here.
English: Then if you drive over the road, you take out the aggregates --  what we just saw here.
Target Language: Then if you drive over the road, you take out the aggregates --  what we just saw here.
English: Then if you drive over the road, you take out the aggregates --  what we just saw here.
Target Language: Then if you drive over the road, you take out the aggregates --  what we just saw here.
English: Then if you drive over the",0.5425685138105,,,translation_text_iwslt2017_en_ja.pkl,ja
10,on_p50,2000,1,11,"Translate an English sentence into a target language.
English: Raise your hand if you're in your 20s.
Target Language: Japanese
English: What are you doing in your 20s?
Target Language: Japanese
English: What are you doing in your 20s?
Target Language: Japanese
English: What are you doing in your 20s?
Target Language: Japanese
English: What are you doing in your 20s?
Target Language: Japanese
English: What are you doing in your 20s?
Target Language: Japanese
English: What are you doing in your 20s?
Target Language: Japanese
English: What are you doing in your 20s?
Target Language: Japanese
English: What are you doing in your 20s?
Target Language:",0.5425685138105,,,translation_text_iwslt2017_en_ja.pkl,ja
11,on_p50,2000,1,12,"Translate an English sentence into a target language.
English: And the first project  is something we did a couple of years ago in Zaragoza, Spain.
Target Language:  The first project is something we did a couple of years ago in Zaragoza, Spain.
English:  The first project is something we did a couple of years ago in Zaragoza, Spain.
Target Language:  The first project is something we did a couple of years ago in Zaragoza, Spain.
English:  The first project is something we did a couple of years ago in Zaragoza, Spain.
Target Language:  The first project is something we did a couple of years ago in Zaragoza, Spain.
English:  The first project is something we did a couple of years ago in Zaragoza, Spain.
Target Language:  The first project is",0.5425685138105,,,translation_text_iwslt2017_en_ja.pkl,ja
12,on_p50,2000,1,13,"Translate an English sentence into a target language.
English: And they're both accurate. Okay, but in addition,  voice-based tests are non-expert.
Target Language: They are both accurate. But in addition, they are not expert.
English: And they're both accurate. But in addition, they are not expert.
Target Language: They are both accurate. But in addition, they are not expert.
English: And they're both accurate. But in addition, they are not expert.
Target Language: They are both accurate. But in addition, they are not expert.
English: And they're both accurate. But in addition, they are not expert.
Target Language: They are both accurate. But in addition, they are not expert.
English: And they're both accurate. But in addition, they are not expert",0.5425685138105,,,translation_text_iwslt2017_en_ja.pkl,ja
13,on_p50,2000,1,14,"Translate an English sentence into a target language.
English: There's never been a time like this.
Target Language: There never was a time like this.
English: I want to buy a new car.
Target Language: I want to buy a new car.
English: I want to buy a new car.
Target Language: I want to buy a new car.
English: I want to buy a new car.
Target Language: I want to buy a new car.
English: I want to buy a new car.
Target Language: I want to buy a new car.
English: I want to buy a new car.
Target Language: I want to buy a new car.
English: I want to buy a new car.
Target Language: I want",0.5425685138105,,,translation_text_iwslt2017_en_ja.pkl,ja
14,on_p50,2000,1,15,"Translate an English sentence into a target language.
English: And we also saw that they are very professionally engineered  by people who obviously had all insider information.
Target Language: We also saw that they are very professionally engineered by people who obviously had all insider information.
English: And we also saw that they are very professionally engineered by people who obviously had all insider information.
Target Language: We also saw that they are very professionally engineered by people who obviously had all insider information.
English: And we also saw that they are very professionally engineered by people who obviously had all insider information.
Target Language: We also saw that they are very professionally engineered by people who obviously had all insider information.
English: And we also saw that they are very profession",0.5425685138105,,,translation_text_iwslt2017_en_ja.pkl,ja
