,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"El proyecto de la biblioteca busca crear un espacio social y cultural de encuentro para los vecinos de Puebla, que apoye y desarrolle actividades sobre sus comunidades y su patrimonio, ofreciendo servicios educativos y culturales que fomenten la identidad y aporte a la vida comunitaria.
La biblioteca tendrá un espacio de extensión comunitaria y un legado al espíritu",0.089926809945,,,</s>,en
1,on_p50,1000,1,2,"/* This file is part of the KDE project
   Copyright (C) 2003 Ariya Hidayat <ariya@kde.org>

   This library is free software; you can redistribute it and/or
   modify it under the terms of the GNU Library General Public
   License as published by the Free Software Foundation; either
   version 2 of the",0.089926809945,,,</s>,en
2,on_p50,1000,1,3,"Love is a thing that can even harm humans, not to mention animals. It’s a reminder of the God that created everything from the very beginning and then sent His own Son to die for the sins of the world.
We've all heard about the dangers of dating, but you probably haven't tried to date yourself. Let’s face",0.089926809945,,,</s>,en
3,on_p50,1000,1,4,"TOMATE: Tomatoes vary widely in color, size and shape. The variety and color of the tomato will be key factors in how well it ripens. Also, the taste, quality and thickness of the tomato will all play a major role in the quality of the sauce.
_ This is a dark green tomato",0.089926809945,,,</s>,en
4,on_p50,1000,1,5,"3 Temas: Justiça do Trabalho, Seguridade Social, Trânsito e Transportes, Trânsito e Segurança Pública, Trânsito e Segurança Pública, Trânsito e Segurança Pública
O Instituto de Referência em Gestão Estratégica de Transporte – GERTRANS foi criado em dezembro de 2011, como consequência da temática supracitada, que",0.089926809945,,,</s>,en
5,on_p50,1000,1,6,"Q:

Verifying the type of a method parameter with reflection

I am trying to implement the following method...
// Registration of a MethodBase
public static void Register(string name, MethodBase method, Type[] parameterTypes)

I am having a problem with reflection, I am not sure how to do this. How",0.089926809945,,,</s>,en
6,on_p50,1000,1,7,"Neuromorphisms
Neurologic disorders affect the brain and cause dysfunction such as stroke, spinal cord injury, epilepsy, and dementia (Braak and Braak 1989; Braak et al. 1991; Bell et al. 1993; Crone et al. 1997; Gaillard et al. 2005; Pocock",0.089926809945,,,</s>,en
7,on_p50,1000,1,8,"A nível de descrição, caso o imóvel já esteja listado como usado, encontram-se separados por dois campos:",0.089926809945,,,</s>,en
8,on_p50,1000,1,9,"The two queens have a right to be.
But they won't fight.
They'll pay this price for what they did.
Now, I know you hate it, but give me the keys to the mountains.
- Any way you want.
- Not the way I want.
I want to know why you did it.
",0.089926809945,,,</s>,en
9,on_p50,1000,1,10,"The human genome is extremely complex and is made up of two different types of DNA, one of which is called the ‘intron’. Introns are segments of DNA on one strand of the genome. Introns are extremely useful as they help in the establishment of the mRNA structure as well as the tRNA structure. However",0.089926809945,,,</s>,en
10,on_p50,1000,1,11,Showing 5 out of a total of 5 results for collection: Political Community. News Items. Items are sorted by date.,0.089926809945,,,</s>,en
11,on_p50,1000,1,12,"A garbage truck came at this point, and when a man was cleaning his bike, the truck stopped them, but he was already being unloaded for the next garbage truck. After checking him out, he started to go away, but they stopped it again. Then another truck came and the man was doing more damage with",0.089926809945,,,</s>,en
12,on_p50,1000,1,13,"Por todo esto establecemos una dirección de correo electrónico para que pueda compartir su información con nosotros. Usted tiene derecho a recibir confirmación de que su información se utiliza por parte del parque de un niño que usted envía, la finalidad y detalles para la que se utilizó y también usted tiene derecho de restringir este uso si ese es su",0.089926809945,,,</s>,en
13,on_p50,1000,1,14,"Exactly. This definition is stated very clearly in the BMA’s new SOSP Art. 16.03. If, however, you are not covered under BMA’s protection, you can refer to Art. 16.05 which provides further details of the rules for a BMA insured individual.",0.089926809945,,,</s>,en
14,on_p50,1000,1,15,"Q:

Find the sum over the elements of the left hand side of equation in the right hand side

Find the sum over the elements of the left hand side of equation in the right hand side
$$\frac{d}{dx}\int_0^{1} \frac{d}{dx}\cdot\left(\frac{d}{dx}\right)^{p",0.089926809945,,,</s>,en
15,on_p50,1000,1,16,"Introduction
The first known publication of the largest and deepest ocean vent in the world is from the Eastern North Pacific (SNAP). It is located at a depth of 3.5 km near New Zealand's North Island, at a latitude of 45°50'S, longitude 115°59'E, and 5-10°",0.089926809945,,,</s>,en
16,on_p50,1000,1,17,"The single front view scene of this postcard was taken from a nice print of a postcard from the (Arizona) William G. McLaughlin collection, as part of the “Wild Life to the Carpet” exhibit at the Arizona State University Museum of Natural History, Ariz., in Tucson,",0.089926809945,,,</s>,en
17,on_p50,1000,1,18,"#!/usr/bin/env python
# This script fits three obtained synthetic seismograms via the deconvolution operator
# in python. This process is based on the SPP algorithm in the SAR package (Masiero et al.,
# 1999). It can be used to fit synthetics for cross sections as well as for
#",0.089926809945,,,</s>,en
18,on_p50,1000,1,19,"Beautiful Location near the beach, small town with stores, restaurants and local shops. 45 min to the beautiful island of Bra Por, 15 min to the beautiful island of Gozo, 20 min to the beautiful island of Malta. 45 min to the beautiful island Pula, 45 min to the beautiful island of Lido",0.089926809945,,,</s>,en
19,on_p50,1000,1,20,"The information presented on this page is about the nearest Acacia Residence near Wollongong. We have found 82 registered providers in the area near Wollongong who can help you.
I think I will be reading this book again. I’ve read it before, but when I was younger I didn’t love it.",0.089926809945,,,</s>,en
20,on_p50,1000,1,21,"Q:

Should I format my SQL queries in order to avoid name collisions?

I am wondering is there a rule that states that I should only use one name in a SQL query. Or is it better to have a set of rules that I should follow to avoid name collisions? 
Example:
select * from TableA where (",0.089926809945,,,</s>,en
21,on_p50,1000,1,22,"/*
 *  Armadillo Workflow Platform v1.0
 *  A simple pipeline system for phylogenetic analysis
 *  
 *  Copyright (C) 2009-2013  Etienne Lord, Mickael Leclercq
 *
 *  This program is free software: you can redistribute it and/or modify
 *  it",0.089926809945,,,</s>,en
22,on_p50,1000,1,23,"第四步，实施。管理者通过审核往往看到了一些令人心碎的数字。如果你发起了一个活动后，发现只有不到2%的参与者的投票结果符合“宣布每个帖子必须在每个帖子发布后在帖子上显示”这个指标，那么，也许你更有机会取得一些进步。
第五步，集中焦点",0.089926809945,,,</s>,en
23,on_p50,1000,1,24,"The present invention refers to an airlock having a controllable valve mechanism, which is designed to be installed in one or more airlocks. Airlocks are particularly used for storing water intended for domestic or industrial purposes, such as drinking water or for ventilation purposes. Airlocks are widely used for such purposes because",0.089926809945,,,</s>,en
24,on_p50,1000,1,25,"Persuadidos de que a oferta seria legítima, o desembargador federal José Carlos Dias Dias atendeu à representação apresentada pelo Ministério Público Federal e determinou que o fundo garantia garantia de crédito seja encerrado definitivamente ou removido dos registros do Sistema de Informações de Operações de Crédito (Serpro) até que o",0.089926809945,,,</s>,en
25,on_p50,1000,1,26,"Both systems were intended to provide local transmission lines to support the MTSB, although the projects were intended to fit within the boundaries of the existing municipal system, with the intention of increasing its capacity. The project associated with this was the transmission line from the city of Foz do Iguaçu to the city of Mar",0.089926809945,,,</s>,en
26,on_p50,1000,1,27,"In addition to the 4 separate acting companies, this theater boasts a 10,000-seat stage and 11 intimate seating areas. Whether you are entertaining 100 people or 2400, the saloon will be ready to host your event. The venue is also equipped with 8,000-seat, indoor and outdoor",0.089926809945,,,</s>,en
27,on_p50,1000,1,28,"There is no doubt that we are entering an unprecedented period of unprecedented challenges to the health, safety and wellbeing of students and workers, and we will all need to work together to protect and defend the health of all. This is a period where we need a team with a great deal of flexibility, which is not easy",0.089926809945,,,</s>,en
28,on_p50,1000,1,29,PHP存储过程主要的工作就是执行程序，执行过程一般有两种：一次性输入型（一次输入）、一次性过程型（一次输入+生成）。一次性输入型系统与一般程序相似，在程序运行之前需要输入参数。即变量和参数定义完毕后，程序仅能执行一次（部分,0.089926809945,,,</s>,en
29,on_p50,1000,1,30,"/*
 * This file is part of Matter Overdrive
 * See Documentation/Templates/license.txt for license information.
 *
 * Copyright 2015, 2016 The Matter Overdrive Development Team
 *
 * Copyright 2015, 2016 Wolfgang Christian
 * Copyright 2016, 2017 Alexander Herzele
 * Copyright 2017 Paul As",0.089926809945,,,</s>,en
30,on_p50,1000,1,31,"There’s another side to the story. That comes from an earlier article in this year’s issue of the Granada journal, “The Academy’s proposed organizational structure, and the political changes that have taken place in recent years, are significant, as concerns have been voiced about its effectiveness in the fight against corruption and the professionalization",0.089926809945,,,</s>,en
31,on_p50,1000,1,32,"Antenna, probe and other control configurations are used to increase the effectiveness of a cellular communication system. Several different antenna configurations, including conventional and satellite antennas, are known in the market. These configurations may be mounted to a vehicle to provide enhanced coverage in dense urban areas. Mobile communication systems may be used in",0.089926809945,,,</s>,en
32,on_p50,1000,1,33,"Charles Ellis has stood up for gay rights in past on national television. Ellis said he is now focused on bringing some of the power of the gay community back into the United States.
“I think we have to do a better job in the United States,” Ellis said. “I think we have to do a better job encouraging",0.089926809945,,,</s>,en
33,on_p50,1000,1,34,"We’ve moved to the age of broadband photography and video. The majority of our clients are using this predominantly because of the low price, but most of the time they are using this for wider purposes like stock footage, promotions, commercials, event clips and for web or social media. So far, our standard lenses",0.089926809945,,,</s>,en
34,on_p50,1000,1,35,"Q:

Preventing a timer from running when loading an image

I'm loading a simple image onto my page and have an image that should only be loaded on certain times.
I have a timer running - so the page will only load it when it meets certain criteria.
I'm trying to prevent the timer from hitting the image when",0.089926809945,,,</s>,en
35,on_p50,1000,1,36,"Esta iglesia, situada en el centro de la ciudad y que cuenta con más de 300 años de antigüedad, comenzó su construcción en 1567 y hoy en día es la sede del municipio y de la catedral parroquial.
En realidad, el nombre de la localidad proviene de la traducción latina de la palabra rusa «kriushk",0.089926809945,,,</s>,en
36,on_p50,1000,1,37,"//------------------------------------------------------------------------------
// <auto-generated>
//     This code was generated by a tool.
//     Runtime Version:4.0.30319.42000
//
//     Changes to this file may cause incorrect behavior and will be lost if
//     the code is regenerated.
// </auto-generated>",0.089926809945,,,</s>,en
37,on_p50,1000,1,38,"In a similar study, a group of participants with low and high distress were exposed to a visual emotional stimulus that was publicly viewed. Unbeknownst to the participant, the stimulus was placed on an electronic shelf and was continually being edited by a computer program which displayed the emotional stimuli in an artificially generated manner. The",0.089926809945,,,</s>,en
38,on_p50,1000,1,39,"Now, it is quite a common practice to do just that with all the gadgets which we own in the house one cannot forget to keep it under the table. Also, it is often the case that, we don’t want to mess up the table, but we have to make it look good. Having a tablecl",0.089926809945,,,</s>,en
39,on_p50,1000,1,40,"A partir desta terça-feira, 1º de dezembro, a Área de Informações de Transporte Metropolitano (AITM) estará aberta a todos os usuários do sistema de transporte coletivo da Região Metropolitana de Curitiba (RMC). O novo sistema de integração entre linhas de ônibus e de metrÔ passa a operar com base nas informações disponibilizadas",0.089926809945,,,</s>,en
