,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,今天小编就给大家带来女星张俪的话题，因为张俪已经40岁了，所以选择穿搭的很多都比较保守，基本都是穿裤装，很少穿短裙来展示自己的身材。于是张俪就一直被大家说太保守丰胸，胸部太小，,0.09020288397899999,,,</s>,zh
1,on_p50,1000,1,2,《妙对神医蛮妻》是一本属于都市言情类小说，作者是妖娆妖娆。小说主要讲述了女主角莫凌从出生开始就饱受父母亲的关爱和疼爱，从小就是别人眼中的乖巧小公主，直到长大之后，与自己的父亲莫,0.09020288397899999,,,</s>,zh
2,on_p50,1000,1,3,"六一儿童节儿童节是中国的传统节日,每年的6月1日这一天都要庆祝这个节日,我每年的儿童节都要为我的儿子买一个礼物,我和他爸爸商量过后,决定给他买一个电脑。 当时,我也在想,难道我的儿子非要买电脑不可吗？ 这个时候,小",0.09020288397899999,,,</s>,zh
3,on_p50,1000,1,4,12月5日，太原大唐国际无法控制4000人涌入景区，导致景区内的3条线路瘫痪，整个景区陷入拥堵状态。直到第二天才得以恢复。景区管理人员称，事发当天太原大唐国际停电，景区临时决定关闭，一共关闭了2个多小时。,0.09020288397899999,,,</s>,zh
4,on_p50,1000,1,5,3. Yolanda培根、冯志华教授、刘国辉教授代表本学部向“论坛”颁发序牌。4.陈耀星院士致欢迎辞。5.朱立新院士致辞。6.王健教授致辞。7.周景彤教授致辞。8,0.09020288397899999,,,</s>,zh
5,on_p50,1000,1,6,在對隱現性皮膚進入人體時保護皮膚的能力，這是皮膚對皮膚的一種自我保護過程，該過程持續至今尚未被確定，但有發現說皮膚對皮膚皮膚內並未這個過程，這表示啟動保護醫單位。因此，將皮膚對皮膚內持續上層細胞處理產生保護現象,0.09020288397899999,,,</s>,zh
6,on_p50,1000,1,7,N(t) =3.7×10²/3.6×10²/××××××××××××××××××××××××××××××××××××××××××××（4）确定电池,0.09020288397899999,,,</s>,zh
7,on_p50,1000,1,8,喜、怒、哀、乐是健全人最自然的控制情绪的正常反应，是保持心理健康的必要条件。然而，一旦情绪加强，就会在人体内产生一种乳酸，在体内分解后，造成毒素的积累，这也就是为什么在人们生气时，喝一杯茶可以降低肝脏的,0.09020288397899999,,,</s>,zh
8,on_p50,1000,1,9,“如果 que她”（如果她）早期被诊断出患有间质性肺炎，那她将进行大量的感染控制措施并在家里休息。如果她的治疗效果不佳，她将在家中进行2至3次呼吸机支持，并可能在其生命的最后几个小时进行气管切开，”费尔南德斯说,0.09020288397899999,,,</s>,zh
9,on_p50,1000,1,10,你以前常常聽我們講到「開悟」，卻從來沒聽過「開悟」這一個字，這一個字，我們把這個字當成是 Alavés 搞錯可能會「離經叛道」的話，這個，其實這個詞，其實在這個經文來講，當然會,0.09020288397899999,,,</s>,zh
10,on_p50,1000,1,11,欧姆龙（OMRON）集团（上市编号：3038.HK），是香港电子产品制造巨头。公司多年来一直专注于中高端消费产品，其技术代表着世界先进水平。欧姆龙（OMRON）集团由香港上市公司欧姆龙电子（股票代码：OMR,0.09020288397899999,,,</s>,zh
11,on_p50,1000,1,12,A台“检视”6档电视台，发现其片长都低于26分钟，且以“专题纪录片”及“综艺节目”为主。台当局领导人蔡英文，日前在选前之夜，以立院党团为公器，宣称要提高“电视文化”。开嗌说，,0.09020288397899999,,,</s>,zh
12,on_p50,1000,1,13,据了解，2017年12月7日，我区举行2018年“清风苑”城市牛皮癣防治知识竞赛活动，来自全区22个镇（街道）、3个社区应邀参加，赛程分为预赛和决赛两个阶段。预赛由各镇（街道）分别负责，决赛由区卫,0.09020288397899999,,,</s>,zh
13,on_p50,1000,1,14,"我们都知道在语文试卷中,有一道非常经典的文言文阅读题,题目叫做《送东阳马生序》,它是以""劝学""为题,要求考生联系自己的成长经历和对学习的理解,以一定的语境来回答问题,写一篇文章。试题难度不大",0.09020288397899999,,,</s>,zh
14,on_p50,1000,1,15,三翼虫，也称鸟翼虫、翼虫，特指翅膀上的翼。翼虫是许多动物中最大，最漂亮的身体器官。它在空中飞行的时候，它的翅膀总是展开的，翅膀可以变成两个翅膀来卷起空气，或者像鱼儿一样约缩成一张小小的翅膀,0.09020288397899999,,,</s>,zh
15,on_p50,1000,1,16,"“Shillings” is a small, flat, plastic (small) box made of corrugated board, with a round top. This box is used by the tea行业玩家(零售商) to store small, loose, or ground, single-shot, “green”, or “blue” loose leaf",0.09020288397899999,,,</s>,zh
16,on_p50,1000,1,17,"-Không, em là em gái của anh, Mai, anh không thể cho phép em có cảm giác (Em gái) của anh. Cô gái của anh có thể gặp, nhưng anh không.
-Si em muốn, cô ấy sẽ có một cái gì đó trong trái tim của anh, nhưng dù sao cũng là",0.09020288397899999,,,</s>,zh
17,on_p50,1000,1,18,"#!/usr/bin/env python
# This script fits three obtained data sets--one for each of the 缞 Blue树种，高山和沙漠，也把它们分别代表不同的海拔。从这个数据集生成MCMC树模型，之后执行交叉验证和终生验证，并输出模型的识别能力。这个过程",0.09020288397899999,,,</s>,zh
18,on_p50,1000,1,19,采购产品一应俱全，这款杭州智能垃圾桶做到了自动投放和存储的功能，一次投放后能够自动存储30个小时，停放时自动开启垃圾收集功能，保证了垃圾的及时回收，也不影响城市环境卫生。此外，这款垃圾桶还配备有4个门，可随心,0.09020288397899999,,,</s>,zh
19,on_p50,1000,1,20,此后，双方围绕石英砂的提取、加工、回收等环节的知识产权、技术问题，开展了全面深入的交流与合作，并达成初步合作意向。目前，双方在石英砂提取、加工、回收环节的知识产权、技术问题、未来合作方向等内容已经形成初步共识，并将,0.09020288397899999,,,</s>,zh
20,on_p50,1000,1,21,《3d立体车库(绝密版)》内容简介：TA00章——立体车库_1。《3d立体车库(绝密版)》内容简介：TA00章——立体车库_1。第1章 立体车库的起源 2第2章 立体车库的分类 4第3章 ,0.09020288397899999,,,</s>,zh
21,on_p50,1000,1,22,在金庸先生笔下，武功最厉害的“五绝”，其中“独孤求败”无疑是代表人物。“独孤求败”，独孤氏家族后人，复姓，字伯言，字逊之，号大愚，师从张三丰，为武当,0.09020288397899999,,,</s>,zh
22,on_p50,1000,1,23,第四步，实施。管理者要通过全球电话营销平台，把智能电话营销的发起者、管理者、营销专员等不同角色的信息进行归类整理，每个角色都需要清楚自己的功能有哪些，彼此之间的职责是什么。比如发起者就要清楚自己发起电话营销的目的是什么，是用于促销售,0.09020288397899999,,,</s>,zh
23,on_p50,1000,1,24,"﻿火车票大抢票,""抢票神器""会否重现？ 资料图(图片来源:摄图网) 12月19日,济南铁路局官方微信""济南铁路局""发文称,近期铁路部门针对暑运客流的特点,对客流高峰时期出现的旅客""抢票神",0.09020288397899999,,,</s>,zh
24,on_p50,1000,1,25,"《上海日报》之《大风所吹》是上海日报(原《申报》)1993年9月24日星期二刊登的一篇文章。 文章介绍,当时上海刚刚开始实施新一轮的经济发展计划。上海市长宋庆龄、上海市副市长陆维夫都出席了上海城市总体规划的论证会并作重要",0.09020288397899999,,,</s>,zh
25,on_p50,1000,1,26,《特种兵之师》是北京极乐文化传媒有限公司出品，蔡勇执导的3D军事电影，由马晓晴、高伟超、彭立冬、张峻峰、张铭恩等主演。该片讲述了陆鸣、叶静等特种兵对特种部队生活与训练的真实,0.09020288397899999,,,</s>,zh
26,on_p50,1000,1,27,"冬至已过,杭州天气逐渐变冷,近日,浙江杭州再次迎来大范围冷空气,多个气象部门对节后气温做了提醒,大家需要关注节后气温的变化。 气象预报显示,节后两天,""冷空气""活动频繁,预计: 13日,冷空气影响",0.09020288397899999,,,</s>,zh
27,on_p50,1000,1,28,《鸟有多美》内容简介：鸟，是人类最好的朋友。这本《鸟有多美》讲述了从树上看鸟，从鸟蛋看鸟，从鸟鸣看鸟，从鸟与人类生活的关系看鸟，从鸟与人类社会的关联看鸟，从鸟与土地、气候的关系,0.09020288397899999,,,</s>,zh
28,on_p50,1000,1,29,PHP存储过程主要的工作就是执行程序，执行过程一般有两种：一次性输入（一次读取的数据）、一次性写入（一次写入的数据）。还可以根据需求定制程序，与数据库连接起来，在数据库中查询出结果，保存到变量中。,0.09020288397899999,,,</s>,zh
29,on_p50,1000,1,30,胶带剪切好以后，将胶带的中央剪切成大约均匀的长度。同样需要将胶带的两端都剪成同样长度。 胶带之画法 剪胶带有四个步骤: 第一步，先修剪胶带边缘500px左右，保留一部分胶带边缘。,0.09020288397899999,,,</s>,zh
30,on_p50,1000,1,31,“我們這屆團隊參加這三個國際賽事已經有兩年時間了，這屆他們已經從復赛Checked在銅牌地帶進入决赛，賽程積累下來他們已經從復赛開始一個半月時間，已經從決賽當中走出來了，這兩年他們已經是兩個全國冠軍，我們,0.09020288397899999,,,</s>,zh
31,on_p50,1000,1,32,全民抗战（国语版）演唱：郑秀文 钟欣桐 郑伊健作词：周华健 作曲：周华健 编曲：胡鸿钧 监制：胡鸿钧 唱片公司：华纳唱片 发行时间：2011年。全民抗战 （国语版）简介 郑秀文,0.09020288397899999,,,</s>,zh
32,on_p50,1000,1,33,Charlesinox，世界著名的瑞士钟表制造商，于1906年在瑞士创立，位于日内瓦，主要生产运动计时仪器，产品深受众多运动爱好者的喜爱。Charlesinox公司于1990年进入中国内地，并于天猫店开设了官方旗舰店，包括手表、配饰、保健品在内的产品在平台上,0.09020288397899999,,,</s>,zh
33,on_p50,1000,1,34,"- Ah, “Íntimamente”...oh, “Simplesmente”...não, “Perfectamente”... porque estamos a entrar numa fase...de “Perfectamente” que não pode ser interrompida.",0.09020288397899999,,,</s>,zh
34,on_p50,1000,1,35,《有句话想说》是由中国网监局审批的免费公益视频，是一部具有浓郁的公益气息极具社会责任感的视频。《有句话想说》旨在发扬中国传统文化，美化网络世界，传播正能量，为和谐社会建设贡献力量。日前，央视《新闻,0.09020288397899999,,,</s>,zh
