,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"El actual entrenador de los Bulls es un entrenador técnico y táctico, que sabe qué hacer y lo hace, con resultados, lo cual es un logro en este momento de la NBA. Pero, ha sido difícil. Los Bulls están en el puesto 20 de la División Central de la Conferencia Este, y un legado de la",0.84524777035,,,</s>,en
1,on_p50,1000,1,2,"/*
 * Copyright (c) 2015, Oracle and/or its affiliates. All rights reserved.
 * DO NOT ALTER OR REMOVE COPYRIGHT NOTICES OR THIS FILE HEADER.
 *
 * This code is free software; you can redistribute it and/or modify it
 * under the terms of the GNU General Public License version 2 only, as",0.84524777035,,,</s>,en
2,on_p50,1000,1,3,"#!/usr/bin/env python

import os
import sys
import getopt

from glob import glob
from tempfile import mkdtemp
from string import ascii_letters

try:
    from PyQt4 import QtCore, QtGui
except ImportError:
    from PyQt5 import QtCore, QtGui


def find_",0.84524777035,,,</s>,en
3,on_p50,1000,1,4,"TOMATE: Encuentra la versatilidad del tomate en las lentejas. El tomate es un alimento que contiene mucha agua, vitamina C y es alto en fibra. En esta receta, la acelga es la estación perfecta.
DESPUES DE LLEGAR A LA CELEBRIDAD: Quince",0.84524777035,,,</s>,en
4,on_p50,1000,1,5,"3. If the game is over and the break has been called, the first team to not fall behind the specified number of points wins the game.",0.84524777035,,,</s>,en
5,on_p50,1000,1,6,"Q:

Verifying if the following sequence is periodic or not

I have the following sequence and I want to know if this sequence is periodic or not, that is, given that $0\le t<1$ can we say that the sequence $(f(n))_{n=0}^{\infty}$ has a period of length $1$",0.84524777035,,,</s>,en
6,on_p50,1000,1,7,"Neuromorphisms have received much attention in the context of graph theory and such applications as computational complexity and design theory. The standard tool for the study of neuromorphic circuit design is the evolutionary algorithm (EA) on graphs. However, little is known about the algorithmic properties of such algorithms on the more natural and important class",0.84524777035,,,</s>,en
7,on_p50,1000,1,8,A larger than expected team of doctors and nurses from across England and the NHS will be on hand if needed.,0.84524777035,,,</s>,en
8,on_p50,1000,1,9,"The two queens and a single black and white cockatoo live in a small village. The two queens fight each other to see who will get the best pollination for the black and white cockatoo. Which will they pollinate?
The two queens and a single black and white cockato",0.84524777035,,,</s>,en
9,on_p50,1000,1,10,"Introduction
Devised more than one hundred years ago by the French physicist R. Hermann, the adiabatic process formally is nothing but a transformation τ q (x, τ ) which leaves the phase space point {Q, P } invariant under the flow and also requires the divergence of the Lagrangian L q",0.84524777035,,,</s>,en
10,on_p50,1000,1,11,"Showing videos about the drug and alcohol rehabilitation centers in Washington, D.C. that are located within 25 miles
We are one of the leading alcohol addiction treatment centers in Washington, D.C. and provide a range of therapeutic and support services for clients with alcohol use disorders. We have a strong reputation for helping",0.84524777035,,,</s>,en
11,on_p50,1000,1,12,"A partir del lunes, 13 de enero, os estaréis viendo en la plataforma de Skype el primer día del curso. No olvidéis que dispondréis de tres días de margen (hasta el jueves 15 de enero) para descargar vuestro trabajo final.",0.84524777035,,,</s>,en
12,on_p50,1000,1,13,"Por todo esto y por más, se convoca a los señores vecinos de la localidad a participar del Día de la Tradición que se desarrollará en la plaza Juan B. Justo desde las 9 horas del sábado.
El evento concluirá con el encendido de la llama del tradicional Pabellón de Nuevocanelo y la",0.84524777035,,,</s>,en
13,on_p50,1000,1,14,"Exactement! Je conseille ce livre en tant qu’outil de travail pour SOSP ou en lecture de grand retour au bureau. Je recommande aussi les podcasts!
J’ai lu avec attention cette histoire, et je ne peux que vous la recommander aux plus sensibles mais aussi aux plus curieux.",0.84524777035,,,</s>,en
14,on_p50,1000,1,15,"Q:

How to pass an integer to a method in Java?

I have the following method:
public static ArrayList<Integer> getIntArray(int start, int end) {
    ArrayList<Integer> result = new ArrayList<>();

    for (int i = start; i < end; i++) {
        result.add(i)",0.84524777035,,,</s>,en
15,on_p50,1000,1,16,"Introduction
The first known clinical use of the term myasthenia gravis (MG) was by a physician of the eighteenth century, namely a physician by the name of Desmus (1726 Desmus ( -1780 who wrote a textbook on the treatment of various diseases and disorders of the respiratory and digestive",0.84524777035,,,</s>,en
16,on_p50,1000,1,17,電話接通後，她走起來很緩慢，在路上走著，也想著她的兒子 (丈夫失蹤了，他們已經離婚了)。當她走到最靠近高速公路的地方時，她看到一個女人站在路邊，身體僵硬，手勢很僵硬。她走近一點，並在,0.84524777035,,,</s>,en
17,on_p50,1000,1,18,"#!/usr/bin/env python
# This script is for creating a Postgres database and collection when I first ran this script, but it now gives the following error and no changes in the database:
# Copyright 2015 Stu Bossert
#
# This program is free software: you can redistribute it and/or modify
# it",0.84524777035,,,</s>,en
18,on_p50,1000,1,19,"কই বলেছেন? তার মানে এই নয় যে, ফের একবার জনসম্মুখে গোসল করবেন না। তবে এটুকু বলতে পারি, এপ্রিলের মাঝামাঝিতে হয়তো নিজের চেহারা ফর্সা করতে তিনি আবার এ প্রয়াস চালাতে পারেন।",0.84524777035,,,</s>,en
19,on_p50,1000,1,20,"The information presented on this page is about the nearest places to Ukanji, Japan. On this map you will see the location of all major cities and towns, along with the nearest airports and other points of interest. If you would like to find out more about the local environment of Ukanji, please visit the",0.84524777035,,,</s>,en
20,on_p50,1000,1,21,"El gran problema de la enfermedad de Alzheimer es que no hay cura. Y en los últimos años la causa de la enfermedad no ha sido identificada.
Los investigadores han buscado pistas sobre los marcadores que indican el comienzo y el desarrollo de la enfermedad, pero no han encontrado nada particularmente útil, ya que se sabe que el Alzheimer",0.84524777035,,,</s>,en
21,on_p50,1000,1,22,"/*
 *  Open BEAGLE
 *  Copyright (C) 2001-2007 by Christian Gagne and Marc Parizeau
 *
 *  This library is free software; you can redistribute it and/or
 *  modify it under the terms of the GNU Lesser General Public
 *  License as published by the Free",0.84524777035,,,</s>,en
22,on_p50,1000,1,23,"On sait que Marshall et Lily sont parents de Lily.
Une petite fille?
Oui, Lily.
C'est une petite fille.
- Lily est née aujourd'hui?
- Oui.
Elle est née hier.
Ravi de vous voir.
Merci de nous avoir fait venir.
- On se retrouve en bas.
- Vous voulez qu'on se voit",0.84524777035,,,</s>,en
23,on_p50,1000,1,24,"﻿/*
 * Created by SharpDevelop.
 * User: ntian
 * Date: 2014/5/9
 * Time: 11:26
 * 
 * To change this template use Tools | Options | Coding | Edit Standard Headers.
 */
namespace Unigram.Views.Settings
{
	partial class EditProfileSettings",0.84524777035,,,</s>,en
24,on_p50,1000,1,25,《上海证券报》7月27日讯近日，有媒体报道称”宋祖德”已聘请了律师为其打赢“名誉权官司”，并就”章小蕙”事件向宋祖德展开了”星际大战“。宋祖德对此回应称”章小蕙”事件并没“,0.84524777035,,,</s>,en
25,on_p50,1000,1,26,"Leur ambition : être le premier opérateur de services financiers au monde, en créant une valeur à la fois pour les clients et pour les entreprises.
Le groupe SOFORT compte aujourd’hui plus de 14 500 employés dans le monde. Ses activités comprennent la gestion de portefeuilles de cartes, de mandats et de comptes pour",0.84524777035,,,</s>,en
26,on_p50,1000,1,27,"Föllmi, diu, va ser reixat a l’esquerra pel bisbe de Roda, Berenguer, i a la dreta pel mariscal de Catalunya, Pere Borrell. A la primera meitat del segle xii, els vescomtes de Cardona, senyors del castell de Cardona, van començar una llarga lluita contra el",0.84524777035,,,</s>,en
27,on_p50,1000,1,28,"There is no doubt that the event is set to be one of the best and largest to ever be held in the UK and the world.
The night will kick off with a variety of top talent performing live on the tracks and with a number of bands also playing throughout. Live entertainment will also continue through the evening, with",0.84524777035,,,</s>,en
28,on_p50,1000,1,29,PHP is a programming language that is used for web applications and other systems. It is commonly used for creating interfaces and scripts for web based applications. It is also used for creating databases and other applications that are used for memory or database management. PHP offers many different features and is usually used for making web based applications and websites,0.84524777035,,,</s>,en
29,on_p50,1000,1,30,"حكومتي وشعب مصر وشخصيات عامة ، بعد لقاء حسن صقر وزيارة الرئيس مبارك، قد أعلن الاثنين الماضي عن تشكيل لجنة جديدة من هيئة الطاقة النووية لتتولى التحقيق في نتائج زيارة الرئيس مبارك ، حيث ستشكل لجنة من هيئتين حكوميتين هما هيئة الطاقة النووية وهيئة الدفاع المدني.
مع ذلك",0.84524777035,,,</s>,en
