,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"El actual presidente de la Real Cordoba Sport Club (RCS) está de vuelta a Puebla, después de haber estado unos meses confinado y convaleciente en Madrid. En la tarde de ayer, el jugador compartía su momento de descanso entre sus compañeros en el gimnasio para regresar a Buenos Aires a dar el último",0.77709025861,,,</s>,en
1,on_p50,1000,1,2,"/* This file is part of the KDE project
   Copyright (C) 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 Free Software Foundation, Inc.

   This library is free software; you can redistribute it and/or
   modify it under the terms of the GNU Library General Public

   License as published by the Free",0.77709025861,,,</s>,en
2,on_p50,1000,1,3,"# Description : Ce gros chaton est petit, bien dressé, il mange très bien, est bien élevé, du vol sans problèmes et on se sent en sécurité. Il est facile à prendre en main, il n’y a pas de grandes crises mais il faut le surveiller quotidiennement. Nous avons trouvé que peu de ch",0.77709025861,,,</s>,en
3,on_p50,1000,1,4,"Ce n’est pas un hasard si la famille royale espagnole est l’élite de la société. Le fondateur de la SDN, Felipe II, est le plus grand entrepreneur de son pays, à tel point que les ministres le surnomment le Roi de la Castille. Ce n’est pas tout. Le roi est également le père",0.77709025861,,,</s>,en
4,on_p50,1000,1,5,"“ Tem pessoas que choram, mas não choram mais, a maior parte não choram. E se choram, é para ser feliz. Se choram sem parar, é para ser feliz. Se choram sem medo de morrer, de morrer, é para ser feliz. E se choram sem chorar,",0.77709025861,,,</s>,en
5,on_p50,1000,1,6,"Q:

Ver simple html with multiple lines

I have following html with multiple lines.
<img src=""images.jpg"" />
<img src=""images.jpg"" />
<img src=""images.jpg"" />
<img src=""images.jpg"" />
<img src=""images.jpg"" />
<img src=""images.jpg"" />
<img src=""images.jpg""",0.77709025861,,,</s>,en
6,on_p50,1000,1,7,"Neuromorphisms
Neurotransmitter sorting
Figure 2. Neuron sorting and transport proteins in the cerebellum. Neuron sorting and transport proteins are important regulators of cerebellar function and differentiation. Transport proteins are part of the voltage-gated Ca 2+ (G in blue), the calcium-",0.77709025861,,,</s>,en
7,on_p50,1000,1,8,"A nível de tempo, a Ancima já disponibiliza serviços para a categoria de carros-extras a partir de cerca de 16 mil euros, para particulares a partir de 12 mil e para empresas a partir de 5 mil euros.
A Alme Air foi a primeira a iniciar os testes de testes de passageiros de avião e,",0.77709025861,,,</s>,en
8,on_p50,1000,1,9,The two queued at a right angle and the transit of the first wave behind the first wave at right angle. China will develop a massive shipyard and the western coast of the country will be the mountains of China and you will find many cities in the mountains of China. The next wave is the largest wave and it,0.77709025861,,,</s>,en
9,on_p50,1000,1,10,The human body is extremely vulnerable to skin infections. We can choose not to even notice or even to notice the signs of an infection. This is a great way for cancer patients to take the time for themselves and their families. The first thing they should do is to take their skin care and skincare daily. Follow,0.77709025861,,,</s>,en
10,on_p50,1000,1,11,"Showing 0 results for: Tender Gravel... We are the world leader in the manufacture and supply of construction aggregate and...
SIPPER PEDAL GRAPHICS. P90 P90 Pedal Graphic India is today US and Europe leader in the production and delivery of P90 Pedal Graphic (P90",0.77709025861,,,</s>,en
11,on_p50,1000,1,12,"A garbage collector that is a great thing, when a man or a woman who lives on a dirt floor, steam from it and the dirty water, and so on, in the furnace or the pool which has a bad conventional or is not properly cleaned, the furnace or the pool is a good time to say that with",0.77709025861,,,</s>,en
12,on_p50,1000,1,13,"Por todo o quanto uma mãe precisa se dedicar ao seu filho e torcer por ele, estamos aqui para te ajudar a encontrar o que realmente é importante para você e seu coração em nossa Confraternização de Santa Maria. Feira Santa Maria by Kwi",0.77709025861,,,</s>,en
13,on_p50,1000,1,14,"Now we’re ready to dive in and find out how the best VPN works in the top 3 top VPN providers. If there’s one thing that every VPN customer has in common, it’s that they all have the same goal and are actually all different platforms. We’ve all been in a position where we just can’t afford to",0.77709025861,,,</s>,en
14,on_p50,1000,1,15,"Q:

How to tuck the images into the left and right sides of the table in C#?

I have a table with similar column headers and images that should be wrapped into a class.
Here is the code for the table that is supposed to be wrapped:
using System;
using System.Collections.Specialized;",0.77709025861,,,</s>,en
15,on_p50,1000,1,16,"Introduction
The first known role of the endoplasmic reticulum (ER) in the function of the mammalian cell was described in the context of a 1948 by Trevij-H Lee and K. Edwards in the absence of any alterations in the ER function in the fibrotic syndrome of Danfraen-Har",0.77709025861,,,</s>,en
16,on_p50,1000,1,17,The single front of the locomotor unit of the mammal are also similar to those of the higher e (Kapur and Demel 2005). The SCW of the salamander is also similar to the SCW of the other marsupials (Fjeldman et al. 1976; Tremblay and F,0.77709025861,,,</s>,en
17,on_p50,1000,1,18,"# The plugin doesn't have any filters or functions that can be used for these plugins.
# I don't have any idea how to get these functions to work with the current style or any different style that the current style is associated with.
Thanks for the help :)
#---------------------------------------------------------------------------
#--> import the default theme
#-->",0.77709025861,,,</s>,en
18,on_p50,1000,1,19,"Beautifully written, this is a true guide to the natural phenomenon of climate change, and to the complex and not just the simple of how to manage and manage the climate.
In the past, the majority of sediment organic matter was concentrated in the marine sediments and not in the terrestrial sediments. However, there is",0.77709025861,,,</s>,en
19,on_p50,1000,1,20,"The information presented in this article is about the management of the cancer and the effect of the cancer treatment on the patient.
You will have already been told about the risks of cancer and the changes of the lifestyle in the past years. The cancer is the most well-known and serious disease in the world. Over the last 20 years",0.77709025861,,,</s>,en
20,on_p50,1000,1,21,"Se a pessoa que vai cuidar de você não conseguir entender porque você não está bem, não é motivo para ser um péssimo pai. Mesmo que não se sinta bem, é um momento quando você está no melhor momento de sua vida!
A pessoa que vai cuidar de você é mesmo a sua própria mãe, é a",0.77709025861,,,</s>,en
21,on_p50,1000,1,22,"/*
 *  OpenSplice - A framework for Open Source Software
 *  Copyright (c) 2007 - 2010, Inc. Fifth Floor, Boston, MA 02110-1301 USA
 *
 *  This program is free software: you can redistribute it and/or modify
 *  it under the terms of the GNU General Public License",0.77709025861,,,</s>,en
22,on_p50,1000,1,23,"On sait que Marshall St. John a été professeur de musique au collège Christian St. James. Il a également été membre de la Royal Society of the Arts, membre de l’American Academy of Arts, de l’AOCP Music Society, de la Royal Academy of Music, de la Royal Society of the Arts and of Royal",0.77709025861,,,</s>,en
23,on_p50,1000,1,24,"The story of the entire Rorschach is a fascinating and complicated affair of the early 18th century.
""Thereon is the reminiscence of the Middlesex Society and Society of Young Persons, and of the early proceedings of the Society of New-Nedals, and of the Society of Woman Suffolk",0.77709025861,,,</s>,en
