,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"12月27日,在京召开的国务院常务会议提出,要加快构建绿色矿山、绿色建筑、绿色循环、绿色生活体系,统筹推进经济绿色发展、社会绿色发展、生态文明建设。中共十八大以来,习近平等党和国家领导人就绿色发展的一系列",0.088840994252,,,,ja
1,on_p50,1000,1,2,UAE(ایف اے ٹی اے) کی جانب سے فراہم کردہ سروس اور کمیشن کے ساتھ تعاون کرتے ہوئے، ہماری ٹیم آپ کو ہر ممکن طریقے سے معلومات فراہم کرنے کے قابل ہے جو ترقی یافتہ ممالک میں مالیاتی اداروں کی آمدنی کو کم کرے گی، ترقی پذیر ممالک میں مالیاتی اداروں کی آمدنی کو,0.088840994252,,,,ja
2,on_p50,1000,1,3,いつもお世話になっております。はーい。,0.088840994252,,,,ja
3,on_p50,1000,1,4,"“I have to admit,” she said, “I’m not even going to try to explain myself.”",0.088840994252,,,,ja
4,on_p50,1000,1,5,"in-depth. I stayed in a very nice and clean room, with a spacious bed,",0.088840994252,,,,ja
5,on_p50,1000,1,6,A one-line Complaint will help you make a difference in the community. Tell us what is wrong and how we can make it right.,0.088840994252,,,,ja
6,on_p50,1000,1,7,,0.088840994252,,,,ja
7,on_p50,1000,1,8,2chオークションは、簡単にSNSや同人投稿するだけで、安全な2chオークションの実力を発揮できるようサポートいたします。,0.088840994252,,,,ja
8,on_p50,1000,1,9,We're Looking For...,0.088840994252,,,,ja
9,on_p50,1000,1,10,"또, KBS, MBC, SBS, EBS, TV조선, YTN, 한국일보 등 방송사도 함께 뛰었습니다. 덕분에 “편한 아빠, 육아의 달인, 아빠 어디가, 내 손안에 서울,, 아빠가",0.088840994252,,,,ja
10,on_p50,1000,1,11,"Next articleRober Dixon: “I Came from America, I’m going to be a Detroit Tiger”",0.088840994252,,,,ja
11,on_p50,1000,1,12,"Твърдият найлон, който се използва от ранни пионери на марсианската култура, е унищожен от изригването на Слънцето.",0.088840994252,,,,ja
12,on_p50,1000,1,13,宁夏回族自治区发展和改革委员会关于推进智慧宁夏建设的指导意见,0.088840994252,,,,ja
13,on_p50,1000,1,14,引用するにはまずログインしてください,0.088840994252,,,,ja
14,on_p50,1000,1,15,Male Nachhilfe in Baden-Württemberg/Baden/Württemberg,0.088840994252,,,,ja
15,on_p50,1000,1,16,008453 - Account Manager (m/w/d) - New Furniture - Düsseldorf,0.088840994252,,,,ja
16,on_p50,1000,1,17,ธุรกิจโฆษณาออนไลน์ มีวิธีวางแผนการตลาดอย่างไรดี,0.088840994252,,,,ja
17,on_p50,1000,1,18,科学の道を歩みたい に 匿名 より,0.088840994252,,,,ja
18,on_p50,1000,1,19,0 สมาชิก และ 1 บุคคลทั่วไป กําลังดูหัวข้อนี้,0.088840994252,,,,ja
19,on_p50,1000,1,20,"in-person training, webinars, and a variety of other services.",0.088840994252,,,,ja
20,on_p50,1000,1,21,もっとも、何回も何度も繰り返し読むという人にとっては、情報収集しにくい装丁も、試し読みをすることで中身を確かめられます。,0.088840994252,,,,ja
