,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,1000,1,1,"El regidor del districte de Sant Martí, Josep Ayuso, ha anunciat aquest dilluns que el grup municipal d'oposició engegarà una campanya a través dels treballadors municipals i de la ciutadania per pressionar el regidor, que porta tres mesos com a regidor sense titular, perquè es compromet a assumir el càrrec definitivament.
A més a més,",0.09015053527500001,,,</s>,fr
1,on_p50,1000,1,2,"/*
 * Copyright (c) 2015, Oracle and/or ses aux alentours. All rights reserved.
 * DO NOT ALTER OR REMOVE COPYRIGHT NOTICES OR THIS FILE HEADER.
 *
 * This code is free software; you can redistribute it and/or modify it
 * under the terms of the GNU General Public License version 2 only,",0.09015053527500001,,,</s>,fr
2,on_p50,1000,1,3,"#!/usr/bin/env python

import os
import sys
import getopt

from glob import glob
from os.path import join, dirname, abspath, exists, isdir

def usage():
	print(""""""
Usage: config.py [OPTIONS]

OPTIONS:
    CONFIG_FILE [OPTION]",0.09015053527500001,,,</s>,fr
3,on_p50,1000,1,4,"Ce n’est pas un cadeau de Noel à proprement parler, mais c’est tellement sympathique que j’ai envie de le partager avec vous en vous donnant la possibilité de commander l’ouvrage en ligne à travers le site de l’auteur. Et je vous promets que ce ne sera pas que pour un cadeau… c’est un cadeau à partager!
Vous",0.09015053527500001,,,</s>,fr
4,on_p50,1000,1,5,"L'homme de la situation a d’ailleurs demandé à l'assemblée d'annuler les élections municipales pour justifier sa décision…
Pour rappel, le gouvernement a suspendu en octobre le scrutin des 15 et 22 mars face au risque de propagation du coronavirus et a imposé des conditions de vote restrictives : seuls les électeurs affiliés à la sécurité sociale, enregistrés",0.09015053527500001,,,</s>,fr
5,on_p50,1000,1,6,"En las elecciones presidenciales del domingo pasado, los republicanos han ganado cinco estados clave, mientras que los demócratas han...
La Corte Suprema de Estados Unidos desestimó este miércoles una demanda de los republicanos de prohibir el uso de...
En el Congreso de los Estados Unidos votaron este miércoles los republicanos a favor del juicio político contra el presidente...
",0.09015053527500001,,,</s>,fr
6,on_p50,1000,1,7,"NATIONS
UNIES
Distr.
GÉNÉRALE
A/50/277
3 novembre 1995
FRANÇAIS
ORIGINAL : ANGLAIS
Cinquantième session
Points 97 et 100 de l'ordre du jour
ÉTAT FINANCIER DE L'ORGANISATION DES",0.09015053527500001,,,</s>,fr
7,on_p50,1000,1,8,"Le Champagne doit sa réputation à la taille impressionnante de ses vignes. En Champagne, les parcelles sont limitrophes et les champs ont une superficie moyenne de 750 ha. Les vignes sont plantées en terrasses, ce qui est très caractéristique de la région. Les vignes sont récoltées mécaniquement",0.09015053527500001,,,</s>,fr
8,on_p50,1000,1,9,A partir que você aprender a fazer este tipo de resina você não terá mais pressa de queimar as suas resinas em abundância e terá tempo de curtir as suas coisas sem ter que se preocupar com o problema.,0.09015053527500001,,,</s>,fr
9,on_p50,1000,1,10,"Quy trình kiểm tra chất lượng nước được thực hiện trong vòng 5 – 7 ngày trước và sau khi khởi hành. Nước được phân loại trước khi đưa vào các nhà máy xử lý. Khi đưa nước vào các nhà máy xử lý, công nghệ xử lý được sử dụng phụ thuộc vào loại chất thải để lọc.",0.09015053527500001,,,</s>,fr
